date,MACD,MACD_Hist,MACD_Signal
2021-01-29,0.3512,0.1619,0.1893
2021-01-28,0.2947,0.1458,0.1489
2021-01-27,0.1235,0.0111,0.1124
2021-01-26,0.06,-0.0496,0.1096
2021-01-25,0.0831,-0.039,0.122
2021-01-22,0.1214,-0.0104,0.1318
2021-01-21,0.1289,-0.0055,0.1344
2021-01-20,0.1355,-0.0003,0.1358
2021-01-19,0.1074,-0.0285,0.1358
2021-01-15,0.0903,-0.0527,0.143
2021-01-14,0.0885,-0.0676,0.1561
2021-01-13,0.0158,-0.1573,0.173
2021-01-12,0.0153,-0.197,0.2123
2021-01-11,0.0298,-0.2318,0.2616
2021-01-08,0.0866,-0.2329,0.3195
2021-01-07,0.1445,-0.2332,0.3778
2021-01-06,0.1909,-0.2451,0.4361
2021-01-05,0.2331,-0.2642,0.4974
2021-01-04,0.2928,-0.2706,0.5634
2020-12-31,0.3952,-0.2359,0.6311
2020-12-30,0.455,-0.2351,0.69
2020-12-29,0.486,-0.2629,0.7488
2020-12-28,0.548,-0.2666,0.8145
2020-12-24,0.5988,-0.2824,0.8812
2020-12-23,0.6957,-0.2561,0.9518
2020-12-22,0.7858,-0.2299,1.0158
2020-12-21,0.9312,-0.1421,1.0733
2020-12-18,1.0401,-0.0687,1.1088
2020-12-17,1.1221,-0.0038,1.1259
2020-12-16,1.181,0.0542,1.1269
2020-12-15,1.2329,0.1196,1.1134
2020-12-14,1.266,0.1825,1.0835
2020-12-11,1.3213,0.2835,1.0378
2020-12-10,1.337,0.3701,0.967
2020-12-09,1.242,0.3676,0.8744
2020-12-08,1.1871,0.4046,0.7825
2020-12-07,1.0519,0.3705,0.6814
2020-12-04,0.9069,0.3181,0.5888
2020-12-03,0.791,0.2817,0.5093
2020-12-02,0.6631,0.2243,0.4388
2020-12-01,0.6156,0.2328,0.3827
2020-11-30,0.606,0.2814,0.3245
2020-11-27,0.5991,0.3449,0.2542
2020-11-25,0.4951,0.3272,0.1679
2020-11-24,0.3593,0.2732,0.0861
2020-11-23,0.1929,0.1751,0.0178
2020-11-20,0.106,0.1319,-0.0259
2020-11-19,0.0984,0.1573,-0.0589
2020-11-18,0.0609,0.1591,-0.0982
2020-11-17,0.0171,0.1551,-0.138
2020-11-16,-0.0349,0.1419,-0.1768
2020-11-13,-0.11,0.1023,-0.2123
2020-11-12,-0.1482,0.0897,-0.2378
2020-11-11,-0.1439,0.1164,-0.2603
2020-11-10,-0.1668,0.1226,-0.2894
2020-11-09,-0.2283,0.0917,-0.32
2020-11-06,-0.3869,-0.044,-0.3429
2020-11-05,-0.4066,-0.0747,-0.3319
2020-11-04,-0.4401,-0.1269,-0.3133
2020-11-03,-0.4159,-0.1343,-0.2815
2020-11-02,-0.4038,-0.1559,-0.248
2020-10-30,-0.3765,-0.1675,-0.209
2020-10-29,-0.3453,-0.1781,-0.1671
2020-10-28,-0.2882,-0.1656,-0.1226
2020-10-27,-0.1897,-0.1085,-0.0812
2020-10-26,-0.0898,-0.0357,-0.0541
2020-10-23,-0.019,0.0262,-0.0451
2020-10-22,-0.0098,0.0419,-0.0517
2020-10-21,-0.0539,0.0082,-0.0621
2020-10-20,-0.0682,-0.004,-0.0642
2020-10-19,-0.0911,-0.0279,-0.0632
2020-10-16,-0.0945,-0.0383,-0.0562
2020-10-15,-0.0873,-0.0407,-0.0466
2020-10-14,-0.0535,-0.017,-0.0365
2020-10-13,-0.0227,0.0095,-0.0322
2020-10-12,0.0312,0.0658,-0.0346
2020-10-09,0.0282,0.0792,-0.051
2020-10-08,-0.0046,0.0662,-0.0708
2020-10-07,-0.0417,0.0457,-0.0874
2020-10-06,-0.0799,0.0189,-0.0988
2020-10-05,-0.0724,0.0311,-0.1035
2020-10-02,-0.1219,-0.0106,-0.1113
2020-10-01,-0.1711,-0.0625,-0.1087
2020-09-30,-0.1887,-0.0956,-0.0931
2020-09-29,-0.1788,-0.1096,-0.0692
2020-09-28,-0.1595,-0.1177,-0.0417
2020-09-25,-0.1845,-0.1722,-0.0123
2020-09-24,-0.1658,-0.1966,0.0307
2020-09-23,-0.0867,-0.1665,0.0799
2020-09-22,-0.0007,-0.1222,0.1215
2020-09-21,0.0674,-0.0847,0.152
2020-09-18,0.1665,-0.0067,0.1732
2020-09-17,0.1907,0.0159,0.1749
2020-09-16,0.1742,0.0032,0.1709
2020-09-15,0.1332,-0.037,0.1701
2020-09-14,0.1461,-0.0333,0.1794
2020-09-11,0.1482,-0.0395,0.1877
2020-09-10,0.1804,-0.0172,0.1975
2020-09-09,0.2132,0.0113,0.2018
2020-09-08,0.2474,0.0484,0.199
2020-09-04,0.2284,0.0415,0.1869
2020-09-03,0.2028,0.0263,0.1765
2020-09-02,0.1927,0.0227,0.17
2020-09-01,0.1902,0.026,0.1643
2020-08-31,0.1976,0.0398,0.1578
2020-08-28,0.2091,0.0613,0.1478
2020-08-27,0.1659,0.0334,0.1325
2020-08-26,0.1398,0.0156,0.1242
2020-08-25,0.1549,0.0346,0.1203
2020-08-24,0.1358,0.0242,0.1116
2020-08-21,0.0788,-0.0267,0.1056
2020-08-20,0.1353,0.0231,0.1123
2020-08-19,0.1709,0.0644,0.1065
2020-08-18,0.1954,0.1051,0.0904
2020-08-17,0.2321,0.168,0.0641
2020-08-14,0.2734,0.2513,0.0221
2020-08-13,0.2499,0.2906,-0.0407
2020-08-12,0.2193,0.3327,-0.1133
2020-08-11,0.1527,0.3492,-0.1965
2020-08-10,0.0461,0.3299,-0.2838
2020-08-07,-0.1182,0.2481,-0.3663
2020-08-06,-0.2274,0.201,-0.4283
2020-08-05,-0.3644,0.1142,-0.4786
2020-08-04,-0.4852,0.022,-0.5071
2020-08-03,-0.5212,-0.0086,-0.5126
2020-07-31,-0.52,-0.0096,-0.5105
2020-07-30,-0.515,-0.0069,-0.5081
2020-07-29,-0.5071,-0.0008,-0.5064
2020-07-28,-0.5121,-0.006,-0.5062
2020-07-27,-0.5488,-0.0441,-0.5047
2020-07-24,-0.5488,-0.0552,-0.4936
2020-07-23,-0.541,-0.0611,-0.4798
2020-07-22,-0.5617,-0.0972,-0.4646
2020-07-21,-0.5383,-0.098,-0.4403
2020-07-20,-0.5118,-0.096,-0.4158
2020-07-17,-0.4705,-0.0787,-0.3918
2020-07-16,-0.4557,-0.0837,-0.3721
2020-07-15,-0.4853,-0.1341,-0.3512
2020-07-14,-0.6167,-0.2991,-0.3176
2020-07-13,-0.5851,-0.3422,-0.2428
2020-07-10,-0.5423,-0.3851,-0.1573
2020-07-09,-0.5114,-0.4504,-0.061
2020-07-08,-0.3872,-0.4388,0.0516
2020-07-07,-0.3054,-0.4667,0.1613
2020-07-06,-0.1885,-0.4665,0.278
2020-07-02,-0.1271,-0.5217,0.3946
2020-07-01,-0.0164,-0.5414,0.525
2020-06-30,0.0936,-0.5667,0.6603
2020-06-29,0.2062,-0.5958,0.802
2020-06-26,0.3214,-0.6296,0.951
2020-06-25,0.5595,-0.5489,1.1084
2020-06-24,0.7749,-0.4707,1.2456
2020-06-23,1.0517,-0.3116,1.3633
2020-06-22,1.292,-0.1492,1.4412
2020-06-19,1.4862,0.0077,1.4785
2020-06-18,1.6025,0.1259,1.4766
2020-06-17,1.6777,0.2327,1.4451
2020-06-16,1.6995,0.3126,1.3869
2020-06-15,1.6975,0.3887,1.3087
2020-06-12,1.7038,0.4922,1.2116
2020-06-11,1.683,0.5945,1.0885
2020-06-10,1.8722,0.9323,0.9399
2020-06-09,1.8178,1.111,0.7068
