date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,8.3,8.652000000000001,8.21,8.37,673271.0
2020-04-17,8.78,8.8547,8.34,8.44,620840.0
2020-04-16,8.8,9.14,8.4,8.59,750888.0
2020-04-15,8.0,8.86,7.82,8.72,726859.0
2020-04-14,8.08,8.5,8.08,8.19,456491.0
2020-04-13,7.73,8.0,7.56,7.99,379930.0
2020-04-09,8.13,8.1912,7.585,7.76,710741.0
2020-04-08,8.05,8.5,7.95,8.01,537558.0
2020-04-07,8.11,8.35,7.82,7.94,578522.0
2020-04-06,7.78,7.945,7.5,7.92,728446.0
2020-04-03,7.69,7.8399,7.06,7.45,557791.0
2020-04-02,7.34,7.8,7.19,7.69,653501.0
2020-04-01,7.34,7.487999999999999,7.18,7.32,348856.0
2020-03-31,7.63,7.89,7.31,7.59,466055.0
2020-03-30,7.5,7.62,7.03,7.6,707050.0
2020-03-27,6.76,8.04,6.3201,7.48,1426009.0
2020-03-26,7.52,7.7467,6.94,6.96,937019.0
2020-03-25,7.78,8.15,7.34,7.45,495652.0
2020-03-24,7.33,7.7002,7.05,7.7,842847.0
2020-03-23,7.05,7.5,6.775,6.9,959551.0
2020-03-20,6.66,7.96,6.54,6.74,1171748.0
2020-03-19,5.51,6.6,5.448,6.55,1028712.0
2020-03-18,5.56,5.81,5.0,5.5,1206479.0
2020-03-17,5.8,6.14,5.51,5.96,1246528.0
2020-03-16,5.53,6.16,5.36,5.64,763031.0
2020-03-13,6.2,6.23,5.61,6.11,990656.0
2020-03-12,6.31,6.5,5.665,5.68,1065200.0
2020-03-11,7.83,8.04,6.99,7.04,939136.0
2020-03-10,8.09,8.2162,7.72,8.12,828849.0
2020-03-09,8.07,8.27,7.5879,7.72,1214751.0
2020-03-06,8.75,8.94,8.535,8.79,800669.0
2020-03-05,9.19,9.25,8.86,9.04,558323.0
2020-03-04,9.61,9.61,9.13,9.38,540470.0
2020-03-03,9.03,9.47,8.85,9.4,703642.0
2020-03-02,8.95,9.28,8.65,9.03,934741.0
2020-02-28,8.95,9.73,8.54,8.93,1483443.0
2020-02-27,9.9,10.02,9.37,9.56,1027458.0
2020-02-26,10.27,10.47,10.02,10.18,713361.0
2020-02-25,10.72,10.825,10.1,10.195,664459.0
2020-02-24,10.54,10.75,10.42,10.585,725646.0
2020-02-21,11.7,11.7,10.8737,11.28,1419709.0
2020-02-20,12.02,12.299,11.5874,11.82,827500.0
