date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,128.5,129.69,126.86,128.8,90440255.0
2021-01-11,129.19,130.17,128.5,128.98,100620880.0
2021-01-08,132.43,132.63,130.23,132.05,105158245.0
2021-01-07,128.36,131.63,127.86,130.92,109578157.0
2021-01-06,127.72,131.0499,126.382,126.6,153792726.0
2021-01-05,128.89,131.74,128.43,131.01,97664898.0
2021-01-04,133.52,133.6116,126.76,129.41,143301887.0
2020-12-31,134.08,134.74,131.72,132.69,99116586.0
2020-12-30,135.58,135.99,133.4,133.72,96452124.0
2020-12-29,138.05,138.789,134.3409,134.87,121047324.0
2020-12-28,133.99,137.34,133.51,136.69,123124632.0
2020-12-24,131.32,133.46,131.1,131.97,54930064.0
2020-12-23,132.16,132.43,130.78,130.96,88223692.0
2020-12-22,131.61,134.405,129.65,131.88,169351825.0
2020-12-21,125.02,128.31,123.449,128.23,121251553.0
2020-12-18,128.96,129.1,126.12,126.655,192541496.0
2020-12-17,128.9,129.58,128.045,128.7,94359811.0
2020-12-16,127.41,128.37,126.56,127.81,98208591.0
2020-12-15,124.34,127.9,124.13,127.88,157572262.0
2020-12-14,122.6,123.35,121.54,121.78,79075988.0
2020-12-11,122.43,122.76,120.55,122.41,86939786.0
2020-12-10,120.5,123.87,120.15,123.24,81312170.0
2020-12-09,124.53,125.95,121.0,121.78,115089193.0
2020-12-08,124.37,124.98,123.09,124.38,82225512.0
2020-12-07,122.31,124.57,122.25,123.75,86711990.0
2020-12-04,122.6,122.8608,121.52,122.25,78260421.0
2020-12-03,123.52,123.78,122.21,122.94,78967630.0
2020-12-02,122.02,123.37,120.89,123.08,89004195.0
2020-12-01,121.01,123.4693,120.01,122.72,125920963.0
2020-11-30,116.97,120.97,116.81,119.05,169410176.0
2020-11-27,116.57,117.49,116.22,116.59,46691331.0
2020-11-25,115.55,116.75,115.17,116.03,76499234.0
2020-11-24,113.91,115.85,112.59,115.17,113226248.0
2020-11-23,117.18,117.6202,113.75,113.85,127959318.0
2020-11-20,118.64,118.77,117.29,117.34,73604287.0
2020-11-19,117.59,119.06,116.81,118.64,74112972.0
2020-11-18,118.61,119.82,118.0,118.03,76322111.0
2020-11-17,119.55,120.6741,118.96,119.39,74270973.0
2020-11-16,118.92,120.99,118.146,120.3,91183018.0
2020-11-13,119.44,119.6717,117.87,119.26,81688586.0
2020-11-12,119.62,120.53,118.57,119.21,103350674.0
2020-11-11,117.19,119.63,116.44,119.49,112294954.0
2020-11-10,115.55,117.59,114.13,115.97,138023390.0
2020-11-09,120.5,121.99,116.05,116.32,154515315.0
2020-11-06,118.32,119.2,116.13,118.69,114457922.0
2020-11-05,117.95,119.62,116.8686,119.03,126387074.0
2020-11-04,114.14,115.59,112.35,114.95,138235482.0
2020-11-03,109.66,111.49,108.73,110.44,107624448.0
2020-11-02,109.11,110.68,107.32,108.77,122866899.0
2020-10-30,111.06,111.99,107.72,108.86,190573476.0
2020-10-29,112.37,116.93,112.2,115.32,146129173.0
2020-10-28,115.05,115.43,111.1,111.2,143937823.0
2020-10-27,115.49,117.28,114.5399,116.6,92276772.0
2020-10-26,114.01,116.55,112.88,115.05,111850657.0
2020-10-23,116.39,116.55,114.28,115.04,82572645.0
2020-10-22,117.45,118.04,114.59,115.75,101987954.0
2020-10-21,116.67,118.705,116.45,116.87,89945980.0
2020-10-20,116.2,118.98,115.63,117.51,124423728.0
2020-10-19,119.96,120.419,115.66,115.98,120639337.0
2020-10-16,121.28,121.54799999999999,118.81,119.02,115393808.0
2020-10-15,118.72,121.2,118.15,120.71,112559219.0
2020-10-14,121.0,123.03,119.62,121.19,151062308.0
2020-10-13,125.27,125.39,119.65,121.1,262330451.0
2020-10-12,120.06,125.18,119.2845,124.4,240226769.0
2020-10-09,115.28,117.0,114.92,116.97,100506865.0
2020-10-08,116.25,116.4,114.5901,114.97,83477153.0
2020-10-07,114.62,115.55,114.13,115.08,96848985.0
2020-10-06,115.7,116.12,112.25,113.16,161498212.0
2020-10-05,113.91,116.65,113.55,116.5,106243839.0
2020-10-02,112.89,115.37,112.22,113.02,144711986.0
2020-10-01,117.64,117.72,115.83,116.79,116120440.0
2020-09-30,113.79,117.26,113.62,115.81,142675184.0
2020-09-29,114.55,115.31,113.57,114.09,100060526.0
2020-09-28,115.01,115.32,112.78,114.96,137672403.0
2020-09-25,108.43,112.44,107.67,112.28,149981441.0
2020-09-24,105.17,110.25,105.0,108.22,167743349.0
2020-09-23,111.62,112.11,106.77,107.12,150718671.0
2020-09-22,112.68,112.86,109.16,111.81,183055373.0
2020-09-21,104.54,110.19,103.1,110.08,195713815.0
2020-09-18,110.4,110.88,106.09,106.84,287104882.0
2020-09-17,109.72,112.2,108.71,110.34,178010968.0
2020-09-16,115.23,116.0,112.04,112.13,155026675.0
2020-09-15,118.33,118.829,113.61,115.54,184642039.0
2020-09-14,114.72,115.93,112.8,115.355,140150087.0
2020-09-11,114.57,115.23,110.0,112.0,180860325.0
2020-09-10,120.36,120.5,112.5,113.49,182274391.0
2020-09-09,117.26,119.14,115.26,117.32,176940455.0
2020-09-08,113.95,118.99,112.68,112.82,231366563.0
2020-09-04,120.07,123.7,110.89,120.96,332607163.0
2020-09-03,126.91,128.84,120.5,120.88,257599640.0
2020-09-02,137.59,137.98,127.0,131.4,200118991.0
2020-09-01,132.76,134.8,130.53,134.18,152470142.0
2020-08-31,127.58,131.0,126.0,129.04,223505733.0
2020-08-28,504.05,505.77,498.31,499.23,46907479.0
2020-08-27,508.57,509.94,495.33,500.04,38888096.0
2020-08-26,504.7165,507.97,500.33,506.09,40755567.0
2020-08-25,498.79,500.7172,492.21,499.3,52873947.0
2020-08-24,514.79,515.14,495.745,503.43,86484442.0
2020-08-21,477.05,499.472,477.0,497.48,84513660.0
2020-08-20,463.0,473.56800000000004,462.9335,473.1,31726797.0
2020-08-19,463.93300000000005,468.65,462.44,462.83,36384502.0
2020-08-18,457.41,464.0,456.03,462.25,26408385.0
2020-08-17,464.25,464.35,455.8501,458.43,29431414.0
2020-08-14,459.315,460.0,452.18,459.63,41391302.0
2020-08-13,457.72,464.17,455.71,460.04,52520516.0
2020-08-12,441.99,453.1,441.19,452.04,41486205.0
