date,MACD_Signal,MACD,MACD_Hist
2021-01-19,1.8819,1.0289,-0.8529
2021-01-15,2.0951,1.2582,-0.8369
2021-01-14,2.3043,1.6028,-0.7015
2021-01-13,2.4797,1.8392,-0.6405
2021-01-12,2.6398,1.9125,-0.7274
2021-01-11,2.8216,2.191,-0.6307
2021-01-08,2.9793,2.4963,-0.483
2021-01-07,3.1001,2.5371,-0.563
2021-01-06,3.2408,2.6673,-0.5736
2021-01-05,3.3842,3.2345,-0.1497
2021-01-04,3.4217,3.4624,0.0408
2020-12-31,3.4115,3.8659,0.4545
2020-12-30,3.2978,3.9907,0.6929
2020-12-29,3.1246,3.9871,0.8624
2020-12-28,2.909,3.8073,0.8983
2020-12-24,2.6844,3.3373,0.6528
2020-12-23,2.5212,3.1693,0.648
2020-12-22,2.3592,3.0116,0.6524
2020-12-21,2.1961,2.673,0.4768
2020-12-18,2.0769,2.5734,0.4965
2020-12-17,1.9528,2.5693,0.6165
2020-12-16,1.7987,2.3185,0.5198
2020-12-15,1.6687,2.0552,0.3865
2020-12-14,1.5721,1.6822,0.1101
2020-12-11,1.5446,1.8027,0.2581
2020-12-10,1.48,1.8661,0.3861
2020-12-09,1.3835,1.8354,0.4519
2020-12-08,1.2705,1.9182,0.6476
2020-12-07,1.1086,1.7312,0.6226
2020-12-04,0.953,1.5315,0.5785
2020-12-03,0.8084,1.4071,0.5988
2020-12-02,0.6587,1.1576,0.4989
2020-12-01,0.5339,0.8079999999999999,0.2741
2020-11-30,0.4654,0.3867,-0.0787
2020-11-27,0.4851,0.217,-0.2681
2020-11-25,0.5521,0.2478,-0.3043
2020-11-24,0.6282,0.3405,-0.2877
2020-11-23,0.7001,0.5414,-0.1587
2020-11-20,0.7398,0.9243,0.1845
2020-11-19,0.6937,1.0443,0.3506
2020-11-18,0.606,1.0499,0.4439
2020-11-17,0.4951,1.1038,0.6088
2020-11-16,0.3429,1.0182,0.6753
2020-11-13,0.174,0.8014,0.6274
2020-11-12,0.0172,0.619,0.6018
2020-11-11,-0.1333,0.3822,0.5154
2020-11-10,-0.2621,0.0459,0.308
2020-11-09,-0.3391,-0.0257,0.3135
2020-11-06,-0.4175,-0.1522,0.2653
2020-11-05,-0.4838,-0.5528,-0.069
2020-11-04,-0.4666,-1.0698,-0.6032
2020-11-03,-0.3157,-1.2994,-0.9837
2020-11-02,-0.0698,-1.1152,-1.0453
2020-10-30,0.1915,-0.6941,-0.8856
2020-10-29,0.4129,-0.1556,-0.5685
2020-10-28,0.555,-0.1227,-0.6778
2020-10-27,0.7245,0.3398,-0.3846
