date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.0127,-0.109,-0.0962
2021-02-10,0.0349,-0.1153,-0.0804
2021-02-09,0.1116,-0.1328,-0.0211
2021-02-08,0.1676,-0.1886,-0.021
2021-02-05,0.2181,-0.2724,-0.0543
2021-02-04,0.2251,-0.3815,-0.1564
2021-02-03,0.2023,-0.494,-0.2917
2021-02-02,0.0948,-0.5952,-0.5004
2021-02-01,-0.0392,-0.6426,-0.6818
2021-01-29,-0.2943,-0.4252,-0.7195
2021-01-28,-0.281,-0.3516,-0.6326
2021-01-27,-0.334,-0.2814,-0.6154
2021-01-26,-0.2756,-0.1979,-0.4735
2021-01-25,-0.2033,-0.129,-0.3323
2021-01-22,-0.116,-0.0782,-0.1941
2021-01-21,-0.091,-0.0492,-0.1402
2021-01-20,-0.0367,-0.0264,-0.0631
2021-01-19,-0.0342,-0.0173,-0.0515
2021-01-18,-0.0434,-0.0087,-0.0521
2021-01-15,-0.0462,0.0021,-0.044
2021-01-14,-0.0417,0.0137,-0.028
2021-01-13,-0.13,0.0241,-0.1059
2021-01-12,-0.1687,0.0566,-0.1121
2021-01-11,-0.2314,0.0988,-0.1327
2021-01-08,-0.2383,0.1566,-0.0817
2021-01-07,-0.2774,0.2162,-0.0612
2021-01-06,-0.3564,0.2855,-0.0708
2021-01-05,-0.4079,0.3746,-0.0332
2021-01-04,-0.4909,0.4766,-0.0143
2020-12-31,-0.4975,0.5993,0.1018
2020-12-30,-0.5425,0.7237,0.1812
2020-12-29,-0.6201,0.8593,0.2392
2020-12-24,-0.6852,1.0143,0.3292
2020-12-23,-0.7353,1.1856,0.4504
2020-12-22,-0.7944,1.3695,0.5751
2020-12-21,-0.7373,1.5681,0.8308
2020-12-18,-0.6511,1.7524,1.1012
2020-12-17,-0.5417,1.9152,1.3734
2020-12-16,-0.4088,2.0506,1.6418
2020-12-15,-0.1974,2.1528,1.9554
2020-12-14,-0.1447,2.2021,2.0574
2020-12-11,-0.0562,2.2383,2.1822
2020-12-10,0.0511,2.2523,2.3035
2020-12-09,0.1578,2.2396,2.3973
2020-12-08,0.3066,2.2001,2.5067
2020-12-07,0.3693,2.1235,2.4927
2020-12-04,0.438,2.0312,2.4692
2020-12-03,0.4348,1.9216,2.3564
2020-12-02,0.3907,1.813,2.2036
2020-12-01,0.3997,1.7153,2.115
2020-11-30,0.4352,1.6154,2.0506
2020-11-27,0.4737,1.5066,1.9803
2020-11-26,0.4573,1.3881,1.8455
2020-11-25,0.4786,1.2738,1.7524
2020-11-24,0.4632,1.1541,1.6173
2020-11-23,0.3993,1.0384,1.4377
2020-11-20,0.4403,0.9385,1.3788
2020-11-19,0.5245,0.8285,1.3530000000000002
2020-11-18,0.5347,0.6973,1.2321
2020-11-17,0.5043,0.5636,1.0679
2020-11-16,0.4899,0.4376,0.9274
2020-11-13,0.4694,0.3151,0.7845
2020-11-12,0.4815,0.1977,0.6793
2020-11-11,0.5432,0.0774,0.6206
2020-11-10,0.5289,-0.0584,0.4704
2020-11-09,0.371,-0.1907,0.1804
2020-11-06,0.0675,-0.2834,-0.2159
2020-11-05,0.0429,-0.3003,-0.2574
2020-11-04,-0.0505,-0.311,-0.3615
2020-11-03,-0.0748,-0.2984,-0.3731
2020-11-02,-0.0804,-0.2797,-0.3601
2020-10-30,-0.0766,-0.2596,-0.3362
2020-10-29,-0.0349,-0.2404,-0.2753
2020-10-28,0.0025,-0.2317,-0.2292
2020-10-27,0.0723,-0.2323,-0.16
2020-10-26,0.121,-0.2504,-0.1294
2020-10-23,0.1556,-0.2807,-0.125
2020-10-22,0.097,-0.3196,-0.2226
2020-10-21,0.0224,-0.3438,-0.3214
2020-10-20,0.0185,-0.3494,-0.3309
2020-10-19,-0.0086,-0.3541,-0.3626
2020-10-16,-0.0154,-0.3519,-0.3673
2020-10-15,-0.0107,-0.3481,-0.3587
2020-10-14,0.0028,-0.3454,-0.3426
2020-10-13,0.0046,-0.3461,-0.3415
2020-10-09,0.0101,-0.3472,-0.3372
2020-10-08,-0.0085,-0.3498,-0.3583
2020-10-07,-0.1005,-0.3476,-0.4482
2020-10-06,-0.1668,-0.3225,-0.4893
2020-10-05,-0.1947,-0.2808,-0.4755
2020-10-02,-0.2169,-0.2321,-0.449
2020-10-01,-0.245,-0.1779,-0.4229
2020-09-30,-0.2984,-0.1167,-0.415
2020-09-29,-0.3304,-0.0421,-0.3724
2020-09-28,-0.3114,0.0405,-0.2709
2020-09-25,-0.3159,0.1184,-0.1975
2020-09-24,-0.2911,0.1973,-0.0937
2020-09-23,-0.2545,0.2701,0.0156
2020-09-22,-0.1757,0.3337,0.158
2020-09-21,-0.0901,0.3777,0.2875
2020-09-18,0.0475,0.4002,0.4477
2020-09-17,0.1076,0.3883,0.4959
2020-09-16,0.0799,0.3614,0.4413
2020-09-15,0.0319,0.3414,0.3734
2020-09-14,0.0526,0.3335,0.386
2020-09-11,0.0631,0.3203,0.3834
2020-09-10,0.1025,0.3046,0.407
2020-09-09,0.1462,0.2789,0.4251
2020-09-08,0.1987,0.2424,0.4411
2020-09-04,0.2225,0.1927,0.4152
2020-09-03,0.1964,0.1371,0.3335
2020-09-02,0.2056,0.08800000000000001,0.2936
2020-09-01,0.1864,0.0366,0.223
2020-08-31,0.1907,-0.01,0.1807
2020-08-28,0.1817,-0.0577,0.124
2020-08-27,0.1133,-0.1031,0.0102
2020-08-26,0.0776,-0.1314,-0.0538
2020-08-25,0.0863,-0.1508,-0.0645
2020-08-24,0.0769,-0.1724,-0.0955
2020-08-21,0.0284,-0.1916,-0.1632
2020-08-20,0.0512,-0.1987,-0.1475
2020-08-19,0.0669,-0.2115,-0.1446
2020-08-18,0.068,-0.2282,-0.1602
2020-08-17,0.1204,-0.2452,-0.1248
2020-08-14,0.1659,-0.2753,-0.1095
2020-08-13,0.1604,-0.3168,-0.1564
2020-08-12,0.1193,-0.3569,-0.2375
2020-08-11,0.0623,-0.3867,-0.3244
