date,MFI
2021-01-22,54.2069
2021-01-21,52.6942
2021-01-20,55.6043
2021-01-19,63.3077
2021-01-18,63.6855
2021-01-15,66.7753
2021-01-14,76.5736
2021-01-13,66.8657
2021-01-12,55.2739
2021-01-11,47.6334
2021-01-08,45.3569
2021-01-07,38.2221
2021-01-06,32.3204
2021-01-05,33.431
2021-01-04,27.2258
2020-12-31,26.4887
2020-12-30,24.2878
2020-12-29,25.272
2020-12-24,20.2864
2020-12-23,25.9102
2020-12-22,29.6566
2020-12-21,35.6419
2020-12-18,42.3737
2020-12-17,41.1489
2020-12-16,48.2394
2020-12-15,56.5594
2020-12-14,62.1722
2020-12-11,64.1503
2020-12-10,69.6836
2020-12-09,70.5746
2020-12-08,79.5984
2020-12-07,79.7237
2020-12-04,86.4536
2020-12-03,86.1421
2020-12-02,85.0474
2020-12-01,80.089
2020-11-30,74.0573
2020-11-27,84.24600000000002
2020-11-26,86.164
2020-11-25,84.0378
2020-11-24,83.5054
2020-11-23,79.683
2020-11-20,78.7389
2020-11-19,84.0247
2020-11-18,79.94
2020-11-17,75.6192
2020-11-16,69.5159
2020-11-13,63.776
2020-11-12,58.1315
2020-11-11,64.3727
2020-11-10,72.2198
2020-11-09,65.7836
2020-11-06,48.4111
2020-11-05,54.455
2020-11-04,51.6701
2020-11-03,50.8243
2020-11-02,46.2355
2020-10-30,40.7883
2020-10-29,40.4891
2020-10-28,46.7172
2020-10-27,55.2302
2020-10-26,62.0316
2020-10-23,65.4503
2020-10-22,57.1942
2020-10-21,53.8031
2020-10-20,61.5059
2020-10-19,54.2534
2020-10-16,53.678
2020-10-15,54.9833
2020-10-14,53.8798
2020-10-13,52.1252
2020-10-09,51.5893
2020-10-08,49.6739
2020-10-07,40.4371
2020-10-06,41.0545
2020-10-05,44.9274
2020-10-02,44.6857
2020-10-01,50.2301
2020-09-30,44.3644
2020-09-29,44.6095
2020-09-28,44.0965
2020-09-25,37.6732
2020-09-24,41.8497
2020-09-23,51.2254
2020-09-22,56.6866
2020-09-21,55.7132
2020-09-18,63.5512
2020-09-17,72.8149
2020-09-16,74.2451
2020-09-15,68.0747
2020-09-14,72.0622
2020-09-11,73.0777
2020-09-10,74.2452
2020-09-09,70.7271
2020-09-08,76.3999
2020-09-04,79.063
2020-09-03,72.5157
2020-09-02,65.5093
2020-09-01,65.8353
2020-08-31,73.0218
2020-08-28,72.9121
2020-08-27,71.7593
2020-08-26,64.0281
2020-08-25,70.5282
2020-08-24,70.4017
2020-08-21,60.482
2020-08-20,56.2734
2020-08-19,55.2948
2020-08-18,49.9502
2020-08-17,55.5436
2020-08-14,57.576
2020-08-13,57.9514
2020-08-12,51.0215
2020-08-11,44.3515
2020-08-10,41.1389
2020-08-07,31.4153
2020-08-06,30.5868
2020-08-05,21.1504
2020-08-04,31.3895
2020-07-31,32.0296
2020-07-30,40.8434
2020-07-29,40.4534
2020-07-28,39.0479
2020-07-27,39.6877
2020-07-24,37.6419
2020-07-23,36.8805
2020-07-22,38.0428
2020-07-21,43.7716
2020-07-20,37.8295
2020-07-17,44.0847
2020-07-16,43.9587
2020-07-15,45.2491
2020-07-14,29.8238
2020-07-13,28.4444
2020-07-10,21.8035
2020-07-09,21.09
2020-07-08,20.8344
2020-07-07,14.0222
2020-07-06,27.5961
2020-07-03,25.0154
2020-07-02,37.9705
2020-06-30,30.6243
2020-06-29,28.0322
2020-06-26,21.0658
2020-06-25,33.7301
2020-06-24,44.5568
2020-06-23,51.4828
2020-06-22,56.809
2020-06-19,59.6323
2020-06-18,62.9013
2020-06-17,62.4209
2020-06-16,60.6535
2020-06-15,53.2795
2020-06-12,58.2619
2020-06-11,55.0906
2020-06-10,58.1963
2020-06-09,62.2095
2020-06-08,71.40899999999998
2020-06-05,68.4245
2020-06-04,62.8968
2020-06-03,59.4742
2020-06-02,50.1666
2020-06-01,43.2569
2020-05-29,37.7844
2020-05-28,43.25899999999999
2020-05-27,46.2826
2020-05-26,53.8836
2020-05-25,43.2061
2020-05-22,36.3707
2020-05-21,34.7851
2020-05-20,32.9765
2020-05-19,36.4465
2020-05-15,36.8114
2020-05-14,37.0254
2020-05-13,34.6272
2020-05-12,39.669
2020-05-11,44.9192
2020-05-08,45.0248
2020-05-07,47.1994
2020-05-06,53.9622
2020-05-05,52.1435
2020-05-04,53.9289
2020-05-01,63.3607
2020-04-30,63.4858
2020-04-29,73.883
2020-04-28,73.6847
2020-04-27,73.7108
2020-04-24,73.7942
2020-04-23,68.0821
2020-04-22,64.0578
2020-04-21,59.2792
2020-04-20,58.4505
2020-04-17,51.9962
2020-04-16,44.1997
2020-04-15,53.9814
2020-04-14,62.3452
2020-04-13,62.3336
2020-04-09,63.8164
2020-04-08,62.0328
2020-04-07,60.5959
2020-04-06,50.2408
2020-04-03,44.8692
2020-04-02,43.3966
2020-04-01,49.4145
2020-03-31,48.1877
2020-03-30,45.8909
2020-03-27,51.2955
2020-03-26,51.7827
2020-03-25,51.0852
2020-03-24,40.6964
2020-03-23,34.1664
2020-03-20,40.5407
2020-03-19,39.8631
2020-03-18,33.9296
2020-03-17,34.9421
2020-03-16,33.9096
2020-03-13,34.5559
2020-03-12,27.5003
2020-03-11,27.4948
2020-03-10,29.092
2020-03-09,27.081
2020-03-06,26.2914
2020-03-05,18.6412
2020-03-04,23.1876
2020-03-03,28.3113
2020-03-02,24.5686
2020-02-28,18.061
2020-02-27,19.0794
2020-02-26,20.0188
2020-02-25,28.4691
2020-02-24,36.3069
2020-02-21,44.0053
2020-02-20,46.9466
2020-02-19,47.2327
2020-02-18,47.931
2020-02-14,60.7259
2020-02-13,57.1097
2020-02-12,49.4458
2020-02-11,42.7896
2020-02-10,36.9861
2020-02-07,34.8652
2020-02-06,37.4748
2020-02-05,36.6793
2020-02-04,34.2907
2020-02-03,27.7847
2020-01-31,27.9986
2020-01-30,34.0899
2020-01-29,40.3013
2020-01-28,39.3568
2020-01-27,36.9341
2020-01-24,43.8655
2020-01-23,46.6174
2020-01-22,46.7075
2020-01-21,51.7438
2020-01-20,60.2656
2020-01-17,57.0098
2020-01-16,65.3166
2020-01-15,61.7359
2020-01-14,68.2385
2020-01-13,66.9221
2020-01-10,57.9613
2020-01-09,55.7926
2020-01-08,54.2281
2020-01-07,52.9276
2020-01-06,52.8265
2020-01-03,53.1037
2020-01-02,66.9436
2019-12-31,59.9172
2019-12-30,58.0995
2019-12-27,64.82600000000001
2019-12-24,60.18
2019-12-23,64.8962
2019-12-20,55.9863
2019-12-19,48.5664
2019-12-18,50.2286
2019-12-17,48.1214
2019-12-16,47.6675
2019-12-13,51.2049
2019-12-12,50.3028
2019-12-11,52.1929
2019-12-10,45.451
2019-12-09,45.3557
2019-12-06,53.0909
2019-12-05,53.8344
2019-12-04,58.8155
2019-12-03,58.871
2019-12-02,68.7075
2019-11-29,77.2873
2019-11-28,74.6922
2019-11-27,76.0693
2019-11-26,66.5675
2019-11-25,66.1032
2019-11-22,58.3475
2019-11-21,62.8713
2019-11-20,68.0186
2019-11-19,64.9199
2019-11-18,65.5301
2019-11-15,68.3084
2019-11-14,68.6647
2019-11-13,64.469
2019-11-12,64.4348
2019-11-11,58.6932
2019-11-08,58.7011
2019-11-07,58.7266
2019-11-06,59.7237
2019-11-05,55.3814
2019-11-04,63.8371
2019-11-01,57.5729
2019-10-31,58.2621
2019-10-30,67.2057
2019-10-29,65.8631
2019-10-28,55.0187
2019-10-25,48.5322
2019-10-24,53.4396
2019-10-23,54.2586
2019-10-22,51.2793
2019-10-21,60.458
2019-10-18,52.0268
2019-10-17,60.9416
2019-10-16,57.2884
2019-10-15,50.9301
2019-10-11,58.5159
2019-10-10,56.8781
2019-10-09,47.5134
2019-10-08,40.8285
2019-10-07,47.6153
2019-10-04,56.0847
2019-10-03,49.1151
2019-10-02,49.3448
2019-10-01,58.2942
2019-09-30,49.3544
2019-09-27,47.444
2019-09-26,40.07
2019-09-25,44.9934
2019-09-24,50.42100000000001
2019-09-23,44.9729
2019-09-20,39.5848
2019-09-19,47.4474
2019-09-18,55.5639
2019-09-17,55.4545
2019-09-16,67.4282
2019-09-13,68.0128
2019-09-12,63.3621
2019-09-11,59.6786
2019-09-10,64.60600000000001
2019-09-09,67.083
2019-09-06,72.4357
2019-09-05,72.8544
2019-09-04,68.8039
2019-09-03,67.8821
2019-08-30,68.8183
2019-08-29,63.57100000000001
2019-08-28,61.0069
2019-08-27,62.282
2019-08-26,34.7593
2019-08-23,34.4125
2019-08-22,34.5953
2019-08-21,32.0852
2019-08-20,24.326
2019-08-19,34.9256
2019-08-16,37.028
2019-08-15,36.9719
2019-08-14,37.346
2019-08-13,42.1899
2019-08-12,46.9591
2019-08-09,48.1231
2019-08-08,49.7181
2019-08-07,48.7822
2019-08-06,48.6379
2019-08-02,55.3763
2019-08-01,61.4229
2019-07-31,70.2628
2019-07-30,82.5887
2019-07-29,80.71600000000002
2019-07-26,74.6295
2019-07-25,69.9255
2019-07-24,75.0621
2019-07-23,74.3808
2019-07-22,74.146
2019-07-19,79.9495
2019-07-18,73.3636
2019-07-17,72.8088
2019-07-16,78.0243
2019-07-15,71.1012
2019-07-12,69.5253
2019-07-11,61.8611
2019-07-10,52.7328
2019-07-09,51.6446
2019-07-08,53.065
2019-07-05,52.2972
2019-07-04,46.7779
2019-07-03,46.9784
2019-07-02,46.7038
2019-06-28,47.1609
2019-06-27,48.2904
2019-06-26,37.4861
2019-06-25,37.6491
2019-06-24,38.1749
2019-06-21,41.702
2019-06-20,39.3133
2019-06-19,39.4013
2019-06-18,32.1415
2019-06-17,30.6251
2019-06-14,36.6081
2019-06-13,40.7273
2019-06-12,43.364
2019-06-11,36.0163
2019-06-10,27.2061
2019-06-07,34.5397
2019-06-06,46.3378
2019-06-05,57.5559
2019-06-04,63.0146
2019-06-03,64.4809
2019-05-31,74.6805
2019-05-30,79.3911
2019-05-29,78.1863
2019-05-28,83.8892
2019-05-27,84.83
2019-05-24,85.8238
2019-05-23,85.625
2019-05-22,87.3346
2019-05-21,92.4035
2019-05-17,92.2133
2019-05-16,89.146
2019-05-15,87.8111
2019-05-14,87.2961
2019-05-13,82.2345
2019-05-10,73.7928
2019-05-09,69.4876
2019-05-08,76.01899999999998
2019-05-07,73.1426
2019-05-06,62.3145
2019-05-03,48.2091
2019-05-02,40.4752
2019-05-01,49.3612
2019-04-30,38.2628
2019-04-29,32.228
2019-04-26,31.5246
2019-04-25,25.849
2019-04-24,19.0064
2019-04-23,24.7779
2019-04-22,32.6915
2019-04-18,39.5479
2019-04-17,34.4259
2019-04-16,35.8881
2019-04-15,44.2325
2019-04-12,53.0965
2019-04-11,53.0171
2019-04-10,42.9051
2019-04-09,44.0775
2019-04-08,44.0891
2019-04-05,51.0165
2019-04-04,49.912
2019-04-03,43.5949
2019-04-02,39.0778
2019-04-01,30.3166
2019-03-29,23.6833
2019-03-28,28.1654
2019-03-27,28.5361
2019-03-26,21.895
2019-03-25,14.8468
2019-03-22,14.462
2019-03-21,14.5326
2019-03-20,13.65
2019-03-19,12.1797
2019-03-18,16.8304
2019-03-15,22.2422
2019-03-14,24.4637
2019-03-13,28.6879
2019-03-12,35.55300000000001
2019-03-11,36.1254
2019-03-08,37.6589
2019-03-07,43.5988
2019-03-06,49.0569
2019-03-05,50.0319
2019-03-04,57.1244
2019-03-01,63.2207
2019-02-28,70.3392
2019-02-27,77.6345
2019-02-26,76.9121
2019-02-25,76.9034
2019-02-22,81.5174
2019-02-21,82.1261
2019-02-20,81.8486
2019-02-19,87.7204
2019-02-15,87.5011
2019-02-14,85.8271
2019-02-13,85.3841
2019-02-12,92.076
2019-02-11,91.5789
2019-02-08,86.0441
2019-02-07,85.3125
2019-02-06,94.4204
2019-02-05,94.154
2019-02-04,94.1938
2019-02-01,94.1654
2019-01-31,93.8285
2019-01-30,94.213
2019-01-29,85.5658
2019-01-28,85.2759
2019-01-25,78.7689
2019-01-24,79.1498
2019-01-23,79.332
2019-01-22,73.0691
2019-01-21,73.7435
2019-01-18,74.2344
2019-01-17,73.2021
2019-01-16,73.2148
2019-01-15,65.4179
2019-01-14,53.9021
2019-01-11,43.409
2019-01-10,41.0811
2019-01-09,50.2598
2019-01-08,44.9524
2019-01-07,45.2374
2019-01-04,37.4853
2019-01-03,30.841
2019-01-02,36.3442
2018-12-31,34.719
2018-12-28,30.0999
2018-12-27,25.174
2018-12-24,21.6747
2018-12-21,20.479
2018-12-20,21.4897
2018-12-19,31.2926
2018-12-18,31.3491
2018-12-17,31.8849
2018-12-14,39.2728
2018-12-13,47.4045
2018-12-12,53.0875
2018-12-11,56.5683
2018-12-10,58.6255
2018-12-07,61.3857
2018-12-06,62.3778
2018-12-05,63.5692
2018-12-04,57.6785
2018-12-03,56.68600000000001
2018-11-30,63.4053
2018-11-29,62.4724
2018-11-28,55.9084
2018-11-27,48.3653
2018-11-26,47.7021
2018-11-23,38.7658
2018-11-22,39.8268
2018-11-21,44.8987
2018-11-20,43.8472
2018-11-19,52.5483
2018-11-16,52.2923
2018-11-15,58.7386
2018-11-14,65.8032
2018-11-13,77.6987
2018-11-12,68.32300000000001
2018-11-09,69.2598
2018-11-08,69.9126
2018-11-07,68.9443
2018-11-06,61.173
2018-11-05,66.405
2018-11-02,67.2862
2018-11-01,67.3115
2018-10-31,67.8188
2018-10-30,53.4359
2018-10-29,49.276
2018-10-26,45.0285
2018-10-25,44.4187
2018-10-24,37.7907
2018-10-23,39.56
2018-10-22,31.7178
2018-10-19,30.0087
2018-10-18,30.3732
2018-10-17,35.0459
2018-10-16,28.9411
2018-10-15,21.9556
2018-10-12,15.2831
2018-10-11,20.9065
2018-10-10,27.3295
2018-10-09,36.899
2018-10-05,41.4102
2018-10-04,42.6144
2018-10-03,47.8775
2018-10-02,48.2214
2018-10-01,57.1772
2018-09-28,66.5812
2018-09-27,70.6415
2018-09-26,70.3789
2018-09-25,76.148
2018-09-24,77.4662
2018-09-21,81.602
2018-09-20,72.7911
2018-09-19,67.3901
2018-09-18,65.7037
2018-09-17,65.3324
2018-09-14,63.8324
2018-09-13,56.6676
2018-09-12,66.5449
2018-09-11,65.8599
2018-09-10,71.8724
2018-09-07,74.9035
2018-09-06,75.0056
2018-09-05,75.1385
2018-09-04,76.7126
2018-08-31,78.6451
2018-08-30,78.1516
2018-08-29,78.1644
2018-08-28,72.0097
2018-08-27,72.7832
2018-08-24,73.5202
2018-08-23,77.8328
2018-08-22,71.6731
2018-08-21,65.8988
2018-08-20,48.7917
2018-08-17,48.0845
2018-08-16,53.0336
2018-08-15,54.94
2018-08-14,60.4645
2018-08-13,64.4644
2018-08-10,67.4375
