date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,33.7,36.49,33.7,35.84,13930.0
2021-01-06,35.22,36.1,33.78,33.78,16616.0
2021-01-05,35.63,35.8676,34.45,34.45,10613.0
2021-01-04,35.18,35.58,34.96,34.96,4986.0
2020-12-31,35.89,36.08,35.12,35.12,6953.0
2020-12-30,36.13,36.16,35.36,35.62,3040.0
2020-12-29,35.85,36.45,35.85,36.06,8244.0
2020-12-28,35.755,35.755,35.37,35.55,2105.0
2020-12-24,36.31,36.31,35.4678,36.09,1874.0
2020-12-23,35.2,36.67,35.2,36.38,7426.0
2020-12-22,35.28,35.45,34.38,35.03,13102.0
2020-12-21,34.93,35.197,34.18,34.81,21686.0
2020-12-18,35.13,35.62,34.85,35.18,23194.0
2020-12-17,36.15,36.15,34.07,34.35,26746.0
2020-12-16,36.79,37.15,35.5,35.5,12807.0
2020-12-15,37.06,37.5194,36.2,36.2,8280.0
2020-12-14,37.19,38.0975,36.36,36.36,6762.0
2020-12-11,37.02,37.5,37.02,37.5,1762.0
2020-12-10,36.93,37.49,36.69,37.49,7223.0
2020-12-09,38.42,39.0371,36.66,36.66,6948.0
2020-12-08,37.49,38.83,37.49,38.83,6382.0
2020-12-07,36.9,38.21,36.4933,37.31,8305.0
2020-12-04,35.63,37.2299,35.63,37.0,8562.0
2020-12-03,37.0,37.3707,35.58,35.58,7104.0
2020-12-02,37.48,37.49,36.7,36.85,6965.0
2020-12-01,37.21,39.0,36.65,37.61,7538.0
2020-11-30,37.94,38.25,36.4,38.25,10541.0
2020-11-27,37.93,38.53,37.45,38.53,3791.0
2020-11-25,37.97,38.95,37.04,37.53,3746.0
2020-11-24,36.85,38.98,36.85,38.42,9349.0
2020-11-23,37.24,37.37,36.63,36.63,4013.0
2020-11-20,36.05,37.81,35.77,37.81,5731.0
2020-11-19,36.06,36.9,36.05,36.48,4286.0
2020-11-18,38.01,38.01,35.77,35.83,8586.0
2020-11-17,36.18,37.93,36.18,37.93,5150.0
2020-11-16,35.36,36.45,35.36,36.43,6342.0
2020-11-13,36.95,37.3,34.7,34.7,11869.0
2020-11-12,37.57,37.98,35.95,36.91,8220.0
2020-11-11,37.57,38.31,37.18,38.06,12751.0
2020-11-10,37.33,38.94,37.33,37.65,11063.0
2020-11-09,36.36,39.17,36.36,36.83,11036.0
2020-11-06,35.04,35.33,33.99,35.28,5985.0
2020-11-05,34.2,35.35,33.88,35.34,7649.0
2020-11-04,33.39,34.17,32.9001,34.17,7262.0
2020-11-03,32.87,33.99,32.87,33.22,14761.0
2020-11-02,32.3068,33.13,32.22,32.25,7290.0
2020-10-30,32.23,32.67,32.1,32.1,4319.0
2020-10-29,32.47,32.76,31.55,32.02,18455.0
2020-10-28,33.27,33.8746,31.63,32.71,21153.0
2020-10-27,34.12,34.48,33.8,34.0,11919.0
2020-10-26,34.73,34.75,33.8,34.5,8870.0
2020-10-23,34.77,35.095,34.51,34.89,7956.0
2020-10-22,35.08,35.3,34.18,34.7,7141.0
2020-10-21,34.97,34.98,34.5,34.95,5030.0
2020-10-20,34.77,35.27,34.57,35.15,5478.0
2020-10-19,34.5,35.0,34.29,34.77,3338.0
2020-10-16,35.01,35.25,34.84,34.94,4021.0
2020-10-15,34.68,35.04,34.45,35.04,12015.0
2020-10-14,34.71,35.4,34.25,35.35,11721.0
2020-10-13,35.4,35.4,34.21,34.21,7914.0
2020-10-12,35.31,35.58,34.95,35.37,7033.0
2020-10-09,34.6,35.32,34.3101,34.52,6686.0
2020-10-08,33.86,35.25,33.86,34.11,10375.0
2020-10-07,33.1,34.47,33.1,33.51,8498.0
2020-10-06,35.9,36.01,33.07,33.07,18177.0
2020-10-05,36.23,36.51,35.51,35.76,6134.0
2020-10-02,35.2,36.18,34.39,36.18,12721.0
2020-10-01,35.96,36.58,35.38,35.38,7467.0
2020-09-30,36.06,36.72,35.905,36.13,10569.0
2020-09-29,36.59,36.76,36.31,36.58,8671.0
2020-09-28,36.18,37.3,35.9,36.89,17147.0
2020-09-25,34.96,36.1,34.95,35.63,11940.0
2020-09-24,37.47,37.47,33.9,34.82,31070.0
2020-09-23,36.04,36.57,35.52,35.93,10087.0
2020-09-22,36.81,36.81,35.88,35.95,8685.0
2020-09-21,36.51,36.87,35.9,36.25,12559.0
2020-09-18,37.29,37.53,36.63,37.3,19540.0
2020-09-17,36.44,37.39,36.44,37.36,5777.0
2020-09-16,37.12,37.295,36.915,36.95,6555.0
2020-09-15,36.83,37.01,36.58,36.85,6178.0
2020-09-14,36.59,37.31,36.28,36.39,6395.0
2020-09-11,36.72,36.73,36.05,36.05,9441.0
2020-09-10,37.3,37.973,36.14,36.22,18228.0
2020-09-09,37.75,38.0,37.16,37.16,14066.0
2020-09-08,38.17,38.17,37.34,37.5,9349.0
2020-09-04,39.45,40.01,38.56,38.56,16421.0
2020-09-03,38.89,39.58,38.89,39.31,12836.0
2020-09-02,38.95,39.78,38.07,39.19,19077.0
2020-09-01,38.83,39.3,38.59,38.97,13733.0
2020-08-31,38.7,39.3,38.17,38.65,18926.0
2020-08-28,38.82,39.7,38.2794,38.88,16388.0
2020-08-27,38.91,39.12,38.31,38.31,16727.0
2020-08-26,38.5,38.89,38.15,38.51,12912.0
2020-08-25,38.56,38.67,38.305,38.4,12513.0
2020-08-24,38.24,38.79,38.0,38.0,9744.0
2020-08-21,38.52,38.67,37.79,38.01,11320.0
2020-08-20,37.7,38.71,37.7,38.66,9440.0
2020-08-19,38.57,38.62,37.8,37.86,18334.0
2020-08-18,38.59,39.02,37.98,38.22,8337.0
2020-08-17,37.7,38.71,37.31,38.36,24236.0
2020-08-14,39.53,39.53,37.44,37.89,34898.0
2020-08-13,39.41,39.75,38.1,38.78,33632.0
2020-08-12,40.55,40.7,39.19,39.48,13784.0
