date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,0.7,0.7409,0.68,0.715,33157220.0
2020-04-17,0.685,0.745,0.6841,0.69,32560617.0
2020-04-16,0.7111,0.7131,0.655,0.6686,29304505.0
2020-04-15,0.736,0.7403,0.6952,0.7086,28532765.0
2020-04-14,0.7799,0.78,0.74,0.7502,34037655.0
2020-04-13,0.794,0.82,0.74,0.7598,57897363.0
2020-04-09,0.88,0.9296,0.86,0.8763,30609004.0
2020-04-08,0.8232,0.866,0.8,0.8522,34569619.0
2020-04-07,0.8398,0.851,0.7941,0.8001,28997046.0
2020-04-06,0.845,0.864,0.78,0.7995,50860632.0
2020-04-03,0.8666,0.87,0.79,0.8096,30549096.0
2020-04-02,0.83,0.918,0.801,0.8333,33165963.0
2020-04-01,0.875,0.9075,0.78,0.809,31305988.0
2020-03-31,0.915,0.98,0.8704,0.9059,31451214.0
2020-03-30,1.02,1.03,0.861,0.8875,50345869.0
2020-03-27,1.07,1.13,0.9602,1.03,128006284.0
2020-03-26,0.771,1.0,0.7699,0.905,102320145.0
2020-03-25,0.74,0.8097,0.7,0.7461,47842590.0
2020-03-24,0.75,0.7526,0.69,0.717,31189422.0
2020-03-23,0.8,0.8091,0.67,0.6826,30344889.0
2020-03-20,0.72,0.84,0.706,0.73,40175040.0
2020-03-19,0.635,0.7,0.62,0.6617,30633776.0
2020-03-18,0.68,0.695,0.6,0.625,21312943.0
2020-03-17,0.7201,0.74,0.672,0.7095,16442985.0
2020-03-16,0.6995,0.77,0.68,0.6921,20769807.0
2020-03-13,0.7721,0.799,0.7028,0.77,24559678.0
2020-03-12,0.6801,0.74,0.63,0.7001,41546525.0
2020-03-11,0.962,0.982,0.85,0.8587,21826334.0
2020-03-10,1.03,1.07,0.96,0.9802,22182204.0
2020-03-09,0.9601,1.09,0.9,0.949,27748756.0
2020-03-06,1.28,1.29,1.13,1.17,24907729.0
2020-03-05,1.35,1.38,1.31,1.31,13034234.0
2020-03-04,1.34,1.43,1.32,1.38,17805981.0
2020-03-03,1.38,1.4,1.31,1.33,16124773.0
2020-03-02,1.39,1.4,1.31,1.36,17860970.0
2020-02-28,1.36,1.4,1.32,1.34,26449219.0
2020-02-27,1.45,1.53,1.35,1.45,26205091.0
2020-02-26,1.49,1.58,1.49,1.51,20720920.0
2020-02-25,1.58,1.59,1.49,1.51,23314337.0
2020-02-24,1.58,1.62,1.54,1.55,24764528.0
2020-02-21,1.69,1.7,1.62,1.67,13617484.0
2020-02-20,1.74,1.79,1.65,1.68,35603407.0
2020-02-19,1.66,1.74,1.64,1.71,23477425.0
2020-02-18,1.56,1.66,1.55,1.64,39509715.0
2020-02-14,1.58,1.59,1.48,1.58,60823339.0
2020-02-13,1.43,1.56,1.43,1.47,47475126.0
2020-02-12,1.55,1.58,1.44,1.46,37279574.0
2020-02-11,1.56,1.67,1.52,1.54,36709918.0
2020-02-10,1.65,1.68,1.55,1.56,30498289.0
2020-02-07,1.66,1.8,1.65,1.7,47515578.0
2020-02-06,2.1,2.14,2.0,2.0012,15629886.0
2020-02-05,2.2,2.2,2.04,2.12,25455279.0
2020-02-04,2.05,2.16,2.03,2.14,31085479.0
2020-02-03,1.95,2.0,1.89,2.0,21605224.0
