date,MACD,MACD_Hist,MACD_Signal
2021-01-22,0.6054,0.05,0.5553
2021-01-21,0.6773,0.1345,0.5428
2021-01-20,0.7064,0.1972,0.5092
2021-01-19,0.6955,0.2356,0.4599
2021-01-15,0.6409,0.2399,0.401
2021-01-14,0.5416,0.2006,0.341
2021-01-13,0.4151,0.1242,0.2909
2021-01-12,0.3545,0.0947,0.2599
2021-01-11,0.3077,0.0715,0.2362
2021-01-08,0.2556,0.0373,0.2183
2021-01-07,0.2313,0.0223,0.209
2021-01-06,0.1765,-0.027000000000000003,0.2034
2021-01-05,0.0958,-0.1143,0.2102
2021-01-04,0.0495,-0.1892,0.2388
2020-12-31,0.0081,-0.278,0.2861
2020-12-30,0.0782,-0.2774,0.3556
2020-12-29,0.1187,-0.3062,0.4249
2020-12-28,0.2074,-0.2941,0.5015
2020-12-24,0.2881,-0.2869,0.575
2020-12-23,0.3685,-0.2782,0.6467
2020-12-22,0.42,-0.2963,0.7163
2020-12-21,0.5193,-0.2711,0.7904
2020-12-18,0.6375,-0.2207,0.8581
2020-12-17,0.7118,-0.2015,0.9133
2020-12-16,0.7832,-0.1805,0.9636
2020-12-15,0.8537,-0.1551,1.0088
2020-12-14,0.8915,-0.156,1.0475
2020-12-11,0.993,-0.0935,1.0866
2020-12-10,1.0725,-0.0374,1.1099
2020-12-09,1.1523,0.033,1.1193
2020-12-08,1.2465,0.1355,1.111
2020-12-07,1.2753,0.1981,1.0772
2020-12-04,1.3067,0.2791,1.0276
2020-12-03,1.2851,0.3272,0.9579
2020-12-02,1.2032,0.3271,0.8761
2020-12-01,1.1106,0.3163,0.7943
2020-11-30,1.0985,0.3833,0.7152
2020-11-27,0.8705,0.2512,0.6194
2020-11-25,0.6901,0.1336,0.5566
2020-11-24,0.629,0.1058,0.5232
2020-11-23,0.489,-0.0078,0.4967
2020-11-20,0.5118,0.0131,0.4987
2020-11-19,0.5385,0.0431,0.4954
2020-11-18,0.5710000000000001,0.0864,0.4846
2020-11-17,0.6092,0.1462,0.463
2020-11-16,0.6308,0.2043,0.4265
2020-11-13,0.6888,0.3134,0.3754
2020-11-12,0.7254,0.4283,0.2971
2020-11-11,0.7707,0.5808,0.19
2020-11-10,0.7491,0.7044,0.0448
2020-11-09,0.6455,0.7768,-0.1313
2020-11-06,0.2076,0.5331,-0.3255
2020-11-05,-0.2098,0.249,-0.4588
2020-11-04,-0.3811,0.14,-0.521
2020-11-03,-0.4068,0.1492,-0.556
2020-11-02,-0.4826,0.1107,-0.5933
2020-10-30,-0.5539999999999999,0.067,-0.621
2020-10-29,-0.5679,0.0699,-0.6378
2020-10-28,-0.5814,0.0739,-0.6552
2020-10-27,-0.5637,0.11,-0.6737
2020-10-26,-0.5502,0.151,-0.7012
2020-10-23,-0.5657,0.1733,-0.7390000000000001
2020-10-22,-0.6057,0.1765,-0.7823
2020-10-21,-0.6654,0.161,-0.8264
2020-10-20,-0.7318,0.1349,-0.8667
2020-10-19,-0.7765,0.1239,-0.9004
2020-10-16,-0.8374,0.094,-0.9314
2020-10-15,-0.8328,0.1221,-0.9549
2020-10-14,-0.8422,0.1432,-0.9854
2020-10-13,-0.8675,0.1537,-1.0212
2020-10-12,-0.9115,0.1481,-1.0596
2020-10-09,-0.9749,0.1218,-1.0967
2020-10-08,-1.0467,0.0804,-1.1271
2020-10-07,-1.1302,0.017,-1.1472
2020-10-06,-1.1704,-0.019,-1.1515
2020-10-05,-1.1936,-0.0469,-1.1467
2020-10-02,-1.218,-0.083,-1.135
2020-10-01,-1.2274,-0.1131,-1.1143
2020-09-30,-1.2306,-0.1447,-1.086
2020-09-29,-1.2149,-0.1651,-1.0498
2020-09-28,-1.1802,-0.1716,-1.0085
2020-09-25,-1.1288,-0.1632,-0.9656
2020-09-24,-1.0744,-0.1496,-0.9248
2020-09-23,-1.0046,-0.1172,-0.8874
2020-09-22,-0.8978,-0.0397,-0.8581
2020-09-21,-0.9674,-0.1191,-0.8482
2020-09-18,-0.9402,-0.1218,-0.8184
2020-09-17,-0.9133,-0.1254,-0.7879999999999999
2020-09-16,-0.9024,-0.1457,-0.7566
2020-09-15,-0.8875,-0.1673,-0.7202
2020-09-14,-0.8617,-0.1833,-0.6784
2020-09-11,-0.8274,-0.1948,-0.6326
2020-09-10,-0.7512,-0.1673,-0.5839
2020-09-09,-0.6879,-0.1458,-0.542
2020-09-08,-0.6204,-0.1149,-0.5056
2020-09-04,-0.5121,-0.0353,-0.4769
2020-09-03,-0.4672,0.0008,-0.468
2020-09-02,-0.455,0.0132,-0.4682
2020-09-01,-0.4308,0.0408,-0.4716
2020-08-31,-0.4242,0.0576,-0.4818
2020-08-28,-0.4604,0.0357,-0.4961
2020-08-27,-0.5021,0.003,-0.5051
2020-08-26,-0.5174,-0.0115,-0.5058
2020-08-25,-0.5131,-0.0101,-0.5029
2020-08-24,-0.5134,-0.013,-0.5004
2020-08-21,-0.5083,-0.0112,-0.4972
2020-08-20,-0.4843,0.0101,-0.4944
2020-08-19,-0.4659,0.031,-0.4969
2020-08-18,-0.4673,0.0373,-0.5046
2020-08-17,-0.4714,0.0426,-0.514
2020-08-14,-0.4799,0.0447,-0.5246
2020-08-13,-0.5439,-0.0082,-0.5358
2020-08-12,-0.5658,-0.0321,-0.5337
2020-08-11,-0.5468,-0.021,-0.5257
2020-08-10,-0.5369,-0.0165,-0.5205
2020-08-07,-0.5369,-0.0206,-0.5164
2020-08-06,-0.5342,-0.023,-0.5112
2020-08-05,-0.527,-0.0215,-0.5055
2020-08-04,-0.5509,-0.0508,-0.5001
2020-08-03,-0.5754,-0.0881,-0.4874
2020-07-31,-0.5668,-0.1014,-0.4654
2020-07-30,-0.5241,-0.0841,-0.44
2020-07-29,-0.4977,-0.0787,-0.419
2020-07-28,-0.473,-0.0737,-0.3993
2020-07-27,-0.5363,-0.1555,-0.3809
2020-07-24,-0.5046,-0.1626,-0.342
2020-07-23,-0.4292,-0.1278,-0.3014
2020-07-22,-0.3654,-0.096,-0.2694
2020-07-21,-0.3174,-0.07200000000000001,-0.2454
2020-07-20,-0.2974,-0.07,-0.2274
2020-07-17,-0.2603,-0.0504,-0.2099
2020-07-16,-0.2438,-0.0465,-0.1973
2020-07-15,-0.2365,-0.0508,-0.1857
2020-07-14,-0.3073,-0.1343,-0.173
2020-07-13,-0.2791,-0.1397,-0.1394
2020-07-10,-0.2727,-0.1682,-0.1045
2020-07-09,-0.2544,-0.192,-0.0624
2020-07-08,-0.2019,-0.1875,-0.0144
2020-07-07,-0.1717,-0.2042,0.0325
2020-07-06,-0.1571,-0.2406,0.0835
2020-07-02,-0.1117,-0.2554,0.1437
2020-07-01,-0.0614,-0.2689,0.2075
2020-06-30,0.0038,-0.2709,0.2747
2020-06-29,0.0717,-0.2708,0.3424
2020-06-26,0.1633,-0.2468,0.4101
2020-06-25,0.2668,-0.2051,0.4719
2020-06-24,0.3206,-0.2026,0.5231
2020-06-23,0.3367,-0.237,0.5738
2020-06-22,0.3616,-0.2714,0.633
2020-06-19,0.3739,-0.327,0.7009
2020-06-18,0.4197,-0.3629,0.7826
2020-06-17,0.5088,-0.3646,0.8734
2020-06-16,0.5968,-0.3677,0.9645
2020-06-15,0.7085,-0.3479,1.0564
2020-06-12,0.8265,-0.3169,1.1434
2020-06-11,0.9692,-0.2534,1.2226
2020-06-10,1.1678,-0.1181,1.286
2020-06-09,1.2638,-0.0517,1.3155
2020-06-08,1.315,-0.0134,1.3284
2020-06-05,1.2666,-0.0652,1.3318
2020-06-04,1.3696,0.0215,1.3481
2020-06-03,1.4516,0.1088,1.3427
2020-06-02,1.528,0.2125,1.3155
