date,MACD,MACD_Hist,MACD_Signal
2021-01-15,0.0958,0.0217,0.0741
2021-01-14,0.0973,0.0287,0.0686
2021-01-13,0.0942,0.0328,0.0614
2021-01-12,0.0885,0.0352,0.0532
2021-01-11,0.0774,0.0329,0.0444
2021-01-08,0.0584,0.0222,0.0362
2021-01-07,0.0465,0.0159,0.0306
2021-01-06,0.0431,0.0164,0.0267
2021-01-05,0.0395,0.017,0.0226
2021-01-04,0.0259,0.0076,0.0183
2020-12-31,0.0206,0.0042,0.0164
2020-12-30,0.0207,0.0053,0.0154
2020-12-29,0.0172,0.0031,0.0141
2020-12-28,0.0184,0.0051,0.0133
2020-12-24,0.0184,0.0063,0.012
2020-12-23,0.0162,0.0058,0.0104
2020-12-22,0.0031,-0.0059,0.009
2020-12-21,0.0046,-0.0058,0.0105
2020-12-18,0.0056,-0.0063,0.0119
2020-12-17,0.0069,-0.0066,0.0135
2020-12-16,0.0088,-0.0063,0.0151
2020-12-15,0.0106,-0.0061,0.0167
2020-12-14,0.013,-0.0053,0.0183
2020-12-11,0.0165,-0.0031,0.0196
2020-12-10,0.0194,-0.001,0.0203
2020-12-09,0.0222,0.0016,0.0206
2020-12-08,0.026,0.0058,0.0202
2020-12-07,0.0273,0.0086,0.0187
2020-12-04,0.028,0.0115,0.0166
2020-12-03,0.0282,0.0145,0.0137
2020-12-02,0.0243,0.0142,0.0101
2020-12-01,0.0211,0.0146,0.0065
2020-11-30,0.012,0.0092,0.0029
2020-11-27,0.0079,0.0074,0.0006
2020-11-25,0.0064,0.0077,-0.0013
2020-11-24,0.0028,0.006,-0.0032
2020-11-23,0.0023,0.007,-0.0047
2020-11-20,0.0014,0.0079,-0.0064
2020-11-19,-0.0008,0.0076,-0.0084
2020-11-18,-0.0043,0.006,-0.0103
2020-11-17,-0.006,0.0058,-0.0118
2020-11-16,-0.007,0.0063,-0.0133
2020-11-13,-0.0081,0.0068,-0.0148
2020-11-12,-0.0093,0.0072,-0.0165
2020-11-11,-0.0107,0.0076,-0.0183
2020-11-10,-0.013,0.0072,-0.0202
2020-11-09,-0.0177,0.0043,-0.022
2020-11-06,-0.0189,0.0042,-0.0231
2020-11-05,-0.0194,0.0047,-0.0241
2020-11-04,-0.0202,0.0052,-0.0253
2020-11-03,-0.0213,0.0054,-0.0266
2020-11-02,-0.0224,0.0056,-0.028
2020-10-30,-0.0232,0.0061,-0.0294
2020-10-29,-0.0238,0.0071,-0.0309
2020-10-28,-0.0246,0.008,-0.0326
2020-10-27,-0.0256,0.0091,-0.0347
2020-10-26,-0.0271,0.0098,-0.0369
2020-10-23,-0.0288,0.0106,-0.0394
2020-10-22,-0.0312,0.0108,-0.042
2020-10-21,-0.0331,0.0116,-0.0447
2020-10-20,-0.0354,0.0122,-0.0476
2020-10-19,-0.0374,0.0132,-0.0507
2020-10-16,-0.0398,0.0142,-0.054
2020-10-15,-0.0422,0.0153,-0.0575
2020-10-14,-0.045,0.0163,-0.0614
2020-10-13,-0.049,0.0165,-0.0654
2020-10-12,-0.0534,0.0161,-0.0696
2020-10-09,-0.057,0.0166,-0.0736
2020-10-08,-0.0607,0.017,-0.0777
2020-10-07,-0.065,0.017,-0.082
2020-10-06,-0.0688,0.0175,-0.0863
2020-10-05,-0.0732,0.0174,-0.0906
2020-10-02,-0.0782,0.0168,-0.095
2020-10-01,-0.0826,0.0166,-0.0992
2020-09-30,-0.0867,0.0166,-0.1033
2020-09-29,-0.0908,0.0167,-0.1075
2020-09-28,-0.0961,0.0155,-0.1116
2020-09-25,-0.1008,0.0147,-0.1155
2020-09-24,-0.1065,0.0127,-0.1192
2020-09-23,-0.1116,0.0107,-0.1224
2020-09-22,-0.1161,0.0089,-0.125
2020-09-21,-0.123,0.0042,-0.1273
2020-09-18,-0.1343,-0.006,-0.1283
2020-09-17,-0.1404,-0.0135,-0.1268
2020-09-16,-0.1438,-0.0204,-0.1235
2020-09-15,-0.1462,-0.0278,-0.1184
2020-09-14,-0.1476,-0.0361,-0.1114
2020-09-11,-0.1469,-0.0445,-0.1024
2020-09-10,-0.1432,-0.0519,-0.0913
2020-09-09,-0.1374,-0.0591,-0.0783
2020-09-08,-0.128,-0.0644,-0.0635
2020-09-04,-0.1146,-0.0672,-0.0474
2020-09-03,-0.0956,-0.0649,-0.0306
2020-09-02,-0.0716,-0.0571,-0.0144
2020-08-31,-0.0397,-0.0396,-0.0001
2020-08-28,-0.0014,-0.0112,0.0098
2020-08-27,0.0003,-0.0123,0.0126
2020-08-26,0.0019,-0.0138,0.0157
2020-08-25,0.0076,-0.0115,0.0191
2020-08-24,0.0156,-0.0064,0.022
2020-08-21,0.0236,0.0,0.0236
2020-08-20,0.0258,0.0022,0.0236
2020-08-19,0.0236,0.0006,0.023
2020-08-18,0.0195,-0.0033,0.0229
2020-08-17,0.0181,-0.0056,0.0237
2020-08-14,0.0226,-0.0025,0.0251
2020-08-13,0.0286,0.0029,0.0257
2020-08-12,0.0307,0.0056,0.025
2020-08-11,0.0326,0.009,0.0236
2020-08-10,0.0333,0.0119,0.0214
2020-08-07,0.0322,0.0138,0.0184
2020-08-06,0.0298,0.0149,0.0149
2020-08-05,0.0259,0.0146,0.0112
2020-08-04,0.0199,0.0123,0.0075
2020-08-03,0.0137,0.0092,0.0045
2020-07-31,0.0044,0.0022,0.0022
2020-07-30,-0.0034,-0.005,0.0016
2020-07-29,-0.0012,-0.004,0.0029
2020-07-28,0.0022,-0.0017,0.0039
2020-07-27,0.004,-0.0003,0.0043
2020-07-24,0.0052,0.0009,0.0044
2020-07-23,0.0067,0.0025,0.0041
2020-07-22,0.0084,0.0049,0.0035
2020-07-21,0.0091,0.0068,0.0023
2020-07-20,0.0082,0.0076,0.0006
2020-07-17,0.0069,0.0083,-0.0013
2020-07-16,0.0042,0.0076,-0.0034
2020-07-15,0.0037,0.009,-0.0053
2020-07-14,0.002,0.0096,-0.0076
2020-07-13,0.0019,0.0119,-0.01
2020-07-10,-0.0014,0.0116,-0.0129
2020-07-09,-0.0065,0.0093,-0.0158
2020-07-08,-0.0151,0.0031,-0.0182
2020-07-07,-0.0268,-0.0079,-0.0189
2020-07-06,-0.0393,-0.0224,-0.017
2020-07-02,-0.0435,-0.0321,-0.0114
2020-07-01,-0.0401,-0.0368,-0.0033
2020-06-30,-0.0341,-0.04,0.0059
2020-06-29,-0.021,-0.0368,0.0159
2020-06-26,-0.0042,-0.0293,0.0251
2020-06-25,0.009,-0.0234,0.0324
2020-06-24,0.0213,-0.017,0.0382
2020-06-23,0.0326,-0.0099,0.0425
2020-06-22,0.0387,-0.0063,0.0449
2020-06-19,0.0453,-0.0012,0.0465
2020-06-18,0.0523,0.0055,0.0468
2020-06-17,0.043,-0.0024,0.0454
2020-06-16,0.0451,-0.0009,0.046
2020-06-15,0.0449,-0.0014,0.0463
2020-06-12,0.0429,-0.0037,0.0466
2020-06-11,0.0478,0.0003,0.0475
2020-06-10,0.0545,0.007,0.0475
2020-06-09,0.055,0.0093,0.0457
2020-06-08,0.0544,0.0111,0.0434
2020-06-05,0.0513,0.0106,0.0406
2020-06-04,0.0506,0.0127,0.038
2020-06-03,0.044,0.0092,0.0348
2020-06-02,0.0263,-0.0062,0.0325
2020-06-01,0.0274,-0.0066,0.034
