date,1. open,2. high,3. low,4. close,5. volume
2021-01-19,4.61,4.74,4.51,4.7,239092.0
2021-01-15,4.58,4.6899,4.46,4.53,120661.0
2021-01-14,4.49,4.72,4.47,4.59,182043.0
2021-01-13,4.62,4.647,4.42,4.47,137320.0
2021-01-12,4.6,4.655,4.51,4.6,141817.0
2021-01-11,4.47,4.67,4.4,4.56,195379.0
2021-01-08,4.72,4.7337,4.42,4.54,180489.0
2021-01-07,4.37,4.75,4.35,4.72,307860.0
2021-01-06,4.2672,4.51,4.2,4.29,304516.0
2021-01-05,4.4,4.4394,4.26,4.34,102973.0
2021-01-04,4.09,4.4060000000000015,4.03,4.34,268765.0
2020-12-31,4.22,4.25,4.05,4.09,222111.0
2020-12-30,4.13,4.235,4.12,4.22,186934.0
2020-12-29,4.44,4.44,4.0,4.12,342777.0
2020-12-28,4.67,4.67,4.35,4.37,248343.0
2020-12-24,4.79,4.8,4.54,4.59,191942.0
2020-12-23,4.49,4.915,4.4860000000000015,4.79,386267.0
2020-12-22,4.56,4.65,4.49,4.51,198474.0
2020-12-21,4.63,4.63,4.5,4.52,197086.0
2020-12-18,4.86,4.88,4.63,4.64,326404.0
2020-12-17,4.73,4.8,4.7,4.8,150664.0
2020-12-16,4.66,4.78,4.58,4.72,201340.0
2020-12-15,4.72,4.7439,4.56,4.65,194892.0
2020-12-14,4.74,4.88,4.56,4.63,292571.0
2020-12-11,4.22,4.68,4.2,4.67,425850.0
2020-12-10,4.26,4.35,4.09,4.18,660510.0
2020-12-09,4.51,4.51,4.21,4.28,264506.0
2020-12-08,4.55,4.6,4.41,4.45,259219.0
2020-12-07,4.76,4.79,4.5,4.55,344704.0
2020-12-04,4.73,4.9,4.65,4.69,288391.0
2020-12-03,5.17,5.17,4.63,4.67,628727.0
2020-12-02,4.9,5.25,4.85,5.0,1364886.0
2020-12-01,4.41,4.97,4.39,4.82,703446.0
2020-11-30,4.36,4.47,4.24,4.44,270645.0
2020-11-27,4.29,4.38,4.27,4.34,274559.0
2020-11-25,4.35,4.35,4.22,4.3,171908.0
2020-11-24,4.33,4.39,4.175,4.33,300271.0
2020-11-23,4.15,4.42,4.06,4.28,451677.0
2020-11-20,4.05,4.1,3.88,3.99,536833.0
2020-11-19,4.29,4.32,4.03,4.05,543531.0
2020-11-18,4.39,4.49,4.2555,4.31,310964.0
2020-11-17,4.87,4.91,4.27,4.33,1204827.0
2020-11-16,5.07,5.085,4.815,4.93,201749.0
2020-11-13,5.22,5.22,4.92,4.96,227714.0
2020-11-12,5.16,5.29,5.05,5.15,115399.0
2020-11-11,5.2,5.35,5.02,5.19,368756.0
2020-11-10,5.45,5.76,5.345,5.65,102952.0
2020-11-09,5.29,5.64,5.21,5.41,146375.0
2020-11-06,5.7,5.7,5.235,5.27,128544.0
2020-11-05,5.57,5.72,5.5,5.7,330947.0
2020-11-04,5.35,5.55,5.29,5.53,271780.0
2020-11-03,5.23,5.47,5.23,5.35,323169.0
2020-11-02,5.24,5.32,5.01,5.15,112336.0
2020-10-30,5.25,5.27,5.06,5.16,71364.0
2020-10-29,5.08,5.35,4.96,5.26,114875.0
2020-10-28,5.28,5.35,5.08,5.13,92117.0
2020-10-27,5.28,5.37,5.2,5.33,119516.0
2020-10-26,5.44,5.46,5.21,5.28,68862.0
2020-10-23,5.44,5.48,5.35,5.46,60956.0
2020-10-22,5.38,5.47,5.23,5.39,156116.0
2020-10-21,5.35,5.43,5.25,5.37,58552.0
2020-10-20,5.27,5.44,5.21,5.32,135459.0
2020-10-19,5.49,5.64,5.25,5.27,120852.0
2020-10-16,5.32,5.64,5.24,5.44,127963.0
2020-10-15,5.34,5.4,5.24,5.36,110424.0
2020-10-14,5.57,5.7,5.38,5.42,136818.0
2020-10-13,5.61,5.7,5.51,5.59,78886.0
2020-10-12,5.54,5.69,5.34,5.66,266079.0
2020-10-09,5.51,5.7,5.43,5.55,127470.0
2020-10-08,5.59,5.65,5.45,5.5,134184.0
2020-10-07,5.45,5.7,5.4,5.47,166493.0
2020-10-06,5.54,5.67,5.3,5.4,377571.0
2020-10-05,4.98,5.6,4.94,5.47,381986.0
2020-10-02,4.88,5.0,4.66,4.92,175193.0
2020-10-01,4.91,5.15,4.8,5.0,478403.0
2020-09-30,4.96,5.0243,4.8,4.86,144689.0
2020-09-29,4.91,5.0821,4.85,4.97,325032.0
2020-09-28,4.91,4.99,4.77,4.91,99350.0
2020-09-25,4.77,5.01,4.75,4.87,133701.0
2020-09-24,4.88,4.915,4.575,4.73,191642.0
2020-09-23,5.16,5.2159,4.85,4.88,145336.0
2020-09-22,5.35,5.35,5.11,5.14,153702.0
2020-09-21,5.44,5.48,5.22,5.35,190590.0
2020-09-18,5.15,5.56,5.01,5.49,368253.0
2020-09-17,5.05,5.1886,4.94,5.08,109710.0
2020-09-16,5.09,5.23,5.01,5.07,273198.0
2020-09-15,4.43,5.01,4.41,4.99,390086.0
2020-09-14,4.55,4.77,4.3201,4.38,715389.0
2020-09-11,5.04,5.19,4.48,4.55,473021.0
2020-09-10,5.26,5.56,5.0,5.03,431116.0
2020-09-09,6.15,6.1672,4.92,5.26,1179793.0
2020-09-08,5.85,6.29,5.55,6.13,573760.0
2020-09-04,5.72,6.0,5.3,5.86,619377.0
2020-09-03,5.66,6.4739,5.41,5.82,1792013.0
2020-09-02,5.07,5.2,5.0161,5.15,210380.0
