date,MACD_Signal,MACD,MACD_Hist
2021-01-22,-0.0115,0.0295,0.0411
2021-01-21,-0.0218,0.0174,0.0392
2021-01-20,-0.0316,0.0078,0.0394
2021-01-19,-0.0415,-0.0026,0.0389
2021-01-15,-0.0512,-0.0198,0.0314
2021-01-14,-0.059,-0.0242,0.0349
2021-01-13,-0.0677,-0.0355,0.0322
2021-01-12,-0.0758,-0.0373,0.0385
2021-01-11,-0.0854,-0.0523,0.0331
2021-01-08,-0.0937,-0.0665,0.0272
2021-01-07,-0.1005,-0.0817,0.0188
2021-01-06,-0.1052,-0.1183,-0.0131
2021-01-05,-0.1019,-0.1194,-0.0175
2021-01-04,-0.0975,-0.1242,-0.0266
2020-12-31,-0.0909,-0.1285,-0.0376
2020-12-30,-0.0815,-0.1067,-0.0252
2020-12-29,-0.0752,-0.0905,-0.0153
2020-12-28,-0.0714,-0.0584,0.013
2020-12-24,-0.0746,-0.0419,0.0327
2020-12-23,-0.0828,-0.0428,0.04
2020-12-22,-0.0928,-0.0636,0.0292
2020-12-21,-0.1001,-0.0607,0.0393
2020-12-18,-0.1099,-0.0572,0.0527
2020-12-17,-0.1231,-0.0641,0.059
2020-12-16,-0.1378,-0.0883,0.0495
2020-12-15,-0.1502,-0.1097,0.0405
2020-12-14,-0.1603,-0.1282,0.0321
2020-12-11,-0.1683,-0.1481,0.0203
2020-12-10,-0.1734,-0.1753,-0.0019
2020-12-09,-0.1729,-0.1576,0.0154
2020-12-08,-0.1768,-0.1429,0.0339
2020-12-07,-0.1853,-0.1394,0.0459
2020-12-04,-0.1967,-0.14300000000000002,0.0537
2020-12-03,-0.2102,-0.1598,0.0503
2020-12-02,-0.2228,-0.177,0.0458
2020-12-01,-0.2342,-0.2298,0.0044
2020-11-30,-0.2353,-0.2757,-0.0404
2020-11-27,-0.2252,-0.2914,-0.0662
2020-11-25,-0.2086,-0.2972,-0.0885
2020-11-24,-0.1865,-0.2961,-0.1096
2020-11-23,-0.1591,-0.2935,-0.1343
2020-11-20,-0.1255,-0.2807,-0.1552
2020-11-19,-0.0867,-0.2309,-0.1441
2020-11-18,-0.0507,-0.17,-0.1193
2020-11-17,-0.0209,-0.1163,-0.0954
2020-11-16,0.003,-0.0481,-0.0511
2020-11-13,0.0157,-0.0215,-0.0372
2020-11-12,0.025,0.0098,-0.0152
2020-11-11,0.0288,0.0302,0.0014
2020-11-10,0.0285,0.0518,0.0233
2020-11-09,0.0226,0.0317,0.0091
2020-11-06,0.0204,0.0301,0.0097
2020-11-05,0.0179,0.0418,0.0239
2020-11-04,0.012,0.0124,0.0004
2020-11-03,0.0119,-0.008,-0.0199
2020-11-02,0.0168,-0.0157,-0.0325
2020-10-30,0.025,-0.0048,-0.0298
2020-10-29,0.0324,0.0081,-0.0243
2020-10-28,0.0385,0.0142,-0.0242
2020-10-27,0.0446,0.0351,-0.0094
2020-10-26,0.0469,0.0409,-0.006
2020-10-23,0.0484,0.0528,0.0044
2020-10-22,0.0473,0.0489,0.0016
2020-10-21,0.0469,0.0503,0.0035
2020-10-20,0.046,0.0535,0.0074
2020-10-19,0.0442,0.0618,0.0176
2020-10-16,0.0398,0.0765,0.0368
2020-10-15,0.0306,0.077,0.0464
2020-10-14,0.019,0.0846,0.0656
2020-10-13,0.0026,0.0869,0.0844
2020-10-12,-0.0185,0.0713,0.0899
2020-10-09,-0.041,0.0433,0.0843
2020-10-08,-0.0621,0.0181,0.0802
2020-10-07,-0.0821,-0.0093,0.0728
2020-10-06,-0.1003,-0.041,0.0593
2020-10-05,-0.1151,-0.0738,0.0413
2020-10-02,-0.1255,-0.1218,0.0037
2020-10-01,-0.1264,-0.1251,0.0013
2020-09-30,-0.1267,-0.1358,-0.0091
2020-09-29,-0.1245,-0.1331,-0.0087
2020-09-28,-0.1223,-0.139,-0.0167
2020-09-25,-0.1181,-0.1384,-0.0203
2020-09-24,-0.113,-0.1315,-0.0185
2020-09-23,-0.1084,-0.1066,0.0018
2020-09-22,-0.1089,-0.0885,0.0204
2020-09-21,-0.114,-0.0905,0.0234
2020-09-18,-0.1198,-0.1132,0.0066
2020-09-17,-0.1215,-0.1548,-0.0334
2020-09-16,-0.1131,-0.1639,-0.0508
2020-09-15,-0.1004,-0.1721,-0.0717
2020-09-14,-0.0825,-0.1719,-0.0894
2020-09-11,-0.0601,-0.107,-0.0469
2020-09-10,-0.0484,-0.04,0.0084
2020-09-09,-0.0505,-0.0027,0.0478
2020-09-08,-0.0625,0.0215,0.0839
2020-09-04,-0.0834,-0.0365,0.0469
2020-09-03,-0.0952,-0.0826,0.0126
2020-09-02,-0.0983,-0.136,-0.0377
2020-09-01,-0.0889,-0.1341,-0.0452
2020-08-31,-0.0776,-0.1286,-0.051
