date,MACD_Hist,MACD,MACD_Signal
2021-01-29,-0.1168,0.9516,1.0684
2021-01-28,-0.0536,1.0439,1.0976
2021-01-27,-0.003,1.108,1.111
2021-01-26,0.1026,1.2143,1.1117
2021-01-25,0.1313,1.2174,1.0861
2021-01-22,0.135,1.1882,1.0533
2021-01-21,0.1489,1.1684,1.0195
2021-01-20,0.1499,1.1322,0.9823
2021-01-19,0.1482,1.093,0.9448
2021-01-15,0.1437,1.0514,0.9077
2021-01-14,0.2004,1.0722,0.8718
2021-01-13,0.1702,0.992,0.8217
2021-01-12,0.1448,0.924,0.7792
2021-01-11,0.086,0.8289,0.743
2021-01-08,0.0545,0.7759,0.7215
2021-01-07,-0.02,0.6879,0.7079
2021-01-06,-0.126,0.5868,0.7128
2021-01-05,-0.1799,0.5644,0.7443
2021-01-04,-0.1895,0.5998,0.7893
2020-12-31,-0.1637,0.673,0.8367
2020-12-30,-0.1353,0.7424,0.8776
2020-12-29,-0.1087,0.8028,0.9115
2020-12-28,-0.0277,0.9109,0.9386
2020-12-24,0.0444,0.9899,0.9456
2020-12-23,0.0686,1.0031,0.9345
2020-12-22,0.0786,0.9959,0.9173
2020-12-21,0.0809,0.9786,0.8977
2020-12-18,0.0831,0.9605,0.8774
2020-12-17,0.0894,0.9461,0.8567
2020-12-16,0.0754,0.9097,0.8343
2020-12-15,0.0864,0.9019,0.8155
2020-12-14,0.091,0.8849,0.7939
2020-12-11,0.1119,0.883,0.7711
2020-12-10,0.1413,0.8844,0.7431
2020-12-09,0.1539,0.8617,0.7078
2020-12-08,0.1996,0.8689,0.6693
2020-12-07,0.1922,0.8117,0.6194
2020-12-04,0.186,0.7573,0.5714
2020-12-03,0.1826,0.7075,0.5249
2020-12-02,0.1869,0.6662,0.4792
2020-12-01,0.2099,0.6424,0.4325
2020-11-30,0.2033,0.5833,0.38
2020-11-27,0.1957,0.5249,0.3292
2020-11-25,0.1687,0.449,0.2803
2020-11-24,0.147,0.3851,0.2381
2020-11-23,0.1271,0.3284,0.2013
2020-11-20,0.1073,0.2768,0.1696
2020-11-19,0.0973,0.2401,0.1427
2020-11-18,0.0809,0.1994,0.1184
2020-11-17,0.0859,0.1841,0.0982
2020-11-16,0.0694,0.1461,0.0767
2020-11-13,0.0525,0.1119,0.0593
2020-11-12,0.0346,0.0808,0.0462
2020-11-11,0.0201,0.0577,0.0376
2020-11-10,0.0039,0.0365,0.0326
2020-11-09,0.0466,0.0781,0.0316
2020-11-06,0.0676,0.0875,0.0199
2020-11-05,-0.022,-0.0189,0.003
2020-11-04,-0.158,-0.1494,0.0085
2020-11-03,-0.2591,-0.211,0.048
2020-11-02,-0.3058,-0.193,0.1128
2020-10-30,-0.2903,-0.101,0.1893
2020-10-29,-0.2246,0.0372,0.2618
2020-10-28,-0.202,0.116,0.318
2020-10-27,-0.1399,0.2286,0.3685
2020-10-26,-0.118,0.2854,0.4035
2020-10-23,-0.0821,0.3508,0.433
2020-10-22,-0.0559,0.3976,0.4535
2020-10-21,-0.022,0.4455,0.4675
2020-10-20,0.0403,0.5133,0.473
2020-10-19,0.0878,0.5507,0.4629
2020-10-16,0.1588,0.5997,0.441
2020-10-15,0.2075,0.6088,0.4013
2020-10-14,0.2437,0.593,0.3494
2020-10-13,0.2697,0.5582,0.2885
2020-10-12,0.2424,0.4635,0.221
2020-10-09,0.2175,0.378,0.1604
2020-10-08,0.2001,0.3061,0.106
2020-10-07,0.1875,0.2435,0.056
2020-10-06,0.1604,0.1695,0.0091
2020-10-05,0.1713,0.1404,-0.0309
2020-10-02,0.1349,0.0611,-0.0738
2020-10-01,0.1299,0.0224,-0.1075
2020-09-30,0.0883,-0.0517,-0.14
2020-09-29,0.0527,-0.1093,-0.1621
