date,MFI
2017-11-07,31.6711
2017-11-08,28.541
2017-11-09,19.5986
2017-11-10,28.7284
2017-11-13,32.5705
2017-11-14,35.6575
2017-11-15,24.4899
2017-11-16,29.7389
2017-11-17,36.5798
2017-11-20,33.4897
2017-11-21,27.8438
2017-11-22,32.5355
2017-11-24,34.1088
2017-11-27,24.8624
2017-11-28,37.3392
2017-11-29,49.47
2017-11-30,63.0598
2017-12-01,55.8068
2017-12-04,63.5131
2017-12-05,66.301
2017-12-06,64.294
2017-12-07,65.5384
2017-12-08,66.8218
2017-12-11,67.8429
2017-12-12,68.2082
2017-12-13,62.4177
2017-12-14,59.0866
2017-12-15,62.2575
2017-12-18,61.6788
2017-12-19,59.9189
2017-12-20,53.7724
2017-12-21,65.1778
2017-12-22,63.9941
2017-12-26,64.4094
2017-12-27,70.7533
2017-12-28,69.2139
2017-12-29,62.7299
2018-01-02,60.9297
2018-01-03,60.0379
2018-01-04,70.0028
2018-01-05,81.855
2018-01-08,83.3738
2018-01-09,84.2332
2018-01-10,77.1392
2018-01-11,83.3298
2018-01-12,85.3194
2018-01-16,68.7386
2018-01-17,66.0504
2018-01-18,66.4424
2018-01-19,67.4581
2018-01-22,72.2654
2018-01-23,81.595
2018-01-24,83.7249
2018-01-25,77.1441
2018-01-26,77.2115
2018-01-29,77.6837
2018-01-30,72.4396
2018-01-31,71.0029
2018-02-01,67.2859
2018-02-02,60.5591
2018-02-05,59.0145
2018-02-06,56.7143
2018-02-07,57.0305
2018-02-08,53.2972
2018-02-09,48.3792
2018-02-12,32.2818
2018-02-13,21.4486
2018-02-14,26.5901
2018-02-15,26.0015
2018-02-16,22.0904
2018-02-20,23.3312
2018-02-21,24.2884
2018-02-22,25.0581
2018-02-23,31.2975
2018-02-26,43.3043
2018-02-27,50.8324
2018-02-28,45.4465
2018-03-01,48.7311
2018-03-02,62.0716
2018-03-05,61.0615
2018-03-06,61.9446
2018-03-07,59.8132
2018-03-08,56.1382
2018-03-09,55.6548
2018-03-12,64.9986
2018-03-13,66.3815
2018-03-14,67.4378
2018-03-15,61.7549
2018-03-16,58.6389
2018-03-19,57.7239
2018-03-20,62.2049
2018-03-21,72.5039
2018-03-22,63.5101
2018-03-23,52.5738
2018-03-26,52.0338
2018-03-27,46.0343
2018-03-28,40.9431
2018-03-29,36.0734
2018-04-02,24.6005
2018-04-03,30.4584
2018-04-04,35.413
2018-04-05,40.8428
2018-04-06,36.1184
2018-04-09,36.7514
2018-04-10,40.0968
2018-04-11,35.5923
2018-04-12,41.1658
2018-04-13,46.8734
2018-04-16,46.5314
2018-04-17,56.2615
2018-04-18,62.6243
2018-04-19,55.5577
2018-04-20,60.4363
2018-04-23,54.3884
2018-04-24,49.7322
2018-04-25,42.2505
2018-04-26,48.7076
2018-04-27,56.8737
2018-04-30,47.2916
2018-05-01,53.9886
2018-05-02,54.3472
2018-05-03,51.8336
2018-05-04,48.8485
2018-05-07,49.8129
2018-05-08,49.5683
2018-05-09,60.6176
2018-05-10,70.1273
2018-05-11,75.7304
2018-05-14,80.5964
2018-05-15,82.2175
2018-05-16,82.8549
2018-05-17,83.5748
2018-05-18,88.7051
2018-05-21,88.8472
2018-05-22,84.8483
2018-05-23,87.031
2018-05-24,77.0667
2018-05-25,68.9177
2018-05-29,63.4912
2018-05-30,65.0095
2018-05-31,57.3808
2018-06-01,56.3632
2018-06-04,58.1074
2018-06-05,64.0216
2018-06-06,65.0401
2018-06-07,66.9502
2018-06-08,67.2179
2018-06-11,68.1058
2018-06-12,73.6239
2018-06-13,72.4741
2018-06-14,80.811
2018-06-15,78.9748
2018-06-18,84.7983
2018-06-19,75.9358
2018-06-20,80.2103
2018-06-21,74.6557
2018-06-22,66.8409
2018-06-25,57.6418
2018-06-26,51.8635
2018-06-27,44.0403
2018-06-28,39.8711
2018-06-29,38.3263
2018-07-02,30.5391
2018-07-03,34.8864
2018-07-05,34.1932
2018-07-06,43.1952
2018-07-09,44.8804
2018-07-10,53.249
2018-07-11,45.1188
2018-07-12,51.2965
2018-07-13,58.5245
2018-07-16,64.1346
2018-07-17,70.1239
2018-07-18,77.5151
2018-07-19,83.7017
2018-07-20,76.5489
2018-07-23,73.1558
2018-07-24,66.2316
2018-07-25,66.5379
2018-07-26,66.0973
2018-07-27,57.0653
2018-07-30,46.1593
2018-07-31,53.5801
2018-08-01,53.2694
2018-08-02,47.8956
2018-08-03,51.6716
2018-08-06,53.4315
2018-08-07,54.604
2018-08-08,51.3436
2018-08-09,57.6484
2018-08-10,61.2035
2018-08-13,63.5499
2018-08-14,62.2949
2018-08-15,52.44
2018-08-16,59.1361
2018-08-17,70.2638
2018-08-20,70.2546
2018-08-21,71.0417
2018-08-22,78.1984
2018-08-23,78.3964
2018-08-24,79.1942
2018-08-27,87.6539
2018-08-28,76.0951
2018-08-29,77.6642
2018-08-30,72.9668
2018-08-31,72.4499
2018-09-04,68.6689
2018-09-05,67.8133
2018-09-06,62.4745
2018-09-07,59.2656
2018-09-10,61.8753
2018-09-11,57.5239
2018-09-12,55.3075
2018-09-13,55.5686
2018-09-14,54.2497
2018-09-17,32.7043
2018-09-18,35.8093
2018-09-19,29.8595
2018-09-20,36.1553
2018-09-21,41.3004
2018-09-24,42.4051
2018-09-25,48.438
2018-09-26,52.3247
2018-09-27,59.1157
2018-09-28,44.6341
2018-10-01,56.5023
2018-10-02,56.1401
2018-10-03,55.5916
2018-10-04,46.3893
2018-10-05,43.1233
2018-10-08,41.851
2018-10-09,41.7209
2018-10-10,27.735
2018-10-11,20.7696
2018-10-12,26.6472
2018-10-15,22.9881
2018-10-16,29.304
2018-10-17,30.8084
2018-10-18,30.0657
2018-10-19,22.5846
2018-10-22,21.9309
2018-10-23,18.0042
2018-10-24,17.799
2018-10-25,23.0848
2018-10-26,23.1156
2018-10-29,20.2139
2018-10-30,27.5142
2018-10-31,33.7141
2018-11-01,34.9208
2018-11-02,39.5953
2018-11-05,33.8459
2018-11-06,33.0915
2018-11-07,40.0441
2018-11-08,46.3188
2018-11-09,50.3277
2018-11-12,54.5241
2018-11-13,57.9892
2018-11-14,52.2074
2018-11-15,56.3511
2018-11-16,63.064
2018-11-19,56.6485
2018-11-20,47.1397
2018-11-21,40.9979
2018-11-23,35.5815
2018-11-26,40.2604
2018-11-27,34.6378
2018-11-28,25.2481
2018-11-29,31.0297
2018-11-30,37.5624
2018-12-03,48.3457
2018-12-04,41.383
2018-12-06,39.4501
2018-12-07,40.3048
2018-12-10,33.263
2018-12-11,39.6976
2018-12-12,48.518
2018-12-13,44.0182
2018-12-14,41.5873
2018-12-17,32.7881
2018-12-18,26.4232
2018-12-19,22.3875
2018-12-20,16.9555
2018-12-21,10.6981
2018-12-24,6.0502
2018-12-26,13.9358
2018-12-27,22.5651
2018-12-28,28.1352
2018-12-31,35.2071
2019-01-02,34.7632
2019-01-03,31.8951
2019-01-04,36.5944
2019-01-07,39.5533
2019-01-08,44.4328
2019-01-09,51.0222
2019-01-10,54.977
2019-01-11,62.7636
2019-01-14,74.0678
2019-01-15,88.3629
2019-01-16,88.4806
2019-01-17,87.1972
2019-01-18,86.2944
2019-01-22,74.4552
2019-01-23,69.0602
2019-01-24,75.3469
2019-01-25,74.2883
2019-01-28,69.1589
2019-01-29,64.6594
2019-01-30,64.1367
2019-01-31,67.7087
2019-02-01,67.8557
2019-02-04,75.0872
2019-02-05,76.2039
2019-02-06,70.3038
2019-02-07,64.8127
2019-02-08,60.4447
2019-02-11,75.124
2019-02-12,79.9577
2019-02-13,79.7421
2019-02-14,72.0579
2019-02-15,77.5129
2019-02-19,81.6852
2019-02-20,81.9709
2019-02-21,74.8916
2019-02-22,75.1181
2019-02-25,75.0567
2019-02-26,68.6607
2019-02-27,66.4988
2019-02-28,71.671
2019-03-01,76.9103
2019-03-04,61.7632
2019-03-05,54.2039
2019-03-06,48.7701
2019-03-07,48.0055
2019-03-08,38.1902
2019-03-11,37.3594
2019-03-12,37.5219
2019-03-13,44.5651
2019-03-14,40.6876
2019-03-15,43.6178
2019-03-18,47.8769
2019-03-19,47.74
2019-03-20,43.5947
2019-03-21,40.7735
2019-03-22,40.8686
2019-03-25,39.7099
2019-03-26,44.1683
2019-03-27,45.801
2019-03-28,52.5808
2019-03-29,51.9277
2019-04-01,53.6746
2019-04-02,51.9744
2019-04-03,56.9022
2019-04-04,46.7594
2019-04-05,46.6589
2019-04-08,53.6639
2019-04-09,50.0445
2019-04-10,49.2717
2019-04-11,61.4361
