date,1. open,2. high,3. low,4. close,5. volume
2021-01-13,13.14,13.2,12.85,13.04,516154.0
2021-01-12,13.51,13.55,12.9601,13.315,624111.0
2021-01-11,13.26,13.77,13.15,13.56,726265.0
2021-01-08,13.31,14.24,13.12,13.445,999290.0
2021-01-07,12.5,13.19,12.459,12.89,717927.0
2021-01-06,12.56,13.12,12.055,12.29,898273.0
2021-01-05,11.89,12.52,11.86,12.37,726068.0
2021-01-04,12.49,12.75,11.56,11.87,772193.0
2020-12-31,12.54,12.72,12.12,12.23,416077.0
2020-12-30,11.71,12.63,11.7,12.37,571787.0
2020-12-29,12.56,12.65,11.12,11.675,1127931.0
2020-12-28,12.73,13.0,12.36,12.49,965210.0
2020-12-24,12.61,12.77,11.9389,12.33,330906.0
2020-12-23,12.76,13.23,12.17,12.49,1581848.0
2020-12-22,11.85,12.59,11.5,12.43,1835372.0
2020-12-21,10.84,11.3315,10.81,11.15,903272.0
2020-12-18,11.55,11.6,11.03,11.03,1590858.0
2020-12-17,11.1104,11.82,10.83,11.33,2269103.0
2020-12-16,9.83,10.73,9.8,10.66,1731295.0
2020-12-15,9.19,9.9616,9.18,9.72,1138656.0
2020-12-14,8.91,9.28,8.7,9.07,1209616.0
2020-12-11,8.62,9.47,8.61,8.73,1534952.0
2020-12-10,8.35,8.74,8.2,8.69,813705.0
2020-12-09,8.4518,8.76,8.28,8.44,892832.0
2020-12-08,8.29,8.55,8.21,8.42,837607.0
2020-12-07,7.9298,8.37,7.9298,8.205,711230.0
2020-12-04,7.69,8.0,7.64,7.97,615200.0
2020-12-03,7.5,7.75,7.4,7.68,493912.0
2020-12-02,7.55,7.59,7.41,7.52,703917.0
2020-12-01,7.68,7.75,7.47,7.54,717611.0
2020-11-30,7.88,7.97,7.58,7.61,949156.0
2020-11-27,7.72,7.98,7.62,7.98,548704.0
2020-11-25,7.56,7.71,7.41,7.67,990485.0
2020-11-24,7.66,7.91,7.51,7.56,1354190.0
2020-11-23,8.0,8.01,7.6,7.67,1032367.0
2020-11-20,7.9,7.99,7.75,7.92,527851.0
2020-11-19,8.0,8.11,7.87,7.93,625839.0
2020-11-18,7.95,8.06,7.74,7.96,891170.0
2020-11-17,8.0,8.06,7.78,7.87,659462.0
2020-11-16,8.0,8.017999999999999,7.79,7.88,381477.0
2020-11-13,7.88,7.95,7.73,7.91,374351.0
2020-11-12,7.91,7.98,7.68,7.82,526324.0
2020-11-11,7.91,8.04,7.74,7.85,549491.0
2020-11-10,8.07,8.2,7.7,7.9,653158.0
2020-11-09,8.51,8.6,7.94,7.96,779821.0
2020-11-06,8.89,8.89,8.16,8.24,674050.0
2020-11-05,8.54,8.9,8.54,8.85,860559.0
2020-11-04,8.46,8.65,8.3,8.47,358597.0
2020-11-03,8.35,8.85,8.28,8.42,804495.0
2020-11-02,8.58,8.65,8.1,8.23,471360.0
2020-10-30,8.485,8.92,8.05,8.29,860161.0
2020-10-29,8.15,8.55,8.15,8.54,564440.0
2020-10-28,8.04,8.19,7.81,8.1,418606.0
2020-10-27,8.13,8.35,8.0,8.29,380279.0
2020-10-26,8.1,8.279,7.83,7.965,504328.0
2020-10-23,8.0,8.07,7.8,8.06,463784.0
2020-10-22,7.815,8.05,7.72,7.83,481859.0
2020-10-21,7.905,7.98,7.65,7.67,435918.0
2020-10-20,7.99,7.9999,7.8,7.9,282216.0
2020-10-19,7.95,8.0,7.61,7.84,426138.0
2020-10-16,8.02,8.1709,7.75,7.76,553069.0
2020-10-15,8.1,8.13,7.86,8.02,393477.0
2020-10-14,8.51,8.61,8.14,8.2,222298.0
2020-10-13,8.47,8.7,8.45,8.51,282693.0
2020-10-12,8.59,8.66,8.44,8.52,237290.0
2020-10-09,8.5,8.58,8.4247,8.54,203730.0
2020-10-08,8.49,8.59,8.38,8.45,224031.0
2020-10-07,8.31,8.44,8.18,8.38,206892.0
2020-10-06,8.08,8.415,8.02,8.19,274188.0
2020-10-05,8.0,8.29,7.96,8.08,235589.0
2020-10-02,7.91,8.16,7.88,8.03,207443.0
2020-10-01,8.21,8.38,7.95,8.05,351807.0
2020-09-30,8.52,8.62,8.09,8.16,425722.0
2020-09-29,8.33,8.88,8.27,8.51,470981.0
2020-09-28,8.37,8.6,8.27,8.34,315738.0
2020-09-25,8.04,8.48,8.02,8.33,410943.0
2020-09-24,7.97,8.23,7.81,8.04,246393.0
2020-09-23,8.4,8.5,7.93,8.01,383717.0
2020-09-22,8.16,8.37,8.1,8.37,273211.0
2020-09-21,7.76,8.16,7.7,8.13,366657.0
2020-09-18,8.12,8.12,7.77,7.99,562153.0
2020-09-17,7.97,8.15,7.87,8.03,284842.0
2020-09-16,8.08,8.325,8.0,8.05,278028.0
2020-09-15,7.87,8.12,7.82,8.02,340684.0
2020-09-14,7.65,7.75,7.5,7.72,245697.0
2020-09-11,7.5,7.77,7.49,7.64,266885.0
2020-09-10,7.58,7.69,7.43,7.48,345022.0
2020-09-09,7.63,7.78,7.31,7.56,539072.0
2020-09-08,8.0,8.08,7.5,7.53,697217.0
2020-09-04,8.09,8.29,7.5,8.17,736206.0
2020-09-03,8.05,8.1,7.78,7.9,353772.0
2020-09-02,8.32,8.34,7.9711,8.17,288481.0
2020-09-01,7.92,8.24,7.85,8.14,314819.0
2020-08-31,8.13,8.16,7.86,7.93,405756.0
2020-08-28,8.16,8.25,7.85,8.11,597075.0
2020-08-27,8.65,8.738,8.13,8.14,650078.0
2020-08-26,8.4,8.9974,8.4,8.63,765073.0
2020-08-25,8.52,8.533999999999999,8.27,8.4,448038.0
2020-08-24,8.74,9.55,8.11,8.41,1042569.0
2020-08-21,8.6,8.78,8.46,8.67,586682.0
2020-08-20,8.51,8.8,8.39,8.48,396707.0
2020-08-19,8.14,8.88,8.1,8.6,2186775.0
2020-08-18,8.0,8.0757,7.85,7.95,339560.0
2020-08-17,7.9,8.09,7.85,8.0,265593.0
2020-08-14,7.9,8.04,7.73,7.88,421683.0
2020-08-13,8.02,8.19,7.9,7.92,305668.0
2020-08-12,7.75,8.04,7.75,8.01,298718.0
