date,MACD,MACD_Hist,MACD_Signal
2021-01-15,1.0015,-0.0423,1.0438
2021-01-14,1.049,-0.0053,1.0544
2021-01-13,1.0629,0.0072,1.0557
2021-01-12,1.1038,0.0499,1.0539
2021-01-11,1.112,0.0706,1.0414
2021-01-08,1.0813,0.0576,1.0237
2021-01-07,1.0382,0.0288,1.0093
2021-01-06,1.0245,0.0223,1.0021
2021-01-05,1.0532,0.0566,0.9966
2021-01-04,1.0663,0.0839,0.9824
2020-12-31,1.1186,0.1571,0.9614
2020-12-30,1.1323,0.2101,0.9221
2020-12-29,1.1191,0.2495,0.8696
2020-12-28,1.1567,0.3494,0.8072
2020-12-24,1.1049,0.385,0.7199
2020-12-23,1.039,0.4154,0.6236
2020-12-22,0.9235,0.4037,0.5198
2020-12-21,0.7688,0.3499,0.4188
2020-12-18,0.6904,0.3591,0.3314
2020-12-17,0.5926,0.351,0.2416
2020-12-16,0.4286,0.2747,0.1538
2020-12-15,0.2812,0.196,0.0852
2020-12-14,0.1847,0.1485,0.0362
2020-12-11,0.125,0.126,-0.001
2020-12-10,0.0817,0.1141,-0.0325
2020-12-09,0.0292,0.0902,-0.061
2020-12-08,-0.0127,0.0709,-0.0836
2020-12-07,-0.064,0.0373,-0.1013
2020-12-04,-0.1066,0.004,-0.1106
2020-12-03,-0.1356,-0.024,-0.1116
2020-12-02,-0.141,-0.0354,-0.1056
2020-12-01,-0.1296,-0.0329,-0.0967
2020-11-30,-0.1152,-0.0267,-0.0885
2020-11-27,-0.1023,-0.0205,-0.0818
2020-11-25,-0.122,-0.0453,-0.0767
2020-11-24,-0.1138,-0.0484,-0.0654
2020-11-23,-0.0905,-0.0372,-0.0533
2020-11-20,-0.0706,-0.0266,-0.044
2020-11-19,-0.0697,-0.0323,-0.0373
2020-11-18,-0.0685,-0.0392,-0.0292
2020-11-17,-0.069,-0.0496,-0.0194
2020-11-16,-0.0595,-0.0524,-0.007
2020-11-13,-0.0475,-0.0536,0.0061
2020-11-12,-0.0346,-0.054,0.0195
2020-11-11,-0.0084,-0.0414,0.033
2020-11-10,0.022,-0.0213,0.0433
2020-11-09,0.0555,0.0069,0.0486
2020-11-06,0.0913,0.0444,0.0469
2020-11-05,0.1072,0.0713,0.0358
2020-11-04,0.0637,0.0458,0.018
2020-11-03,0.0461,0.0395,0.0065
2020-11-02,0.0279,0.0313,-0.0033
2020-10-30,0.0238,0.0349,-0.0112
2020-10-29,0.0119,0.0318,-0.0199
2020-10-28,-0.0288,-0.0009,-0.0278
2020-10-27,-0.0355,-0.0079,-0.0276
2020-10-26,-0.0629,-0.0373,-0.0256
2020-10-23,-0.0639,-0.0476,-0.0163
2020-10-22,-0.0739,-0.0695,-0.0044
2020-10-21,-0.0622,-0.0752,0.013
2020-10-20,-0.0301,-0.0618,0.0318
2020-10-19,-0.012,-0.0592,0.0472
2020-10-16,0.0173,-0.0447,0.062
2020-10-15,0.0626,-0.0106,0.0732
2020-10-14,0.093,0.0172,0.0759
2020-10-13,0.1122,0.0407,0.0716
2020-10-12,0.1035,0.0421,0.0614
2020-10-09,0.0899,0.039,0.0509
2020-10-08,0.0691,0.028,0.0411
2020-10-07,0.0508,0.0167,0.0341
2020-10-06,0.0338,0.0038,0.03
2020-10-05,0.0309,0.0019,0.029
2020-10-02,0.038,0.0095,0.0285
2020-10-01,0.0516,0.0255,0.0261
2020-09-30,0.0662,0.0465,0.0198
2020-09-29,0.0727,0.0645,0.0082
2020-09-28,0.0442,0.0522,-0.008
2020-09-25,0.0246,0.0456,-0.021
2020-09-24,0.0001,0.0325,-0.0324
2020-09-23,-0.0015,0.039,-0.0405
2020-09-22,-0.0006,0.0497,-0.0503
2020-09-21,-0.036,0.0267,-0.0627
2020-09-18,-0.0563,0.0131,-0.0694
2020-09-17,-0.0671,0.0056,-0.0726
2020-09-16,-0.0839,-0.0099,-0.074
2020-09-15,-0.1063,-0.0347,-0.0715
2020-09-14,-0.1302,-0.0673,-0.0629
2020-09-11,-0.1282,-0.0822,-0.046
2020-09-10,-0.1158,-0.0903,-0.0255
2020-09-09,-0.0819,-0.079,-0.0029
2020-09-08,-0.0456,-0.0624,0.0168
2020-09-04,0.0044,-0.028,0.0324
2020-09-03,0.0031,-0.0363,0.0394
2020-09-02,0.0288,-0.0197,0.0485
2020-09-01,0.0337,-0.0197,0.0534
2020-08-31,0.0426,-0.0158,0.0583
2020-08-28,0.0746,0.0123,0.0623
2020-08-27,0.0961,0.0369,0.0592
2020-08-26,0.1191,0.0691,0.05
2020-08-25,0.0968,0.064,0.0327
2020-08-24,0.0903,0.0736,0.0167
2020-08-21,0.0797,0.0814,-0.0017
2020-08-20,0.0386,0.0606,-0.022
2020-08-19,0.0049,0.0421,-0.0372
2020-08-18,-0.0504,-0.0027,-0.0477
2020-08-17,-0.0541,-0.007,-0.0471
2020-08-14,-0.0631,-0.0178,-0.0453
2020-08-13,-0.0615,-0.0206,-0.0408
2020-08-12,-0.0626,-0.0269,-0.0357
2020-08-11,-0.0722,-0.0432,-0.029
2020-08-10,-0.0529,-0.0348,-0.0182
2020-08-07,-0.0306,-0.0211,-0.0095
2020-08-06,-0.022,-0.0178,-0.0042
2020-08-05,-0.0066,-0.0069,0.0003
2020-08-04,-0.0124,-0.0144,0.002
2020-08-03,-0.0094,-0.015,0.0056
2020-07-31,0.0002,-0.0092,0.0094
2020-07-30,0.018,0.0064,0.0116
2020-07-29,0.012,0.0019,0.0101
2020-07-28,0.0011,-0.0085,0.0096
2020-07-27,0.0044,-0.0073,0.0117
2020-07-24,-0.0086,-0.0221,0.0135
2020-07-23,0.0053,-0.0137,0.019
2020-07-22,0.0088,-0.0136,0.0225
2020-07-21,0.0162,-0.0096,0.0259
2020-07-20,0.0036,-0.0247,0.0283
2020-07-17,-0.0335,-0.068,0.0345
2020-07-16,-0.0285,-0.08,0.0515
2020-07-15,0.0008,-0.0707,0.0715
2020-07-14,0.0177,-0.0714,0.0891
2020-07-13,0.0514,-0.0556,0.107
2020-07-10,0.0976,-0.0233,0.1209
2020-07-09,0.1033,-0.0234,0.1267
2020-07-08,0.11,-0.0225,0.1326
2020-07-07,0.118,-0.0201,0.1382
2020-07-06,0.1439,0.0007,0.1432
2020-07-02,0.1412,-0.0019,0.1431
2020-07-01,0.15,0.0064,0.1435
2020-06-30,0.1732,0.0313,0.1419
2020-06-29,0.1871,0.053,0.1341
2020-06-26,0.194,0.0732,0.1208
2020-06-25,0.1756,0.073,0.1025
2020-06-24,0.1525,0.0682,0.0843
2020-06-23,0.1514,0.0842,0.0672
2020-06-22,0.0867,0.0405,0.0462
2020-06-19,0.0324,-0.0037,0.036
2020-06-18,0.0272,-0.0097,0.037
2020-06-17,0.0065,-0.0329,0.0394
2020-06-16,0.0268,-0.0208,0.0476
2020-06-15,0.0157,-0.0371,0.0528
2020-06-12,0.0186,-0.0434,0.0621
2020-06-11,0.0353,-0.0377,0.0729
2020-06-10,0.0804,-0.0019,0.0823
2020-06-09,0.0789,-0.0039,0.0828
2020-06-08,0.0625,-0.0212,0.0838
2020-06-05,0.0265,-0.0626,0.0891
2020-06-04,0.027,-0.0778,0.1047
2020-06-03,0.0455,-0.0787,0.1242
2020-06-02,0.04,-0.1039,0.1438
2020-06-01,0.0547,-0.1151,0.1698
2020-05-29,0.0595,-0.1391,0.1986
2020-05-28,0.1106,-0.1228,0.2334
2020-05-27,0.1813,-0.0827,0.264
2020-05-26,0.2089,-0.0759,0.2847
2020-05-22,0.2089,-0.0948,0.3037
2020-05-21,0.2064,-0.121,0.3274
2020-05-20,0.2013,-0.1563,0.3576
2020-05-19,0.2193,-0.1774,0.3967
2020-05-18,0.2666,-0.1744,0.4411
2020-05-15,0.2895,-0.1951,0.4847
2020-05-14,0.341,-0.1925,0.5335
2020-05-13,0.415,-0.1666,0.5816
2020-05-12,0.537,-0.0862,0.6232
2020-05-11,0.5943,-0.0505,0.6448
2020-05-08,0.6261,-0.0313,0.6574
2020-05-07,0.6338,-0.0314,0.6652
2020-05-06,0.6695,-0.0036,0.6731
2020-05-05,0.6758,0.0018,0.674
2020-05-04,0.6953,0.0218,0.6735
2020-05-01,0.7652,0.0971,0.6681
2020-04-30,0.8269,0.1831,0.6438
2020-04-29,0.7939,0.1958,0.598
2020-04-28,0.7524,0.2033,0.5491
2020-04-27,0.7251,0.2269,0.4982
2020-04-24,0.6686,0.2271,0.4415
2020-04-23,0.6377,0.2529,0.3847
2020-04-22,0.6001,0.2786,0.3215
2020-04-21,0.5139,0.262,0.2518
2020-04-20,0.5114,0.3251,0.1863
2020-04-17,0.4774,0.3724,0.1051
2020-04-16,0.4179,0.4059,0.012
2020-04-15,0.3491,0.4386,-0.0895
2020-04-14,0.2277,0.4269,-0.1992
2020-04-13,0.0797,0.3855,-0.3059
2020-04-09,-0.1156,0.2867,-0.4023
2020-04-08,-0.3071,0.1668,-0.4739
2020-04-07,-0.3964,0.1192,-0.5156
2020-04-06,-0.4507,0.0948,-0.5454
2020-04-03,-0.4889,0.0802,-0.5691
2020-04-02,-0.4807,0.1085,-0.5892
2020-04-01,-0.4826,0.1337,-0.6163
2020-03-31,-0.477,0.1727,-0.6497
2020-03-30,-0.5464,0.1465,-0.6929
2020-03-27,-0.6209,0.1087,-0.7296
2020-03-26,-0.71,0.0467,-0.7567
2020-03-25,-0.7849,-0.0165,-0.7684
2020-03-24,-0.8193,-0.055,-0.7643
2020-03-23,-0.8471,-0.0965,-0.7505
2020-03-20,-0.8315,-0.1052,-0.7264
2020-03-19,-0.8394,-0.1393,-0.7001
2020-03-18,-0.8544,-0.1891,-0.6653
2020-03-17,-0.8266,-0.2086,-0.618
2020-03-16,-0.8208,-0.255,-0.5658
2020-03-13,-0.7547,-0.2526,-0.5021
2020-03-12,-0.6837,-0.2448,-0.4389
2020-03-11,-0.5699,-0.1922,-0.3778
2020-03-10,-0.506,-0.1763,-0.3297
2020-03-09,-0.4486,-0.163,-0.2856
2020-03-06,-0.3618,-0.1169,-0.2449
2020-03-05,-0.3047,-0.089,-0.2157
2020-03-04,-0.2752,-0.0818,-0.1934
2020-03-03,-0.2438,-0.0709,-0.1729
2020-03-02,-0.2135,-0.0582,-0.1552
2020-02-28,-0.194,-0.0533,-0.1407
2020-02-27,-0.1856,-0.0583,-0.1273
2020-02-26,-0.1376,-0.0249,-0.1128
2020-02-25,-0.1049,0.0016,-0.1065
2020-02-24,-0.0586,0.0483,-0.1069
2020-02-21,-0.0394,0.0797,-0.119
2020-02-20,-0.0575,0.0815,-0.139
2020-02-19,-0.1017,0.0576,-0.1593
2020-02-18,-0.1505,0.0232,-0.1737
2020-02-14,-0.1761,0.0034,-0.1795
2020-02-13,-0.2071,-0.0267,-0.1804
2020-02-12,-0.2233,-0.0496,-0.1737
2020-02-11,-0.2378,-0.0765,-0.1613
2020-02-10,-0.2486,-0.1065,-0.1422
2020-02-07,-0.239,-0.1235,-0.1155
2020-02-06,-0.2126,-0.1279,-0.0847
2020-02-05,-0.1962,-0.1435,-0.0527
2020-02-04,-0.1866,-0.1698,-0.0168
2020-02-03,-0.1604,-0.1861,0.0256
2020-01-31,-0.0871,-0.1592,0.0721
2020-01-30,-0.0166,-0.1285,0.112
