date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,611.77,611.77,591.15,599.0,468236.0
2021-02-10,618.07,618.07,598.21,605.78,451888.0
2021-02-09,601.39,618.84,601.39,615.0,426792.0
2021-02-08,622.19,630.04,595.78,602.44,616046.0
2021-02-05,622.09,624.54,614.01,620.45,654234.0
2021-02-04,607.5,634.46,600.95,615.16,1747057.0
2021-02-03,557.4938,557.4938,541.17,546.18,756255.0
2021-02-02,551.78,567.825,548.01,557.77,782437.0
2021-02-01,539.93,544.745,527.02,543.05,528015.0
2021-01-29,525.16,530.545,517.545,525.38,686234.0
2021-01-28,509.36,547.57,509.36,536.58,681735.0
2021-01-27,519.33,527.6869,507.77,509.64,859149.0
2021-01-26,541.27,545.0,530.06,535.1,469694.0
2021-01-25,533.39,540.74,510.105,539.47,568825.0
2021-01-22,546.85,546.85,531.17,534.08,690685.0
2021-01-21,563.97,565.32,543.32,543.81,402807.0
2021-01-20,568.84,575.92,560.07,564.37,401961.0
2021-01-19,574.72,574.72,545.075,557.41,606957.0
2021-01-15,553.19,569.655,548.0,567.23,551686.0
2021-01-14,546.51,561.12,543.01,554.64,304706.0
2021-01-13,551.26,553.76,543.91,551.14,322016.0
2021-01-12,552.34,562.39,548.41,552.88,328959.0
2021-01-11,565.01,566.1,551.8254,557.04,351818.0
2021-01-08,561.63,579.5,559.0,570.53,464242.0
2021-01-07,547.78,561.35,544.27,558.36,513889.0
2021-01-06,534.33,546.48,531.46,540.39,429024.0
2021-01-05,526.97,544.07,526.7657,543.65,344819.0
2021-01-04,549.61,560.0,519.7,526.46,602433.0
2020-12-31,526.87,535.4,523.33,534.38,320897.0
2020-12-30,522.29,527.9699,519.75,524.32,250187.0
2020-12-29,524.92,525.77,512.8,520.45,223689.0
2020-12-28,532.32,532.74,518.84,520.86,240070.0
2020-12-24,528.14,529.2139,521.13,528.03,163674.0
2020-12-23,540.52,543.654,524.99,525.0,308168.0
2020-12-22,531.99,536.6,527.6,536.59,435619.0
2020-12-21,518.09,531.6049,513.34,530.71,449548.0
2020-12-18,533.01,535.0,521.65,529.92,896743.0
2020-12-17,522.0,527.25,516.95,526.72,536020.0
2020-12-16,511.08,520.38,510.27,516.34,399337.0
2020-12-15,511.8,519.06,502.6,516.3,347313.0
2020-12-14,510.9,522.34,502.31,504.31,426945.0
2020-12-11,507.0,509.5,498.255,507.08,305925.0
2020-12-10,506.89,511.32,499.5739,508.39,376775.0
2020-12-09,516.24,520.88,507.305,509.01,463665.0
2020-12-08,516.75,518.17,509.27,515.76,458105.0
2020-12-07,521.9,524.61,515.5,517.71,533199.0
2020-12-04,511.96,524.88,510.32,521.72,635242.0
2020-12-03,506.24,516.295,505.305,511.0,583547.0
2020-12-02,496.57,507.64,491.785,505.48,553171.0
2020-12-01,487.46,508.96,485.6,500.1,1152675.0
