date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.3304,15.8478,16.1781
2021-02-10,2.9749,15.6826,18.6575
2021-02-09,5.6861,14.1952,19.8813
2021-02-08,7.0512,11.3521,18.4033
2021-02-05,9.8666,7.8265,17.6932
2021-02-04,8.2582,2.8932,11.1514
2021-02-03,2.1932,-1.2359,0.9573
2021-02-02,2.6710000000000003,-2.3325,0.3385
2021-02-01,0.269,-3.668,-3.399
2021-01-29,-5.7057,8.5542,2.8486
2021-01-28,-5.6945,9.9807,4.2861
2021-01-27,-6.4860000000000015,11.4043,4.9183
2021-01-26,-4.6292,13.0258,8.3966
2021-01-25,-4.0613,14.1831,10.1218
2021-01-22,-3.4669,15.1984,11.7315
2021-01-21,-1.9008,16.0651,14.1644
2021-01-20,-0.4675,16.5403,16.0728
2021-01-19,-0.4757,16.6572,16.1815
2021-01-15,0.0174,16.7761,16.7935
2021-01-14,-0.4412,16.7718,16.3305
2021-01-13,-0.0981,16.8821,16.784000000000002
2021-01-12,0.5683,16.9066,17.4749
2021-01-11,1.161,16.7645,17.9255
2021-01-08,1.3421,16.4743,17.8164
2021-01-07,-0.0944,16.1388,16.0444
2021-01-06,-1.3739,16.1623,14.7884
2021-01-05,-1.7059,16.5058,14.7999
2021-01-04,-2.665,16.9323,14.2674
2020-12-31,-2.4682,17.5986,15.1304
2020-12-30,-3.0102,18.2156,15.2054
2020-12-29,-2.8638,18.9682,16.1043
2020-12-28,-2.2726,19.6841,17.4115
2020-12-24,-1.4674,20.2523,18.7848
2020-12-23,-1.0847,20.6191,19.5345
2020-12-22,-0.3746,20.8903,20.5157
2020-12-21,-0.6944,20.984,20.2896
2020-12-18,-0.853,21.1576,20.3045
2020-12-17,-1.2621,21.3708,20.1087
2020-12-16,-1.7942,21.6863,19.8921
2020-12-15,-1.7517,22.1349,20.3832
2020-12-14,-1.8552,22.5728,20.7176
2020-12-11,-0.9728,23.0366,22.0638
2020-12-10,-0.1006,23.2798,23.1792
2020-12-09,0.8273,23.305,24.1322
2020-12-08,1.8364,23.0981,24.9345
2020-12-07,2.2696,22.639,24.9086
2020-12-04,2.2430000000000003,22.0716,24.3146
2020-12-03,1.2837,21.5109,22.7946
2020-12-02,0.4244,21.19,21.6144
2020-12-01,-0.7282,21.0839,20.3556
2020-11-30,-2.2652,21.2659,19.0007
2020-11-27,-2.922,21.8322,18.9102
2020-11-25,-3.4536,22.5627,19.1091
2020-11-24,-4.1568,23.4261,19.2694
2020-11-23,-5.4153,24.4653,19.05
2020-11-20,-7.4769,25.8192,18.3423
2020-11-19,-7.4484,27.6884,20.24
2020-11-18,-6.6635,29.5505,22.887
2020-11-17,-5.6157,31.2164,25.6007
2020-11-16,-4.6177,32.6203,28.0027
2020-11-13,-3.7031,33.7747,30.0716
2020-11-12,-2.4347,34.7005,32.2658
2020-11-11,-0.2539,35.3092,35.0552
2020-11-10,1.8146,35.3727,37.1873
2020-11-09,4.19,34.919000000000004,39.109
2020-11-06,5.8315,33.8715,39.703
2020-11-05,7.3824,32.4136,39.796
2020-11-04,7.3363,30.568,37.9043
2020-11-03,7.0649,28.734,35.7989
2020-11-02,7.5017,26.9677,34.4694
2020-10-30,7.8478,25.0923,32.9401
2020-10-29,10.6735,23.1303,33.8038
2020-10-28,12.8845,20.462,33.3465
2020-10-27,14.7376,17.2408,31.9784
2020-10-26,14.6244,13.5564,28.1808
2020-10-23,13.0824,9.9004,22.9828
2020-10-22,7.8518,6.6297,14.4815
2020-10-21,0.4161,4.6668,5.0829
2020-10-20,0.4057,4.5628,4.9684
2020-10-19,0.4119,4.4614,4.8732
2020-10-16,1.1126,4.3584,5.471
2020-10-15,1.0885,4.0802,5.1687
2020-10-14,0.8843,3.8081,4.6925
2020-10-13,0.7928,3.587,4.3798
2020-10-12,0.7604,3.3888,4.1492
2020-10-09,0.0938,3.1987,3.2926
2020-10-08,-0.3001,3.1753,2.8752
2020-10-07,-0.8407,3.2503,2.4096
2020-10-06,-1.2779,3.4605,2.1825
2020-10-05,-1.1513,3.78,2.6286
2020-10-02,-1.2572,4.0678,2.8105
2020-10-01,-0.9099,4.3821,3.4722
2020-09-30,-0.6202,4.6096,3.9894
2020-09-29,-1.166,4.7646,3.5986
2020-09-28,-1.2765,5.0561,3.7797
2020-09-25,-1.6934,5.3752,3.6818
2020-09-24,-1.7932,5.7986,4.0054
2020-09-23,-1.2707,6.2469,4.9761
2020-09-22,-0.0593,6.5645,6.5052
2020-09-21,0.332,6.5794,6.9113
2020-09-18,0.8603,6.4964,7.3567
2020-09-17,1.6722,6.2813,7.9535
2020-09-16,2.0175,5.8633,7.8808
2020-09-15,2.1281,5.3589,7.487
2020-09-14,1.5008,4.8269,6.3276
2020-09-11,1.5036,4.4517,5.9553
2020-09-10,1.9082,4.0758,5.9839
2020-09-09,1.287,3.5987,4.8858
2020-09-08,0.5464,3.277,3.8234
2020-09-04,0.7681,3.1404,3.9085
2020-09-03,1.0344,2.9483,3.9827
2020-09-02,0.7677,2.6898,3.4575
2020-09-01,-0.7701,2.4978,1.7277
