date,MFI
2001-02-20,34.6132
2001-02-21,38.9708
2001-02-22,39.1983
2001-02-23,32.3007
2001-02-26,25.7506
2001-02-27,26.5432
2001-02-28,30.5847
2001-03-01,32.6043
2001-03-02,37.4722
2001-03-05,38.2308
2001-03-06,49.7495
2001-03-07,50.2825
2001-03-08,37.4289
2001-03-09,36.7752
2001-03-12,33.8147
2001-03-13,36.5186
2001-03-14,44.3829
2001-03-15,44.5896
2001-03-16,47.1785
2001-03-19,55.5768
2001-03-20,58.8705
2001-03-21,62.0555
2001-03-22,63.6309
2001-03-23,72.0818
2001-03-26,54.1106
2001-03-27,48.3889
2001-03-28,47.0673
2001-03-29,40.0435
2001-03-30,43.9792
2001-04-02,49.5046
2001-04-03,43.5225
2001-04-04,46.919
2001-04-05,60.787
2001-04-06,58.3088
2001-04-09,61.184
2001-04-10,67.3045
2001-04-11,68.7346
2001-04-12,64.1768
2001-04-16,65.1625
2001-04-17,65.4638
2001-04-18,64.7178
2001-04-19,74.1257
2001-04-20,62.4014
2001-04-23,48.1605
2001-04-24,61.0094
2001-04-25,69.8549
2001-04-26,76.4946
2001-04-27,79.5663
2001-04-30,84.3791
2001-05-01,71.1427
2001-05-02,75.7505
2001-05-03,73.983
2001-05-04,71.2102
2001-05-07,74.241
2001-05-08,82.4853
2001-05-09,83.767
2001-05-10,77.5633
2001-05-11,74.2492
2001-05-14,74.7648
2001-05-15,76.7353
2001-05-16,77.2071
2001-05-17,80.5375
2001-05-18,77.5878
2001-05-21,83.1456
2001-05-22,83.6884
2001-05-23,82.7777
2001-05-24,82.5883
2001-05-25,77.2178
2001-05-29,68.1167
2001-05-30,61.0105
2001-05-31,69.0751
2001-06-01,71.733
2001-06-04,71.4476
2001-06-05,68.4844
2001-06-06,62.9145
2001-06-07,45.0654
2001-06-08,46.261
2001-06-11,31.6128
2001-06-12,23.6375
2001-06-13,34.0768
2001-06-14,34.7892
2001-06-15,37.6855
2001-06-18,42.1425
2001-06-19,42.9247
2001-06-20,29.8793
2001-06-21,27.149
2001-06-22,18.8609
2001-06-25,15.8356
2001-06-26,20.006
2001-06-27,21.2902
2001-06-28,20.7374
2001-06-29,20.5262
2001-07-02,25.1641
2001-07-03,19.9837
2001-07-05,20.3169
2001-07-06,19.3241
2001-07-09,15.2033
2001-07-10,19.1301
2001-07-11,20.0067
2001-07-12,19.9123
2001-07-13,20.1948
2001-07-16,25.9939
2001-07-17,27.2296
2001-07-18,27.0414
2001-07-19,32.6112
2001-07-20,41.4549
2001-07-23,35.9929
2001-07-24,29.7108
2001-07-25,23.1514
2001-07-26,44.1578
2001-07-27,50.4501
2001-07-30,45.3846
2001-07-31,48.569
2001-08-01,53.6035
2001-08-02,62.0657
2001-08-03,60.7981
2001-08-06,59.635
2001-08-07,63.1318
2001-08-08,58.4875
2001-08-09,60.6702
2001-08-10,64.1486
2001-08-13,65.7905
2001-08-14,85.5317
2001-08-15,69.0979
2001-08-16,59.1518
2001-08-17,62.8426
2001-08-20,56.5152
2001-08-21,49.6205
2001-08-22,58.1624
2001-08-23,54.9127
2001-08-24,47.9001
2001-08-27,46.7286
2001-08-28,46.7076
2001-08-29,41.374
2001-08-30,29.5173
2001-08-31,28.8463
2001-09-04,25.3145
2001-09-05,31.959
2001-09-06,33.6642
2001-09-07,32.4832
2001-09-10,33.2209
2001-09-17,30.1705
2001-09-18,13.6555
2001-09-19,11.9541
2001-09-20,11.4037
2001-09-21,9.5935
2001-09-24,9.2936
2001-09-25,9.3818
2001-09-26,10.6255
2001-09-27,8.7816
2001-09-28,4.7276
2001-10-01,8.3002
2001-10-02,15.8737
2001-10-03,16.1103
2001-10-04,15.4924
2001-10-05,16.0146
2001-10-08,19.7513
2001-10-09,22.4256
2001-10-10,28.6779
2001-10-11,34.1807
2001-10-12,39.4328
2001-10-15,44.7617
2001-10-16,51.0771
2001-10-17,50.7715
2001-10-18,57.7675
2001-10-19,52.3003
2001-10-22,55.0628
2001-10-23,45.767
2001-10-24,46.5402
2001-10-25,47.8957
2001-10-26,47.4593
2001-10-29,48.1419
2001-10-30,46.4154
2001-10-31,43.5968
2001-11-01,44.1047
2001-11-02,46.9692
2001-11-05,45.7187
2001-11-06,49.7052
2001-11-07,49.5775
2001-11-08,48.4227
2001-11-09,34.3306
2001-11-12,55.3652
2001-11-13,59.0006
2001-11-14,48.1773
2001-11-15,61.2053
2001-11-16,64.6324
2001-11-19,64.7859
2001-11-20,58.196
2001-11-21,50.4251
2001-11-23,44.6233
2001-11-26,41.4211
2001-11-27,41.372
2001-11-28,44.5901
2001-11-29,44.9414
2001-11-30,42.54
2001-12-03,42.4561
2001-12-04,44.9874
2001-12-05,59.8277
2001-12-06,39.4687
2001-12-07,31.9265
2001-12-10,27.5943
2001-12-11,30.6068
2001-12-12,38.5722
2001-12-13,37.7638
2001-12-14,38.4925
2001-12-17,36.619
2001-12-18,36.7997
2001-12-19,30.1602
2001-12-20,47.4323
2001-12-21,61.5959
2001-12-24,60.3319
2001-12-26,50.8473
2001-12-27,51.0783
2001-12-28,47.2227
2001-12-31,41.9664
2002-01-02,42.3557
2002-01-03,52.4967
2002-01-04,68.8956
2002-01-07,77.7096
2002-01-08,81.6365
2002-01-09,87.915
