date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,154.99,155.43,153.59,154.59,1621082.0
2021-02-10,156.08,156.63,154.12,154.58,1555985.0
2021-02-09,154.51,155.8,154.44,155.27,1916902.0
2021-02-08,154.74,155.76,154.27,154.5,1917242.0
2021-02-05,155.13,155.26,153.81,153.92,2210233.0
2021-02-04,155.35,156.2766,155.1,155.59,4266465.0
2021-02-03,155.0,155.5,154.2,154.74,1895810.0
2021-02-02,156.31,156.97,154.79,154.86,2066028.0
2021-02-01,156.4,156.77,155.5,155.7,3714493.0
2021-01-29,156.47,156.82,153.24,153.33,4334916.0
2021-01-28,155.94,158.44,155.7,157.29,2722424.0
2021-01-27,159.77,159.81,155.28,155.69,3729585.0
2021-01-26,162.25,162.6,161.69,161.75,2360631.0
2021-01-25,160.59,161.75,160.415,161.32,1644039.0
2021-01-22,158.36,160.33,158.01,159.73,2790679.0
2021-01-21,158.24,158.94,157.78,157.86,3579909.0
2021-01-20,159.1,159.1,157.26,157.74,3717827.0
2021-01-19,159.0,159.4,158.105,158.71,4397079.0
2021-01-15,156.5,157.5,156.42,156.7,2106122.0
2021-01-14,157.36,158.11,156.43,156.65,3512507.0
2021-01-13,156.53,157.58,156.2,156.44,3653360.0
2021-01-12,156.62,156.75,155.59,155.59,2800855.0
2021-01-11,156.88,157.915,156.34,156.5,3423034.0
2021-01-08,156.79,157.57,156.24,157.35,2861609.0
2021-01-07,156.73,157.47,155.75,155.75,4517474.0
2021-01-06,157.35,158.95,157.23,157.76,2991813.0
2021-01-05,156.24,157.8,155.83,157.36,2742363.0
2021-01-04,157.61,158.2,155.43,156.81,3650839.0
2020-12-31,155.81,156.35,154.23,156.24,1242649.0
2020-12-30,156.51,156.96,155.93,156.23,1895178.0
2020-12-29,156.99,157.15,155.27,155.35,2836548.0
2020-12-28,155.9,156.24,153.9,154.36,2633853.0
2020-12-24,153.54,153.61,151.99,152.63,1083896.0
2020-12-23,154.15,154.23,153.16,153.24,4204247.0
2020-12-22,154.0,154.17,152.74,153.81,2930889.0
2020-12-21,154.96,155.64,153.81,154.83,3807202.0
2020-12-18,157.96,158.21,155.83,156.75,5954596.0
2020-12-17,158.0,159.18,157.16,157.93,5504599.0
