date,MACD,MACD_Signal,MACD_Hist
2021-02-02,-0.5329,0.0269,-0.5597
2021-02-01,-0.3457,0.3067,-0.6524
2021-01-29,3.0432,4.3546,-1.3114
2021-01-28,3.6746,4.6825,-1.0079
2021-01-27,4.0238,4.9344,-0.9106
2021-01-26,4.5739,5.1621,-0.5882
2021-01-25,4.5926,5.3091,-0.7166
2021-01-22,4.5933,5.4883,-0.895
2021-01-21,4.6894,5.7120000000000015,-1.0227
2021-01-20,4.9342,5.9677,-1.0336
2021-01-19,5.187,6.2261,-1.0391
2021-01-15,5.3356,6.4859,-1.1503
2021-01-14,5.6522,6.7734,-1.1212
2021-01-13,5.9793,7.0537,-1.0744
2021-01-12,6.3311,7.3223,-0.9912
2021-01-11,6.7747,7.5701,-0.7955
2021-01-08,7.1496,7.769,-0.6194
2021-01-07,7.4376,7.9238,-0.4863
2021-01-06,7.8599,8.0454,-0.1855
2021-01-05,8.0799,8.0918,-0.0119
2021-01-04,8.2839,8.0948,0.1892
2020-12-31,8.4799,8.0475,0.4324
2020-12-30,8.6646,7.9394,0.7253
2020-12-29,8.7755,7.7581,1.0174
2020-12-28,8.8789,7.5037,1.3752
2020-12-24,8.9825,7.1599,1.8226
2020-12-23,9.1603,6.7043,2.4561
2020-12-22,9.1919,6.0902,3.1017
2020-12-21,9.0404,5.3148,3.7256
2020-12-18,8.6118,4.3834,4.2284
2020-12-17,7.7439,3.3263,4.4176
2020-12-16,6.4034,2.2219,4.1815
2020-12-15,4.5891,1.1765,3.4126
2020-12-14,2.2189,0.3234,1.8955
2020-12-11,-0.6757,-0.1505,-0.5252
2020-12-10,-0.7633,-0.0192,-0.7441
2020-12-09,-0.6491,0.1669,-0.8159
2020-12-08,-0.3788,0.3708,-0.7496
2020-12-07,-0.179,0.5582,-0.7373
2020-12-04,0.1183,0.7426,-0.6243
2020-12-03,0.325,0.8986,-0.5737
2020-12-02,0.528,1.042,-0.514
2020-12-01,0.6075,1.1705,-0.5631
2020-11-30,0.7611,1.3113,-0.5502
2020-11-27,0.9503,1.4488,-0.4986
2020-11-25,1.0027,1.5735,-0.5708
2020-11-24,1.1467,1.7162,-0.5695
2020-11-23,1.2955,1.8586,-0.5631
2020-11-20,1.5174,1.9993,-0.4819
2020-11-19,1.9039,2.1198,-0.2159
2020-11-18,2.3012,2.1738,0.1275
2020-11-17,2.6304,2.1419,0.4884
2020-11-16,2.5825,2.0198,0.5627
2020-11-13,2.4716,1.8791,0.5925
2020-11-12,2.2992,1.731,0.5682
2020-11-11,2.2657,1.589,0.6768
2020-11-10,1.9843,1.4198,0.5645
2020-11-09,1.6502,1.2786,0.3715
2020-11-06,1.4248,1.1858,0.239
2020-11-05,1.0776,1.126,-0.0484
2020-11-04,0.6006,1.1381,-0.5375
2020-11-03,0.1957,1.2725,-1.0768
2020-11-02,0.3207,1.5417,-1.221
2020-10-30,0.6984,1.8469,-1.1485
2020-10-29,1.1389,2.134,-0.9951
2020-10-28,1.3719,2.3828,-1.0109
2020-10-27,1.9915,2.6355,-0.644
2020-10-26,2.229,2.7965,-0.5675
2020-10-23,2.4224,2.9384,-0.5161
2020-10-22,2.5473,3.0674,-0.5201
2020-10-21,2.8673,3.1975,-0.3301
2020-10-20,3.3847,3.28,0.1047
2020-10-19,3.4044,3.2538,0.1505
2020-10-16,3.6079,3.2162,0.3918
2020-10-15,3.574,3.1182,0.4558
2020-10-14,3.6925,3.0043,0.6882
2020-10-13,3.7402,2.8323,0.9079
2020-10-12,3.6214,2.6053,1.0161
2020-10-09,3.3529,2.3512,1.0017
2020-10-08,2.9473,2.1008,0.8464
2020-10-07,2.5271,1.8892,0.6379
2020-10-06,1.7311,1.7298,0.0014
2020-10-05,1.6318,1.7294,-0.0976
2020-10-02,1.5658,1.7538,-0.188
2020-10-01,1.8355,1.8008,0.0346
2020-09-30,1.7376,1.7922,-0.0546
2020-09-29,1.7095,1.8058,-0.0963
2020-09-28,1.8495,1.8299,0.0196
2020-09-25,1.9156,1.825,0.0906
2020-09-24,1.8572,1.8023,0.0548
2020-09-23,2.0009,1.7886,0.2123
2020-09-22,2.1136,1.7355,0.378
2020-09-21,2.0148,1.641,0.3738
2020-09-18,2.1415,1.5476,0.5939
2020-09-17,2.0704,1.3991,0.6713
2020-09-16,1.9079,1.2313,0.6766
