date,MFI
1999-11-19,89.4641
1999-11-22,92.1979
1999-11-23,92.7142
1999-11-24,93.3462
1999-11-26,93.3558
1999-11-29,86.4318
1999-11-30,84.6237
1999-12-01,86.0883
1999-12-02,86.3176
1999-12-03,85.2817
1999-12-06,84.2535
1999-12-07,82.2399
1999-12-08,82.9112
1999-12-09,82.5529
1999-12-10,69.1362
1999-12-13,59.3996
1999-12-14,54.342
1999-12-15,39.806
1999-12-16,35.2893
1999-12-17,45.2551
1999-12-20,58.2071
1999-12-21,83.1666
1999-12-22,71.4171
1999-12-23,74.4158
1999-12-27,76.2527
1999-12-28,79.8923
1999-12-29,85.9046
1999-12-30,78.7371
1999-12-31,72.0243
2000-01-03,72.8418
2000-01-04,67.8314
2000-01-05,66.167
2000-01-06,70.0895
2000-01-07,72.7516
2000-01-10,76.0879
2000-01-11,64.8446
2000-01-12,64.739
2000-01-13,66.4821
2000-01-14,68.6334
2000-01-18,64.3267
2000-01-19,58.8459
2000-01-20,67.8134
2000-01-21,78.6235
2000-01-24,82.7124
2000-01-25,80.9901
2000-01-26,83.3742
2000-01-27,71.9712
2000-01-28,66.5546
2000-01-31,58.0812
2000-02-01,58.2546
2000-02-02,67.0368
2000-02-03,67.9002
2000-02-04,71.1773
2000-02-07,66.0376
2000-02-08,61.7301
2000-02-09,56.6087
2000-02-10,54.1559
2000-02-11,52.8251
2000-02-14,56.992
2000-02-15,59.647
2000-02-16,71.617
2000-02-17,65.8879
2000-02-18,64.5425
2000-02-22,63.0775
2000-02-23,62.394
2000-02-24,64.7242
2000-02-25,54.6379
2000-02-28,60.9171
2000-02-29,69.05
2000-03-01,75.9273
2000-03-02,66.5451
2000-03-03,52.5052
2000-03-06,56.8431
2000-03-07,58.9639
2000-03-08,50.5131
2000-03-09,50.4662
2000-03-10,47.6526
2000-03-13,45.6718
2000-03-14,40.7859
2000-03-15,36.1217
2000-03-16,40.8979
2000-03-17,42.1917
2000-03-20,36.0155
2000-03-21,28.2658
2000-03-22,32.5813
2000-03-23,40.1953
2000-03-24,31.0159
2000-03-27,26.7214
2000-03-28,29.0807
2000-03-29,29.9684
2000-03-30,32.792
2000-03-31,43.8346
2000-04-03,46.4828
2000-04-04,45.0102
2000-04-05,43.2625
2000-04-06,38.5588
2000-04-07,41.676
2000-04-10,43.4757
2000-04-11,38.4252
2000-04-12,34.3511
2000-04-13,37.374
2000-04-14,29.8801
2000-04-17,30.453
2000-04-18,38.5152
2000-04-19,39.3891
2000-04-20,24.0536
2000-04-24,30.397
2000-04-25,41.3264
2000-04-26,31.2406
2000-04-27,25.7311
2000-04-28,39.0027
2000-05-01,47.7479
2000-05-02,48.0622
2000-05-03,48.506
2000-05-04,49.4573
2000-05-05,52.1374
2000-05-08,54.7548
2000-05-09,46.4764
2000-05-10,44.1124
2000-05-11,58.9103
2000-05-12,58.6915
2000-05-15,54.2922
2000-05-16,66.753
2000-05-17,72.565
2000-05-18,71.5829
2000-05-19,67.1586
2000-05-22,68.0542
2000-05-23,69.8442
2000-05-24,64.8067
2000-05-25,65.7468
2000-05-26,65.1495
2000-05-30,69.9412
2000-05-31,79.8541
2000-06-01,76.3891
2000-06-02,76.8169
2000-06-05,81.0877
2000-06-06,74.9682
2000-06-07,66.6458
2000-06-08,53.4343
2000-06-09,59.4999
2000-06-12,68.3722
2000-06-13,62.9952
2000-06-14,71.5555
2000-06-15,66.7338
2000-06-16,71.4296
2000-06-19,72.6936
2000-06-20,74.367
2000-06-21,76.9798
2000-06-22,77.8831
2000-06-23,77.6954
2000-06-26,78.0454
2000-06-27,84.0171
2000-06-28,83.0801
2000-06-29,84.0097
2000-06-30,87.6342
2000-07-03,89.7778
2000-07-05,90.2569
2000-07-06,92.5756
2000-07-07,93.1522
2000-07-10,93.179
2000-07-11,93.2987
2000-07-12,93.547
2000-07-13,83.6285
2000-07-14,79.5496
2000-07-17,81.4253
2000-07-18,81.4087
2000-07-19,81.1368
2000-07-20,81.3145
2000-07-21,77.4042
2000-07-24,81.3045
2000-07-25,75.3382
2000-07-26,67.4958
2000-07-27,63.9774
2000-07-28,59.999
2000-07-31,57.2973
2000-08-01,54.7209
2000-08-02,67.3481
2000-08-03,72.6703
2000-08-04,68.841
2000-08-07,61.009
2000-08-08,61.4345
2000-08-09,55.5778
2000-08-10,47.9532
2000-08-11,40.1818
2000-08-14,41.4411
2000-08-15,52.5118
2000-08-16,49.0004
2000-08-17,48.5537
2000-08-18,47.3668
2000-08-21,45.1249
2000-08-22,36.8449
2000-08-23,30.0914
2000-08-24,32.0673
2000-08-25,50.6032
2000-08-28,60.289
2000-08-29,68.5041
2000-08-30,78.8836
2000-08-31,83.2662
2000-09-01,76.8586
2000-09-05,72.298
2000-09-06,69.8066
2000-09-07,74.8077
2000-09-08,76.8365
2000-09-11,70.1723
2000-09-12,70.6849
2000-09-13,76.8748
2000-09-14,78.2018
2000-09-15,79.1652
2000-09-18,82.172
2000-09-19,76.8017
2000-09-20,76.9286
2000-09-21,71.2798
2000-09-22,77.1702
2000-09-25,80.6138
2000-09-26,78.4655
2000-09-27,75.2811
2000-09-28,75.4829
2000-09-29,80.8833
2000-10-02,76.6213
2000-10-03,65.4977
2000-10-04,56.9986
2000-10-05,55.5287
2000-10-06,40.9818
2000-10-09,40.1925
2000-10-10,38.2585
2000-10-11,38.231
2000-10-12,32.7617
2000-10-13,24.1166
2000-10-16,32.2422
2000-10-17,35.0047
2000-10-18,30.8269
2000-10-19,30.0109
2000-10-20,37.3257
2000-10-23,51.0364
2000-10-24,48.9318
2000-10-25,42.9008
2000-10-26,43.481
2000-10-27,41.9575
2000-10-30,44.0332
2000-10-31,56.6554
2000-11-01,61.3749
2000-11-02,69.0559
2000-11-03,69.3475
2000-11-06,71.7513
2000-11-07,75.9209
2000-11-08,69.8896
2000-11-09,65.8145
2000-11-10,60.3463
2000-11-13,61.2441
2000-11-14,64.8608
2000-11-15,69.0089
2000-11-16,73.0483
2000-11-17,71.9354
2000-11-20,58.2967
2000-11-21,57.5132
2000-11-22,51.6888
2000-11-24,48.1886
2000-11-27,41.3524
2000-11-28,32.0668
2000-11-29,35.5599
2000-11-30,37.3763
2000-12-01,43.3862
2000-12-04,47.8508
