date,MFI
2014-01-09,68.117
2014-01-10,64.0372
2014-01-13,56.2786
2014-01-14,52.8941
2014-01-15,52.0187
2014-01-16,51.0146
2014-01-17,45.3685
2014-01-21,53.2856
2014-01-22,53.4959
2014-01-23,56.0865
2014-01-24,62.3363
2014-01-27,71.3057
2014-01-28,68.5852
2014-01-29,74.4437
2014-01-30,79.766
2014-01-31,72.0135
2014-02-03,74.5405
2014-02-04,67.5069
2014-02-05,66.4943
2014-02-06,66.0188
2014-02-07,66.0551
2014-02-10,61.3523
2014-02-11,59.4168
2014-02-12,63.9746
2014-02-13,61.4556
2014-02-14,50.7282
2014-02-18,47.9631
2014-02-19,53.3725
2014-02-20,47.8706
2014-02-21,57.3013
2014-02-24,65.4746
2014-02-25,75.5038
2014-02-26,69.7324
2014-02-27,71.4353
2014-02-28,73.025
2014-03-03,75.456
2014-03-04,80.9948
2014-03-05,81.9174
2014-03-06,82.6472
2014-03-07,86.8183
2014-03-10,79.7876
2014-03-11,63.7855
2014-03-12,60.6861
2014-03-13,63.5478
2014-03-14,65.1555
2014-03-17,67.8799
2014-03-18,67.6086
2014-03-19,61.9616
2014-03-20,57.783
2014-03-21,46.848
2014-03-24,38.3625
2014-03-25,38.5815
2014-03-26,37.7112
2014-03-27,32.9221
2014-03-28,36.6518
2014-03-31,56.4485
2014-04-01,61.0709
2014-04-02,58.9893
2014-04-03,53.9364
2014-04-04,47.0236
2014-04-07,48.9713
2014-04-08,55.6365
2014-04-09,60.1471
2014-04-10,73.9633
2014-04-11,71.8273
2014-04-14,71.4202
2014-04-15,67.6337
2014-04-16,68.6967
2014-04-17,63.7527
2014-04-21,47.253
2014-04-22,40.4087
2014-04-23,39.8082
2014-04-24,45.5173
2014-04-25,45.5636
2014-04-28,45.0832
2014-04-29,39.4823
2014-04-30,43.8231
2014-05-01,52.8161
2014-05-02,63.6367
2014-05-05,58.1313
2014-05-06,58.5487
2014-05-07,58.4136
2014-05-08,60.8277
2014-05-09,54.8928
2014-05-12,59.7174
2014-05-13,57.8552
2014-05-14,54.3919
2014-05-15,56.4592
2014-05-16,57.0732
2014-05-19,57.0754
2014-05-20,51.1912
2014-05-21,41.9101
2014-05-22,35.8588
2014-05-23,41.3934
2014-05-27,50.2651
2014-05-28,50.3707
2014-05-29,47.816
2014-05-30,56.6714
2014-06-02,47.8251
2014-06-03,33.0174
2014-06-04,38.0067
2014-06-05,42.7239
2014-06-06,52.9985
2014-06-09,52.6113
2014-06-10,51.9935
2014-06-11,51.4649
2014-06-12,47.9146
2014-06-13,49.664
2014-06-16,50.3846
2014-06-17,48.8345
2014-06-18,55.0964
2014-06-19,53.9533
2014-06-20,61.0097
2014-06-23,76.2631
2014-06-24,71.8219
2014-06-25,67.5159
2014-06-26,61.5949
2014-06-27,65.8641
2014-06-30,66.2028
2014-07-01,57.8561
2014-07-02,62.0833
2014-07-03,59.7262
2014-07-07,51.7361
2014-07-08,55.951
2014-07-09,55.5227
2014-07-10,47.7351
2014-07-11,44.7235
2014-07-14,46.947
2014-07-15,46.0661
2014-07-16,41.3906
2014-07-17,41.2362
2014-07-18,30.3714
2014-07-21,30.9496
2014-07-22,41.0458
2014-07-23,37.1506
2014-07-24,33.2369
2014-07-25,43.0743
2014-07-28,49.9817
2014-07-29,43.9124
2014-07-30,44.5716
2014-07-31,50.9346
2014-08-01,58.2775
2014-08-04,66.3559
2014-08-05,80.461
2014-08-06,81.6713
2014-08-07,82.1361
2014-08-08,77.7017
2014-08-11,77.3861
2014-08-12,76.7235
2014-08-13,76.5199
2014-08-14,70.776
2014-08-15,70.9271
2014-08-18,76.5885
2014-08-19,84.094
2014-08-20,78.0751
2014-08-21,69.7465
2014-08-22,67.0358
2014-08-25,63.9832
2014-08-26,61.8822
2014-08-27,54.3452
2014-08-28,54.4842
2014-08-29,52.9582
2014-09-02,60.8159
2014-09-03,69.4405
2014-09-04,76.1314
2014-09-05,76.5859
2014-09-08,79.0108
2014-09-09,65.617
2014-09-10,61.1827
2014-09-11,66.4925
2014-09-12,52.5779
2014-09-15,55.9499
2014-09-16,52.0072
2014-09-17,55.8501
2014-09-18,59.4532
2014-09-19,53.6266
2014-09-22,54.7753
2014-09-23,48.1846
2014-09-24,43.7477
2014-09-25,39.3817
2014-09-26,32.5742
2014-09-29,40.4123
2014-09-30,40.2908
2014-10-01,33.9031
2014-10-02,47.838
2014-10-03,44.0676
2014-10-06,45.0238
2014-10-07,40.0856
2014-10-08,34.8278
2014-10-09,41.8197
2014-10-10,31.6181
2014-10-13,34.2894
2014-10-14,38.1677
2014-10-15,45.76
2014-10-16,53.1513
2014-10-17,57.0295
2014-10-20,57.4358
2014-10-21,68.6708
2014-10-22,59.1906
2014-10-23,60.6523
2014-10-24,64.19
2014-10-27,69.8035
2014-10-28,77.3478
2014-10-29,82.6234
2014-10-30,87.3511
2014-10-31,83.3581
2014-11-03,76.802
2014-11-04,68.3351
2014-11-05,61.0495
2014-11-06,61.2201
2014-11-07,67.0012
2014-11-10,63.1578
2014-11-11,67.3973
