date,MACD_Signal,MACD,MACD_Hist
2021-01-19,0.8107,0.0847,-0.726
2021-01-15,0.9922,0.3411,-0.6511
2021-01-14,1.1549,0.7896,-0.3653
2021-01-13,1.2463,1.088,-0.1582
2021-01-12,1.2858,1.3522,0.0664
2021-01-11,1.2692,1.3057,0.0365
2021-01-08,1.2601,1.0345,-0.2256
2021-01-07,1.3165,0.9451,-0.3714
2021-01-06,1.4094,0.7581,-0.6512
2021-01-05,1.5722,1.0003,-0.5718
2021-01-04,1.7151,1.0464,-0.6687
2020-12-31,1.8823,1.1379,-0.7443
2020-12-30,2.0684,1.2983,-0.7701
2020-12-29,2.2609,1.4249,-0.836
2020-12-28,2.4699,1.7359,-0.7340000000000001
2020-12-24,2.6534,2.0079,-0.6455
2020-12-23,2.8148,2.3043,-0.5104
2020-12-22,2.9424,2.6757,-0.2667
2020-12-21,3.0091,2.9468,-0.0622
2020-12-18,3.0246,3.2429,0.2183
2020-12-17,2.97,3.2998,0.3298
2020-12-16,2.8876,3.2307,0.3431
2020-12-15,2.8018,3.0945,0.2927
2020-12-14,2.7286,2.8482,0.1196
2020-12-11,2.6987,2.7306,0.0319
2020-12-10,2.6908,2.8595,0.1687
2020-12-09,2.6486,2.9814,0.3328
2020-12-08,2.5654,3.2799,0.7145
2020-12-07,2.3868,3.2987,0.9119
2020-12-04,2.1588,3.1575,0.9987
2020-12-03,1.9091,2.9344,1.0253
2020-12-02,1.6528,2.7832,1.1304
2020-12-01,1.3702,2.4041,1.0339
2020-11-30,1.1117,1.9983,0.8866
2020-11-27,0.89,1.4482,0.5581
2020-11-25,0.7505,1.2819,0.5314
2020-11-24,0.6177,1.0999,0.4823
2020-11-23,0.4971,1.0186,0.5216
2020-11-20,0.3667,0.8756,0.5089
2020-11-19,0.2395,0.7486,0.5091
2020-11-18,0.1122,0.4839,0.3717
2020-11-17,0.0193,0.4445,0.4252
2020-11-16,-0.087,0.3042,0.3913
2020-11-13,-0.1849,0.0831,0.268
2020-11-12,-0.2519,0.0339,0.2857
2020-11-11,-0.3233,-0.0713,0.252
2020-11-10,-0.3863,-0.1474,0.2389
2020-11-09,-0.446,0.0926,0.5387
2020-11-06,-0.5807,-0.1247,0.456
2020-11-05,-0.6947,-0.6814,0.0133
2020-11-04,-0.698,-1.0887,-0.3907
2020-11-03,-0.6004,-1.4248,-0.8244
2020-11-02,-0.3943,-1.3473,-0.953
2020-10-30,-0.156,-1.0374,-0.8814
2020-10-29,0.0644,-0.6869,-0.7512
2020-10-28,0.2522,-0.5075,-0.7596
2020-10-27,0.4421,-0.1061,-0.5482
2020-10-26,0.5791,0.1552,-0.4239
2020-10-23,0.6851,0.1454,-0.5397
2020-10-22,0.82,0.1583,-0.6618
2020-10-21,0.9854,0.431,-0.5545
2020-10-20,1.1241,0.7952,-0.3289
2020-10-19,1.2063,1.0082,-0.1981
2020-10-16,1.2558,1.2206,-0.0352
2020-10-15,1.2646,1.3549,0.0903
2020-10-14,1.242,1.5106,0.2685
2020-10-13,1.1749,1.5774,0.4024
2020-10-12,1.0743,1.5307,0.4564
2020-10-09,0.9602,1.5498,0.5896
2020-10-08,0.8128,1.6726,0.8598
2020-10-07,0.5978,1.4580000000000002,0.8601
2020-10-06,0.3828,1.1445,0.7616
2020-10-05,0.1924,0.9527,0.7603
2020-10-02,0.0023,0.524,0.5216
2020-10-01,-0.1281,0.4121,0.5401
2020-09-30,-0.2631,-0.0483,0.2148
