date,MFI
1999-11-19,53.0799
1999-11-22,53.5584
1999-11-23,49.4345
1999-11-24,54.3277
1999-11-26,54.5462
1999-11-29,60.8385
1999-11-30,58.3286
1999-12-01,53.1945
1999-12-02,49.5384
1999-12-03,68.0277
1999-12-06,75.5122
1999-12-07,73.1197
1999-12-08,65.8042
1999-12-09,64.3189
1999-12-10,59.1839
1999-12-13,59.29
1999-12-14,58.8156
1999-12-15,53.5672
1999-12-16,54.4709
1999-12-17,48.888
1999-12-20,49.9625
1999-12-21,54.9061
1999-12-22,50.364
1999-12-23,38.4611
1999-12-27,27.1519
1999-12-28,32.5504
1999-12-29,36.0287
1999-12-30,39.7661
1999-12-31,46.8788
2000-01-03,50.7539
2000-01-04,61.5726
2000-01-05,59.2841
2000-01-06,63.5528
2000-01-07,65.8744
2000-01-10,76.622
2000-01-11,77.4871
2000-01-12,82.3183
2000-01-13,86.1556
2000-01-14,90.4495
2000-01-18,91.444
2000-01-19,92.8788
2000-01-20,95.4082
2000-01-21,87.7775
2000-01-24,81.6557
2000-01-25,82.3582
2000-01-26,81.722
2000-01-27,81.3149
2000-01-28,76.9935
2000-01-31,72.9971
2000-02-01,72.7654
2000-02-02,69.1377
2000-02-03,69.6303
2000-02-04,67.7591
2000-02-07,66.5236
2000-02-08,66.4601
2000-02-09,59.3907
2000-02-10,69.0302
2000-02-11,80.041
2000-02-14,70.6172
2000-02-15,69.0327
2000-02-16,69.7674
2000-02-17,69.9488
2000-02-18,68.0548
2000-02-22,63.3191
2000-02-23,66.4174
2000-02-24,64.8985
2000-02-25,56.1567
2000-02-28,49.5375
2000-02-29,49.2896
2000-03-01,48.6036
2000-03-02,43.4127
2000-03-03,38.0243
2000-03-06,55.3796
2000-03-07,70.0797
2000-03-08,60.24
2000-03-09,66.9688
2000-03-10,61.3075
2000-03-13,59.8808
2000-03-14,56.8691
2000-03-15,52.8931
2000-03-16,53.8158
2000-03-17,57.859
2000-03-20,58.1975
2000-03-21,59.5217
2000-03-22,63.5193
2000-03-23,59.8416
2000-03-24,56.1099
2000-03-27,44.3663
2000-03-28,52.3359
2000-03-29,42.104
2000-03-30,57.8454
2000-03-31,66.0418
2000-04-03,72.3869
2000-04-04,65.6488
2000-04-05,74.456
2000-04-06,77.3323
2000-04-07,79.0564
2000-04-10,80.5291
2000-04-11,70.8456
2000-04-12,74.8632
2000-04-13,78.3016
2000-04-14,74.269
2000-04-17,75.3755
2000-04-18,79.4042
2000-04-19,74.2977
2000-04-20,74.2679
2000-04-24,74.98
2000-04-25,81.6314
2000-04-26,73.7942
2000-04-27,73.6817
2000-04-28,74.0912
2000-05-01,73.8221
2000-05-02,81.337
2000-05-03,75.9592
2000-05-04,73.4214
2000-05-05,79.9518
2000-05-08,75.0993
2000-05-09,68.0311
2000-05-10,66.2526
2000-05-11,66.9832
2000-05-12,66.0857
2000-05-15,60.6912
2000-05-16,68.8213
2000-05-17,60.9913
2000-05-18,53.5167
2000-05-19,45.8672
2000-05-22,36.5804
2000-05-23,36.2326
2000-05-24,27.4391
2000-05-25,19.3011
2000-05-26,24.4046
2000-05-30,31.7198
2000-05-31,38.8221
2000-06-01,37.523
2000-06-02,37.9738
2000-06-05,46.5464
2000-06-06,40.1951
2000-06-07,40.183
2000-06-08,45.3224
2000-06-09,49.551
2000-06-12,50.1549
2000-06-13,56.4666
2000-06-14,60.4863
2000-06-15,64.6913
2000-06-16,64.1931
2000-06-19,63.501
2000-06-20,63.5027
2000-06-21,63.634
2000-06-22,56.9204
2000-06-23,47.2816
2000-06-26,48.9071
2000-06-27,50.2478
2000-06-28,41.518
2000-06-29,33.9563
2000-06-30,42.0332
2000-07-03,40.5711
2000-07-05,37.4456
2000-07-06,46.0099
2000-07-07,47.5317
2000-07-10,48.5469
2000-07-11,42.1473
2000-07-12,41.3863
2000-07-13,47.1236
2000-07-14,52.2121
2000-07-17,58.0133
2000-07-18,57.8593
2000-07-19,66.9412
2000-07-20,63.959
2000-07-21,56.7614
2000-07-24,51.4454
2000-07-25,55.1252
2000-07-26,48.0246
2000-07-27,39.4009
2000-07-28,39.9995
2000-07-31,40.3485
2000-08-01,34.9984
2000-08-02,28.4279
2000-08-03,22.7232
2000-08-04,23.8629
2000-08-07,30.4636
2000-08-08,21.6035
2000-08-09,22.8834
2000-08-10,22.7573
2000-08-11,22.7446
2000-08-14,28.4401
2000-08-15,34.5049
2000-08-16,42.0712
2000-08-17,41.5266
2000-08-18,47.7859
2000-08-21,47.4475
2000-08-22,51.1854
2000-08-23,58.9156
2000-08-24,57.84
2000-08-25,51.991
2000-08-28,58.2778
2000-08-29,64.6681
2000-08-30,69.292
2000-08-31,79.0835
2000-09-01,78.1232
2000-09-05,69.0805
2000-09-06,60.2752
2000-09-07,50.6661
2000-09-08,40.7504
2000-09-11,44.0694
2000-09-12,44.3399
2000-09-13,36.1265
2000-09-14,27.7365
2000-09-15,27.0431
2000-09-18,21.9125
2000-09-19,24.6038
2000-09-20,31.5843
2000-09-21,23.0623
2000-09-22,30.5537
2000-09-25,30.6023
2000-09-26,31.2541
2000-09-27,32.1798
2000-09-28,32.3523
2000-09-29,31.9576
2000-10-02,31.8309
2000-10-03,39.5272
2000-10-04,39.8087
2000-10-05,40.6867
2000-10-06,40.0639
2000-10-09,32.3126
2000-10-10,31.0972
2000-10-11,39.2462
2000-10-12,37.6909
2000-10-13,38.0363
2000-10-16,37.7596
2000-10-17,36.5446
2000-10-18,35.1151
2000-10-19,41.6066
2000-10-20,48.2142
2000-10-23,46.9267
2000-10-24,47.3953
2000-10-25,47.5732
2000-10-26,52.963
2000-10-27,57.7378
2000-10-30,52.3318
2000-10-31,51.4609
2000-11-01,47.4404
2000-11-02,55.9348
2000-11-03,59.4282
2000-11-06,67.5918
2000-11-07,72.3911
2000-11-08,66.2637
2000-11-09,56.8547
2000-11-10,51.2331
2000-11-13,59.8998
2000-11-14,65.7965
2000-11-15,65.8748
2000-11-16,60.168
2000-11-17,61.7196
2000-11-20,52.8176
2000-11-21,43.1616
2000-11-22,32.9541
2000-11-24,36.646
2000-11-27,28.5416
2000-11-28,28.8169
2000-11-29,27.7884
2000-11-30,27.1303
2000-12-01,34.2907
2000-12-04,25.1668
2000-12-05,26.7521
2000-12-06,18.819
2000-12-07,19.0944
2000-12-08,26.2096
2000-12-11,33.5932
2000-12-12,41.7919
2000-12-13,41.2578
2000-12-14,38.6021
2000-12-15,41.1833
2000-12-18,42.3028
2000-12-19,50.2288
2000-12-20,53.732
2000-12-21,46.6593
2000-12-22,52.0359
2000-12-26,48.7018
2000-12-27,57.1338
2000-12-28,57.3878
2000-12-29,48.9436
2001-01-02,46.409
2001-01-03,44.471
2001-01-04,55.2711
2001-01-05,53.7827
2001-01-08,54.2362
2001-01-09,59.6597
2001-01-10,58.5874
2001-01-11,68.1546
2001-01-12,75.6844
2001-01-16,69.9259
2001-01-17,73.367
2001-01-18,79.0589
2001-01-19,84.6718
2001-01-22,82.8178
2001-01-23,83.7218
2001-01-24,83.601
2001-01-25,77.4196
2001-01-26,75.4848
2001-01-29,78.8887
2001-01-30,80.2832
2001-01-31,81.4233
2001-02-01,82.4932
2001-02-02,76.0707
2001-02-05,74.2193
2001-02-06,73.2541
2001-02-07,65.6353
2001-02-08,63.9424
2001-02-09,70.3279
2001-02-12,64.8251
2001-02-13,64.1922
2001-02-14,70.3153
2001-02-15,77.5831
2001-02-16,71.7092
2001-02-20,63.8329
2001-02-21,54.9028
2001-02-22,42.4096
2001-02-23,42.3119
2001-02-26,49.0775
2001-02-27,44.533
2001-02-28,43.4931
2001-03-01,35.9978
2001-03-02,36.9856
2001-03-05,41.983
2001-03-06,45.2308
2001-03-07,45.0134
2001-03-08,42.6689
2001-03-09,40.5333
2001-03-12,40.6731
2001-03-13,47.6389
2001-03-14,55.7918
2001-03-15,62.8285
2001-03-16,57.0489
2001-03-19,55.4443
2001-03-20,55.8278
2001-03-21,63.1543
2001-03-22,64.4794
2001-03-23,70.18
2001-03-26,70.7993
2001-03-27,72.2067
2001-03-28,64.8096
2001-03-29,65.2554
2001-03-30,63.2129
2001-04-02,56.6144
2001-04-03,49.5254
2001-04-04,43.0597
2001-04-05,48.3739
2001-04-06,47.2319
2001-04-09,46.1026
2001-04-10,46.9696
2001-04-11,47.7413
2001-04-12,37.2507
2001-04-16,30.783
2001-04-17,23.6782
2001-04-18,36.1847
2001-04-19,47.8851
2001-04-20,47.0617
2001-04-23,47.0437
2001-04-24,53.5489
2001-04-25,55.9332
2001-04-26,55.9488
2001-04-27,62.9699
2001-04-30,69.0975
2001-05-01,64.098
2001-05-02,64.5995
2001-05-03,64.1687
2001-05-04,61.2091
2001-05-07,60.9807
2001-05-08,52.6424
2001-05-09,41.4128
2001-05-10,49.7088
2001-05-11,50.6708
2001-05-14,45.5496
2001-05-15,51.5015
2001-05-16,52.6206
2001-05-17,52.3567
2001-05-18,51.4111
2001-05-21,58.9923
2001-05-22,57.16
2001-05-23,58.1841
2001-05-24,59.641
2001-05-25,64.1269
2001-05-29,64.6991
2001-05-30,64.4441
2001-05-31,63.4109
2001-06-01,68.7475
2001-06-04,66.6764
2001-06-05,66.5326
2001-06-06,58.3412
2001-06-07,58.6257
2001-06-08,59.3272
2001-06-11,51.1271
2001-06-12,43.7105
2001-06-13,48.44
2001-06-14,50.3157
2001-06-15,45.6253
2001-06-18,46.2457
2001-06-19,45.7529
2001-06-20,38.0177
2001-06-21,38.0513
2001-06-22,43.5176
2001-06-25,40.6904
2001-06-26,46.7431
2001-06-27,42.9607
2001-06-28,39.0179
2001-06-29,49.7251
2001-07-02,56.5651
2001-07-03,56.0408
2001-07-05,55.2129
2001-07-06,47.7417
2001-07-09,45.9095
2001-07-10,48.2175
2001-07-11,55.9747
2001-07-12,56.0776
2001-07-13,48.9285
2001-07-16,44.2323
2001-07-17,39.2134
2001-07-18,32.8197
2001-07-19,28.3228
2001-07-20,19.4129
2001-07-23,17.9098
2001-07-24,14.5714
2001-07-25,14.9553
2001-07-26,22.9685
2001-07-27,29.6338
2001-07-30,36.4146
2001-07-31,36.3955
2001-08-01,35.6616
2001-08-02,44.8779
2001-08-03,47.6884
2001-08-06,47.7579
2001-08-07,52.7997
2001-08-08,54.6769
2001-08-09,56.3793
2001-08-10,50.3267
2001-08-13,56.3761
2001-08-14,55.3411
2001-08-15,46.9999
2001-08-16,40.8075
2001-08-17,33.7395
2001-08-20,29.0846
2001-08-21,24.434
2001-08-22,14.7476
2001-08-23,15.0096
2001-08-24,21.6376
2001-08-27,27.8909
2001-08-28,27.9684
2001-08-29,27.5255
2001-08-30,27.6578
2001-08-31,20.1362
2001-09-04,21.699
2001-09-05,22.8409
2001-09-06,22.9187
2001-09-07,22.6108
2001-09-10,23.8609
2001-09-17,17.9948
2001-09-18,18.1171
2001-09-19,17.6422
2001-09-20,11.8528
2001-09-21,13.5807
2001-09-24,21.1982
2001-09-25,20.7652
2001-09-26,21.4355
2001-09-27,21.4292
2001-09-28,27.2387
2001-10-01,29.1583
2001-10-02,31.2385
2001-10-03,37.9746
2001-10-04,38.6963
2001-10-05,39.5081
2001-10-08,44.063
2001-10-09,50.6702
2001-10-10,57.0484
2001-10-11,57.2368
2001-10-12,48.9094
2001-10-15,53.5938
2001-10-16,61.7512
2001-10-17,58.1819
2001-10-18,51.0841
2001-10-19,51.1274
2001-10-22,55.0056
2001-10-23,54.1033
2001-10-24,51.8108
2001-10-25,59.4645
2001-10-26,59.9421
2001-10-29,53.9059
2001-10-30,48.1558
2001-10-31,43.5908
2001-11-01,56.2358
2001-11-02,67.371
2001-11-05,70.5154
2001-11-06,81.4837
2001-11-07,88.438
2001-11-08,73.6083
2001-11-09,66.7531
2001-11-12,62.4811
2001-11-13,63.9442
2001-11-14,65.4495
2001-11-15,60.7434
2001-11-16,60.0057
2001-11-19,58.9975
2001-11-20,55.2487
2001-11-21,50.106
2001-11-23,44.9457
2001-11-26,41.7087
2001-11-27,36.0493
2001-11-28,25.947
2001-11-29,29.3677
2001-11-30,37.9676
2001-12-03,47.139
2001-12-04,48.7142
2001-12-05,53.3801
2001-12-06,65.0875
2001-12-07,77.8856
2001-12-10,74.6236
2001-12-11,79.3132
2001-12-12,82.4861
2001-12-13,75.1159
2001-12-14,76.0452
2001-12-17,77.2878
2001-12-18,80.3481
2001-12-19,82.5992
2001-12-20,78.1042
2001-12-21,72.4186
2001-12-24,69.9581
2001-12-26,67.93
2001-12-27,65.5216
2001-12-28,54.8079
2001-12-31,57.8427
2002-01-02,56.4122
2002-01-03,61.5465
2002-01-04,75.9026
2002-01-07,76.8781
2002-01-08,69.4632
2002-01-09,61.245
2002-01-10,59.4315
2002-01-11,65.7276
2002-01-14,73.5499
2002-01-15,68.2095
2002-01-16,59.981
2002-01-17,50.8095
2002-01-18,46.6902
2002-01-22,46.3597
2002-01-23,42.8177
2002-01-24,32.5468
2002-01-25,21.8589
2002-01-28,18.4808
2002-01-29,18.5344
2002-01-30,18.7258
2002-01-31,24.731
2002-02-01,19.3934
2002-02-04,11.7935
2002-02-05,12.2926
2002-02-06,13.2003
2002-02-07,14.997
2002-02-08,23.3006
2002-02-11,28.8264
2002-02-12,35.3757
2002-02-13,45.097
2002-02-14,46.6328
2002-02-15,38.9341
2002-02-19,39.9974
2002-02-20,47.7287
2002-02-21,37.0482
2002-02-22,35.9627
2002-02-25,42.308
2002-02-26,47.4728
2002-02-27,54.3095
2002-02-28,54.9086
2002-03-01,53.4389
