date,MACD_Hist,MACD,MACD_Signal
2021-01-19,-11.8461,-17.1175,-5.2714
2021-01-15,-12.9502,-15.2601,-2.3099
2021-01-14,-11.9141,-10.9864,0.9277
2021-01-13,-11.6423,-7.736000000000001,3.9062
2021-01-12,-14.2035,-7.3867,6.8168
2021-01-11,-12.6131,-2.2455,10.3677
2021-01-08,-8.4976,5.0233,13.5209
2021-01-07,-8.391,7.2543,15.6454
2021-01-06,-5.6554,12.0877,17.7431
2021-01-05,1.3453,20.5023,19.157
2021-01-04,3.9649,22.7855,18.8206
2020-12-31,10.7848,28.6142,17.8294
2020-12-30,13.3465,28.4797,15.1332
2020-12-29,13.1526,24.9492,11.7966
2020-12-28,7.891,16.3995,8.5085
2020-12-24,2.5857,9.1214,6.5357
2020-12-23,5.1394,11.0287,5.8893
2020-12-22,7.4173,12.0217,4.6044
2020-12-21,8.2006,10.9507,2.7501
2020-12-18,8.7591,9.459,0.6999
2020-12-17,9.3686,7.8787,-1.4898
2020-12-16,6.0735,2.2415,-3.832
2020-12-15,-0.1327,-5.4831,-5.3503
2020-12-14,-2.2237,-7.5408,-5.3171
2020-12-11,-4.4665,-9.2278,-4.7612
2020-12-10,-3.4733,-7.1179,-3.6446
2020-12-09,-0.0251,-2.8014,-2.7763
2020-12-08,5.2429,2.4729,-2.77
2020-12-07,5.8077,1.7269999999999999,-4.0807
2020-12-04,8.2465,2.7139,-5.5326
2020-12-03,11.062000000000001,3.4677,-7.5943
2020-12-02,12.2803,1.9206,-10.3598
2020-12-01,11.6372,-1.7927,-13.4299
2020-11-30,8.148,-8.1912,-16.3392
2020-11-27,7.436,-10.9402,-18.3762
2020-11-25,3.1658,-17.0694,-20.2352
2020-11-24,-2.572,-23.5986,-21.0266
2020-11-23,-4.3825,-24.7661,-20.3836
2020-11-20,-4.6053,-23.8933,-19.288
2020-11-19,-4.398,-22.5346,-18.1367
2020-11-18,-5.2295,-22.2667,-17.0372
2020-11-17,-4.6939,-20.4237,-15.7298
2020-11-16,-6.2931,-20.8494,-14.5563
2020-11-13,-7.6379,-20.621,-12.982999999999999
2020-11-12,-8.7269,-19.8004,-11.0736
2020-11-11,-7.6866,-16.5784,-8.8918
2020-11-10,-8.0149,-14.9851,-6.9702
2020-11-09,2.6561,-2.3104,-4.9665
2020-11-06,8.4615,2.8311,-5.6305
2020-11-05,0.0304,-7.7155,-7.7459
2020-11-04,-14.3934,-22.1468,-7.7535
2020-11-03,-27.8582,-32.0134,-4.1551
2020-11-02,-27.325,-24.5155,2.8094
2020-10-30,-19.7568,-10.1161,9.6407
2020-10-29,-9.3946,5.1853,14.5799
2020-10-28,-10.0923,6.8362,16.9285
2020-10-27,-5.6971,13.7546,19.4516
2020-10-26,-11.0707,9.8052,20.8759
2020-10-23,-10.9486,12.6949,23.6435
2020-10-22,-9.9133,16.4674,26.3807
2020-10-21,-4.9652,23.8939,28.859
2020-10-20,2.0553,32.1556,30.1003
2020-10-19,9.3812,38.9676,29.5865
2020-10-16,20.8521,48.0932,27.2412
2020-10-15,30.3441,52.3722,22.0282
