date,MFI
2021-01-22,44.1975
2021-01-21,44.1102
2021-01-20,35.4372
2021-01-19,35.161
2021-01-15,38.2191
2021-01-14,40.2667
2021-01-13,41.0243
2021-01-12,39.9319
2021-01-11,39.517
2021-01-08,37.6476
2021-01-07,44.5015
2021-01-06,45.5259
2021-01-05,52.87600000000001
2021-01-04,54.1687
2020-12-31,55.694
2020-12-30,55.7717
2020-12-29,55.0309
2020-12-28,53.4056
2020-12-24,44.6517
2020-12-23,43.3189
2020-12-22,42.6136
2020-12-21,37.207
2020-12-18,45.6098
2020-12-17,47.464
2020-12-16,46.2214
2020-12-15,45.4281
2020-12-14,45.6486
2020-12-11,36.5736
2020-12-10,43.2021
2020-12-09,43.2187
2020-12-08,44.2934
2020-12-07,44.4705
2020-12-04,43.5484
2020-12-03,42.8511
2020-12-02,50.2143
2020-12-01,57.4318
2020-11-30,46.9612
2020-11-27,44.3446
2020-11-25,38.432
2020-11-24,40.7248
2020-11-23,43.8594
2020-11-20,51.0537
2020-11-19,43.5184
2020-11-18,40.4426
2020-11-17,47.0945
2020-11-16,41.4737
2020-11-13,46.6367
2020-11-12,52.6054
2020-11-11,52.1252
2020-11-10,46.9204
2020-11-09,47.9367
2020-11-06,49.5699
2020-11-05,49.2362
2020-11-04,41.0895
2020-11-03,32.855
2020-11-02,26.2276
2020-10-30,34.4896
2020-10-29,45.5877
2020-10-28,44.431
2020-10-27,50.1738
2020-10-26,50.1073
2020-10-23,42.6305
2020-10-22,42.8692
2020-10-21,42.0895
2020-10-20,48.5161
2020-10-19,54.7644
2020-10-16,56.1377
2020-10-15,63.9663
2020-10-14,71.2137
2020-10-13,72.2048
2020-10-12,63.9802
2020-10-09,62.749
2020-10-08,54.6561
2020-10-07,46.3447
2020-10-06,39.3861
2020-10-05,39.6881
2020-10-02,39.855
2020-10-01,40.4613
2020-09-30,33.5209
2020-09-29,26.5816
2020-09-28,33.0351
2020-09-25,26.7439
2020-09-24,19.7585
2020-09-23,18.9543
2020-09-22,24.4062
2020-09-21,21.6602
2020-09-18,27.6709
