date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,12.55,13.0,12.2,12.57,916396.0
2020-04-30,12.96,13.38,11.8,13.08,3687972.0
2020-04-29,13.15,13.41,12.98,13.2,1416454.0
2020-04-28,13.87,13.99,13.33,13.46,1365002.0
2020-04-27,13.98,14.29,13.55,13.85,1737371.0
2020-04-24,14.75,15.69,13.75,13.96,5143166.0
2020-04-23,13.3,14.5,12.73,14.5,4710924.0
2020-04-22,13.63,14.4,12.72,13.14,1825958.0
2020-04-21,13.45,14.52,13.42,13.75,2074956.0
2020-04-20,13.7,14.39,13.3,13.92,3383524.0
2020-04-17,13.41,13.93,13.0,13.28,2737014.0
2020-04-16,13.28,14.64,13.05,14.45,3669141.0
2020-04-15,12.34,14.5,12.28,13.73,5114845.0
2020-04-14,11.65,13.58,11.6,12.95,3803789.0
2020-04-13,12.34,12.5999,11.5,12.25,2101212.0
2020-04-09,12.7,12.96,11.8,12.3,3123569.0
2020-04-08,14.16,14.2,12.91,13.0,4853904.0
2020-04-07,13.55,13.92,12.3,12.32,5519518.0
2020-04-06,16.05,17.1,14.02,14.96,4692857.0
2020-04-03,15.5,17.45,15.03,15.82,11057434.0
2020-04-02,16.05,18.75,13.8,14.63,16854208.0
2020-04-01,12.54,17.54,12.2,17.2,20723981.0
2020-03-31,12.0,13.0,11.55,12.08,2831073.0
2020-03-30,13.75,14.4,12.31,13.32,8205386.0
2020-03-27,9.64,11.6094,9.255,11.2,7600647.0
2020-03-26,9.61,9.64,8.75,9.35,2184854.0
2020-03-25,9.14,9.15,8.56,8.68,1613587.0
2020-03-24,10.05,10.39,9.1,9.25,1799544.0
2020-03-23,10.75,11.97,10.0,10.3,3581637.0
2020-03-20,11.45,11.8,10.0,10.67,3501046.0
2020-03-19,12.55,13.3,11.27,11.35,2632381.0
2020-03-18,13.05,13.77,11.8,12.13,3638857.0
2020-03-17,13.01,14.0,11.56,12.36,2840816.0
2020-03-16,11.99,15.3,10.51,13.14,6817183.0
2020-03-13,10.55,13.94,10.12,12.51,5744596.0
2020-03-12,16.0,16.0,11.54,12.55,9693102.0
2020-03-11,9.88,13.5,9.26,11.41,13065579.0
2020-03-10,11.24,11.24,8.33,9.21,4802767.0
2020-03-09,14.8,15.22,10.09,11.68,5088121.0
2020-03-06,16.55,16.75,14.12,14.42,5407656.0
2020-03-05,18.19,18.55,15.8,16.47,7626074.0
2020-03-04,16.75,19.97,15.51,16.0,8648255.0
2020-03-03,13.41,21.65,13.0,19.19,21817199.0
2020-03-02,19.59,19.62,12.61,16.0,15581381.0
2020-02-28,36.82,41.59,16.61,21.0,35176991.0
2020-02-27,20.18,27.5,16.35,25.25,39681658.0
2020-02-26,10.81,13.45,10.46,12.39,24213308.0
2020-02-25,6.8,10.8,6.22,10.0,19319711.0
2020-02-24,6.65,7.4,6.12,7.14,9969991.0
2020-02-21,5.32,5.77,5.25,5.7,3193334.0
2020-02-20,4.8,5.38,4.71,5.21,1774788.0
2020-02-19,4.82,4.96,4.7,4.91,915577.0
2020-02-18,5.34,5.38,4.88,5.03,1338494.0
2020-02-14,5.2,5.4,5.02,5.18,1717993.0
2020-02-13,5.9,5.98,5.09,5.18,7984739.0
2020-02-12,5.33,5.33,4.61,4.74,1761803.0
2020-02-11,5.55,5.55,5.14,5.23,1262879.0
2020-02-10,5.71,5.95,5.51,5.63,1472979.0
2020-02-07,5.36,5.94,5.31,5.57,2081719.0
2020-02-06,5.2,5.75,5.12,5.52,1398471.0
2020-02-05,4.89,5.5,4.86,5.21,1288495.0
2020-02-04,5.66,5.67,4.68,5.21,2751259.0
2020-02-03,6.8,7.14,5.52,5.91,3576768.0
2020-01-31,6.6,6.9,6.25,6.72,5142623.0
2020-01-30,6.12,6.9,5.81,6.24,6880157.0
2020-01-29,5.85,5.9,5.0,5.82,3834896.0
2020-01-28,7.16,7.16,5.45,5.7,5475607.0
2020-01-27,7.8,7.86,7.0,7.7,11478062.0
2020-01-24,5.31,6.87,5.19,6.0,12209902.0
2020-01-23,5.15,5.56,4.6999,5.09,4520150.0
2020-01-22,4.95,5.1,4.02,4.6,3119659.0
2020-01-21,4.25,5.25,3.86,4.85,6587663.0
2020-01-17,3.54,3.55,3.41,3.5,18647.0
2020-01-16,3.46,3.58,3.46,3.5079,8574.0
2020-01-15,3.51,3.58,3.46,3.46,14363.0
2020-01-14,3.5,3.6,3.5,3.5,23817.0
2020-01-13,3.51,3.55,3.47,3.5,11608.0
2020-01-10,3.4991,3.55,3.48,3.51,6055.0
2020-01-09,3.5,3.53,3.5,3.5,4691.0
2020-01-08,3.51,3.57,3.4,3.5,18473.0
2020-01-07,3.54,3.59,3.5,3.51,31240.0
2020-01-06,3.49,3.57,3.48,3.5069999999999997,15612.0
2020-01-03,3.46,3.55,3.43,3.48,31406.0
2020-01-02,3.5,3.58,3.46,3.46,14532.0
2019-12-31,3.48,3.55,3.43,3.43,13036.0
2019-12-30,3.54,3.54,3.43,3.5187,11625.0
2019-12-27,3.48,3.5174,3.4,3.51,7911.0
2019-12-26,3.48,3.5,3.36,3.5,16355.0
2019-12-24,3.545,3.545,3.41,3.45,14284.0
2019-12-23,3.42,3.46,3.4,3.4,25480.0
2019-12-20,3.3948,3.44,3.36,3.44,10427.0
2019-12-19,3.38,3.44,3.38,3.42,8754.0
2019-12-18,3.39,3.4068,3.39,3.4,6980.0
2019-12-17,3.35,3.4091,3.35,3.38,6431.0
2019-12-16,3.42,3.42,3.36,3.3771,9724.0
2019-12-13,3.3406,3.42,3.3406,3.42,11150.0
2019-12-12,3.32,3.37,3.32,3.37,3016.0
2019-12-11,3.38,3.38,3.28,3.35,6323.0
2019-12-10,3.41,3.41,3.35,3.3532,8202.0
2019-12-09,3.3,3.38,3.3,3.37,3357.0
2019-12-06,3.34,3.36,3.2682,3.27,8552.0
2019-12-05,3.38,3.38,3.2573,3.3,9985.0
2019-12-04,3.3,3.3,3.2,3.2,58739.0
2019-12-03,3.3,3.319,3.28,3.295,22031.0
2019-12-02,3.41,3.41,3.3091,3.3091,12540.0
2019-11-29,3.36,3.39,3.36,3.37,2792.0
2019-11-27,3.37,3.37,3.31,3.355,7952.0
2019-11-26,3.33,3.3501,3.32,3.345,14527.0
2019-11-25,3.35,3.4,3.33,3.36,26644.0
