date,MACD_Hist,MACD,MACD_Signal
2021-01-29,0.2198,0.5269,0.3071
2021-01-28,0.2459,0.4981,0.2522
2021-01-27,0.2806,0.4713,0.1907
2021-01-26,0.219,0.3396,0.1205
2021-01-25,0.2332,0.2989,0.0658
2021-01-22,0.2128,0.2203,0.0075
2021-01-21,0.2246,0.1789,-0.0457
2021-01-20,0.1509,0.049,-0.1019
2021-01-19,0.1535,0.0139,-0.1396
2021-01-15,0.1357,-0.0423,-0.178
2021-01-14,0.1352,-0.0767,-0.2119
2021-01-13,0.0793,-0.1664,-0.2457
2021-01-12,0.0502,-0.2153,-0.2655
2021-01-11,0.0329,-0.2451,-0.278
2021-01-08,0.0494,-0.2368,-0.2862
2021-01-07,0.0473,-0.2513,-0.2986
2021-01-06,0.0199,-0.2905,-0.3104
2021-01-05,-0.0026,-0.3181,-0.3154
2021-01-04,-0.0491,-0.3638,-0.3148
2020-12-31,-0.0718,-0.3742,-0.3025
2020-12-30,-0.0415,-0.3261,-0.2845
2020-12-29,0.0001,-0.2741,-0.2742
2020-12-28,0.0582,-0.216,-0.2742
2020-12-24,0.0849,-0.2038,-0.2887
2020-12-23,0.1043,-0.2057,-0.31
2020-12-22,0.0933,-0.2428,-0.336
2020-12-21,0.0748,-0.2845,-0.3593
2020-12-18,0.0596,-0.3184,-0.378
2020-12-17,0.0339,-0.3591,-0.3929
2020-12-16,0.0415,-0.3599,-0.4014
2020-12-15,0.058,-0.3538,-0.4118
2020-12-14,0.0519,-0.3744,-0.4263
2020-12-11,0.0655,-0.3738,-0.4393
2020-12-10,0.09,-0.3656,-0.4556
2020-12-09,0.109,-0.3692,-0.4781
2020-12-08,0.1309,-0.3745,-0.5054
2020-12-07,0.0971,-0.441,-0.5381
2020-12-04,0.0827,-0.4797,-0.5624
2020-12-03,0.0456,-0.5374,-0.5831
2020-12-02,0.036,-0.5585,-0.5945
2020-12-01,0.0201,-0.5834,-0.6035
2020-11-30,-0.0215,-0.63,-0.6085
2020-11-27,-0.0814,-0.6845,-0.6031
2020-11-25,-0.0941,-0.6769,-0.5828
2020-11-24,-0.1185,-0.6777,-0.5592
2020-11-23,-0.0975,-0.6272,-0.5296
2020-11-20,-0.1165,-0.6217,-0.5052
2020-11-19,-0.152,-0.6281,-0.4761
2020-11-18,-0.1676,-0.6057,-0.4381
2020-11-17,-0.16,-0.5562,-0.3962
2020-11-16,-0.1592,-0.5154,-0.3562
2020-11-13,-0.1659,-0.4823,-0.3164
2020-11-12,-0.2111,-0.486,-0.2749
2020-11-11,-0.3083,-0.5305,-0.2221
2020-11-10,-0.3347,-0.4797,-0.1451
2020-11-09,-0.1939,-0.2553,-0.0614
2020-11-06,0.0366,0.0237,-0.0129
2020-11-05,0.035,0.0129,-0.0221
2020-11-04,-0.0089,-0.0397,-0.0308
2020-11-03,0.0058,-0.0228,-0.0286
2020-11-02,0.0026,-0.0274,-0.0301
2020-10-30,-0.0368,-0.0675,-0.0307
2020-10-29,0.0128,-0.0088,-0.0215
2020-10-28,-0.023,-0.0477,-0.0247
2020-10-27,-0.0512,-0.0702,-0.019
2020-10-26,-0.0205,-0.0266,-0.0062
2020-10-23,0.005,0.0039,-0.001
2020-10-22,0.0024,0.0001,-0.0023
2020-10-21,0.0337,0.0308,-0.0029
2020-10-20,0.0555,0.0442,-0.0113
2020-10-19,0.0154,-0.0097,-0.0252
2020-10-16,-0.0402,-0.0692,-0.029
2020-10-15,-0.0284,-0.0474,-0.019
2020-10-14,0.0155,0.0036,-0.0119
2020-10-13,0.0691,0.0533,-0.0158
2020-10-12,0.1134,0.0803,-0.033
2020-10-09,0.1924,0.131,-0.0614
2020-10-08,0.2615,0.152,-0.1095
2020-10-07,0.3127,0.1379,-0.1749
2020-10-06,0.3353,0.0822,-0.253
2020-10-05,0.3805,0.0436,-0.3369
2020-10-02,0.3341,-0.0979,-0.432
2020-10-01,0.275,-0.2405,-0.5155
2020-09-30,0.2426,-0.3416,-0.5843
2020-09-29,0.2291,-0.4158,-0.6449
2020-09-28,0.1977,-0.5045,-0.7022
2020-09-25,0.2085,-0.5432,-0.7516
2020-09-24,0.2141,-0.5897,-0.8037
2020-09-23,0.2708,-0.5865,-0.8573
2020-09-22,0.3185,-0.6065,-0.925
2020-09-21,0.2226,-0.782,-1.0046
2020-09-18,0.2407,-0.8195,-1.0602
2020-09-17,0.2272,-0.8932,-1.1204
2020-09-16,0.2121,-0.9651,-1.1772
2020-09-15,0.1885,-1.0417,-1.2302
2020-09-14,0.1122,-1.1652,-1.2774
2020-09-11,-0.0085,-1.3139,-1.3054
2020-09-10,-0.1305,-1.4338,-1.3033
2020-09-09,-0.1863,-1.4569,-1.2706
2020-09-08,-0.2219,-1.4459,-1.2241
2020-09-04,-0.2769,-1.4455,-1.1686
2020-09-03,-0.2767,-1.3761,-1.0994
2020-09-02,-0.2872,-1.3174,-1.0302
2020-09-01,-0.2933,-1.2517,-0.9584
2020-08-31,-0.281,-1.166,-0.8851
2020-08-28,-0.2697,-1.0845,-0.8148
2020-08-27,-0.2845,-1.0319,-0.7474
2020-08-26,-0.3651,-1.0414,-0.6763
2020-08-25,-0.4329,-1.0179,-0.585
2020-08-24,-0.4425,-0.9192,-0.4768
2020-08-21,-0.425,-0.7911,-0.3662
2020-08-20,-0.4519,-0.7118,-0.2599
2020-08-19,-0.5357,-0.6826,-0.1469
2020-08-18,-0.6357,-0.6487,-0.013
2020-08-17,-0.7043,-0.5584,0.1459
2020-08-14,-0.7131,-0.3911,0.322
2020-08-13,-0.7731,-0.2728,0.5003
2020-08-12,-0.8714,-0.1779,0.6935
2020-08-11,-0.8484,0.063,0.9114
2020-08-10,-0.759,0.3644,1.1235
2020-08-07,-0.7048,0.6084,1.3132
2020-08-06,-0.6171,0.8723,1.4894
2020-08-05,-0.4075,1.2362,1.6437
2020-08-04,-0.1413,1.6042,1.7455
2020-08-03,0.1242,1.905,1.7809
2020-07-31,0.0217,1.7715,1.7498
2020-07-30,0.1456,1.89,1.7444
2020-07-29,0.2334,1.9413,1.708
2020-07-28,0.2822,1.9319,1.6496
2020-07-27,0.3451,1.9242,1.5791
2020-07-24,0.3428,1.8356,1.4928
2020-07-23,0.4282,1.8353,1.4071
2020-07-22,0.4317,1.7318,1.3001
2020-07-21,0.2897,1.4818,1.1921
2020-07-20,0.2486,1.3683,1.1197
