date,MFI
2021-01-22,65.4685
2021-01-21,73.9686
2021-01-20,63.353
2021-01-19,53.1177
2021-01-15,47.8709
2021-01-14,49.8395
2021-01-13,47.6462
2021-01-12,41.0367
2021-01-11,33.1717
2021-01-08,40.015
2021-01-07,40.521
2021-01-06,35.8851
2021-01-05,42.1651
2021-01-04,34.6495
2020-12-31,28.0048
2020-12-30,29.2191
2020-12-29,26.9726
2020-12-28,45.3843
2020-12-24,45.6852
2020-12-23,55.4247
2020-12-22,51.0437
2020-12-21,50.9015
2020-12-18,45.0565
2020-12-17,47.2253
2020-12-16,50.9446
2020-12-15,55.54600000000001
2020-12-14,49.4222
2020-12-11,47.4442
2020-12-10,54.3113
2020-12-09,59.1302
2020-12-08,58.8763
2020-12-07,53.5589
2020-12-04,48.8797
2020-12-03,47.1673
2020-12-02,57.4836
2020-12-01,64.4569
2020-11-30,63.0104
2020-11-27,50.2033
2020-11-25,46.25
2020-11-24,52.113
2020-11-23,51.4632
2020-11-20,57.0343
2020-11-19,58.4689
2020-11-18,53.6086
2020-11-17,58.764
2020-11-16,61.1051
2020-11-13,63.1864
2020-11-12,63.66
2020-11-11,60.1797
2020-11-10,54.2862
2020-11-09,55.0875
2020-11-06,66.7274
2020-11-05,74.4171
2020-11-04,71.3517
2020-11-03,73.2105
2020-11-02,67.932
2020-10-30,59.7357
2020-10-29,61.3356
2020-10-28,55.6106
2020-10-27,46.676
2020-10-26,47.5151
2020-10-23,37.6143
2020-10-22,42.3595
2020-10-21,54.7634
2020-10-20,59.121
2020-10-19,58.6395
2020-10-16,54.8281
2020-10-15,49.3884
2020-10-14,54.5518
2020-10-13,54.4154
2020-10-12,52.7155
2020-10-09,64.0386
2020-10-08,63.6944
2020-10-07,68.2425
2020-10-06,68.76100000000001
2020-10-05,67.3506
2020-10-02,65.1389
2020-10-01,59.8576
2020-09-30,62.7368
2020-09-29,63.1238
2020-09-28,55.8547
2020-09-25,62.4226
2020-09-24,56.2358
2020-09-23,55.0322
2020-09-22,55.8964
2020-09-21,43.5808
2020-09-18,42.3957
2020-09-17,37.0765
2020-09-16,42.457
2020-09-15,49.8348
2020-09-14,45.3627
2020-09-11,38.3735
2020-09-10,29.0278
2020-09-09,22.6807
2020-09-08,30.1006
2020-09-04,20.2243
2020-09-03,20.6947
2020-09-02,20.7506
2020-09-01,33.7921
2020-08-31,33.6971
2020-08-28,31.6987
2020-08-27,30.1624
2020-08-26,36.3445
2020-08-25,29.4564
2020-08-24,24.5729
2020-08-21,18.9252
2020-08-20,30.9804
2020-08-19,29.5392
2020-08-18,25.4953
2020-08-17,40.1066
2020-08-14,44.2006
2020-08-13,48.9695
2020-08-12,44.3219
2020-08-11,39.9018
2020-08-10,51.075
2020-08-07,48.6221
2020-08-06,51.2943
2020-08-05,60.0548
2020-08-04,69.9812
2020-08-03,75.7887
2020-07-31,72.778
2020-07-30,73.1662
2020-07-29,76.7426
2020-07-28,71.6075
2020-07-27,72.6895
2020-07-24,69.668
2020-07-23,70.1312
2020-07-22,74.0011
2020-07-21,71.4623
2020-07-20,78.5369
2020-07-17,71.997
2020-07-16,56.0554
2020-07-15,34.0888
2020-07-14,50.8359
