date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,55.065,55.9,54.97,55.87,2719294.0
2021-02-01,53.14,54.19,52.7343,54.14,2371778.0
2021-01-29,52.66,52.929,51.5539,52.13,1694167.0
2021-01-28,51.94,53.13,51.62,52.76,1961018.0
2021-01-27,52.75,52.885,51.23,51.48,3126042.0
2021-01-26,55.05,55.07,53.92,53.99,2278716.0
2021-01-25,55.9,56.21,53.89,55.07,2949776.0
2021-01-22,53.85,54.64,53.85,54.58,1638822.0
2021-01-21,54.65,54.68,53.755,54.14,2117319.0
2021-01-20,54.46,54.48,53.65,54.14,2467259.0
2021-01-19,52.86,53.11,52.38,53.11,2233919.0
2021-01-15,52.58,52.6,51.39,51.7,1818257.0
2021-01-14,52.77,53.17,52.2165,52.29,2361911.0
2021-01-13,52.15,52.55,51.8167,52.18,1625128.0
2021-01-12,51.53,51.95,51.27,51.95,1927521.0
2021-01-11,50.96,51.4,50.355,50.96,1916476.0
2021-01-08,51.765,52.21,51.25,51.96,2470442.0
2021-01-07,50.31,51.119,50.0701,51.08,1873499.0
2021-01-06,49.77,50.24,49.23,49.32,1973200.0
2021-01-05,49.19,50.36,49.05,50.36,1503859.0
2021-01-04,50.29,50.3,48.46100000000001,49.3,2306994.0
2020-12-31,50.01,50.02,49.4,49.71,1182530.0
2020-12-30,49.66,49.97,49.427,49.88,1176202.0
2020-12-29,49.61,49.7735,48.63,49.25,1637279.0
2020-12-28,50.79,50.82,49.06,49.33,2259511.0
2020-12-24,50.81,50.8499,50.1,50.29,1218183.0
2020-12-23,52.1,52.208,50.7701,50.83,2430740.0
2020-12-22,50.82,51.305,50.51,51.29,2699595.0
2020-12-21,49.87,50.49,49.51,50.43,2648353.0
2020-12-18,50.679,50.679,50.15,50.41,1780445.0
2020-12-17,49.87,50.5199,49.87,50.48,2035102.0
2020-12-16,49.2,49.47,48.7002,49.38,1639480.0
2020-12-15,48.53,48.8299,48.369,48.79,1138974.0
2020-12-14,48.52,48.85,48.22,48.29,1511656.0
2020-12-11,47.97,48.47,47.67,48.2,1142368.0
2020-12-10,46.88,48.155,46.59,48.13,1260272.0
2020-12-09,48.29,48.47,46.91,47.12,1743165.0
2020-12-08,47.79,48.22,47.581,48.18,1295685.0
2020-12-07,47.29,47.8,47.21,47.73,1446504.0
2020-12-04,47.16,47.37,46.96,47.22,921578.0
2020-12-03,46.72,47.12,46.63,46.88,1097029.0
2020-12-02,46.06,46.6,45.62,46.6,736412.0
2020-12-01,47.08,47.1,46.3347,46.48,1118309.0
2020-11-30,46.94,47.0,45.61,46.67,1194999.0
2020-11-27,46.71,46.93,46.26,46.93,587888.0
2020-11-25,45.22,46.19,45.2,46.16,613710.0
2020-11-24,45.65,45.68,44.88,45.25,822762.0
2020-11-23,45.48,45.605,44.8655,45.42,1146173.0
2020-11-20,44.64,45.3133,44.5566,45.02,693131.0
2020-11-19,43.68,44.59,43.68,44.49,628892.0
2020-11-18,43.95,44.0,43.595,43.65,592881.0
2020-11-17,43.6,44.0799,43.4629,43.89,513498.0
2020-11-16,43.82,44.07,43.31,43.9,783899.0
2020-11-13,43.83,43.975,43.2701,43.78,513163.0
2020-11-12,43.54,43.84,43.1101,43.24,589894.0
2020-11-11,42.43,43.34,42.32,43.32,844105.0
2020-11-10,43.07,43.17,41.0,41.88,1412084.0
2020-11-09,45.7,45.77,43.63,43.67,1616888.0
2020-11-06,44.9,45.7,44.47,45.6,863062.0
2020-11-05,44.78,44.8,44.256,44.69,1505705.0
2020-11-04,42.55,43.7999,42.5401,43.69,982260.0
2020-11-03,41.02,41.6843,40.72,41.46,608144.0
2020-11-02,41.19,41.5,40.3884,40.89,690700.0
2020-10-30,42.12,42.13,40.57,40.89,990973.0
2020-10-29,42.38,42.91,42.31,42.67,821340.0
2020-10-28,41.86,41.88,41.32,41.56,578385.0
2020-10-27,42.37,42.685,42.25,42.61,471331.0
2020-10-26,42.6,42.92,41.48,41.97,823924.0
2020-10-23,42.8,42.98,42.3649,42.98,363836.0
2020-10-22,42.92,43.09,42.14,42.64,586153.0
2020-10-21,43.0,43.4899,42.6,42.76,698757.0
2020-10-20,42.64,43.0899,42.515,42.64,633849.0
2020-10-19,42.88,43.105,42.23,42.39,1040904.0
2020-10-16,43.15,43.24,42.6155,42.64,482794.0
2020-10-15,42.09,42.81,41.96,42.81,494722.0
2020-10-14,43.69,43.78,42.67,43.02,750458.0
2020-10-13,43.31,43.719,43.165,43.61,721298.0
2020-10-12,43.32,43.5334,43.05,43.26,1028059.0
2020-10-09,42.26,42.68,42.21,42.64,712578.0
2020-10-08,42.12,42.12,41.82,42.04,758954.0
2020-10-07,41.41,41.7,41.385,41.62,567242.0
2020-10-06,41.07,41.5574,40.52,40.78,655576.0
2020-10-05,40.65,41.11,40.65,41.09,660471.0
2020-10-02,39.84,40.7299,39.74,40.31,684607.0
2020-10-01,40.12,40.72,40.0538,40.64,863091.0
2020-09-30,39.45,40.06,39.41,39.65,689719.0
2020-09-29,39.41,39.6754,39.35,39.43,487990.0
