date,MACD_Signal,MACD_Hist,MACD
2021-01-29,1.3463,-0.2368,1.1096
2021-01-28,1.4055,-0.146,1.2595
2021-01-27,1.442,-0.0736,1.3685
2021-01-26,1.4604,0.1575,1.6179
2021-01-25,1.4211,0.2361,1.6572
2021-01-22,1.362,0.2113,1.5733
2021-01-21,1.3092,0.184,1.4932
2021-01-20,1.2632,0.1508,1.414
2021-01-19,1.2255,0.0669,1.2924
2021-01-15,1.2088,0.0145,1.2233
2021-01-14,1.2051,0.0557,1.2609
2021-01-13,1.1912,0.0392,1.2304
2021-01-12,1.1814,0.0033,1.1847
2021-01-11,1.1806,-0.0479,1.1327
2021-01-08,1.1926,-0.042,1.1506
2021-01-07,1.203,-0.1482,1.0549
2021-01-06,1.2401,-0.2331,1.0069
2021-01-05,1.2984,-0.188,1.1103
2021-01-04,1.3454,-0.2251,1.1203
2020-12-31,1.4017,-0.1771,1.2246
2020-12-30,1.4459,-0.1477,1.2982
2020-12-29,1.4829,-0.1269,1.3559
2020-12-28,1.5146,-0.0406,1.474
2020-12-24,1.5247,0.0892,1.6139
2020-12-23,1.5024,0.1692,1.6717
2020-12-22,1.4601,0.2062,1.6663
2020-12-21,1.4086,0.1799,1.5885
2020-12-18,1.3636,0.1897,1.5533
2020-12-17,1.3162,0.1717,1.4879
2020-12-16,1.2732,0.1024,1.3756
2020-12-15,1.2476,0.0763,1.3239
2020-12-14,1.2286,0.0699,1.2985
2020-12-11,1.2111,0.0868,1.2979
2020-12-10,1.1894,0.098,1.2874
2020-12-09,1.1649,0.0974,1.2623
2020-12-08,1.1406,0.1738,1.3144
2020-12-07,1.0971,0.1571,1.2543
2020-12-04,1.0578,0.1471,1.2049
2020-12-03,1.0211,0.155,1.1761
2020-12-02,0.9823,0.1744,1.1567
2020-12-01,0.9387,0.2049,1.1436
2020-11-30,0.8875,0.2348,1.1223
2020-11-27,0.8288,0.2308,1.0596
2020-11-25,0.7711,0.1667,0.9378
2020-11-24,0.7294,0.1173,0.8467
2020-11-23,0.7001,0.1105,0.8105
2020-11-20,0.6725,0.0628,0.7353
2020-11-19,0.6567,0.0124,0.6691
2020-11-18,0.6537,-0.025,0.6287
2020-11-17,0.6599,-0.0067,0.6532
2020-11-16,0.6616,-0.011,0.6506
2020-11-13,0.6643,-0.0276,0.6368
2020-11-12,0.6712,-0.0491,0.6221
2020-11-11,0.6835,-0.0345,0.649
2020-11-10,0.6921,-0.0262,0.6659
2020-11-09,0.6987,0.1251,0.8238
2020-11-06,0.6674,0.1643,0.8318
2020-11-05,0.6263,0.0077,0.6341
2020-11-04,0.6244,-0.1596,0.4648
2020-11-03,0.6643,-0.3208,0.3435
2020-11-02,0.7445,-0.3346,0.4098
2020-10-30,0.8281,-0.2818,0.5464
2020-10-29,0.8986,-0.1859,0.7127
2020-10-28,0.945,-0.211,0.7341
2020-10-27,0.9978,-0.1345,0.8633
2020-10-26,1.0314,-0.1223,0.9091
2020-10-23,1.062,-0.0427,1.0193
2020-10-22,1.0727,-0.03,1.0426
2020-10-21,1.0802,0.0116,1.0918
2020-10-20,1.0773,0.0492,1.1265
2020-10-19,1.065,0.1016,1.1665
2020-10-16,1.0396,0.1864,1.226
2020-10-15,0.993,0.2658,1.2588
2020-10-14,0.9265,0.3385,1.265
2020-10-13,0.8419,0.3914,1.2333
2020-10-12,0.744,0.371,1.115
2020-10-09,0.6513,0.3321,0.9834
2020-10-08,0.5682,0.2957,0.8639
2020-10-07,0.4943,0.2654,0.7597
2020-10-06,0.428,0.2303,0.6582
2020-10-05,0.3704,0.234,0.6044
2020-10-02,0.3119,0.1835,0.4955
2020-10-01,0.266,0.1623,0.4283
2020-09-30,0.2255,0.0774,0.3029
2020-09-29,0.2061,0.0327,0.2388
2020-09-28,0.1979,-0.022,0.1759
2020-09-25,0.2034,-0.1012,0.1022
2020-09-24,0.2287,-0.1542,0.0745
2020-09-23,0.2672,-0.1631,0.1041
2020-09-22,0.308,-0.1707,0.1373
2020-09-21,0.3507,-0.2572,0.0935
2020-09-18,0.415,-0.2966,0.1184
2020-09-17,0.4892,-0.3052,0.1839
2020-09-16,0.5655,-0.3128,0.2527
2020-09-15,0.6437,-0.3677,0.276
2020-09-14,0.7356,-0.4664,0.2692
2020-09-11,0.8522,-0.5225,0.3297
2020-09-10,0.9828,-0.4905,0.4923
2020-09-09,1.1054,-0.4269,0.6786
2020-09-08,1.2122,-0.3625,0.8496
2020-09-04,1.3028,-0.159,1.1438
2020-09-03,1.3425,0.005,1.3475
2020-09-02,1.3413,0.1523,1.4936
2020-09-01,1.3032,0.139,1.4422
2020-08-31,1.2685,0.0831,1.3516
2020-08-28,1.2477,0.0943,1.342
2020-08-27,1.2241,0.0852,1.3093
2020-08-26,1.2028,0.0609,1.2638
2020-08-25,1.1876,0.024,1.2116
2020-08-24,1.1816,0.0035,1.1851
2020-08-21,1.1807,-0.004,1.1768
2020-08-20,1.1817,-0.0094,1.1723
2020-08-19,1.1841,-0.0315,1.1526
2020-08-18,1.192,-0.0478,1.1441
2020-08-17,1.2039,-0.0923,1.1116
2020-08-14,1.227,-0.1284,1.0986
2020-08-13,1.2591,-0.1028,1.1563
2020-08-12,1.2848,-0.0788,1.206
2020-08-11,1.3045,-0.0252,1.2793
2020-08-10,1.3108,0.0921,1.4029
2020-08-07,1.2878,0.1836,1.4713
2020-08-06,1.2419,0.2223,1.4642
2020-08-05,1.1863,0.1836,1.3699
2020-08-04,1.1404,0.1115,1.2519
2020-08-03,1.1125,0.0538,1.1663
2020-07-31,1.099,-0.0407,1.0583
2020-07-30,1.1092,-0.1026,1.0066
2020-07-29,1.1349,-0.141,0.9938
2020-07-28,1.1701,-0.1837,0.9864
2020-07-27,1.2161,-0.1652,1.0509
2020-07-24,1.2574,-0.1739,1.0834
2020-07-23,1.3008,-0.1116,1.1893
2020-07-22,1.3287,-0.0561,1.2726
2020-07-21,1.3428,-0.0594,1.2834
2020-07-20,1.3576,-0.0852,1.2724
2020-07-17,1.3789,-0.134,1.2449
2020-07-16,1.4124,-0.1061,1.3063
2020-07-15,1.4389,-0.0336,1.4053
2020-07-14,1.4473,0.0152,1.4625
2020-07-13,1.4435,0.1052,1.5487
2020-07-10,1.4172,0.216,1.6332
2020-07-09,1.3632,0.2334,1.5966
2020-07-08,1.3048,0.2065,1.5114
2020-07-07,1.2532,0.1173,1.3705
2020-07-06,1.2239,0.0716,1.2955
2020-07-02,1.206,-0.0159,1.1901
2020-07-01,1.21,-0.0551,1.1549
2020-06-30,1.2237,-0.0981,1.1256
2020-06-29,1.2482,-0.0881,1.1601
2020-06-26,1.2703,-0.0546,1.2157
2020-06-25,1.2839,-0.0028,1.2811
2020-06-24,1.2846,0.0097,1.2943
2020-06-23,1.2822,0.0577,1.3399
2020-06-22,1.2678,0.0257,1.2934
2020-06-19,1.2613,-0.0075,1.2539
2020-06-18,1.2632,-0.0121,1.2511
2020-06-17,1.2662,-0.0248,1.2414
2020-06-16,1.2724,-0.0644,1.2081
2020-06-15,1.2885,-0.1021,1.1865
2020-06-12,1.3141,-0.1075,1.2065
2020-06-11,1.3409,-0.0635,1.2775
2020-06-10,1.3568,0.0555,1.4123
2020-06-09,1.3429,0.0628,1.4057
2020-06-08,1.3272,0.0847,1.4119
2020-06-05,1.3061,0.0956,1.4017
2020-06-04,1.2822,0.1053,1.3875
2020-06-03,1.2558,0.1279,1.3838
2020-06-02,1.2239,0.0964,1.3203
2020-06-01,1.1997,0.068,1.2677
2020-05-29,1.1827,0.0502,1.233
2020-05-28,1.1702,0.0441,1.2143
2020-05-27,1.1592,0.0774,1.2366
2020-05-26,1.1398,0.1033,1.2431
2020-05-22,1.114,0.1122,1.2262
2020-05-21,1.0859,0.1232,1.2091
2020-05-20,1.0551,0.139,1.1941
2020-05-19,1.0204,0.1179,1.1383
2020-05-18,0.9909,0.1275,1.1184
2020-05-15,0.959,0.134,1.093
2020-05-14,0.9256,0.1638,1.0893
2020-05-13,0.8846,0.1943,1.0789
2020-05-12,0.836,0.2505,1.0865
2020-05-11,0.7734,0.2806,1.054
2020-05-08,0.7033,0.2513,0.9545
2020-05-07,0.6404,0.1875,0.8279
2020-05-06,0.5936,0.1317,0.7253
2020-05-05,0.5606,0.1367,0.6973
2020-05-04,0.5265,0.1524,0.6789
2020-05-01,0.4884,0.1957,0.6841
2020-04-30,0.4394,0.2666,0.7061
2020-04-29,0.3728,0.2902,0.663
2020-04-28,0.3002,0.2718,0.572
2020-04-27,0.2323,0.3164,0.5487
2020-04-24,0.1532,0.3164,0.4696
2020-04-23,0.0741,0.3355,0.4096
2020-04-22,-0.0098,0.3683,0.3585
2020-04-21,-0.1018,0.3807,0.2789
2020-04-20,-0.197,0.4605,0.2635
2020-04-17,-0.3122,0.4792,0.167
2020-04-16,-0.432,0.4835,0.0515
2020-04-15,-0.5528,0.505,-0.0479
2020-04-14,-0.6791,0.5162,-0.1629
2020-04-13,-0.8081,0.4652,-0.3429
2020-04-09,-0.9244,0.443,-0.4814
2020-04-08,-1.0352,0.384,-0.6512
2020-04-07,-1.1312,0.3002,-0.831
2020-04-06,-1.2062,0.2328,-0.9734
2020-04-03,-1.2644,0.1473,-1.1171
2020-04-02,-1.3013,0.197,-1.1043
2020-04-01,-1.3505,0.229,-1.1215
2020-03-31,-1.4078,0.2892,-1.1186
2020-03-30,-1.4801,0.2633,-1.2167
2020-03-27,-1.5459,0.1891,-1.3568
2020-03-26,-1.5932,0.1118,-1.4814
2020-03-25,-1.6211,-0.0798,-1.7009
2020-03-24,-1.6012,-0.2711,-1.8723
2020-03-23,-1.5334,-0.4685,-2.0019
2020-03-20,-1.4163,-0.5535,-1.9698
2020-03-19,-1.2779,-0.6091,-1.8869
2020-03-18,-1.1256,-0.6637,-1.7893
2020-03-17,-0.9597,-0.6241,-1.5838
2020-03-16,-0.8037,-0.6493,-1.453
2020-03-13,-0.6413,-0.535,-1.1763
2020-03-12,-0.5076,-0.5714,-1.079
2020-03-11,-0.3648,-0.4181,-0.7829
2020-03-10,-0.2602,-0.3625,-0.6228
2020-03-09,-0.1696,-0.3686,-0.5382
2020-03-06,-0.0774,-0.2577,-0.3352
