date,MFI
2014-11-20,40.1542
2014-11-21,47.8038
2014-11-24,53.8428
2014-11-25,48.7651
2014-11-26,50.9155
2014-11-28,55.7358
2014-12-01,48.57
2014-12-02,46.9611
2014-12-03,64.1506
2014-12-04,62.1546
2014-12-05,67.2497
2014-12-08,81.3341
2014-12-09,80.6322
2014-12-10,79.7087
2014-12-11,87.0623
2014-12-12,79.2864
2014-12-15,70.8911
2014-12-16,58.7957
2014-12-17,62.2938
2014-12-18,68.8418
2014-12-19,73.9949
2014-12-22,74.9388
2014-12-23,66.4265
2014-12-24,61.6005
2014-12-26,61.9591
2014-12-29,65.2441
2014-12-30,58.8981
2014-12-31,58.2534
2015-01-02,49.2623
2015-01-05,56.465
2015-01-06,49.3547
2015-01-07,61.1659
2015-01-08,60.6328
2015-01-09,58.1355
2015-01-12,64.0875
2015-01-13,51.4844
2015-01-14,56.0017
2015-01-15,52.5138
2015-01-16,49.351
2015-01-20,49.5726
2015-01-21,49.122
2015-01-22,46.9607
2015-01-23,51.67
2015-01-26,50.5311
2015-01-27,59.9425
2015-01-28,51.8922
2015-01-29,53.2113
2015-01-30,53.9404
2015-02-02,43.3465
2015-02-03,61.3469
2015-02-04,58.7283
2015-02-05,66.5955
2015-02-06,74.3103
2015-02-09,68.3138
2015-02-10,70.2634
2015-02-11,78.84
2015-02-12,80.8677
2015-02-13,80.2918
2015-02-17,79.8507
2015-02-18,85.0431
2015-02-19,85.6011
2015-02-20,85.1302
2015-02-23,91.3267
2015-02-24,78.6208
2015-02-25,81.249
2015-02-26,82.3197
2015-02-27,37.0467
2015-03-02,40.1742
2015-03-03,38.9148
2015-03-04,37.2419
2015-03-05,35.655
2015-03-06,34.0683
2015-03-09,30.7751
2015-03-10,28.7252
2015-03-11,26.0093
2015-03-12,26.8589
2015-03-13,18.5665
2015-03-16,21.0922
2015-03-17,20.1801
2015-03-18,18.4962
2015-03-19,65.5641
2015-03-20,70.914
2015-03-23,55.2565
2015-03-24,52.802
2015-03-25,47.2561
2015-03-26,47.162
2015-03-27,49.6661
2015-03-30,52.6746
2015-03-31,51.6416
2015-04-01,48.7758
2015-04-02,51.5393
2015-04-06,51.4232
2015-04-07,51.3857
2015-04-08,51.5278
2015-04-09,39.0172
2015-04-10,28.6957
2015-04-13,52.8269
2015-04-14,55.414
2015-04-15,67.0584
2015-04-16,75.1522
2015-04-17,48.9453
2015-04-20,46.1411
2015-04-21,50.6919
2015-04-22,51.9016
2015-04-23,52.5767
2015-04-24,52.1358
2015-04-27,43.6497
2015-04-28,39.54
2015-04-29,36.3
2015-04-30,29.7262
2015-05-01,23.0217
2015-05-04,31.2726
2015-05-05,28.0359
2015-05-06,27.3441
2015-05-07,44.8984
2015-05-08,43.7894
2015-05-11,48.0158
2015-05-12,49.0445
2015-05-13,45.7363
2015-05-14,46.9126
2015-05-15,59.524
2015-05-18,66.3068
2015-05-19,69.225
2015-05-20,83.7584
2015-05-21,81.1764
2015-05-22,78.7412
2015-05-26,69.1947
2015-05-27,64.7485
2015-05-28,61.6478
2015-05-29,62.5367
2015-06-01,48.3223
2015-06-02,45.083
2015-06-03,46.2842
2015-06-04,39.0537
2015-06-05,34.3011
2015-06-08,44.3497
2015-06-09,46.0125
2015-06-10,45.383
2015-06-11,51.7176
2015-06-12,43.6319
2015-06-15,55.8406
2015-06-16,56.1545
2015-06-17,58.2135
2015-06-18,62.2583
2015-06-19,35.0821
2015-06-22,38.9243
2015-06-23,32.0606
2015-06-24,32.6545
2015-06-25,30.7134
2015-06-26,21.1896
2015-06-29,16.1398
2015-06-30,14.2151
2015-07-01,9.4806
2015-07-02,9.6444
2015-07-06,12.1387
2015-07-07,11.2567
2015-07-08,10.6188
2015-07-09,9.8539
2015-07-10,16.9079
2015-07-13,21.9899
2015-07-14,27.3136
2015-07-15,30.9092
2015-07-16,33.9215
2015-07-17,38.0291
2015-07-20,68.12
2015-07-21,71.1227
2015-07-22,76.9694
2015-07-23,78.4415
2015-07-24,72.785
2015-07-27,74.4752
2015-07-28,76.008
2015-07-29,74.5103
2015-07-30,71.1824
2015-07-31,66.9859
2015-08-03,58.2689
2015-08-04,54.4273
2015-08-05,53.5844
2015-08-06,40.3119
2015-08-07,19.2093
2015-08-10,29.7624
2015-08-11,23.9056
2015-08-12,19.3424
2015-08-13,26.3688
2015-08-14,26.4618
2015-08-17,30.1002
2015-08-18,31.7259
2015-08-19,31.7211
2015-08-20,29.1212
2015-08-21,28.427
2015-08-24,24.1664
2015-08-25,32.1263
2015-08-26,38.8294
2015-08-27,45.6539
2015-08-28,44.7938
2015-08-31,53.1412
2015-09-01,57.2761
2015-09-02,54.4879
2015-09-03,55.9125
2015-09-04,50.6681
2015-09-08,58.03
2015-09-09,60.0035
2015-09-10,64.5272
2015-09-11,74.6224
2015-09-14,95.5896
2015-09-15,94.419
2015-09-16,89.3806
2015-09-17,87.627
2015-09-18,85.5039
2015-09-21,77.4505
2015-09-22,78.1187
2015-09-23,78.7877
2015-09-24,48.294
2015-09-25,48.0571
