date,MACD_Signal,MACD,MACD_Hist
2021-01-22,6.8482,7.1317,0.2835
2021-01-21,6.7773,7.2191,0.4418
2021-01-20,6.6668,7.3551,0.6883
2021-01-19,6.4948,7.1874,0.6927
2021-01-15,6.3216,6.9687,0.6471
2021-01-14,6.1598,7.0178,0.858
2021-01-13,5.9453,6.6353,0.69
2021-01-12,5.7728,6.4131,0.6403
2021-01-11,5.6127,6.1104,0.4977
2021-01-08,5.4883,5.9173,0.429
2021-01-07,5.3811,5.151,-0.23
2021-01-06,5.4386,4.5155,-0.9231
2021-01-05,5.6694,4.6721,-0.9973
2021-01-04,5.9187,4.8518,-1.0669
2020-12-31,6.1854,5.3233,-0.8621
2020-12-30,6.4009,5.8679,-0.533
2020-12-29,6.5342,6.212,-0.3221
2020-12-28,6.6147,6.8439,0.2293
2020-12-24,6.5574,7.2068,0.6494
2020-12-23,6.395,7.2415,0.8465
2020-12-22,6.1834,6.9871,0.8037
2020-12-21,5.9825,6.5518,0.5694
2020-12-18,5.8401,6.2726,0.4325
2020-12-17,5.732,6.2296,0.4976
2020-12-16,5.6076,6.2074,0.5997
2020-12-15,5.4577,6.301,0.8433
2020-12-14,5.2469,6.2939,1.047
2020-12-11,4.9851,6.1982,1.2131
2020-12-10,4.6818,6.024,1.3422
2020-12-09,4.3463,5.5809,1.2346
2020-12-08,4.0376,5.4569,1.4193
2020-12-07,3.6828,5.0,1.3172
2020-12-04,3.3535,4.4933,1.1398
2020-12-03,3.0686,4.1308,1.0622
2020-12-02,2.803,3.8995,1.0965
2020-12-01,2.5289,3.7419,1.213
2020-11-30,2.2256,3.4443,1.2187
2020-11-27,1.921,3.0534,1.1325
2020-11-25,1.6378,2.5692,0.9313
2020-11-24,1.405,2.2443,0.8393
2020-11-23,1.1952,2.0314,0.8362
2020-11-20,0.9861,1.6019,0.6158
2020-11-19,0.8322,1.2828,0.4506
2020-11-18,0.7195,1.0212,0.3017
2020-11-17,0.6441,0.8968,0.2527
2020-11-16,0.5809,0.7039,0.123
2020-11-13,0.5502,0.6168,0.0666
2020-11-12,0.5335,0.5107,-0.0228
2020-11-11,0.5392,0.4189,-0.1204
2020-11-10,0.5693,0.3116,-0.2577
2020-11-09,0.6338,0.5679,-0.0659
2020-11-06,0.6502,0.6192,-0.031
2020-11-05,0.658,0.21,-0.448
2020-11-04,0.77,-0.1892,-0.9592
2020-11-03,1.0098,-0.3644,-1.3742
2020-11-02,1.3533,-0.147,-1.5003
2020-10-30,1.7284,0.3691,-1.3593
2020-10-29,2.0682,1.0234,-1.0448
2020-10-28,2.3294,1.3228,-1.0066
2020-10-27,2.5811,1.8099,-0.7712
2020-10-26,2.7739,2.0166,-0.7573
2020-10-23,2.9632,2.3943,-0.5689
