date,MACD_Hist,MACD_Signal,MACD
2021-01-29,-0.4158,4.4852,4.0694
2021-01-28,-0.0928,4.5892,4.4964
2021-01-27,0.1324,4.6124,4.7448
2021-01-26,0.3953,4.5793,4.9745
2021-01-25,0.4645,4.4805,4.945
2021-01-22,0.4526,4.3643,4.8169
2021-01-21,0.5125,4.2512,4.7637
2021-01-20,0.5584,4.123,4.6814
2021-01-19,0.5697,3.9834,4.5531
2021-01-15,0.5636,3.841,4.4046
2021-01-14,0.7645,3.7001,4.4646
2021-01-13,0.7187,3.509,4.2277
2021-01-12,0.7535,3.3293,4.0829
2021-01-11,0.7322,3.1409,3.8732
2021-01-08,0.7359,2.9579,3.6938
2021-01-07,0.4773,2.7739,3.2513
2021-01-06,0.1576,2.6546,2.8122
2021-01-05,0.1069,2.6152,2.722
2021-01-04,0.0186,2.5885,2.6071
2020-12-31,0.028,2.5838,2.6118
2020-12-30,0.059,2.5768,2.6358
2020-12-29,0.0397,2.562,2.6017
2020-12-28,0.1891,2.5521,2.7412
2020-12-24,0.2884,2.5049,2.7933
2020-12-23,0.3086,2.4327,2.7414
2020-12-22,0.215,2.3556,2.5706
2020-12-21,0.0892,2.3018,2.391
2020-12-18,0.0352,2.2795,2.3147
2020-12-17,-0.0154,2.2707,2.2553
2020-12-16,-0.0724,2.2746,2.2022
2020-12-15,-0.0439,2.2927,2.2488
2020-12-14,-0.0605,2.3036,2.2431
2020-12-11,-0.0054,2.3188,2.3134
2020-12-10,0.1279,2.3201,2.4481
2020-12-09,0.2508,2.2881,2.5389
2020-12-08,0.3845,2.2254,2.61
2020-12-07,0.3789,2.1293,2.5082
2020-12-04,0.3466,2.0346,2.3812
2020-12-03,0.3395,1.9479,2.2875
2020-12-02,0.3905,1.8631,2.2536
2020-12-01,0.4939,1.7654,2.2593
2020-11-30,0.5283,1.6419,2.1702
2020-11-27,0.614,1.5099,2.1239
2020-11-25,0.5775,1.3564,1.9338
2020-11-24,0.5319,1.212,1.7439
2020-11-23,0.4446,1.079,1.5236
2020-11-20,0.3633,0.9679,1.3312
2020-11-19,0.3396,0.877,1.2167
2020-11-18,0.2566,0.7921,1.0488
2020-11-17,0.2033,0.728,0.9312
2020-11-16,0.1551,0.6772,0.8323
2020-11-13,0.109,0.6384,0.7474
2020-11-12,0.0704,0.6112,0.6816
2020-11-11,0.0759,0.5935,0.6695
2020-11-10,0.0747,0.5746,0.6493
2020-11-09,0.1521,0.5559,0.708
2020-11-06,0.1124,0.5179,0.6303
2020-11-05,-0.0364,0.4897,0.4533
2020-11-04,-0.2982,0.4989,0.2007
2020-11-03,-0.4837,0.5734,0.0897
2020-11-02,-0.635,0.6943,0.0593
2020-10-30,-0.6497,0.8531,0.2033
2020-10-29,-0.5505,1.0155,0.465
2020-10-28,-0.5078,1.1532,0.6453
2020-10-27,-0.2863,1.2801,0.9938
2020-10-26,-0.1859,1.3517,1.1658
2020-10-23,-0.0137,1.3982,1.3845
2020-10-22,0.0309,1.4016,1.4325
2020-10-21,0.0922,1.3939,1.4861
2020-10-20,0.2004,1.3708,1.5712
2020-10-19,0.3131,1.3207,1.6338
2020-10-16,0.4606,1.2425,1.703
2020-10-15,0.5616,1.1273,1.6889
2020-10-14,0.6201,0.9869,1.607
2020-10-13,0.6037,0.8319,1.4356
2020-10-12,0.5857,0.681,1.2667
2020-10-09,0.486,0.5345,1.0205
2020-10-08,0.335,0.413,0.748
2020-10-07,0.2458,0.3293,0.575
2020-10-06,0.1255,0.2678,0.3933
2020-10-05,0.0816,0.2364,0.3181
2020-10-02,-0.0203,0.216,0.1957
2020-10-01,-0.0436,0.2211,0.1775
2020-09-30,-0.1792,0.232,0.0528
2020-09-29,-0.288,0.2768,-0.0112
2020-09-28,-0.4315,0.3488,-0.0827
2020-09-25,-0.6052,0.4567,-0.1485
2020-09-24,-0.681,0.608,-0.0729
2020-09-23,-0.6103,0.7783,0.168
2020-09-22,-0.465,0.9308,0.4659
2020-09-21,-0.4085,1.0471,0.6386
2020-09-18,-0.3299,1.1492,0.8194
2020-09-17,-0.2692,1.2317,0.9625
2020-09-16,-0.195,1.299,1.104
2020-09-15,-0.2347,1.3477,1.1131
2020-09-14,-0.3363,1.4064,1.0701
2020-09-11,-0.406,1.4905,1.0845
2020-09-10,-0.3605,1.592,1.2314
2020-09-09,-0.2911,1.6821,1.391
2020-09-08,-0.2623,1.7549,1.4926
2020-09-04,0.0557,1.8204,1.8761
2020-09-03,0.2926,1.8065,2.0991
2020-09-02,0.5422,1.7334,2.2756
2020-09-01,0.4934,1.5978,2.0912
2020-08-31,0.3833,1.4745,1.8578
