date,MFI
2014-10-20,46.1586
2014-10-21,58.5539
2014-10-22,46.7712
2014-10-23,43.7149
2014-10-24,45.1094
2014-10-27,43.756
2014-10-28,57.1076
2014-10-29,65.7783
2014-10-30,66.7691
2014-10-31,69.4677
2014-11-03,72.7109
2014-11-04,73.9311
2014-11-05,72.3556
2014-11-06,70.6974
2014-11-07,67.0236
2014-11-10,61.4448
2014-11-11,68.9641
2014-11-12,65.3547
2014-11-13,69.5222
2014-11-14,79.4175
2014-11-17,66.9282
2014-11-18,47.49
2014-11-19,51.1569
2014-11-20,48.6236
2014-11-21,63.5035
2014-11-24,69.864
2014-11-25,73.6907
2014-11-26,71.7683
2014-11-28,74.7083
2014-12-01,52.7979
2014-12-02,41.2832
2014-12-03,48.8537
2014-12-04,35.4541
2014-12-05,29.4378
2014-12-08,22.8154
2014-12-09,17.1076
2014-12-10,22.3813
2014-12-11,16.7763
2014-12-12,12.7191
2014-12-15,7.5548
2014-12-16,4.5767
2014-12-17,12.7682
2014-12-18,31.311
2014-12-19,37.2782
2014-12-22,46.2104
2014-12-23,64.5255
2014-12-24,63.5642
2014-12-26,67.8843
2014-12-29,70.9036
2014-12-30,71.579
2014-12-31,72.432
2015-01-02,78.1217
2015-01-05,74.9683
2015-01-06,69.1617
2015-01-07,73.4565
2015-01-08,76.0011
2015-01-09,72.4045
2015-01-12,32.8751
2015-01-13,30.3493
2015-01-14,17.2669
2015-01-15,16.8417
2015-01-16,14.119
2015-01-20,12.954
2015-01-21,16.0362
2015-01-22,18.1432
2015-01-23,20.9843
2015-01-26,25.7149
2015-01-27,25.8311
2015-01-28,21.9569
2015-01-29,18.7104
2015-01-30,19.9257
2015-02-02,37.5715
2015-02-03,30.991
2015-02-04,33.6052
2015-02-05,38.637
2015-02-06,44.2219
2015-02-09,41.0278
2015-02-10,39.1781
2015-02-11,37.4038
2015-02-12,50.4213
2015-02-13,59.1071
2015-02-17,57.9982
2015-02-18,69.2649
2015-02-19,71.8467
2015-02-20,72.551
2015-02-23,74.9067
2015-02-24,88.1818
2015-02-25,88.5496
2015-02-26,88.1886
2015-02-27,81.8686
2015-03-02,84.6638
2015-03-03,79.59
2015-03-04,78.3794
2015-03-05,73.2456
2015-03-06,57.6527
2015-03-09,70.5493
2015-03-10,68.8502
2015-03-11,60.276
2015-03-12,61.2454
2015-03-13,60.0463
2015-03-16,73.1473
2015-03-17,68.7095
2015-03-18,70.3634
2015-03-19,81.3962
2015-03-20,85.6354
2015-03-23,89.1625
2015-03-24,90.2833
2015-03-25,89.0072
2015-03-26,90.602
2015-03-27,89.6063
2015-03-30,90.577
2015-03-31,90.4952
2015-04-01,88.34
2015-04-02,89.8866
2015-04-06,86.7685
2015-04-07,92.056
2015-04-08,91.5493
2015-04-09,89.5618
2015-04-10,83.7672
2015-04-13,92.1405
2015-04-14,90.3461
2015-04-15,92.7489
2015-04-16,79.0211
2015-04-17,52.8784
2015-04-20,51.352
2015-04-21,52.1471
2015-04-22,82.0155
2015-04-23,82.2187
2015-04-24,81.5766
2015-04-27,86.1805
2015-04-28,84.7059
2015-04-29,83.7222
2015-04-30,35.9216
2015-05-01,35.67
2015-05-04,40.2789
2015-05-05,39.7999
2015-05-06,40.1633
2015-05-07,42.075
2015-05-08,41.6817
2015-05-11,41.5639
2015-05-12,27.3313
2015-05-13,26.7518
2015-05-14,26.87
2015-05-15,12.7456
2015-05-18,13.2699
2015-05-19,14.1094
2015-05-20,74.4995
2015-05-21,75.5691
2015-05-22,31.4217
2015-05-26,31.1247
2015-05-27,50.3763
2015-05-28,51.2416
2015-05-29,47.1847
2015-06-01,45.1988
2015-06-02,46.6478
2015-06-03,51.4129
2015-06-04,47.394
2015-06-05,48.8715
2015-06-08,50.7312
2015-06-09,44.7151
2015-06-10,54.3105
2015-06-11,53.5782
2015-06-12,61.2224
2015-06-15,62.8833
2015-06-16,50.8432
2015-06-17,48.0689
2015-06-18,62.6022
2015-06-19,74.0387
2015-06-22,73.8924
2015-06-23,74.6674
2015-06-24,80.9256
2015-06-25,83.2153
2015-06-26,77.8041
2015-06-29,75.2688
2015-06-30,75.9048
2015-07-01,76.9575
2015-07-02,81.3473
2015-07-06,78.4216
2015-07-07,64.7659
2015-07-08,60.2061
2015-07-09,56.26
2015-07-10,40.3848
2015-07-13,45.3291
2015-07-14,40.2408
2015-07-15,39.0968
2015-07-16,37.7187
2015-07-17,41.3917
2015-07-20,47.3528
2015-07-21,41.03
2015-07-22,33.2165
2015-07-23,31.4556
2015-07-24,33.4794
2015-07-27,40.0456
2015-07-28,49.4529
2015-07-29,54.9729
2015-07-30,52.9687
2015-07-31,40.9475
2015-08-03,27.3313
2015-08-04,28.7965
2015-08-05,26.9939
2015-08-06,17.1278
2015-08-07,18.5671
2015-08-10,20.6646
2015-08-11,19.3803
2015-08-12,18.3746
2015-08-13,21.4087
2015-08-14,30.5366
2015-08-17,30.1269
2015-08-18,12.5664
2015-08-19,12.8365
2015-08-20,11.0377
2015-08-21,10.0571
2015-08-24,9.2756
2015-08-25,26.7755
2015-08-26,29.7808
2015-08-27,31.8981
2015-08-28,35.5542
2015-08-31,38.6214
2015-09-01,36.31
2015-09-02,34.9956
2015-09-03,33.6473
2015-09-04,32.4083
2015-09-08,43.2807
2015-09-09,43.3423
2015-09-10,49.5287
2015-09-11,48.3381
2015-09-14,55.0721
2015-09-15,38.4081
2015-09-16,42.0448
2015-09-17,36.6002
2015-09-18,20.9861
2015-09-21,18.4163
2015-09-22,21.3338
2015-09-23,21.3304
2015-09-24,19.9983
2015-09-25,21.5302
2015-09-28,14.2769
2015-09-29,11.7088
2015-09-30,12.9767
2015-10-01,18.3118
2015-10-02,15.97
2015-10-05,7.6801
2015-10-06,4.7816
2015-10-07,8.2616
2015-10-08,13.6504
2015-10-09,15.6832
2015-10-12,15.7003
2015-10-13,15.4118
2015-10-14,15.1543
2015-10-15,17.6077
2015-10-16,35.9469
2015-10-19,49.245
2015-10-20,52.4769
2015-10-21,57.4875
2015-10-22,58.5088
2015-10-23,47.8774
2015-10-26,65.5986
2015-10-27,62.3255
2015-10-28,61.2265
2015-10-29,63.9074
2015-10-30,65.8659
2015-11-02,69.3606
2015-11-03,73.3449
2015-11-04,72.8246
2015-11-05,62.6232
2015-11-06,72.6673
2015-11-09,62.3533
2015-11-10,55.0227
2015-11-11,48.2875
2015-11-12,60.8042
2015-11-13,56.3284
2015-11-16,59.7738
2015-11-17,59.7659
2015-11-18,56.3125
2015-11-19,59.4285
2015-11-20,62.0871
2015-11-23,59.1538
2015-11-24,55.8805
2015-11-25,71.7865
2015-11-27,66.0543
2015-11-30,74.9655
2015-12-01,80.4083
2015-12-02,88.8844
2015-12-03,84.9518
2015-12-04,89.0791
2015-12-07,71.1464
2015-12-08,67.6507
2015-12-09,68.0684
