date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,160.52,161.0,156.24,156.67,1338811.0
2021-01-14,160.85,162.36,159.52,159.77,1312932.0
2021-01-13,159.09,160.5018,157.8,159.4,1082060.0
2021-01-12,156.43,158.93,155.93,158.71,1415450.0
2021-01-11,156.16,157.48,153.76,154.97,1522906.0
2021-01-08,158.4199,160.3981,156.94,159.39,2322658.0
2021-01-07,150.6599,155.37,150.6599,155.27,1665601.0
2021-01-06,148.34,150.67,147.07,148.04,1681642.0
2021-01-05,145.21,149.72,145.1,149.71,1249797.0
2021-01-04,147.71,148.3,143.16,145.77,1817297.0
2020-12-31,148.08,148.08,145.77,146.36,925855.0
2020-12-30,146.1899,147.79,145.95,147.61,921350.0
2020-12-29,147.0,147.34,143.15,145.09,1800565.0
2020-12-28,153.63,154.06,147.611,147.8,1975569.0
2020-12-24,153.0,153.29,151.1,151.38,824991.0
2020-12-23,154.89,155.0,151.53,152.59,1275491.0
2020-12-22,154.0001,154.58,151.26,153.94,1658077.0
2020-12-21,150.41,152.4,149.5041,152.03,1928179.0
2020-12-18,151.05,151.28,149.14,150.83,1439689.0
2020-12-17,148.34,149.88,148.2254,149.46,1188373.0
2020-12-16,145.55,145.98,143.5739,145.57,785151.0
2020-12-15,145.71,145.88,143.61,144.69,780214.0
2020-12-14,145.9,145.9,144.0849,144.42,992330.0
2020-12-11,143.45,144.52,141.2583,143.77,1078539.0
2020-12-10,136.12,144.16,136.12,144.06,1240178.0
2020-12-09,145.27,145.46,138.25,139.64,1836823.0
2020-12-08,142.27,144.06,141.3601,143.66,1344600.0
2020-12-07,140.57,142.48,139.7001,141.96,1588225.0
2020-12-04,137.89,139.14,136.7388,139.07,1035508.0
2020-12-03,136.45,137.72,135.79,136.31,859566.0
2020-12-02,133.48,134.83,131.04,134.64,859756.0
2020-12-01,138.13,138.13,134.06,135.2,1291786.0
2020-11-30,136.28,136.91,131.5,136.11,1179502.0
2020-11-27,133.89,134.69,133.02,134.61,762951.0
2020-11-25,129.16,132.72,128.95,132.72,825325.0
2020-11-24,130.55,130.55,127.8501,129.21,1032004.0
2020-11-23,128.17,129.59,126.92,129.0,940769.0
2020-11-20,125.0,127.37,124.68,126.46,1160849.0
2020-11-19,121.01,124.5599,121.01,124.13,638716.0
