date,MACD_Hist,MACD_Signal,MACD
2021-01-29,-0.8574,5.5277,4.6703
2021-01-28,-0.5692,5.7421,5.1729
2021-01-27,-0.3661,5.8844,5.5183
2021-01-26,0.1484,5.9759,6.1243
2021-01-25,0.378,5.9388,6.3168
2021-01-22,0.3443,5.8443,6.1886
2021-01-21,0.3153,5.7583,6.0735
2021-01-20,0.2993,5.6794,5.9787
2021-01-19,0.1255,5.6046,5.7301
2021-01-15,0.1043,5.5732,5.6776
2021-01-14,0.3616,5.5472,5.9088
2021-01-13,0.3455,5.4568,5.8023
2021-01-12,0.2492,5.3704,5.6196
2021-01-11,0.0669,5.3081,5.375
2021-01-08,0.074,5.2914,5.3654
2021-01-07,-0.4478,5.2729,4.8251
2021-01-06,-0.9001,5.3848,4.4847
2021-01-05,-0.8886,5.6098,4.7212
2021-01-04,-1.0476,5.832,4.7844
2020-12-31,-0.8973,6.0939,5.1966
2020-12-30,-0.7312,6.3182,5.587
2020-12-29,-0.6242,6.501,5.8768
2020-12-28,-0.2392,6.657,6.4178
2020-12-24,0.2162,6.7168,6.933
2020-12-23,0.4671,6.6628,7.1299
2020-12-22,0.6099,6.546,7.1559
2020-12-21,0.5559,6.3935,6.9494
2020-12-18,0.522,6.2545,6.7766
2020-12-17,0.4541,6.124,6.5781
2020-12-16,0.3563,6.0105,6.3668
2020-12-15,0.474,5.9214,6.3954
2020-12-14,0.6245,5.8029,6.4274
2020-12-11,0.7551,5.6468,6.4019
2020-12-10,0.8835,5.458,6.3415
2020-12-09,0.9059,5.2372,6.1431
2020-12-08,1.234,5.0107,6.2446
2020-12-07,1.1772,4.7022,5.8794
2020-12-04,1.0908,4.4079,5.4987
2020-12-03,1.0879,4.1352,5.2231
2020-12-02,1.2096,3.8632,5.0728
2020-12-01,1.4142,3.5608,4.9751
2020-11-30,1.5144,3.2073,4.7217
2020-11-27,1.4094,2.8287,4.2381
2020-11-25,1.2336,2.4763,3.71
2020-11-24,1.004,2.1679,3.1719
2020-11-23,0.8748,1.9169,2.7917
2020-11-20,0.5888,1.6982,2.287
2020-11-19,0.3138,1.551,1.8649
2020-11-18,0.0605,1.4726,1.5331
2020-11-17,-0.0465,1.4574,1.4109
2020-11-16,-0.1913,1.469,1.2777
2020-11-13,-0.2237,1.5169,1.2931
2020-11-12,-0.2718,1.5728,1.301
2020-11-11,-0.3184,1.6407,1.3224
2020-11-10,-0.3438,1.7203,1.3766
2020-11-09,0.0838,1.8063,1.8901
2020-11-06,0.2814,1.7853,2.0667
2020-11-05,-0.2238,1.715,1.4912
2020-11-04,-0.7123,1.7709,1.0587
2020-11-03,-1.1392,1.949,0.8098
2020-11-02,-1.1967,2.2338,1.0371
2020-10-30,-1.0158,2.533,1.5172
2020-10-29,-0.6409,2.787,2.1461
2020-10-28,-0.6518,2.9472,2.2954
2020-10-27,-0.4173,3.1101,2.6929
2020-10-26,-0.4133,3.2144,2.8012
2020-10-23,-0.2211,3.3177,3.0967
2020-10-22,-0.1774,3.373,3.1956
2020-10-21,-0.0214,3.4174,3.396
2020-10-20,0.1626,3.4227,3.5853
2020-10-19,0.4098,3.3821,3.7919
2020-10-16,0.6554,3.2796,3.935
2020-10-15,0.9126,3.1158,4.0283
2020-10-14,1.1138,2.8876,4.0014
2020-10-13,1.1801,2.6092,3.7893
2020-10-12,1.0638,2.3142,3.3779
2020-10-09,0.9837,2.0482,3.0319
2020-10-08,0.8555,1.8023,2.6578
2020-10-07,0.7461,1.5885,2.3345
2020-10-06,0.6418,1.4019,2.0438
2020-10-05,0.6567,1.2415,1.8982
2020-10-02,0.5331,1.0773,1.6104
2020-10-01,0.5279,0.944,1.472
2020-09-30,0.2608,0.8121,1.0728
2020-09-29,0.1487,0.7469,0.8955
2020-09-28,-0.0123,0.7097,0.6974
2020-09-25,-0.2432,0.7127,0.4696
2020-09-24,-0.4167,0.7735,0.3569
2020-09-23,-0.3684,0.8777,0.5093
2020-09-22,-0.2874,0.9698,0.6824
2020-09-21,-0.5331,1.0417,0.5086
2020-09-18,-0.7309,1.1749,0.444
2020-09-17,-0.7823,1.3577,0.5753
2020-09-16,-0.8096,1.5532,0.7436
2020-09-15,-1.0081,1.7556,0.7475
2020-09-14,-1.3404,2.0077,0.6673
2020-09-11,-1.5172,2.3428,0.8256
2020-09-10,-1.3969,2.7221,1.3251
2020-09-09,-1.2122,3.0713,1.8591
2020-09-08,-0.9905,3.3743,2.3838
2020-09-04,-0.3126,3.622,3.3094
2020-09-03,0.2501,3.7001,3.9502
2020-09-02,0.8237,3.6376,4.4613
2020-09-01,0.8292,3.4317,4.2609
2020-08-31,0.6202,3.2244,3.8446
2020-08-28,0.4875,3.0693,3.5568
2020-08-27,0.4084,2.9474,3.3559
2020-08-26,0.3259,2.8453,3.1712
2020-08-25,0.1094,2.7638,2.8732
2020-08-24,0.0845,2.7365,2.821
2020-08-21,0.0935,2.7154,2.8088
2020-08-20,0.0192,2.692,2.7112
2020-08-19,-0.1591,2.6872,2.5281
2020-08-18,-0.2553,2.7269,2.4717
2020-08-17,-0.4643,2.7908,2.3265
2020-08-14,-0.6778,2.9068,2.229
2020-08-13,-0.6795,3.0763,2.3967
2020-08-12,-0.7235,3.2462,2.5227
2020-08-11,-0.6636,3.427,2.7634
2020-08-10,-0.3314,3.5929,3.2616
2020-08-07,-0.0439,3.6758,3.6319
2020-08-06,0.1529,3.6868,3.8396
2020-08-05,0.116,3.6485,3.7645
2020-08-04,-0.0287,3.6195,3.5908
2020-08-03,-0.138,3.6267,3.4887
2020-07-31,-0.3385,3.6612,3.3227
2020-07-30,-0.4733,3.7459,3.2725
2020-07-29,-0.5445,3.8642,3.3197
2020-07-28,-0.5953,4.0003,3.405
2020-07-27,-0.4787,4.1491,3.6704
2020-07-24,-0.4759,4.2688,3.7929
2020-07-23,-0.2072,4.3878,4.1806
2020-07-22,0.0152,4.4396,4.4548
2020-07-21,0.0589,4.4358,4.4947
2020-07-20,0.0481,4.4211,4.4692
2020-07-17,-0.1278,4.409,4.2812
2020-07-16,0.0004,4.441,4.4413
2020-07-15,0.2076,4.4409,4.6485
2020-07-14,0.3557,4.389,4.7447
2020-07-13,0.606,4.3001,4.906
2020-07-10,0.9282,4.1486,5.0768
2020-07-09,0.8903,3.9166,4.8068
2020-07-08,0.7697,3.694,4.4637
2020-07-07,0.5457,3.5016,4.0472
2020-07-06,0.3952,3.3651,3.7603
2020-07-02,0.1214,3.2663,3.3877
2020-07-01,-0.0365,3.236,3.1995
2020-06-30,-0.2218,3.2451,3.0233
2020-06-29,-0.2456,3.3005,3.055
2020-06-26,-0.11,3.3619,3.2519
2020-06-25,0.0576,3.3894,3.447
2020-06-24,0.1241,3.375,3.4991
2020-06-23,0.3084,3.344,3.6524
2020-06-22,0.2647,3.2669,3.5316
2020-06-19,0.1605,3.2007,3.3612
2020-06-18,0.0861,3.1606,3.2466
2020-06-17,-0.0537,3.139,3.0853
2020-06-16,-0.1681,3.1525,2.9843
2020-06-15,-0.3071,3.1945,2.8874
2020-06-12,-0.3456,3.2713,2.9256
2020-06-11,-0.1825,3.3577,3.1751
2020-06-10,0.1104,3.4033,3.5138
2020-06-09,0.0417,3.3757,3.4174
2020-06-08,0.0313,3.3653,3.3966
2020-06-05,-0.0269,3.3574,3.3306
2020-06-04,0.0076,3.3642,3.3718
2020-06-03,0.1116,3.3622,3.4738
2020-06-02,0.0644,3.3343,3.3988
2020-06-01,-0.0044,3.3182,3.3138
2020-05-29,-0.1039,3.3194,3.2155
2020-05-28,-0.1192,3.3453,3.2261
2020-05-27,-0.0125,3.3751,3.3626
2020-05-26,0.0926,3.3783,3.4709
2020-05-22,0.1592,3.3551,3.5143
2020-05-21,0.1923,3.3153,3.5076
2020-05-20,0.227,3.2672,3.4942
2020-05-19,0.1686,3.2105,3.3791
2020-05-18,0.1795,3.1683,3.3479
2020-05-15,0.2022,3.1234,3.3256
2020-05-14,0.2584,3.0729,3.3313
2020-05-13,0.3782,3.0083,3.3865
2020-05-12,0.5975,2.9138,3.5112
2020-05-11,0.7143,2.7644,3.4787
2020-05-08,0.6681,2.5858,3.2539
2020-05-07,0.5209,2.4188,2.9397
2020-05-06,0.3622,2.2886,2.6507
2020-05-05,0.3679,2.198,2.566
2020-05-04,0.3998,2.1061,2.5059
2020-05-01,0.4882,2.0061,2.4943
2020-04-30,0.7641,1.8841,2.6482
2020-04-29,0.8317,1.693,2.5247
2020-04-28,0.784,1.4851,2.2691
2020-04-27,0.9513,1.2891,2.2404
2020-04-24,0.924,1.0513,1.9753
2020-04-23,0.9919,0.8203,1.8122
2020-04-22,1.13,0.5723,1.7023
2020-04-21,1.2052,0.2898,1.4951
2020-04-20,1.4987,-0.0115,1.4872
2020-04-17,1.5653,-0.3862,1.1791
2020-04-16,1.5633,-0.7775,0.7858
2020-04-15,1.5382,-1.1683,0.3699
2020-04-14,1.4891,-1.5529,-0.0638
2020-04-13,1.2705,-1.9251,-0.6546
2020-04-09,1.134,-2.2428,-1.1087
2020-04-08,0.9505,-2.5263,-1.5758
2020-04-07,0.7336,-2.7639,-2.0303
2020-04-06,0.5683,-2.9473,-2.379
2020-04-03,0.3643,-3.0894,-2.7251
2020-04-02,0.5086,-3.1805,-2.6719
2020-04-01,0.6561,-3.3076,-2.6515
2020-03-31,0.8685,-3.4716,-2.6031
2020-03-30,0.8225,-3.6888,-2.8662
2020-03-27,0.6553,-3.8944,-3.2391
2020-03-26,0.466,-4.0582,-3.5922
2020-03-25,-0.0391,-4.1747,-4.2138
2020-03-24,-0.5659,-4.1649,-4.7308
2020-03-23,-1.1878,-4.0235,-5.2113
2020-03-20,-1.5609,-3.7265,-5.2874
2020-03-19,-1.8519,-3.3363,-5.1881
2020-03-18,-2.1599,-2.8733,-5.0332
2020-03-17,-2.0549,-2.3333,-4.3883
2020-03-16,-2.0636,-1.8196,-3.8832
2020-03-13,-1.6604,-1.3037,-2.9641
2020-03-12,-1.6522,-0.8886,-2.5408
2020-03-11,-1.2377,-0.4756,-1.7132
2020-03-10,-1.1011,-0.1662,-1.2673
2020-03-09,-1.1285,0.1091,-1.0194
2020-03-06,-0.812,0.3913,-0.4208
2020-03-05,-0.7554,0.5943,-0.1612
2020-03-04,-0.8036,0.7831,-0.0205
2020-03-03,-0.9673,0.984,0.0167
2020-03-02,-0.985,1.2258,0.2408
2020-02-28,-1.1036,1.4721,0.3685
2020-02-27,-1.0359,1.748,0.7121
2020-02-26,-0.7802,2.007,1.2268
2020-02-25,-0.5422,2.202,1.6598
2020-02-24,-0.2026,2.3376,2.135
2020-02-21,0.1233,2.3882,2.5115
2020-02-20,0.2877,2.3574,2.645
2020-02-19,0.3226,2.2855,2.6081
2020-02-18,0.281,2.2048,2.4858
2020-02-14,0.2737,2.1345,2.4082
2020-02-13,0.2874,2.0661,2.3535
2020-02-12,0.2682,1.9943,2.2625
2020-02-11,0.2314,1.9272,2.1586
2020-02-10,0.2027,1.8694,2.0721
2020-02-07,0.1822,1.8187,2.0009
2020-02-06,0.2022,1.7731,1.9753
2020-02-05,0.1893,1.7226,1.9119
2020-02-04,0.2144,1.6753,1.8896
2020-02-03,-0.0171,1.6217,1.6046
2020-01-31,-0.1402,1.6259,1.4858
2020-01-30,-0.0812,1.661,1.5798
2020-01-29,-0.1099,1.6813,1.5714
2020-01-28,-0.1007,1.7087,1.6081
2020-01-27,-0.0833,1.7339,1.6506
2020-01-24,0.0629,1.7547,1.8177
2020-01-23,0.1307,1.739,1.8697
2020-01-22,0.1564,1.7063,1.8627
2020-01-21,0.1956,1.6672,1.8629
2020-01-17,0.2418,1.6183,1.8601
2020-01-16,0.2716,1.5579,1.8295
2020-01-15,0.2829,1.49,1.7729
2020-01-14,0.2998,1.4192,1.7191
2020-01-13,0.2781,1.3443,1.6223
2020-01-10,0.2096,1.2747,1.4843
2020-01-09,0.217,1.2223,1.4394
2020-01-08,0.1708,1.1681,1.3389
2020-01-07,0.095,1.1254,1.2204
2020-01-06,0.0432,1.1016,1.1448
