date,1. open,2. high,3. low,4. close,5. volume
2021-01-13,43.17,43.2991,43.13,43.2,1958437.0
2021-01-12,43.46,43.68,43.41,43.68,3160123.0
2021-01-11,42.0,42.155,41.97,42.07,2336051.0
2021-01-08,42.67,42.7,42.385,42.64,4959433.0
2021-01-07,42.77,43.12,42.65,43.11,6551883.0
2021-01-06,42.02,42.29,41.8941,42.08,2883371.0
2021-01-05,41.68,41.98,41.61,41.94,2865288.0
2021-01-04,41.0,41.095,40.52,40.66,3498992.0
2020-12-31,40.12,40.16,39.915,40.06,2546686.0
2020-12-30,39.34,39.5,39.325,39.49,2607106.0
2020-12-29,38.79,38.88,38.74,38.88,1882253.0
2020-12-28,38.88,38.94,38.775,38.94,2922045.0
2020-12-24,38.4,38.475,38.31,38.41,1440580.0
2020-12-23,38.42,38.48,38.35,38.37,2492962.0
2020-12-22,38.17,38.21,38.04,38.06,1864503.0
2020-12-21,38.38,38.565,38.27,38.47,3878551.0
2020-12-18,38.43,38.51,38.36,38.5,4096532.0
2020-12-17,38.98,39.01,38.775,38.84,4258217.0
2020-12-16,38.54,38.58,38.38,38.43,3004710.0
2020-12-15,38.41,38.58,38.3201,38.57,2105336.0
2020-12-14,38.35,38.4,38.16,38.24,4233403.0
2020-12-11,37.87,37.94,37.7,37.72,4137477.0
2020-12-10,38.23,38.5,38.19,38.43,5041013.0
2020-12-09,38.52,38.53,38.16,38.17,6801898.0
2020-12-08,39.07,39.07,38.91,39.03,2185183.0
2020-12-07,39.14,39.29,39.05,39.25,2834754.0
2020-12-04,39.41,39.52,39.368,39.51,1736836.0
2020-12-03,39.33,39.47,39.3,39.35,2135124.0
2020-12-02,39.33,39.485,39.24,39.45,2519105.0
2020-12-01,39.18,39.39,39.1,39.39,2757675.0
2020-11-30,38.53,38.57,38.225,38.3,3317168.0
2020-11-27,38.48,38.68,38.45,38.6,3234984.0
2020-11-25,37.96,38.0699,37.85,38.01,2838830.0
2020-11-24,38.3,38.4516,38.2,38.45,5647410.0
2020-11-23,38.78,39.0,38.39,38.51,1694810.0
2020-11-20,38.33,38.44,38.31,38.37,2448250.0
2020-11-19,38.01,38.21,37.97,38.21,1678768.0
2020-11-18,38.04,38.07,37.82,37.86,3586955.0
2020-11-17,38.0,38.18,37.86,38.07,3565958.0
2020-11-16,38.12,38.14,37.91,38.09,4248535.0
2020-11-13,37.35,37.54,37.18,37.52,6883170.0
2020-11-12,37.89,37.9692,37.535,37.54,2592182.0
2020-11-11,37.64,37.77,37.54,37.71,3329570.0
2020-11-10,38.01,38.3,37.855,38.15,3174021.0
2020-11-09,39.01,39.1099,38.2,38.27,5468740.0
2020-11-06,37.69,37.98,37.51,37.84,4314715.0
2020-11-05,38.26,38.26,37.915,38.09,5144097.0
2020-11-04,36.93,37.7,36.88,37.65,5769258.0
2020-11-03,36.25,36.42,36.17,36.41,2583857.0
2020-11-02,36.09,36.13,35.9,36.07,2221117.0
2020-10-30,35.755,35.91,35.72,35.81,3249731.0
2020-10-29,35.94,36.245,35.92,36.23,5784100.0
2020-10-28,35.54,35.59,35.37,35.43,1726896.0
2020-10-27,35.59,35.755,35.485,35.72,3693035.0
2020-10-26,35.53,35.65,35.35,35.5,3245621.0
2020-10-23,36.2,36.23,36.11,36.19,1738303.0
2020-10-22,36.38,36.48,36.3,36.39,2643009.0
2020-10-21,36.63,36.74,36.51,36.53,4506040.0
2020-10-20,36.43,36.595,36.39,36.5,2845259.0
2020-10-19,36.18,36.3,36.01,36.06,4377816.0
2020-10-16,36.48,36.55,36.36,36.41,8129071.0
2020-10-15,36.02,36.225,36.02,36.21,3362557.0
2020-10-14,36.4,36.42,36.18,36.21,1728791.0
2020-10-13,36.46,36.61,36.35,36.56,2051650.0
2020-10-12,36.38,36.45,36.31,36.43,3007435.0
2020-10-09,35.69,35.7781,35.63,35.73,1741081.0
2020-10-08,35.43,35.48,35.35,35.45,2883827.0
2020-10-07,35.34,35.45,35.23,35.39,2625103.0
2020-10-06,35.19,35.21,34.965,35.09,3433850.0
2020-10-05,34.81,35.06,34.79,35.06,1779518.0
2020-10-02,34.41,34.775,34.32,34.58,2864223.0
2020-10-01,34.98,35.03,34.88,35.03,1802095.0
2020-09-30,34.24,34.51,34.21,34.48,3744828.0
2020-09-29,34.16,34.465,34.16,34.39,1913455.0
2020-09-28,34.11,34.22,34.03,34.18,1813180.0
2020-09-25,33.73,33.95,33.52,33.92,2758693.0
2020-09-24,33.74,33.99,33.712,33.85,2152439.0
2020-09-23,34.7,34.72,34.2,34.22,5274035.0
2020-09-22,34.91,34.94,34.655,34.78,2780730.0
2020-09-21,34.91,35.23,34.735,35.22,4928428.0
2020-09-18,35.45,35.47,35.285,35.33,1910101.0
2020-09-17,34.69,34.985,34.681,34.93,1139334.0
2020-09-16,35.09,35.115,34.86,34.92,2675910.0
2020-09-15,35.19,35.26,35.12,35.2,2220776.0
2020-09-14,34.33,34.665,34.32,34.65,7178250.0
2020-09-11,34.15,34.215,33.985,34.12,3859479.0
2020-09-10,34.08,34.08,33.58,33.6,4863797.0
2020-09-09,34.09,34.325,34.09,34.21,4392331.0
2020-09-08,34.43,34.6,34.34,34.34,2434020.0
2020-09-04,35.27,35.46,34.94,35.33,2887331.0
2020-09-03,35.58,35.6,35.22,35.28,3674323.0
2020-09-02,35.88,35.92,35.655,35.9,3474900.0
2020-09-01,35.86,35.95,35.76,35.94,3096242.0
2020-08-31,35.44,35.45,35.205,35.34,2042006.0
2020-08-28,35.61,35.8,35.545,35.78,6433970.0
2020-08-27,34.75,34.83,34.51,34.69,3550155.0
2020-08-26,34.52,34.61,34.47,34.52,3603582.0
2020-08-25,34.82,34.93,34.775,34.93,2762707.0
2020-08-24,34.85,34.85,34.63,34.76,2980958.0
2020-08-21,34.42,34.6,34.31,34.45,3952598.0
2020-08-20,34.18,34.535,34.14,34.49,4904375.0
2020-08-19,34.7,34.77,34.45,34.46,5121012.0
2020-08-18,35.19,35.19,34.95,35.08,2861796.0
2020-08-17,35.1,35.26,35.03,35.23,5653263.0
2020-08-14,34.18,34.25,34.04,34.15,8313031.0
2020-08-13,33.82,33.905,33.725,33.79,2911394.0
2020-08-12,33.94,34.17,33.9031,34.07,6399470.0
