date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.0253,-0.4159,-0.3906
2021-02-10,-0.0028,-0.4285,-0.4313
2021-02-09,-0.0139,-0.4271,-0.441
2021-02-08,-0.1099,-0.4202,-0.53
2021-02-05,-0.1933,-0.3652,-0.5585
2021-02-04,-0.2223,-0.2686,-0.4909
2021-02-03,-0.3372,-0.1574,-0.4946
2021-02-02,-0.3949,0.0112,-0.3837
2021-02-01,-0.3997,0.2087,-0.191
2021-01-29,0.0494,0.2068,0.2562
2021-01-28,0.2304,0.1944,0.4248
2021-01-27,0.3505,0.1368,0.4873
2021-01-26,0.5046,0.0492,0.5538
2021-01-25,0.4694,-0.077,0.3924
2021-01-22,0.4188,-0.1944,0.2245
2021-01-21,0.3833,-0.2991,0.0842
2021-01-20,0.3702,-0.3949,-0.0247
2021-01-19,0.3556,-0.4874,-0.1318
2021-01-15,0.2761,-0.5763,-0.3002
2021-01-14,0.2598,-0.6454,-0.3856
2021-01-13,0.2265,-0.7103,-0.4838
2021-01-12,0.2066,-0.767,-0.5604
2021-01-11,0.2287,-0.8186,-0.5899
2021-01-08,0.2293,-0.8758,-0.6465
2021-01-07,0.1932,-0.9331,-0.7399
2021-01-06,0.2013,-0.9814,-0.7801
2021-01-05,0.1383,-1.0317,-0.8934
2021-01-04,0.0627,-1.0663,-1.0037
2020-12-31,-0.0295,-1.082,-1.1114
2020-12-30,-0.1042,-1.0746,-1.1788
2020-12-29,-0.2186,-1.0485,-1.2671
2020-12-28,-0.3389,-0.9939,-1.3328
2020-12-24,-0.4352,-0.9092,-1.3444
2020-12-23,-0.4516,-0.8004,-1.252
2020-12-22,-0.4538,-0.6875,-1.1413
2020-12-21,-0.4053,-0.574,-0.9794
2020-12-18,-0.3824,-0.4727,-0.8551
2020-12-17,-0.361,-0.3771,-0.7381
2020-12-16,-0.3502,-0.2868,-0.6371
2020-12-15,-0.3138,-0.1993,-0.5131
2020-12-14,-0.2164,-0.1208,-0.3373
2020-12-11,0.0403,-0.0667,-0.0264
2020-12-10,0.0158,-0.0768,-0.061
2020-12-09,0.0152,-0.0808,-0.0656
2020-12-08,-0.0011,-0.0846,-0.0857
2020-12-07,-0.0951,-0.0843,-0.1794
2020-12-04,-0.189,-0.0605,-0.2495
2020-12-03,-0.2693,-0.0132,-0.2825
2020-12-02,-0.2768,0.0541,-0.2227
2020-12-01,-0.3285,0.1233,-0.2053
2020-11-30,-0.3437,0.2054,-0.1383
2020-11-27,-0.338,0.2913,-0.0467
2020-11-25,-0.2713,0.3758,0.1045
2020-11-24,-0.1467,0.4437,0.297
2020-11-23,-0.0407,0.4803,0.4396
2020-11-20,0.0096,0.4905,0.5001
2020-11-19,0.0209,0.4881,0.509
2020-11-18,0.1594,0.4829,0.6423
2020-11-17,0.3641,0.443,0.8071
2020-11-16,0.555,0.35200000000000004,0.907
2020-11-13,0.6727,0.2132,0.8859
2020-11-12,0.69,0.0451,0.7351
2020-11-11,0.7143,-0.1275,0.5868
2020-11-10,0.575,-0.306,0.269
2020-11-09,0.4567,-0.4498,0.006999999999999999
2020-11-06,0.493,-0.5639,-0.071
2020-11-05,0.3681,-0.6872,-0.3191
2020-11-04,0.1848,-0.7792,-0.5944
2020-11-03,-0.0996,-0.8254,-0.9251
2020-11-02,-0.193,-0.8005,-0.9935
2020-10-30,-0.2042,-0.7523,-0.9565
2020-10-29,-0.1472,-0.7012,-0.8484
2020-10-28,-0.1265,-0.6644,-0.7909
2020-10-27,-0.0639,-0.6328,-0.6967
2020-10-26,-0.1023,-0.6168,-0.7191
2020-10-23,-0.2061,-0.5912,-0.7974
2020-10-22,-0.237,-0.5397,-0.7767
2020-10-21,-0.2545,-0.4804,-0.7349
2020-10-20,-0.2144,-0.4168,-0.6312
2020-10-19,-0.1895,-0.3632,-0.5528
2020-10-16,-0.1542,-0.3158,-0.4701
2020-10-15,-0.1405,-0.2773,-0.4178
2020-10-14,-0.0539,-0.2422,-0.29600000000000004
2020-10-13,0.0272,-0.2287,-0.2015
2020-10-12,0.0262,-0.2355,-0.2093
2020-10-09,-0.0546,-0.2421,-0.2966
2020-10-08,-0.1194,-0.2284,-0.3478
2020-10-07,-0.1453,-0.1986,-0.3439
2020-10-06,-0.1147,-0.1622,-0.2769
2020-10-05,-0.0721,-0.1336,-0.2056
2020-10-02,-0.0756,-0.1155,-0.1912
2020-10-01,-0.0458,-0.0966,-0.1424
2020-09-30,-0.001,-0.0852,-0.0862
2020-09-29,0.0207,-0.0849,-0.0642
2020-09-28,0.0234,-0.0901,-0.0667
2020-09-25,0.0637,-0.096,-0.0323
2020-09-24,0.0467,-0.1119,-0.0652
2020-09-23,0.1536,-0.1235,0.0301
2020-09-22,0.1615,-0.162,-0.0004
2020-09-21,0.1854,-0.2023,-0.0169
2020-09-18,0.1631,-0.2487,-0.0856
2020-09-17,0.0624,-0.2895,-0.227
2020-09-16,-0.0473,-0.3051,-0.3523
2020-09-15,-0.1314,-0.2933,-0.4246
2020-09-14,-0.2656,-0.2604,-0.526
2020-09-11,-0.3254,-0.194,-0.5194
2020-09-10,-0.3613,-0.1127,-0.474
2020-09-09,-0.3195,-0.0223,-0.3419
2020-09-08,-0.2838,0.0575,-0.2263
2020-09-04,-0.313,0.1285,-0.1845
2020-09-03,-0.2201,0.2067,-0.0133
2020-09-02,-0.1155,0.2617,0.1462
2020-09-01,-0.12,0.2906,0.1706
2020-08-31,-0.0684,0.3206,0.2522
2020-08-28,-0.0482,0.3377,0.2895
2020-08-27,0.0148,0.3498,0.3645
2020-08-26,0.0661,0.3461,0.4122
2020-08-25,0.0469,0.3296,0.3764
2020-08-24,0.0064,0.3178,0.3243
2020-08-21,-0.0378,0.3162,0.2784
2020-08-20,-0.0029,0.3257,0.3228
2020-08-19,-0.0311,0.3264,0.2953
2020-08-18,-0.0518,0.3342,0.2824
2020-08-17,-0.0955,0.3471,0.2516
2020-08-14,-0.1756,0.371,0.1954
2020-08-13,-0.1647,0.4149,0.2502
2020-08-12,-0.2017,0.4561,0.2543
2020-08-11,-0.3,0.5065,0.2065
2020-08-10,-0.2816,0.5815,0.2999
2020-08-07,-0.2573,0.6519,0.3946
2020-08-06,-0.2095,0.7162,0.5067
2020-08-05,-0.207,0.7686,0.5616
2020-08-04,-0.1706,0.8204,0.6497
2020-08-03,-0.1233,0.863,0.7397
2020-07-31,-0.1249,0.8939,0.769
2020-07-30,-0.0248,0.9251,0.9002
2020-07-29,-0.0897,0.9313,0.8416
2020-07-28,-0.073,0.9537,0.8807
2020-07-27,-0.0219,0.972,0.9501
2020-07-24,0.0212,0.9774,0.9987
2020-07-23,0.1528,0.9721,1.1249
2020-07-22,0.3993,0.9339,1.3333
2020-07-21,0.5629,0.8341,1.3969999999999998
2020-07-20,0.6546,0.6934,1.348
2020-07-17,0.6745,0.5297,1.2042
2020-07-16,0.3976,0.3611,0.7587
2020-07-15,0.2881,0.2617,0.5497
2020-07-14,0.0278,0.1896,0.2175
2020-07-13,0.0136,0.1827,0.1962
2020-07-10,0.0617,0.1793,0.241
2020-07-09,0.0783,0.1639,0.2421
2020-07-08,0.0746,0.1443,0.2189
2020-07-07,0.0381,0.1256,0.1637
2020-07-06,0.0476,0.1161,0.1637
2020-07-02,-0.0066,0.1042,0.0977
2020-07-01,-0.0637,0.1059,0.0422
2020-06-30,-0.1024,0.1218,0.0194
2020-06-29,-0.1141,0.1474,0.0333
2020-06-26,-0.1273,0.1759,0.0486
2020-06-25,-0.119,0.2078,0.0887
2020-06-24,-0.1303,0.2375,0.1072
2020-06-23,-0.0519,0.2701,0.2182
2020-06-22,-0.1405,0.2831,0.1425
2020-06-19,-0.1905,0.3182,0.1277
2020-06-18,-0.2185,0.3658,0.1473
2020-06-17,-0.2138,0.4204,0.2066
2020-06-16,-0.3199,0.4739,0.154
2020-06-15,-0.4369,0.5539,0.117
2020-06-12,-0.5002,0.6631,0.1629
2020-06-11,-0.4508,0.7881,0.3374
2020-06-10,-0.3558,0.9008,0.545
2020-06-09,-0.3968,0.9898,0.593
2020-06-08,-0.3513,1.089,0.7377
2020-06-05,-0.2502,1.1768,0.9266
2020-06-04,-0.2133,1.2394,1.0261
2020-06-03,-0.1566,1.2927,1.1361
2020-06-02,-0.18600000000000005,1.3318,1.1459
2020-06-01,-0.2084,1.3783,1.1699
2020-05-29,-0.2913,1.4304,1.1392
2020-05-28,-0.3633,1.5032,1.1399
2020-05-27,-0.3587,1.5941,1.2354
2020-05-26,-0.2404,1.6837,1.4433
2020-05-22,-0.1208,1.7439,1.6231
2020-05-21,-0.1583,1.7741,1.6158
2020-05-20,-0.2367,1.8136,1.5769
2020-05-19,-0.217,1.8728,1.6558
2020-05-18,-0.1733,1.927,1.7537
2020-05-15,-0.1051,1.9704,1.8653
2020-05-14,-0.0121,1.9967,1.9846
2020-05-13,0.0992,1.9997,2.0989
2020-05-12,0.0565,1.9749,2.0314
2020-05-11,0.0762,1.9608,2.037
2020-05-08,0.0889,1.9417,2.0306
2020-05-07,0.1401,1.9195,2.0596
2020-05-06,0.2377,1.8845,2.1222
2020-05-05,0.2148,1.8251,2.0399
2020-05-04,0.1914,1.7714,1.9628
2020-05-01,0.2254,1.7235,1.9489
2020-04-30,0.2852,1.6672,1.9524
2020-04-29,0.2901,1.5959,1.886
2020-04-28,0.408,1.5233,1.9314
2020-04-27,0.5146,1.4213,1.9359
2020-04-24,0.5694,1.2927,1.8621
2020-04-23,0.6208,1.1503,1.7711
2020-04-22,0.7138,0.9951,1.709
2020-04-21,0.7912,0.8167,1.6078
2020-04-20,0.8658,0.6189,1.4846
2020-04-17,0.866,0.4024,1.2684
2020-04-16,0.8295,0.1859,1.0155
2020-04-15,0.7902,-0.0215,0.7687
2020-04-14,0.7727,-0.219,0.5537
2020-04-13,0.6177,-0.4122,0.2055
2020-04-09,0.458,-0.5666,-0.1085
2020-04-08,0.446,-0.6811,-0.2351
2020-04-07,0.4812,-0.7926,-0.3114
2020-04-06,0.5844,-0.9129,-0.3285
2020-04-03,0.5913,-1.0590000000000002,-0.4677
2020-04-02,0.6035,-1.2068,-0.6033
2020-04-01,0.6103,-1.3577,-0.7474
2020-03-31,0.5878,-1.5103,-0.9225
2020-03-30,0.4359,-1.6572,-1.2214
2020-03-27,0.1942,-1.7662,-1.5719999999999998
2020-03-26,0.0262,-1.8147,-1.7885
2020-03-25,-0.2065,-1.8213,-2.0278
2020-03-24,-0.3341,-1.7696,-2.1038
2020-03-23,-0.5355,-1.6861,-2.2216
2020-03-20,-0.5743,-1.5522,-2.1266
2020-03-19,-0.6303,-1.4087,-2.039
2020-03-18,-0.7182,-1.2511,-1.9693
2020-03-17,-0.7023,-1.0715,-1.7739
2020-03-16,-0.7613,-0.8959999999999999,-1.6572
2020-03-13,-0.4614,-0.7056,-1.1671
2020-03-12,-0.3877,-0.5903,-0.978
2020-03-11,-0.0756,-0.4934,-0.5689
2020-03-10,0.0501,-0.4745,-0.4244
2020-03-09,0.019,-0.487,-0.468
2020-03-06,0.1435,-0.4917,-0.3482
2020-03-05,0.106,-0.5276,-0.4216
2020-03-04,-0.0418,-0.5541,-0.5959
2020-03-03,-0.2884,-0.5437,-0.8320000000000001
2020-03-02,-0.3386,-0.4716,-0.8102
2020-02-28,-0.4189,-0.3869,-0.8058
2020-02-27,-0.2973,-0.2822,-0.5795
2020-02-26,-0.2026,-0.2079,-0.4105
2020-02-25,-0.1849,-0.1572,-0.3421
2020-02-24,-0.0904,-0.111,-0.2014
2020-02-21,0.0191,-0.0884,-0.0693
