date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,1265.84,1297.82,1264.5,1282.15,249578.0
2021-01-11,1248.59,1269.33,1246.72,1265.46,207743.0
2021-01-08,1248.76,1257.53,1240.88,1252.92,208817.0
2021-01-07,1228.27,1249.02,1218.72,1246.04,216054.0
2021-01-06,1175.34,1231.765,1175.34,1229.7,268894.0
2021-01-05,1175.84,1188.45,1164.16,1180.35,185261.0
2021-01-04,1183.56,1190.9,1166.6401,1180.4,277574.0
2020-12-31,1173.58,1187.47,1169.01,1185.44,168568.0
2020-12-30,1177.61,1188.305,1175.29,1175.87,146096.0
2020-12-29,1192.36,1197.37,1172.41,1177.12,213824.0
2020-12-28,1210.48,1220.98,1186.73,1192.62,213812.0
2020-12-24,1195.94,1208.01,1187.13,1204.22,82345.0
2020-12-23,1187.72,1205.6399,1179.55,1192.99,180301.0
2020-12-22,1192.04,1196.06,1177.65,1190.19,205064.0
2020-12-21,1177.17,1196.185,1166.21,1192.91,249753.0
2020-12-18,1180.68,1190.17,1174.78,1181.9,443420.0
2020-12-17,1196.51,1208.13,1172.45,1180.89,315440.0
2020-12-16,1186.25,1210.15,1180.61,1190.5,331008.0
2020-12-15,1157.33,1182.4394,1150.14,1179.37,350063.0
2020-12-14,1159.63,1182.41,1142.74,1151.13,346187.0
2020-12-11,1146.11,1163.1,1137.0,1155.3,329659.0
2020-12-10,1127.57,1147.84,1122.47,1137.85,335260.0
2020-12-09,1107.17,1146.4,1098.69,1136.67,705649.0
2020-12-08,1128.0,1138.0,1085.85,1095.99,789646.0
2020-12-07,1169.9,1172.58,1141.63,1157.18,403514.0
2020-12-04,1150.88,1165.0046,1150.7925,1162.63,208374.0
2020-12-03,1147.08,1160.41,1144.0,1154.01,181404.0
2020-12-02,1157.95,1158.88,1130.33,1152.22,283331.0
2020-12-01,1148.23,1170.82,1140.33,1164.84,249497.0
2020-11-30,1114.81,1141.98,1106.615,1137.65,272502.0
2020-11-27,1127.54,1141.34,1118.28,1119.24,109731.0
2020-11-25,1137.39,1141.23,1120.55,1129.6,194236.0
2020-11-24,1123.44,1152.31,1112.48,1135.79,247734.0
2020-11-23,1114.07,1123.62,1106.745,1113.41,237326.0
2020-11-20,1133.5,1137.54,1112.01,1114.2,187948.0
2020-11-19,1129.32,1136.985,1114.675,1133.76,244492.0
2020-11-18,1118.78,1151.24,1118.78,1131.65,182410.0
2020-11-17,1135.8,1135.8463,1111.69,1124.21,293742.0
2020-11-16,1164.28,1164.28,1137.57,1146.02,346738.0
2020-11-13,1160.92,1167.85,1145.9,1155.8,191199.0
2020-11-12,1179.83,1185.2,1152.06,1159.73,183938.0
2020-11-11,1182.13,1189.16,1171.65,1181.83,318394.0
2020-11-10,1151.27,1181.91,1150.05,1170.41,357375.0
2020-11-09,1182.84,1204.4,1150.96,1151.39,349318.0
2020-11-06,1153.46,1162.61,1137.74,1158.53,245183.0
2020-11-05,1170.11,1174.4,1145.94,1149.51,306040.0
2020-11-04,1168.1,1184.29,1153.71,1154.02,381927.0
2020-11-03,1147.25,1172.44,1127.41,1164.65,290598.0
2020-11-02,1138.55,1160.8904,1123.96,1141.15,242782.0
2020-10-30,1128.02,1135.44,1115.355,1128.98,198224.0
2020-10-29,1128.5,1142.65,1118.49,1129.76,273852.0
2020-10-28,1119.83,1138.665,1112.125,1128.85,241357.0
2020-10-27,1155.36,1156.745,1132.3,1133.59,179215.0
2020-10-26,1168.75,1169.4534,1141.785,1152.0,148776.0
2020-10-23,1180.51,1187.0999,1161.465,1183.16,148937.0
2020-10-22,1176.47,1185.0,1168.0,1175.55,151421.0
2020-10-21,1179.77,1192.465,1174.5501,1178.12,149803.0
2020-10-20,1177.59,1196.5,1176.72,1178.62,196051.0
2020-10-19,1194.53,1199.98,1174.325,1176.42,155893.0
2020-10-16,1192.44,1206.445,1184.5,1193.38,250231.0
2020-10-15,1160.0,1199.25,1154.28,1193.26,202636.0
2020-10-14,1192.55,1196.755,1163.375,1169.03,193767.0
2020-10-13,1142.21,1170.99,1142.21,1164.59,150041.0
2020-10-12,1142.62,1158.72,1129.775,1144.06,218935.0
2020-10-09,1156.65,1156.65,1137.08,1137.74,159997.0
2020-10-08,1146.11,1157.48,1145.92,1150.0,150832.0
2020-10-07,1146.46,1155.3415,1136.0,1139.99,190985.0
2020-10-06,1180.75,1182.84,1132.12,1138.53,251591.0
2020-10-05,1174.17,1191.76,1174.17,1178.27,161142.0
2020-10-02,1169.81,1183.76,1158.86,1176.99,137320.0
2020-10-01,1181.06,1192.95,1168.19,1181.72,222745.0
2020-09-30,1153.64,1183.575,1153.64,1177.64,254889.0
2020-09-29,1150.78,1167.06,1146.0001,1154.92,175921.0
2020-09-28,1145.48,1162.5,1140.35,1155.56,211772.0
2020-09-25,1121.76,1146.645,1120.55,1135.02,201571.0
2020-09-24,1129.11,1145.34,1108.62,1129.63,252110.0
2020-09-23,1174.44,1174.44,1128.01,1128.95,428484.0
2020-09-22,1224.17,1236.005,1155.0,1166.71,537115.0
2020-09-21,1196.26,1197.025,1164.8,1186.01,342541.0
2020-09-18,1214.81,1224.04,1188.475,1205.28,364080.0
2020-09-17,1229.0,1230.0,1214.49,1224.12,176700.0
2020-09-16,1250.56,1251.26,1225.91,1229.23,200939.0
2020-09-15,1247.73,1251.31,1239.895,1242.95,110982.0
2020-09-14,1248.96,1251.81,1232.25,1241.66,163472.0
2020-09-11,1222.66,1240.89,1216.72,1234.45,150458.0
2020-09-10,1235.68,1238.13,1208.55,1216.04,172183.0
2020-09-09,1216.98,1247.16,1212.76,1233.0,199913.0
2020-09-08,1204.78,1224.3,1196.43,1211.49,159753.0
2020-09-04,1216.55,1222.18,1194.65,1206.79,157763.0
2020-09-03,1245.07,1246.89,1205.15,1215.7,166244.0
2020-09-02,1227.64,1267.93,1225.62,1250.35,216054.0
2020-09-01,1198.35,1223.475,1193.9,1222.43,225425.0
2020-08-31,1188.68,1200.85,1175.915,1196.31,226333.0
2020-08-28,1193.11,1199.715,1178.79,1189.12,152613.0
2020-08-27,1203.17,1204.46,1193.8,1195.89,136072.0
2020-08-26,1198.43,1208.48,1188.695,1198.01,152803.0
2020-08-25,1209.93,1213.98,1188.435,1201.66,132616.0
2020-08-24,1211.61,1219.13,1201.45,1209.93,143212.0
