date,MACD_Hist,MACD_Signal,MACD
2021-02-11,-3.8674,0.5408,-3.3266
2021-02-10,3.8649,2.4744,6.3393
2021-02-09,6.6373,0.542,7.1793
2021-02-08,8.1311,-2.7767,5.3544
2021-02-05,8.712,-6.8422,1.8698
2021-02-04,8.3064,-11.1982,-2.8918
2021-02-03,4.8844,-15.3514,-10.467
2021-02-02,1.6694,-17.7936,-16.1242
2021-02-01,-5.4442,-18.6283,-24.0725
2021-01-29,-16.435,7.518,-8.917
2021-01-28,-14.1127,11.6267,-2.4859
2021-01-27,-12.2747,15.1549,2.8802
2021-01-26,-7.5761,18.2236,10.6475
2021-01-25,-5.5492,20.1176,14.5684
2021-01-22,-2.2957,21.5049,19.2091
2021-01-21,-0.3943,22.0788,21.6845
2021-01-20,0.3911,22.1774,22.5685
2021-01-19,1.9437,22.0796,24.0233
2021-01-15,4.1091,21.5937,25.7028
2021-01-14,5.8838,20.5665,26.4503
2021-01-13,7.9557,19.0955,27.0512
2021-01-12,9.1554,17.1066,26.2619
2021-01-11,7.7425,14.8177,22.5603
2021-01-08,6.3247,12.8821,19.2068
2021-01-07,4.6231,11.3009,15.924
2021-01-06,2.0576,10.1452,12.2028
2021-01-05,-0.6913,9.6307,8.9394
2021-01-04,-0.1347,9.8036,9.6689
2020-12-31,0.617,9.8372,10.4542
2020-12-30,1.1083,9.683,10.7913
2020-12-29,2.6331,9.4059,12.0391
2020-12-28,4.5816,8.7476,13.3293
2020-12-24,5.6017,7.6022,13.2039
2020-12-23,5.4689999999999985,6.2018,11.6708
2020-12-22,5.8531,4.8346,10.6877
2020-12-21,6.1912,3.3713,9.5625
2020-12-18,5.8868,1.8235,7.7102
2020-12-17,6.0032,0.3518,6.355
2020-12-16,5.7846,-1.149,4.6356
2020-12-15,3.9904,-2.5952,1.3952
2020-12-14,1.9649,-3.5928,-1.6279
2020-12-11,1.4966,-4.084,-2.5873
2020-12-10,0.2592,-4.4581,-4.1989
2020-12-09,0.1048,-4.5229,-4.4181
2020-12-08,0.0357,-4.5491,-4.5135
2020-12-07,4.1305,-4.5581,-0.4275
2020-12-04,4.1542,-5.5907,-1.4365
2020-12-03,3.3710000000000004,-6.6292,-3.2582
2020-12-02,2.8136,-7.472,-4.6584
2020-12-01,1.9799,-8.1754,-6.1955
2020-11-30,-0.6818,-8.6704,-9.3522
2020-11-27,-1.9769,-8.4999,-10.4769
2020-11-25,-1.8798,-8.0057,-9.8855
2020-11-24,-2.506,-7.5358,-10.0417
2020-11-23,-3.816,-6.9093,-10.7253
2020-11-20,-3.2079,-5.9553,-9.1631
2020-11-19,-1.9631,-5.1533,-7.1164
2020-11-18,-1.7295,-4.6625,-6.3921
2020-11-17,-0.9296,-4.2301,-5.1597
2020-11-16,1.2435,-3.9977,-2.7542
2020-11-13,2.444,-4.3086,-1.8646
2020-11-12,3.2219,-4.9196,-1.6977
2020-11-11,3.865,-5.7251,-1.8601
2020-11-10,2.4008,-6.6914,-4.2906
2020-11-09,1.124,-7.2915,-6.1675
2020-11-06,1.0356,-7.5726,-6.5369
2020-11-05,0.1911,-7.8315,-7.6403
2020-11-04,-0.1399,-7.8792,-8.0191
2020-11-03,-1.0009,-7.8443,-8.8452
2020-11-02,-3.2592,-7.5939999999999985,-10.8532
2020-10-30,-4.0863,-6.7792,-10.8655
2020-10-29,-3.7265,-5.7577,-9.4841
2020-10-28,-2.8364,-4.8261,-7.6624
2020-10-27,-1.0162,-4.117,-5.1332
2020-10-26,1.5501,-3.8629,-2.3129
2020-10-23,3.6965,-4.2504,-0.5539
2020-10-22,3.701,-5.1745,-1.4735
2020-10-21,4.2488,-6.0998,-1.851
2020-10-20,4.5945,-7.162000000000001,-2.5675
2020-10-19,4.815,-8.3106,-3.4956
2020-10-16,5.109,-9.5144,-4.4054
2020-10-15,3.5623,-10.7916,-7.2293
2020-10-14,0.9659,-11.6822,-10.7163
2020-10-13,-0.6204,-11.9236,-12.5441
2020-10-12,-2.4739,-11.7685,-14.2424
2020-10-09,-2.9625,-11.1501,-14.1126
2020-10-08,-2.6887,-10.4094,-13.0982
2020-10-07,-3.1239,-9.7373,-12.8612
2020-10-06,-2.3962,-8.9563,-11.3524
2020-10-05,-0.7557,-8.3572,-9.1129
2020-10-02,-1.9999,-8.1683,-10.1682
2020-10-01,-3.5685,-7.6684,-11.2369
2020-09-30,-6.1428,-6.7762,-12.919
2020-09-29,-9.2223,-5.2405,-14.4628
2020-09-28,-10.9745,-2.935,-13.9095
2020-09-25,-12.8748,-0.1913,-13.0661
2020-09-24,-12.7356,3.0274,-9.7083
2020-09-23,-10.9437,6.2113,-4.7324
2020-09-22,-7.1905,8.9472,1.7567
2020-09-21,-4.5760000000000005,10.7448,6.1689
2020-09-18,-2.1432,11.8888,9.7456
2020-09-17,-0.2176,12.4246,12.2071
2020-09-16,0.7739,12.479,13.2529
2020-09-15,1.5893,12.2855,13.8748
2020-09-14,1.1816,11.8882,13.0698
2020-09-11,0.3907,11.5928,11.9835
2020-09-10,-0.3383,11.4952,11.1568
2020-09-09,0.2342,11.5797,11.8139
2020-09-08,-0.7673,11.5212,10.7539
2020-09-04,-0.2784,11.713,11.4346
2020-09-03,0.833,11.7826,12.6156
2020-09-02,1.4580000000000002,11.5744,13.0324
2020-09-01,-1.3631,11.2099,9.8468
2020-08-31,-3.0704,11.5507,8.4803
2020-08-28,-3.0460000000000003,12.3183,9.2723
2020-08-27,-2.1994,13.0798,10.8804
2020-08-26,-1.5443,13.6296,12.0853
2020-08-25,-0.784,14.0157,13.2316
