date,1. open,2. high,3. low,4. close,5. volume
2021-01-19,250.0,252.88,246.99,251.65,23681885.0
2021-01-15,246.25,246.99,242.1501,243.46,21561645.0
2021-01-14,245.31,245.7,241.47,242.98,31381635.0
2021-01-13,229.94,240.49,226.29,235.3,38805070.0
2021-01-12,228.385,229.75,225.14,225.6,18614489.0
2021-01-11,229.9,230.8245,225.86,227.37,23036857.0
2021-01-08,227.88,238.6,226.6833,236.19,34884935.0
2021-01-07,229.31,229.95,220.09,226.9,49361841.0
2021-01-06,234.95,238.3,225.86,227.61,36595829.0
2021-01-05,229.05,240.76,228.12,240.4,35823827.0
2021-01-04,226.5,230.38,225.04,227.85,24897858.0
2020-12-31,237.46,238.92,231.0267,232.73,23451848.0
2020-12-30,243.3484,243.39,234.6452,238.39,44812299.0
2020-12-29,231.76,239.19,229.6,236.26,69715948.0
2020-12-28,216.88,224.99,215.3201,222.36,72863844.0
2020-12-24,228.235,229.9,211.23,222.0,141830000.0
2020-12-23,255.5,257.3499,252.5301,256.18,10729152.0
2020-12-22,257.87,258.34,255.41,255.83,11485743.0
2020-12-21,255.17,260.46,254.5,260.43,10901780.0
2020-12-18,263.9,264.9,259.2,260.0,15981756.0
2020-12-17,264.7,264.85,260.2,264.43,14306570.0
2020-12-16,257.74,263.18,257.04,261.89,15804754.0
2020-12-15,255.34,255.68,252.3,255.11,16595641.0
2020-12-14,260.32,260.855,256.03,256.03,18369893.0
2020-12-11,264.29,265.3199,262.5,264.54,7771290.0
2020-12-10,261.99,266.0899,261.2001,264.87,10290254.0
2020-12-09,267.56,267.91,263.1,263.8,9060730.0
2020-12-08,265.2,268.4,263.87,266.09,9447654.0
2020-12-07,265.7,265.97,262.6,264.0,11388712.0
2020-12-04,271.02,271.3,266.27,267.25,15527567.0
2020-12-03,263.78,268.6,263.14,266.91,15520488.0
2020-12-02,262.0,263.1,260.11,261.32,13919668.0
2020-12-01,265.47,265.67,261.57,264.01,14076323.0
2020-11-30,268.97,268.97,262.52,263.36,30476124.0
2020-11-27,278.8,278.92,275.6656,276.48,9583197.0
2020-11-25,275.7,279.33,274.05,277.72,15229301.0
2020-11-24,276.235,280.61,272.8,279.96,19575180.0
2020-11-23,274.75,275.73,266.4107,270.11,25317123.0
2020-11-20,263.97,272.3699,261.9,270.74,34178420.0
2020-11-19,255.0,261.4,253.5601,259.89,20752828.0
2020-11-18,257.76,258.31,252.55,255.83,28307122.0
2020-11-17,260.28,260.28,256.54,256.8,19739461.0
2020-11-16,260.42,262.57,257.03,258.31,20864160.0
2020-11-13,264.72,265.44,257.17,260.84,33919958.0
2020-11-12,271.04,271.2,263.04,264.31,27181048.0
2020-11-11,261.92,271.92,261.205,265.65,41698984.0
2020-11-10,279.97,280.0,264.33,266.54,61063978.0
2020-11-09,303.77,304.0,290.5,290.53,22559869.0
2020-11-06,291.49,300.89,289.786,299.95,25259567.0
2020-11-05,289.09,291.25,279.6,287.75,49885852.0
2020-11-04,287.79,299.17,285.3,295.71,28791198.0
2020-11-03,286.2,294.28,280.78,285.57,58132486.0
2020-11-02,310.95,311.44,305.39,310.84,11857638.0
2020-10-30,308.55,310.83,300.19,304.69,14923854.0
2020-10-29,309.44,315.58,308.91,312.56,11174515.0
2020-10-28,313.5,313.5,306.0,307.94,13644451.0
2020-10-27,307.75,319.32,305.61,317.14,13175870.0
2020-10-26,309.92,315.4599,303.2,306.87,9350118.0
2020-10-23,307.27,310.33,304.06,309.92,6231438.0
2020-10-22,311.46,311.85,304.2101,306.28,8013083.0
2020-10-21,311.75,314.0,307.7,307.97,11139660.0
2020-10-20,307.6,311.8,307.06,309.81,8806118.0
2020-10-19,309.89,313.81,303.41,305.29,14107284.0
2020-10-16,303.99,310.0,302.95,307.31,12346464.0
2020-10-15,293.8,299.8628,292.61,299.46,9709898.0
2020-10-14,309.0,309.96,300.8,301.04,15186392.0
2020-10-13,306.36,310.01,303.03,308.78,10898535.0
2020-10-12,303.95,309.64,301.2848,306.34,14780069.0
2020-10-09,298.55,302.61,297.74,299.74,11442246.0
2020-10-08,298.11,302.3,295.441,300.54,15105805.0
2020-10-07,297.99,299.51,292.87,296.5,16669297.0
2020-10-06,287.41,296.84,286.91,292.39,15860391.0
2020-10-05,289.06,290.0,284.88,288.27,17876411.0
2020-10-02,286.62,291.9794,286.51,288.17,11482752.0
2020-10-01,295.26,295.59,288.25,290.05,16304018.0
2020-09-30,284.01,295.0,283.71,293.98,24777735.0
2020-09-29,275.43,279.3,274.9,276.93,7679306.0
2020-09-28,275.53,278.84,274.1989,276.01,8761678.0
2020-09-25,267.57,271.81,264.56,271.09,11466560.0
2020-09-24,267.93,271.25,267.3338,269.73,9562132.0
2020-09-23,275.4,277.83,271.5,272.95,7353201.0
2020-09-22,276.02,276.32,270.05,275.29,9673302.0
2020-09-21,269.1,274.22,266.4,273.82,9076431.0
2020-09-18,275.98,277.27,270.55,272.41,11753470.0
2020-09-17,273.11,275.9,272.3213,275.72,8016913.0
2020-09-16,281.03,283.605,278.0,278.14,9591242.0
2020-09-15,278.0,279.1,274.8,277.96,8291360.0
2020-09-14,275.36,276.29,271.76,274.1,7883271.0
2020-09-11,272.63,274.53,268.12,271.61,9412804.0
2020-09-10,274.9,277.1,267.4,267.55,10676758.0
2020-09-09,274.45,275.64,270.88,273.15,9465664.0
2020-09-08,270.23,273.97,266.59,270.02,12734048.0
2020-09-04,279.6,283.78,267.39,281.39,15885844.0
2020-09-03,289.0,290.7334,278.16,282.5,16766248.0
2020-09-02,299.0,299.0,289.79,296.07,12638553.0
2020-09-01,289.2,298.0,288.87,298.0,13815922.0
2020-08-31,288.62,289.19,283.61,287.03,13253796.0
2020-08-28,285.09,289.5,283.57,289.0,9689610.0
2020-08-27,290.17,290.25,282.1,284.17,14805798.0
2020-08-26,289.26,292.48,284.1,291.96,19530251.0
2020-08-25,278.06,289.12,276.04,286.0,27535466.0
2020-08-24,273.24,276.97,271.62,276.02,22475757.0
2020-08-21,259.03,267.43,258.31,265.8,25648217.0
2020-08-20,256.89,258.88,254.18,257.97,21460767.0
2020-08-19,260.89,261.29,257.38,260.59,14096512.0
2020-08-18,258.71,261.42,256.06,259.2,13267829.0
2020-08-17,253.0,257.375,250.085,256.96,9694206.0
2020-08-14,255.49,255.77,251.64,253.97,7876422.0
2020-08-13,256.39,256.97,252.8799,253.72,8794502.0
2020-08-12,249.25,256.08,248.68,255.19,11120394.0
