date,MACD,MACD_Signal,MACD_Hist
2021-01-29,2.8837,0.2754,2.6083
2021-01-28,3.1851,-0.3766,3.5618
2021-01-27,2.8179,-1.2671,4.085
2021-01-26,2.3601,-2.2883,4.6484
2021-01-25,1.1641,-3.4504,4.6145
2021-01-22,0.083,-4.6041,4.687
2021-01-21,-1.0172,-5.7758,4.7586
2021-01-20,-2.5471,-6.9655,4.4184
2021-01-19,-5.0217,-8.0701,3.0483
2021-01-15,-6.698,-8.8322,2.1341
2021-01-14,-7.9063,-9.3657,1.4593
2021-01-13,-9.2847,-9.7305,0.4458
2021-01-12,-10.1269,-9.842,-0.285
2021-01-11,-10.067,-9.7707,-0.2963
2021-01-08,-10.0243,-9.6967,-0.3276
2021-01-07,-10.722,-9.6148,-1.1073
2021-01-06,-10.5108,-9.3379,-1.1728
2021-01-05,-10.1605,-9.0447,-1.1158
2021-01-04,-10.8679,-8.7658,-2.1021
2020-12-31,-10.3349,-8.2403,-2.0947
2020-12-30,-10.0012,-7.7166,-2.2846
2020-12-29,-10.006,-7.1454,-2.8605
2020-12-28,-9.6497,-6.4303,-3.2194
2020-12-24,-7.6394,-5.6255,-2.014
2020-12-23,-4.9257,-5.122,0.1962
2020-12-22,-4.8706,-5.171,0.3005
2020-12-21,-4.6937,-5.2461,0.5525
2020-12-18,-4.868,-5.3843,0.5162
2020-12-17,-4.9759,-5.5133,0.5374
2020-12-16,-5.4924,-5.6477,0.1553
2020-12-15,-5.813,-5.6865,-0.1265
2020-12-14,-5.4473,-5.6549,0.2075
2020-12-11,-4.9951,-5.7068,0.7117
2020-12-10,-5.2117,-5.8847,0.673
2020-12-09,-5.4459,-6.0529,0.607
2020-12-08,-5.5567,-6.2047,0.6479
2020-12-07,-5.8505,-6.3666,0.5161
2020-12-04,-5.9276,-6.4957,0.5681
2020-12-03,-6.2707,-6.6377,0.367
2020-12-02,-6.5827,-6.7294,0.1467
2020-12-01,-6.3161,-6.7661,0.4501
2020-11-30,-6.1578,-6.8786,0.7209
2020-11-27,-5.8,-7.0589,1.2589
2020-11-25,-6.5948,-7.3736,0.7788
2020-11-24,-7.6396,-7.5683,-0.0713
2020-11-23,-9.09,-7.5505,-1.5396
2020-11-20,-9.8063,-7.1656,-2.6407
2020-11-19,-10.6419,-6.5054,-4.1365
2020-11-18,-10.449,-5.4713,-4.9778
2020-11-17,-9.6375,-4.2268,-5.4107
2020-11-16,-8.5602,-2.8741,-5.686
2020-11-13,-7.2144,-1.4526,-5.7618
2020-11-12,-5.6494,-0.0122,-5.6372
2020-11-11,-3.9229,1.3971,-5.32
2020-11-10,-1.7988,2.7271,-4.5259
2020-11-09,0.848,3.8586,-3.0106
2020-11-06,1.7712,4.6112,-2.84
2020-11-05,1.9648,5.3212,-3.3565
2020-11-04,3.4254,6.1604,-2.735
2020-11-03,4.4294,6.8441,-2.4147
2020-11-02,6.6788,7.4478,-0.769
2020-10-30,6.8798,7.64,-0.7602
2020-10-29,7.6625,7.8301,-0.1675
2020-10-28,7.7488,7.872,-0.1232
2020-10-27,8.2165,7.9028,0.3138
2020-10-26,7.7573,7.8243,-0.067
2020-10-23,8.1041,7.8411,0.263
2020-10-22,8.1182,7.7753,0.3429
2020-10-21,8.3888,7.6896,0.6992
2020-10-20,8.4401,7.5148,0.9253
2020-10-19,8.1954,7.2835,0.9119
2020-10-16,8.2241,7.0555,1.1686
2020-10-15,7.9354,6.7633,1.1721
2020-10-14,8.2509,6.4703,1.7806
2020-10-13,8.3726,6.0252,2.3474
2020-10-12,7.6181,5.4383,2.1798
2020-10-09,6.7927,4.8934,1.8993
2020-10-08,6.3124,4.4186,1.8938
2020-10-07,5.5261,3.9451,1.581
2020-10-06,4.8534,3.5498,1.3036
2020-10-05,4.3428,3.2239,1.1188
2020-10-02,4.0473,2.9442,1.103
2020-10-01,3.6215,2.6685,0.953
2020-09-30,2.8339,2.4302,0.4036
2020-09-29,1.3872,2.3293,-0.9421
2020-09-28,1.2566,2.5649,-1.3083
2020-09-25,1.1653,2.8919,-1.7266
2020-09-24,1.5327,3.3236,-1.7908
2020-09-23,2.1179,3.7713,-1.6534
2020-09-22,2.5062,4.1846,-1.6785
2020-09-21,2.727,4.6043,-1.8773
2020-09-18,3.1189,5.0736,-1.9547
2020-09-17,3.7172,5.5623,-1.845
2020-09-16,4.0899,6.0235,-1.9337
2020-09-15,4.2596,6.5069,-2.2474
2020-09-14,4.4326,7.0688,-2.6362
2020-09-11,4.982,7.7278,-2.7459
2020-09-10,5.8642,8.4143,-2.5501
2020-09-09,7.3184,9.0518,-1.7334
2020-09-08,8.4978,9.4852,-0.9874
2020-09-04,10.1982,9.732,0.4662
2020-09-03,11.0626,9.6155,1.4471
2020-09-02,11.8919,9.2537,2.6382
2020-09-01,11.3958,8.5941,2.8017
2020-08-31,10.4003,7.8937,2.5066
2020-08-28,10.0953,7.2671,2.8283
2020-08-27,9.3587,6.56,2.7987
2020-08-26,8.7741,5.8603,2.9137
2020-08-25,7.1071,5.1319,1.9752
2020-08-24,5.483,4.6381,0.8449
2020-08-21,4.3463,4.4269,-0.0805
2020-08-20,3.8729,4.447,-0.574
2020-08-19,4.0096,4.5905,-0.5809
2020-08-18,3.859,4.7357,-0.8767
2020-08-17,3.7521,4.9549,-1.2028
2020-08-14,3.7892,5.2556,-1.4664
2020-08-13,4.0859,5.6222,-1.5363
2020-08-12,4.4306,6.0062,-1.5757
2020-08-11,4.6564,6.4002,-1.7437
2020-08-10,5.5662,6.8361,-1.2698
2020-08-07,6.6761,7.1535,-0.4775
2020-08-06,7.5913,7.2729,0.3184
2020-08-05,7.2663,7.1933,0.073
2020-08-04,6.8242,7.1751,-0.3508
2020-08-03,6.4367,7.2628,-0.8261
2020-07-31,6.2821,7.4693,-1.1872
2020-07-30,6.6981,7.7661,-1.0681
2020-07-29,6.9564,8.0331,-1.0768
2020-07-28,7.2145,8.3023,-1.0879
2020-07-27,7.7851,8.5743,-0.7892
2020-07-24,8.2159,8.7716,-0.5557
2020-07-23,8.8356,8.9105,-0.0749
2020-07-22,9.2049,8.9293,0.2756
2020-07-21,9.5606,8.8604,0.7003
2020-07-20,9.2444,8.6853,0.5591
2020-07-17,9.0208,8.5455,0.4753
2020-07-16,9.3853,8.4267,0.9586
2020-07-15,10.1863,8.187,1.9993
2020-07-14,10.3774,7.6872,2.6902
2020-07-13,10.5345,7.0147,3.5199
2020-07-10,10.2672,6.1347,4.1325
2020-07-09,8.8257,5.1015,3.7242
2020-07-08,6.7994,4.1705,2.6289
2020-07-07,4.5113,3.5133,0.998
2020-07-06,3.6807,3.2638,0.4169
2020-07-02,2.2116,3.1596,-0.948
2020-07-01,1.9742,3.3966,-1.4223
2020-06-30,2.4214,3.7521,-1.3307
2020-06-29,2.9825,4.0848,-1.1023
2020-06-26,3.7244,4.3604,-0.636
2020-06-25,4.547,4.5194,0.0276
2020-06-24,4.874,4.5125,0.3615
2020-06-23,4.8071,4.4221,0.385
2020-06-22,4.3942,4.3259,0.0684
2020-06-19,4.5507,4.3088,0.2419
2020-06-18,4.7625,4.2483,0.5143
2020-06-17,4.6684,4.1197,0.5487
2020-06-16,4.4081,3.9825,0.4256
2020-06-15,4.1777,3.8762,0.3015
2020-06-12,4.392,3.8008,0.5912
2020-06-11,4.5395,3.653,0.8866
2020-06-10,4.9062,3.4313,1.4749
2020-06-09,4.4434,3.0626,1.3808
2020-06-08,4.0896,2.7174,1.3722
2020-06-05,3.7535,2.3744,1.3792
2020-06-04,3.214,2.0296,1.1845
2020-06-03,2.6325,1.7334,0.899
2020-06-02,1.7938,1.5087,0.2851
2020-06-01,1.1331,1.4374,-0.3043
2020-05-29,1.0634,1.5135,-0.4501
2020-05-28,0.8754,1.626,-0.7506
2020-05-27,1.4272,1.8137,-0.3865
2020-05-26,1.9386,1.9103,0.0283
2020-05-22,2.5082,1.9032,0.605
2020-05-21,3.4044,1.752,1.6524
2020-05-20,3.2301,1.3389,1.8912
2020-05-19,2.4892,0.866,1.6232
2020-05-18,1.4656,0.4603,1.0054
2020-05-15,0.3333,0.2089,0.1244
2020-05-14,0.0643,0.1778,-0.1135
2020-05-13,-0.0376,0.2062,-0.2438
2020-05-12,0.0201,0.2672,-0.247
2020-05-11,0.0071,0.3289,-0.3219
2020-05-08,-0.528,0.4094,-0.9374
2020-05-07,-0.7746,0.6437,-1.4183
2020-05-06,-0.5996,0.9983,-1.5979
2020-05-05,-0.233,1.3978,-1.6308
2020-05-04,0.2535,1.8055,-1.552
2020-05-01,1.2648,2.1935,-0.9286
2020-04-30,2.1982,2.4256,-0.2274
2020-04-29,2.5236,2.4825,0.0411
2020-04-28,2.492,2.4722,0.0198
2020-04-27,2.9804,2.4673,0.5132
2020-04-24,3.3019,2.339,0.9629
2020-04-23,3.596,2.0982,1.4977
2020-04-22,3.8294,1.7238,2.1056
2020-04-21,3.5911,1.1974,2.3937
2020-04-20,3.5014,0.599,2.9024
2020-04-17,2.8483,-0.1266,2.9749
2020-04-16,2.2411,-0.8704,3.1114
2020-04-15,1.1117,-1.6482,2.7599
2020-04-14,0.1111,-2.3382,2.4493
2020-04-13,-0.8224,-2.9505,2.1282
2020-04-09,-1.4582,-3.4826,2.0244
2020-04-08,-1.9359,-3.9886,2.0527
2020-04-07,-2.4778,-4.5018,2.024
2020-04-06,-3.3391,-5.0078,1.6688
2020-04-03,-4.232,-5.425,1.193
2020-04-02,-4.3592,-5.7233,1.3641
2020-04-01,-4.6403,-6.0643,1.424
2020-03-31,-4.7952,-6.4203,1.6251
2020-03-30,-5.6278,-6.8266,1.1988
2020-03-27,-6.2817,-7.1263,0.8446
2020-03-26,-6.7522,-7.3375,0.5853
2020-03-25,-7.9397,-7.4838,-0.4559
2020-03-24,-8.6516,-7.3698,-1.2818
2020-03-23,-9.1482,-7.0493,-2.0989
2020-03-20,-8.691,-6.5246,-2.1663
2020-03-19,-8.486,-5.983,-2.5029
2020-03-18,-8.0581,-5.3573,-2.7008
2020-03-17,-7.3052,-4.6821,-2.6231
2020-03-16,-6.7277,-4.0263,-2.7013
2020-03-13,-5.2859,-3.351,-1.9349
2020-03-12,-4.9113,-2.8673,-2.044
2020-03-11,-3.4555,-2.3563,-1.0992
2020-03-10,-2.9533,-2.0815,-0.8718
2020-03-09,-3.031,-1.8635,-1.1674
2020-03-06,-2.1971,-1.5717,-0.6254
2020-03-05,-1.8115,-1.4153,-0.3962
2020-03-04,-1.9874,-1.3162,-0.6712
2020-03-03,-2.234,-1.1485,-1.0855
2020-03-02,-2.0528,-0.8771,-1.1758
2020-02-28,-2.1553,-0.5831,-1.5722
2020-02-27,-1.9513,-0.1901,-1.7612
2020-02-26,-1.3602,0.2502,-1.6104
2020-02-25,-0.9636,0.6528,-1.6164
2020-02-24,-0.1247,1.0569,-1.1816
2020-02-21,0.8918,1.3523,-0.4606
2020-02-20,1.5215,1.4674,0.0541
2020-02-19,1.7483,1.4539,0.2943
2020-02-18,1.5948,1.3803,0.2145
2020-02-14,1.5407,1.3267,0.214
2020-02-13,1.5399,1.2732,0.2667
2020-02-12,1.4421,1.2066,0.2355
2020-02-11,0.8941,1.1477,-0.2536
2020-02-10,0.9045,1.2111,-0.3066
2020-02-07,1.0513,1.2877,-0.2364
2020-02-06,1.146,1.3468,-0.2008
2020-02-05,0.8053,1.397,-0.5917
2020-02-04,0.4279,1.545,-1.1171
2020-02-03,-0.3308,1.8242,-2.1551
2020-01-31,-0.2987,2.363,-2.6617
2020-01-30,0.4096,3.0284,-2.6189
2020-01-29,1.105,3.6831,-2.5782
2020-01-28,1.6262,4.3277,-2.7015
2020-01-27,2.4501,5.0031,-2.553
2020-01-24,3.9507,5.6413,-1.6906
2020-01-23,4.9655,6.0639,-1.0984
2020-01-22,5.6408,6.3385,-0.6978
2020-01-21,6.0907,6.513,-0.4222
2020-01-17,6.5876,6.6185,-0.0309
2020-01-16,6.5996,6.6263,-0.0267
2020-01-15,6.8743,6.6329,0.2413
2020-01-14,7.0108,6.5726,0.4382
2020-01-13,6.9375,6.463,0.4745
2020-01-10,6.3368,6.3444,-0.0076
2020-01-09,6.155,6.3463,-0.1913
2020-01-08,6.0421,6.3942,-0.352
2020-01-07,6.1951,6.4822,-0.2871
