date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.1162,0.3576,0.4738
2021-02-10,0.1891,0.2995,0.4886
2021-02-09,0.2519,0.205,0.4569
2021-02-08,0.3027,0.079,0.3817
2021-02-05,0.2731,-0.0724,0.2007
2021-02-04,0.2686,-0.2089,0.0597
2021-02-03,0.1384,-0.3432,-0.2048
2021-02-02,0.0038,-0.4124,-0.4086
2021-02-01,-0.1715,-0.4143,-0.5859
2021-01-29,-0.4878,0.624,0.1362
2021-01-28,-0.452,0.7459,0.2939
2021-01-27,-0.4362,0.8589,0.4227
2021-01-26,-0.3371,0.968,0.6309
2021-01-25,-0.2779,1.0523,0.7744
2021-01-22,-0.1979,1.1218,0.9238
2021-01-21,-0.1098,1.1713,1.0615
2021-01-20,0.0006,1.1987,1.1993
2021-01-19,0.1012,1.1986,1.2998
2021-01-15,0.192,1.1733,1.3653
2021-01-14,0.2793,1.1253,1.4046
2021-01-13,0.2792,1.0554,1.3346
2021-01-12,0.2942,0.9856,1.2798
2021-01-11,0.2588,0.9121,1.1709
2021-01-08,0.2275,0.8474,1.0749
2021-01-07,0.2012,0.7905,0.9917
2021-01-06,0.0973,0.7402,0.8375
2021-01-05,-0.0151,0.7159,0.7008
2021-01-04,-0.0111,0.7197,0.7086
2020-12-31,0.0092,0.7225,0.7316
2020-12-30,0.0017,0.7202,0.7219
2020-12-29,0.0128,0.7198,0.7325
2020-12-28,0.0159,0.7166,0.7324
2020-12-24,-0.0032,0.7126,0.7094
2020-12-23,-0.0263,0.7134,0.6871
2020-12-22,-0.0806,0.72,0.6394
2020-12-21,-0.0854,0.7401,0.6547
2020-12-18,-0.1507,0.7615,0.6108
2020-12-17,-0.1443,0.7991,0.6548
2020-12-16,-0.1501,0.8352,0.6852
2020-12-15,-0.1476,0.8727,0.7251
2020-12-14,-0.1358,0.9096,0.7738
2020-12-11,-0.0762,0.9436,0.8674
2020-12-10,-0.0241,0.9626,0.9385
2020-12-09,-0.0079,0.9687,0.9608
2020-12-08,0.0361,0.9706,1.0067
2020-12-07,0.0759,0.9616,1.0375
2020-12-04,0.1028,0.9426,1.0454
2020-12-03,0.103,0.9169,1.02
2020-12-02,0.1201,0.8912,1.0113
2020-12-01,0.1274,0.8611,0.9886
2020-11-30,0.1534,0.8293,0.9827
2020-11-27,0.2235,0.7909,1.0144
2020-11-25,0.2211,0.7351,0.9562
2020-11-24,0.1841,0.6798,0.8639
2020-11-23,0.1049,0.6338,0.7387
2020-11-20,0.1214,0.6075,0.7290000000000001
2020-11-19,0.1874,0.5772,0.7646
2020-11-18,0.2515,0.5303,0.7818
2020-11-17,0.3249,0.4675,0.7924
2020-11-16,0.3505,0.3862,0.7367
2020-11-13,0.3533,0.2986,0.6519
2020-11-12,0.3825,0.2103,0.5928
2020-11-11,0.4255,0.1147,0.5401
2020-11-10,0.391,0.0083,0.3993
2020-11-09,0.2708,-0.0895,0.1813
2020-11-06,0.0475,-0.1572,-0.1096
2020-11-05,0.0388,-0.16899999999999998,-0.1303
2020-11-04,-0.0064,-0.1787,-0.1851
2020-11-03,0.0188,-0.1771,-0.1583
2020-11-02,-0.0421,-0.1818,-0.224
2020-10-30,-0.0715,-0.1713,-0.2428
2020-10-29,-0.0715,-0.1534,-0.2249
2020-10-28,-0.047,-0.1355,-0.1825
2020-10-27,0.0051,-0.1238,-0.1187
2020-10-26,0.051,-0.1251,-0.07400000000000001
2020-10-23,0.0521,-0.1378,-0.0857
2020-10-22,0.015,-0.1508,-0.1358
2020-10-21,-0.0402,-0.1546,-0.1948
2020-10-20,-0.0397,-0.1445,-0.1842
2020-10-19,-0.0425,-0.1346,-0.1771
2020-10-16,0.001,-0.124,-0.123
2020-10-15,0.0195,-0.1242,-0.1048
2020-10-14,0.0582,-0.1291,-0.0709
2020-10-13,0.1707,-0.1437,0.0271
2020-10-12,0.2034,-0.1864,0.0171
2020-10-09,0.1675,-0.2372,-0.0698
2020-10-08,0.1319,-0.2791,-0.1472
2020-10-07,0.0803,-0.312,-0.2318
2020-10-06,0.0322,-0.3321,-0.2999
2020-10-05,0.0092,-0.3402,-0.3309
2020-10-02,-0.0485,-0.3425,-0.391
2020-10-01,-0.0902,-0.3303,-0.4205
2020-09-30,-0.1331,-0.3078,-0.4409
2020-09-29,-0.185,-0.2745,-0.4595
2020-09-28,-0.2159,-0.2283,-0.4442
2020-09-25,-0.2763,-0.1743,-0.4505
