date,MACD_Signal,MACD_Hist,MACD
2021-02-02,-3.4022,0.3676,-3.0346
2021-02-01,-3.5861,-0.4451,-4.0312
2021-01-29,-2.6255,-1.6136,-4.2391
2021-01-28,-2.2221,-1.5025,-3.7246
2021-01-27,-1.8465,-1.4767,-3.3233
2021-01-26,-1.4773,-0.9595,-2.4369
2021-01-25,-1.2374,-0.8502,-2.0877
2021-01-22,-1.0249,-0.7191,-1.744
2021-01-21,-0.8451,-0.6873,-1.5324
2021-01-20,-0.6733,-0.7267,-1.4
2021-01-19,-0.4916,-1.1303,-1.6219
2021-01-15,-0.2091,-1.5971,-1.8062
2021-01-14,0.1902,-1.5548,-1.3646
2021-01-13,0.5789,-1.9291,-1.3502
2021-01-12,1.0612,-2.0985,-1.0373
2021-01-11,1.5858,-2.3309,-0.745
2021-01-08,2.1686,-2.3648,-0.1962
2021-01-07,2.7598,-2.5693,0.1905
2021-01-06,3.4021,-3.007,0.3951
2021-01-05,4.1538,-3.3321,0.8217
2021-01-04,4.9869,-3.6938,1.2931
2020-12-31,5.9103,-3.1271,2.7832
2020-12-30,6.6921,-3.2022,3.4899
2020-12-29,7.4926,-3.4171,4.0755
2020-12-28,8.3469,-3.5405,4.8064
2020-12-24,9.2321,-3.5464,5.6857
2020-12-23,10.1187,-3.5013,6.6173
2020-12-22,10.994000000000002,-3.5424,7.4516
2020-12-21,11.8796,-3.379,8.5006
2020-12-18,12.7243,-3.0623,9.662
2020-12-17,13.4899,-2.5309,10.959
2020-12-16,14.1226,-1.8193,12.3033
2020-12-15,14.5775,-1.2086,13.3688
2020-12-14,14.8796,-0.7149,14.1647
2020-12-11,15.0583,0.0058,15.0641
2020-12-10,15.0569,0.762,15.8189
2020-12-09,14.8664,1.2683,16.1347
2020-12-08,14.5493,1.995,16.5444
2020-12-07,14.0506,2.3168,16.3674
2020-12-04,13.4714,2.2692,15.7406
2020-12-03,12.9041,2.3634,15.2675
2020-12-02,12.3132,1.6713,13.9845
2020-12-01,11.8954,1.6073,13.5027
2020-11-30,11.4936,2.3015,13.7951
2020-11-27,10.9182,3.2836,14.2018
2020-11-25,10.0973,3.8275,13.9248
2020-11-24,9.1404,4.1153,13.2558
2020-11-23,8.1116,4.0077,12.1193
2020-11-20,7.1097,4.0916,11.2012
2020-11-19,6.0868,4.9924,11.0791
2020-11-18,4.8387,5.3075,10.1462
2020-11-17,3.5118,5.5372,9.049
2020-11-16,2.1275,4.7023,6.8298
2020-11-13,0.9519,3.725,4.6769
2020-11-12,0.0207,3.3971,3.4177
2020-11-11,-0.8286,3.6473,2.8188
2020-11-10,-1.7404,3.2008,1.4604
2020-11-09,-2.5406,1.5801,-0.9606
2020-11-06,-2.9356,-0.151,-3.0866
2020-11-05,-2.8979,-0.6561,-3.554
2020-11-04,-2.7339,-1.2989,-4.0327
2020-11-03,-2.4091,-1.62,-4.0292
2020-11-02,-2.0041,-2.1675,-4.1716
2020-10-30,-1.4623,-2.3164,-3.7787
2020-10-29,-0.8832,-1.9103,-2.7935
2020-10-28,-0.4056,-1.4868,-1.8924
2020-10-27,-0.0339,-0.6657,-0.6996
2020-10-26,0.1325,-0.0224,0.1102
2020-10-23,0.1381,0.4348,0.5729
2020-10-22,0.0294,0.461,0.4904
2020-10-21,-0.0858,0.2896,0.2038
2020-10-20,-0.1582,0.5237,0.3655
2020-10-19,-0.2891,0.5116,0.2225
2020-10-16,-0.4171,0.4669,0.0499
2020-10-15,-0.5338,0.3382,-0.1956
2020-10-14,-0.6183,0.429,-0.1893
2020-10-13,-0.7256,0.6488,-0.0768
2020-10-12,-0.8878,1.0677,0.1799
2020-10-09,-1.1547,1.1292,-0.0255
2020-10-08,-1.4369999999999998,1.1517,-0.2853
2020-10-07,-1.7249,1.044,-0.6809
2020-10-06,-1.9859,1.1551,-0.8308
2020-10-05,-2.2747,1.7809,-0.4938
2020-10-02,-2.72,1.4762,-1.2438
2020-10-01,-3.089,1.2238,-1.8652
2020-09-30,-3.395,0.7862,-2.6088
2020-09-29,-3.5915,0.3363,-3.2552
2020-09-28,-3.6756,-0.1884,-3.8639
2020-09-25,-3.6285,-1.2087,-4.8372
2020-09-24,-3.3263,-1.6595,-4.9858
2020-09-23,-2.9114,-1.1754,-4.0868
2020-09-22,-2.6176,-0.7847,-3.4023
2020-09-21,-2.4214,-0.6298,-3.0513
2020-09-18,-2.264,-0.249,-2.513
2020-09-17,-2.2017,-0.0755,-2.2772
2020-09-16,-2.1828,-0.4109,-2.5937
2020-09-15,-2.0801,-0.8728,-2.9529
2020-09-14,-1.8619,-1.1022,-2.9641
2020-09-11,-1.5864,-1.5383,-3.1247
2020-09-10,-1.2018,-1.5611,-2.7629
2020-09-09,-0.8115,-1.1908,-2.0023
2020-09-08,-0.5138,-0.8032,-1.3171
2020-09-04,-0.313,-0.1408,-0.4538
2020-09-03,-0.2778,-0.0826,-0.3605
2020-09-02,-0.2572,0.2532,-0.004
2020-09-01,-0.3205,0.1597,-0.1608
2020-08-31,-0.3604,0.2746,-0.0858
2020-08-28,-0.429,0.4688,0.0397
2020-08-27,-0.5462,0.3404,-0.2059
2020-08-26,-0.6313,0.2779,-0.3535
2020-08-25,-0.7008,0.3983,-0.3025
2020-08-24,-0.8004,0.2791,-0.5212
2020-08-21,-0.8702,-0.2831,-1.1532
2020-08-20,-0.7994,-0.0472,-0.8465
2020-08-19,-0.7876,0.133,-0.6546
2020-08-18,-0.8209,0.4524,-0.3685
2020-08-17,-0.9339,0.8383,-0.0957
2020-08-14,-1.1435,1.2162,0.0727
2020-08-13,-1.4476,1.116,-0.3316
2020-08-12,-1.7266,1.225,-0.5016
2020-08-11,-2.0328,1.2492,-0.7836
2020-08-10,-2.3451,0.7354,-1.6097
2020-08-07,-2.529,-0.0384,-2.5674
2020-08-06,-2.5194,-0.2769,-2.7963
2020-08-05,-2.4502,-0.8196,-3.2697
2020-08-04,-2.2453,-1.793,-4.0383
2020-08-03,-1.797,-2.2257,-4.0227
2020-07-31,-1.2406,-2.4187,-3.6593
2020-07-30,-0.6359,-2.0714,-2.7074
2020-07-29,-0.1181,-1.7371,-1.8552
2020-07-28,0.3162,-1.4702,-1.154
2020-07-27,0.6837,-1.4176,-0.7339
2020-07-24,1.0381,-1.1611,-0.1229
2020-07-23,1.3284,-1.0312,0.2972
2020-07-22,1.5862,-1.0309,0.5553
2020-07-21,1.8439,-1.3074,0.5365
2020-07-20,2.1708,-1.5478,0.6229
2020-07-17,2.5577,-1.405,1.1527
2020-07-16,2.909,-1.223,1.6859
2020-07-15,3.2147,-1.1823,2.0325
2020-07-14,3.5103,-2.0059,1.5044
2020-07-13,4.0118,-2.3907,1.621
2020-07-10,4.6094,-2.4243,2.1851
