date,MACD_Hist,MACD_Signal,MACD
2021-02-11,4.4023,12.7958,17.198
2021-02-10,4.6406,10.5946,15.2352
2021-02-09,4.0319,8.2744,12.3063
2021-02-08,2.5459,6.2584,8.8043
2021-02-05,1.8146,4.9854,6.8
2021-02-04,0.5046,4.0781,4.5828
2021-02-03,-0.4401,3.8258,3.3857
2021-02-02,-1.1727,4.0459,2.8732
2021-02-01,-2.6104,4.6322,2.0218
2021-01-29,-3.2533,18.2438,14.9904
2021-01-28,-2.248,19.0571,16.8092
2021-01-27,-1.736,19.6191,17.8831
2021-01-26,-0.2764,20.0531,19.7767
2021-01-25,0.6515,20.1222,20.7737
2021-01-22,1.1159,19.9593,21.0752
2021-01-21,1.6889,19.6804,21.3693
2021-01-20,2.2613,19.2581,21.5194
2021-01-19,1.7898,18.6928,20.4826
2021-01-15,1.683,18.2454,19.9284
2021-01-14,2.2825,17.8246,20.1072
2021-01-13,1.7575,17.254,19.0114
2021-01-12,1.7497,16.8146,18.5643
2021-01-11,1.0908,16.3772,17.468
2021-01-08,1.7363,16.1045,17.8408
2021-01-07,0.2792,15.6704,15.9496
2021-01-06,0.9978,15.6006,16.5985
2021-01-05,2.2332,15.3512,17.5844
2021-01-04,2.7729,14.7929,17.5657
2020-12-31,2.9017,14.0996,17.0014
2020-12-30,2.7165,13.3742,16.0908
2020-12-29,1.6542,12.6951,14.3493
2020-12-28,2.1369,12.2815,14.4184
2020-12-24,2.7523,11.7473,14.4996
2020-12-23,3.5429,11.0592,14.6021
2020-12-22,4.1087,10.1735,14.2822
2020-12-21,4.7337,9.1463,13.88
2020-12-18,5.0166,7.9629,12.9795
2020-12-17,4.9722,6.7088,11.6809
2020-12-16,4.6507,5.4657,10.1164
2020-12-15,3.6397,4.303,7.9427
2020-12-14,2.1586,3.3931,5.5517
2020-12-11,1.8607,2.8535,4.7141
2020-12-10,1.3634,2.3883,3.7517
2020-12-09,0.7185,2.0475,2.7659
2020-12-08,0.2849,1.8679,2.1528
2020-12-07,0.2143,1.7966,2.0109
2020-12-04,0.1277,1.7431,1.8708
2020-12-03,-0.0229,1.7111,1.6882
2020-12-02,-0.3036,1.7169,1.4132
2020-12-01,-0.6961,1.7928,1.0967
2020-11-30,-0.9398,1.9668,1.027
2020-11-27,-1.1493,2.2017,1.0524
2020-11-25,-1.4633,2.4891,1.0258
2020-11-24,-1.5298,2.8549,1.325
2020-11-23,-1.3826,3.2373,1.8547
2020-11-20,-0.9447,3.583,2.6383
2020-11-19,-0.5318,3.8192,3.2874
2020-11-18,0.0782,3.9521,4.0303
2020-11-17,0.4183,3.9326,4.3509
2020-11-16,0.6803,3.828,4.5084
2020-11-13,0.5867,3.6579,4.2446
2020-11-12,0.6161,3.5112,4.1273
2020-11-11,0.8261,3.3572,4.1833
2020-11-10,0.9831,3.1507,4.1338
2020-11-09,1.0863,2.9049,3.9912
2020-11-06,1.0221,2.6333,3.6554
2020-11-05,0.8152,2.3778,3.193
2020-11-04,0.3884,2.174,2.5624
2020-11-03,0.013,2.0769,2.09
2020-11-02,0.0141,2.0736,2.0878
2020-10-30,-0.0094,2.0701,2.0607
2020-10-29,0.0255,2.0725,2.0980000000000003
2020-10-28,0.16,2.0661,2.2261
2020-10-27,0.4594,2.0261,2.4855
2020-10-26,0.4426,1.9112,2.3538
2020-10-23,0.5484,1.8006,2.349
2020-10-22,0.5454,1.6635,2.2089
2020-10-21,0.5798,1.5271,2.107
2020-10-20,0.3624,1.3822,1.7446
2020-10-19,0.4497,1.2916,1.7413
