date,MFI
2021-01-22,67.2212
2021-01-21,72.6243
2021-01-20,79.2711
2021-01-19,78.0732
2021-01-15,77.3212
2021-01-14,80.1564
2021-01-13,75.7994
2021-01-12,71.4412
2021-01-11,70.0825
2021-01-08,81.3362
2021-01-07,72.3999
2021-01-06,75.6084
2021-01-05,81.7212
2021-01-04,85.9463
2020-12-31,85.2034
2020-12-30,83.9164
2020-12-29,81.2041
2020-12-28,80.7899
2020-12-24,78.8366
2020-12-23,80.9918
2020-12-22,84.9024
2020-12-21,89.6518
2020-12-18,88.6432
2020-12-17,83.1633
2020-12-16,93.4988
2020-12-15,90.2023
2020-12-14,79.676
2020-12-11,70.6641
2020-12-10,60.4232
2020-12-09,50.6559
2020-12-08,49.3359
2020-12-07,41.5628
2020-12-04,48.045
2020-12-03,48.0318
2020-12-02,47.7944
2020-12-01,42.6102
2020-11-30,37.0519
2020-11-27,44.1303
2020-11-25,43.4793
2020-11-24,44.8245
2020-11-23,52.6015
2020-11-20,55.3048
2020-11-19,63.2586
2020-11-18,73.6198
2020-11-17,73.1259
2020-11-16,72.8043
2020-11-13,71.8742
2020-11-12,72.3806
2020-11-11,68.4316
2020-11-10,69.1577
2020-11-09,76.5358
2020-11-06,71.7592
2020-11-05,67.1761
2020-11-04,60.6206
2020-11-03,48.8987
2020-11-02,60.8016
2020-10-30,56.6007
2020-10-29,54.9434
2020-10-28,49.0135
2020-10-27,56.2816
2020-10-26,54.3624
2020-10-23,52.1324
2020-10-22,56.2712
2020-10-21,56.7783
2020-10-20,54.7014
2020-10-19,61.3379
2020-10-16,59.3264
2020-10-15,65.9739
2020-10-14,78.3643
2020-10-13,65.3703
2020-10-12,65.2567
2020-10-09,63.5349
2020-10-08,61.2686
2020-10-07,63.2105
2020-10-06,57.4412
2020-10-05,58.3986
2020-10-02,58.8814
2020-10-01,63.3236
2020-09-30,63.6822
2020-09-29,54.3901
2020-09-28,62.6505
2020-09-25,52.4036
2020-09-24,52.2832
2020-09-23,50.7152
2020-09-22,50.3174
2020-09-21,50.2613
2020-09-18,48.2815
2020-09-17,46.4383
2020-09-16,53.4316
2020-09-15,57.1452
2020-09-14,59.0907
2020-09-11,60.1838
2020-09-10,54.4455
2020-09-09,61.1527
2020-09-08,55.7547
2020-09-04,63.752
2020-09-03,66.2596
2020-09-02,57.4139
2020-09-01,54.9712
2020-08-31,55.4391
2020-08-28,61.3456
2020-08-27,62.5073
2020-08-26,57.3213
2020-08-25,50.945
2020-08-24,48.5276
2020-08-21,49.9835
2020-08-20,54.3873
2020-08-19,54.6299
2020-08-18,54.288
2020-08-17,54.2073
2020-08-14,44.8626
2020-08-13,53.9051
