date,MACD_Signal,MACD,MACD_Hist
2021-02-11,6.572,7.4406,0.8686
2021-02-10,6.1377,7.7523,1.6146
2021-02-09,5.3304,5.9129,0.5825
2021-02-08,5.0391,6.3061,1.267
2021-02-05,4.4056,5.6132,1.2075
2021-02-04,3.8019,5.2878,1.4859
2021-02-03,3.0589,3.5662,0.5073
2021-02-02,2.8053,2.2386,-0.5667
2021-02-01,3.0886,1.1365,-1.9521
2021-01-29,12.1589,9.8355,-2.3233
2021-01-28,12.7397,11.2698,-1.4699
2021-01-27,13.1072,12.4161,-0.6911
2021-01-26,13.2799,13.5531,0.2732
2021-01-25,13.2116,14.24,1.0284
2021-01-22,12.9546,14.0677,1.1131
2021-01-21,12.6763,13.696,1.0197
2021-01-20,12.4214,14.0273,1.6059
2021-01-19,12.0199,13.847,1.8271
2021-01-15,11.5631,13.4073,1.8442
2021-01-14,11.102,13.1857,2.0836
2021-01-13,10.5811,12.6509,2.0698
2021-01-12,10.0637,12.1824,2.1187
2021-01-11,9.534,11.8013,2.2673
2021-01-08,8.9672,11.4457,2.4785
2021-01-07,8.3476,10.2143,1.8667
2021-01-06,7.8809,9.2139,1.3330000000000002
2021-01-05,7.5476,8.3936,0.846
2021-01-04,7.3361,7.5442,0.2081
2020-12-31,7.2841,7.1364,-0.1478
2020-12-30,7.3211,7.4304,0.1093
2020-12-29,7.2937,6.8189,-0.4748
2020-12-28,7.4124,7.1509,-0.2615
2020-12-24,7.4778,7.5796,0.1018
2020-12-23,7.4523,7.9524,0.5
2020-12-22,7.3273,8.2341,0.9067
2020-12-21,7.1007,8.1582,1.0575
2020-12-18,6.8363,7.7666,0.9303
2020-12-17,6.6037,7.4521,0.8484
2020-12-16,6.3916,7.1958,0.8042
2020-12-15,6.1905,7.1061,0.9156
2020-12-14,5.9616,7.1093,1.1476
2020-12-11,5.6747,6.8531,1.1783
2020-12-10,5.3801,6.6596,1.2794
2020-12-09,5.0603,6.336,1.2758
2020-12-08,4.7414,6.1008,1.3594
2020-12-07,4.4015,5.4837,1.0822
2020-12-04,4.1309,4.8963,0.7654
2020-12-03,3.9396,4.56,0.6204
2020-12-02,3.7845,4.6204,0.8359
2020-12-01,3.5755,4.6853,1.1098
2020-11-30,3.2981,4.7986,1.5006
2020-11-27,2.9229,4.6659,1.7429
2020-11-25,2.4872,4.2249,1.7377
2020-11-24,2.0527,3.8907,1.838
2020-11-23,1.5933,3.3231,1.7299
2020-11-20,1.1608,2.5015,1.3407
2020-11-19,0.8256,1.7544,0.9288
2020-11-18,0.5934,0.9321,0.3387
2020-11-17,0.5088,0.9493,0.4405
2020-11-16,0.3986,0.7335,0.3349
2020-11-13,0.3149,0.4473,0.1324
2020-11-12,0.2818,0.1927,-0.0891
2020-11-11,0.3041,0.1703,-0.1338
2020-11-10,0.3376,0.3124,-0.0252
2020-11-09,0.3439,0.54,0.1962
2020-11-06,0.2948,0.5845,0.2897
2020-11-05,0.2224,0.3447,0.1223
2020-11-04,0.1918,0.3196,0.1278
2020-11-03,0.1598,0.0692,-0.0907
2020-11-02,0.1825,0.1089,-0.0736
2020-10-30,0.2009,0.1744,-0.0265
2020-10-29,0.2075,0.234,0.0265
2020-10-28,0.2009,0.1296,-0.0713
2020-10-27,0.2187,0.2021,-0.0166
2020-10-26,0.2229,0.1441,-0.0788
2020-10-23,0.2426,0.1515,-0.0911
2020-10-22,0.2654,0.2156,-0.0497
2020-10-21,0.2778,0.2069,-0.0709
2020-10-20,0.2955,0.2069,-0.0886
2020-10-19,0.3177,0.1958,-0.1219
2020-10-16,0.3481,0.3051,-0.0431
2020-10-15,0.3589,0.4584,0.0995
2020-10-14,0.334,0.6536,0.3195
2020-10-13,0.2542,0.9003,0.6461
2020-10-12,0.0926,0.7978,0.7052
2020-10-09,-0.0837,0.6331,0.7167
2020-10-08,-0.2628,0.3586,0.6215
2020-10-07,-0.4182,0.1884,0.6066
2020-10-06,-0.5699,-0.1406,0.4293
2020-10-05,-0.6772,-0.6093,0.0679
2020-10-02,-0.6942,-0.8861,-0.192
2020-10-01,-0.6462,-0.8906,-0.2444
2020-09-30,-0.5851,-0.9556,-0.3705
2020-09-29,-0.4924,-0.932,-0.4396
2020-09-28,-0.3825,-0.7926,-0.4101
2020-09-25,-0.28,-0.7203,-0.4403
2020-09-24,-0.1699,-0.6573,-0.4873
2020-09-23,-0.0481,-0.5356,-0.4875
2020-09-22,0.0738,-0.3686,-0.4423
2020-09-21,0.1844,-0.2986,-0.483
2020-09-18,0.3051,-0.1825,-0.4876
2020-09-17,0.4270000000000001,-0.0307,-0.4577
2020-09-16,0.5415,0.0474,-0.494
2020-09-15,0.665,0.1536,-0.5114
2020-09-14,0.7928,0.1606,-0.6322
2020-09-11,0.9509,0.3138,-0.637
2020-09-10,1.1101,0.5996,-0.5105
2020-09-09,1.2377,0.9606,-0.2771
2020-09-08,1.307,1.1906,-0.1164
2020-09-04,1.3361,1.5391,0.203
2020-09-03,1.2854,1.6938,0.4084
2020-09-02,1.1833,1.8411,0.6578
2020-09-01,1.0188,1.6348,0.6159
2020-08-31,0.8649,1.2082,0.3433
2020-08-28,0.779,1.1552,0.3761
2020-08-27,0.685,1.0565,0.3715
2020-08-26,0.5921,1.1442,0.5521
2020-08-25,0.4541,0.8751,0.421
2020-08-24,0.3488,0.6940000000000001,0.3452
2020-08-21,0.2625,0.5423,0.2798
2020-08-20,0.1926,0.4559,0.2634
2020-08-19,0.1267,0.3309,0.2041
2020-08-18,0.0757,0.1461,0.0703
2020-08-17,0.0581,-0.096,-0.1541
2020-08-14,0.0967,-0.2183,-0.315
2020-08-13,0.1754,-0.1767,-0.3521
2020-08-12,0.2634,-0.1384,-0.4018
2020-08-11,0.3639,-0.005,-0.3688
2020-08-10,0.4561,0.2265,-0.2296
2020-08-07,0.5135,0.4514,-0.0621
2020-08-06,0.529,0.6698,0.1408
2020-08-05,0.4938,0.6507,0.1569
2020-08-04,0.4546,0.5068,0.0522
2020-08-03,0.4416,0.3495,-0.0921
2020-07-31,0.4646,0.058,-0.4066
