date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,17.73,17.73,17.46,17.54,21333.0
2020-04-30,18.08,18.1167,17.895,17.99,24995.0
2020-04-29,18.07,18.2786,18.0,18.19,36180.0
2020-04-28,18.03,18.073,17.75,17.76,38710.0
2020-04-27,17.67,17.83,17.6465,17.81,29668.0
2020-04-24,17.35,17.5171,17.3,17.43,22380.0
2020-04-23,17.31,17.5164,17.241,17.26,22217.0
2020-04-22,17.1335,17.1967,17.03,17.15,9505.0
2020-04-21,17.07,17.21,16.8,16.82,21849.0
2020-04-20,17.29,17.625,17.27,17.37,26956.0
2020-04-17,17.19,17.43,17.19,17.37,41343.0
2020-04-16,16.73,16.95,16.73,16.9,31993.0
2020-04-15,16.7,16.7957,16.595,16.76,29272.0
2020-04-14,16.97,17.17,16.97,17.1,27584.0
2020-04-13,16.58,16.67,16.41,16.65,34391.0
2020-04-09,16.45,16.73,16.45,16.56,25873.0
2020-04-08,15.96,16.29,15.96,16.22,20312.0
2020-04-07,16.39,16.49,15.95,15.95,46117.0
2020-04-06,15.43,15.84,15.43,15.81,16179.0
2020-04-03,14.96,15.06,14.7044,14.81,10847.0
2020-04-02,14.67,15.09,14.67,15.05,19464.0
2020-04-01,14.92,15.15,14.76,14.82,20178.0
2020-03-31,15.35,15.6595,15.29,15.37,48342.0
2020-03-30,15.29,15.47,15.190999999999999,15.44,18794.0
2020-03-27,15.13,15.4679,15.1192,15.21,14961.0
2020-03-26,15.11,15.6512,15.11,15.61,35855.0
2020-03-25,14.94,15.331,14.72,15.0,38404.0
2020-03-24,14.45,14.8899,14.45,14.78,25392.0
2020-03-23,13.54,13.67,13.21,13.49,43231.0
2020-03-20,13.99,14.22,13.59,13.6152,32831.0
2020-03-19,13.2,13.88,13.1179,13.6677,41698.0
2020-03-18,13.28,13.7786,13.036,13.45,52341.0
2020-03-17,13.81,14.3275,13.58,14.1321,39068.0
2020-03-16,13.45,14.2345,13.05,13.5,43305.0
2020-03-13,15.03,15.1001,14.270999999999999,14.9913,66012.0
2020-03-12,14.92,14.92,14.23,14.23,53462.0
