date,MACD,MACD_Signal,MACD_Hist
2021-01-22,1.0276,1.2901,-0.2625
2021-01-21,1.2253,1.3557,-0.1304
2021-01-20,1.3529,1.3883,-0.0355
2021-01-19,1.3932,1.3972,-0.004
2021-01-15,1.4071,1.3982,0.0089
2021-01-14,1.3869999999999998,1.396,-0.009000000000000001
2021-01-13,1.3749,1.3982,-0.0234
2021-01-12,1.3943,1.4041,-0.0098
2021-01-11,1.3795,1.4065,-0.027000000000000003
2021-01-08,1.3609,1.4133,-0.0524
2021-01-07,1.2736,1.4264,-0.1527
2021-01-06,1.1772,1.4645,-0.2873
2021-01-05,1.1165,1.5364,-0.4198
2021-01-04,1.1613,1.6413,-0.48
2020-12-31,1.3135,1.7613,-0.4478
2020-12-30,1.389,1.8733,-0.4843
2020-12-29,1.4956,1.9944,-0.4988
2020-12-28,1.5997,2.1191,-0.5194
2020-12-24,1.7012,2.2489,-0.5477
2020-12-23,1.807,2.3858,-0.5789
2020-12-22,1.9351,2.5306,-0.5954
2020-12-21,2.156,2.6794,-0.5234
2020-12-18,2.3628,2.8103,-0.4474
2020-12-17,2.5772,2.9221,-0.345
2020-12-16,2.6860000000000004,3.0084,-0.3224
2020-12-15,2.8123,3.089,-0.2767
2020-12-14,2.8816,3.1582,-0.2765
2020-12-11,3.0922,3.2273,-0.1351
2020-12-10,3.2345,3.2611,-0.0266
2020-12-09,3.3232,3.2677,0.0555
2020-12-08,3.3729,3.2539,0.1191
2020-12-07,3.4341,3.2241,0.21
2020-12-04,3.4806,3.1716,0.309
2020-12-03,3.419,3.0943,0.3247
2020-12-02,3.3804,3.0131,0.3672
2020-12-01,3.3409,2.9213,0.4195
2020-11-30,3.3162,2.8165,0.4997
2020-11-27,3.4268,2.6915,0.7353
2020-11-25,3.3125,2.5077,0.8048
2020-11-24,3.1114,2.3065,0.8049
2020-11-23,2.8094,2.1053,0.7041
2020-11-20,2.6101,1.9293,0.6808
2020-11-19,2.444,1.7591,0.6849
2020-11-18,2.2636,1.5878,0.6758
2020-11-17,2.0748,1.4189,0.6559999999999999
2020-11-16,1.8597,1.2549,0.6048
2020-11-13,1.6355,1.1037,0.5318
2020-11-12,1.526,0.9707,0.5553
2020-11-11,1.4273,0.8319,0.5954
2020-11-10,1.1909,0.6831,0.5078
2020-11-09,0.8444,0.5561,0.2882
2020-11-06,0.5893,0.4841,0.1052
2020-11-05,0.5485,0.4578,0.0907
2020-11-04,0.4314,0.4351,-0.0037
2020-11-03,0.3245,0.436,-0.1116
2020-11-02,0.2291,0.4639,-0.2348
2020-10-30,0.2955,0.5226,-0.2271
2020-10-29,0.4411,0.5794,-0.1383
2020-10-28,0.5558,0.6139,-0.0581
2020-10-27,0.7786,0.6285,0.1501
2020-10-26,0.8275,0.5909,0.2366
2020-10-23,0.7714,0.5318,0.2397
2020-10-22,0.6253,0.4719,0.1535
2020-10-21,0.5352,0.4335,0.1017
2020-10-20,0.4707,0.4081,0.0627
2020-10-19,0.4559,0.3924,0.0635
2020-10-16,0.5399,0.3765,0.1634
2020-10-15,0.5578,0.3357,0.2222
2020-10-14,0.5716,0.2801,0.2915
2020-10-13,0.5729,0.2073,0.3656
2020-10-12,0.5239,0.1158,0.4081
2020-10-09,0.3483,0.0138,0.3345
2020-10-08,0.1784,-0.0698,0.2482
2020-10-07,-0.04,-0.1319,0.0918
2020-10-06,-0.2429,-0.1548,-0.0881
2020-10-05,-0.3838,-0.1328,-0.251
2020-10-02,-0.4284,-0.07,-0.3584
2020-10-01,-0.3797,0.0196,-0.3993
2020-09-30,-0.2989,0.1194,-0.4183
2020-09-29,-0.2326,0.224,-0.4566
2020-09-28,-0.1417,0.3381,-0.4798
2020-09-25,-0.13699999999999998,0.4581,-0.5951
2020-09-24,-0.0045,0.6068,-0.6113
2020-09-23,0.1517,0.7597,-0.608
2020-09-22,0.3869,0.9117,-0.5247
2020-09-21,0.6113,1.0429,-0.4316
2020-09-18,0.8114,1.1507,-0.3394
2020-09-17,0.9283,1.2356,-0.3072
2020-09-16,0.9928,1.3124,-0.3196
2020-09-15,1.0858,1.3923,-0.3065
2020-09-14,1.1464,1.4689,-0.3225
2020-09-11,1.2011,1.5495,-0.3484
2020-09-10,1.3178,1.6366,-0.3188
2020-09-09,1.5048,1.7164,-0.2115
2020-09-08,1.6292,1.7692,-0.14
2020-09-04,1.8507,1.8042,0.0464
2020-09-03,1.9286,1.7926,0.136
2020-09-02,2.0291,1.7586,0.2705
2020-09-01,2.0486,1.6909999999999998,0.3575
2020-08-31,2.0687,1.6016,0.467
2020-08-28,1.9628,1.4849,0.4779
2020-08-27,1.8362,1.3654,0.4709
2020-08-26,1.5928,1.2477,0.3451
2020-08-25,1.2789,1.1614,0.1175
2020-08-24,1.0507,1.132,-0.0814
2020-08-21,1.0866,1.1524,-0.0657
2020-08-20,1.2142,1.1688,0.0454
2020-08-19,1.3141,1.1574,0.1567
2020-08-18,1.3603,1.1183,0.242
2020-08-17,1.3663,1.0578,0.3085
2020-08-14,1.3219,0.9806,0.3413
2020-08-13,1.2531,0.8953,0.3578
2020-08-12,1.158,0.8059,0.3522
2020-08-11,0.9646,0.7178,0.2468
2020-08-10,0.8142,0.6561,0.1581
2020-08-07,0.6998,0.6166,0.0832
2020-08-06,0.6592,0.5958,0.0634
2020-08-05,0.6309,0.58,0.0509
2020-08-04,0.5706,0.5672,0.0033
2020-08-03,0.6058,0.5664,0.0394
2020-07-31,0.642,0.5565,0.0855
2020-07-30,0.6105,0.5352,0.0754
2020-07-29,0.5932,0.5163,0.0768
2020-07-28,0.5327,0.4971,0.0356
2020-07-27,0.5517,0.4882,0.0635
2020-07-24,0.5393,0.4723,0.0669
2020-07-23,0.575,0.4556,0.1194
2020-07-22,0.5795,0.4258,0.1537
2020-07-21,0.5224,0.3873,0.135
2020-07-20,0.4508,0.3536,0.0972
2020-07-17,0.4459,0.3293,0.1166
2020-07-16,0.4174,0.3001,0.1173
2020-07-15,0.3135,0.2708,0.0427
2020-07-14,0.1358,0.2601,-0.1244
2020-07-13,0.0813,0.2912,-0.21
2020-07-10,0.0561,0.3437,-0.2877
2020-07-09,0.0399,0.4156,-0.3757
2020-07-08,0.1624,0.5096,-0.3472
2020-07-07,0.1995,0.5964,-0.3969
2020-07-06,0.2924,0.6956,-0.4032
2020-07-02,0.2443,0.7964,-0.5521
2020-07-01,0.3339,0.9344,-0.6005
2020-06-30,0.4761,1.0845,-0.6084
2020-06-29,0.6031,1.2366,-0.6335
2020-06-26,0.8387,1.395,-0.5562
2020-06-25,1.1966,1.534,-0.3375
2020-06-24,1.3882,1.6184,-0.2302
2020-06-23,1.5869,1.6759,-0.08900000000000001
2020-06-22,1.6411,1.6982,-0.0571
2020-06-19,1.7379,1.7125,0.0254
2020-06-18,1.8173,1.7061,0.1112
2020-06-17,1.8507,1.6783,0.1724
2020-06-16,1.8733,1.6352,0.238
2020-06-15,1.8223,1.5757,0.2466
2020-06-12,1.8874,1.514,0.3733
2020-06-11,1.9607,1.4207,0.54
2020-06-10,2.1923,1.2857,0.9066
2020-06-09,2.1181,1.0591,1.0590000000000002
2020-06-08,1.8857,0.7943,1.0914
2020-06-05,1.4982,0.5215,0.9767
2020-06-04,1.1442,0.2773,0.8669
2020-06-03,0.8482,0.0606,0.7876
2020-06-02,0.469,-0.1363,0.6053
2020-06-01,0.2396,-0.2877,0.5272
2020-05-29,0.0721,-0.4195,0.4916
2020-05-28,0.0119,-0.5424,0.5542
2020-05-27,-0.1663,-0.6809,0.5147
2020-05-26,-0.523,-0.8096,0.2866
2020-05-22,-0.8795,-0.8813,0.0018
2020-05-21,-0.8423,-0.8817,0.0394
2020-05-20,-0.8638,-0.8915,0.0278
2020-05-19,-0.9876,-0.8985,-0.0891
2020-05-18,-1.0303,-0.8762,-0.1541
2020-05-15,-1.1579,-0.8377,-0.3202
2020-05-14,-0.9691,-0.7576,-0.2115
2020-05-13,-0.7784,-0.7048,-0.0737
2020-05-12,-0.5584,-0.6864,0.1279
2020-05-11,-0.5211,-0.7183,0.1973
2020-05-08,-0.5778,-0.7677,0.1898
2020-05-07,-0.6517,-0.8151,0.1634
2020-05-06,-0.6296,-0.856,0.2264
2020-05-05,-0.5863,-0.9126,0.3263
2020-05-04,-0.5472,-0.9941,0.4469
2020-05-01,-0.527,-1.1059,0.5789
2020-04-30,-0.5143,-1.2506,0.7363
2020-04-29,-0.7007,-1.4347,0.7339
2020-04-28,-1.133,-1.6181,0.4852
2020-04-27,-1.3901,-1.7394,0.3493
2020-04-24,-1.5829,-1.8268,0.2439
2020-04-23,-1.6312,-1.8877,0.2566
2020-04-22,-1.633,-1.9519,0.3189
2020-04-21,-1.5999,-2.0316,0.4317
2020-04-20,-1.4797,-2.1395,0.6598
2020-04-17,-1.5029,-2.3045,0.8016
2020-04-16,-1.6004,-2.5049,0.9045
2020-04-15,-1.4761,-2.7310000000000003,1.2549
2020-04-14,-1.46,-3.0448,1.5848
2020-04-13,-1.7198,-3.4409,1.7212
2020-04-09,-2.0995,-3.8712,1.7717
2020-04-08,-2.624,-4.3142,1.6902
2020-04-07,-3.2093,-4.7367,1.5274
2020-04-06,-3.7351,-5.1185,1.3835
2020-04-03,-4.2034,-5.4644,1.261
2020-04-02,-4.4843,-5.7797,1.2954
2020-04-01,-4.8333,-6.1035,1.2703
2020-03-31,-5.141,-6.4211,1.2801
2020-03-30,-5.7528,-6.7411,0.9883
2020-03-27,-6.2168,-6.9882,0.7714
2020-03-26,-6.6892,-7.181,0.4918
2020-03-25,-7.4136,-7.3039999999999985,-0.1096
2020-03-24,-8.077,-7.2766,-0.8005
2020-03-23,-8.4277,-7.0765,-1.3512
2020-03-20,-8.2013,-6.7386,-1.4626
2020-03-19,-8.2263,-6.3729999999999976,-1.8533
2020-03-18,-8.0156,-5.9097,-2.1059
2020-03-17,-7.5217,-5.3832,-2.1385
2020-03-16,-7.0367,-4.8486,-2.1881
2020-03-13,-6.3943,-4.3015,-2.0928
2020-03-12,-6.1588,-3.7783,-2.3805
2020-03-11,-5.0883,-3.1832,-1.9051
2020-03-10,-4.4766,-2.7069,-1.7696
2020-03-09,-3.8825,-2.2645,-1.6179
2020-03-06,-2.8862,-1.86,-1.0261
2020-03-05,-2.5056,-1.6035,-0.9021
2020-03-04,-2.2372,-1.378,-0.8592
2020-03-03,-2.0894,-1.1632,-0.9262
2020-03-02,-1.809,-0.9316,-0.8773
2020-02-28,-1.6062,-0.7123,-0.8939
2020-02-27,-1.205,-0.4888,-0.7162
2020-02-26,-0.8003,-0.3098,-0.4905
2020-02-25,-0.5151,-0.1871,-0.328
2020-02-24,-0.2764,-0.1051,-0.1712
2020-02-21,-0.1482,-0.0623,-0.0858
2020-02-20,-0.1395,-0.0409,-0.0987
2020-02-19,-0.1118,-0.0162,-0.0956
2020-02-18,-0.0846,0.0077,-0.0923
2020-02-14,-0.0526,0.0308,-0.0834
2020-02-13,-0.048,0.0516,-0.0996
2020-02-12,-0.0307,0.0765,-0.1072
2020-02-11,-0.0345,0.1033,-0.1379
2020-02-10,-0.0292,0.1378,-0.1669
2020-02-07,-0.0043,0.1795,-0.1838
2020-02-06,-0.0038,0.2255,-0.2293
2020-02-05,-0.004,0.2828,-0.2868
2020-02-04,0.0309,0.3545,-0.3236
2020-02-03,0.116,0.4354,-0.3194
2020-01-31,0.2902,0.5153,-0.225
2020-01-30,0.446,0.5715,-0.1256
2020-01-29,0.509,0.6029,-0.0939
2020-01-28,0.5811,0.6264,-0.0453
2020-01-27,0.6241,0.6377,-0.0136
2020-01-24,0.7125,0.6411,0.0714
2020-01-23,0.7395,0.6233,0.1162
2020-01-22,0.7411,0.5942,0.1469
2020-01-21,0.7226,0.5575,0.1651
2020-01-17,0.6586,0.5162,0.1424
2020-01-16,0.6011,0.4806,0.1205
2020-01-15,0.5325,0.4505,0.08199999999999999
2020-01-14,0.4768,0.43,0.0468
2020-01-13,0.4239,0.4183,0.0056
2020-01-10,0.3859,0.4169,-0.031
2020-01-09,0.3917,0.4247,-0.0329
2020-01-08,0.4002,0.4329,-0.0327
2020-01-07,0.4013,0.4411,-0.0397
2020-01-06,0.4404,0.451,-0.0106
2020-01-03,0.4472,0.4536,-0.0065
2020-01-02,0.456,0.4553,0.0008
2019-12-31,0.4424,0.4551,-0.0127
2019-12-30,0.4321,0.4582,-0.0262
2019-12-27,0.4503,0.4648,-0.0145
2019-12-26,0.4602,0.4684,-0.0082
2019-12-24,0.4961,0.4704,0.0257
2019-12-23,0.5396,0.464,0.0755
2019-12-20,0.5698,0.4452,0.1246
2019-12-19,0.5392,0.414,0.1252
2019-12-18,0.5049,0.3827,0.1222
2019-12-17,0.449,0.3521,0.0969
2019-12-16,0.3759,0.3279,0.048
2019-12-13,0.2916,0.3159,-0.0243
2019-12-12,0.2203,0.322,-0.1017
2019-12-11,0.1851,0.3474,-0.1623
2019-12-10,0.1867,0.388,-0.2013
2019-12-09,0.213,0.4383,-0.2253
2019-12-06,0.2571,0.4947,-0.2376
2019-12-05,0.3009,0.5539999999999999,-0.2531
2019-12-04,0.3409,0.6173,-0.2765
2019-12-03,0.4323,0.6864,-0.2542
2019-12-02,0.6209,0.75,-0.1291
2019-11-29,0.7232,0.7823,-0.0591
2019-11-27,0.7187,0.797,-0.0784
2019-11-26,0.7140000000000001,0.8166,-0.1026
2019-11-25,0.7412,0.8423,-0.1011
2019-11-22,0.7834,0.8675,-0.0842
2019-11-21,0.8403,0.8886,-0.0482
2019-11-20,0.8873,0.9007,-0.0133
2019-11-19,0.9237,0.904,0.0198
2019-11-18,0.9539,0.899,0.0549
2019-11-15,0.9389,0.8853,0.0536
2019-11-14,0.9119,0.8719,0.04
2019-11-13,0.9173,0.8619,0.0554
2019-11-12,0.9466,0.8481,0.0986
2019-11-11,0.95,0.8235,0.1265
2019-11-08,0.9424,0.7918,0.1506
2019-11-07,0.9054,0.7542,0.1512
2019-11-06,0.8287,0.7164,0.1123
2019-11-05,0.7969,0.6883,0.1086
2019-11-04,0.7409,0.6611,0.0797
2019-11-01,0.705,0.6412,0.0637
2019-10-31,0.6952,0.6253,0.0699
2019-10-30,0.7239,0.6078,0.1161
2019-10-29,0.7215,0.5788,0.1427
2019-10-28,0.7061,0.5431,0.163
2019-10-25,0.6656,0.5024,0.1633
2019-10-24,0.612,0.4615,0.1504
2019-10-23,0.5871,0.4239,0.1632
2019-10-22,0.5364,0.3831,0.1533
2019-10-21,0.4753,0.3448,0.1305
2019-10-18,0.399,0.3122,0.0868
2019-10-17,0.3627,0.2905,0.0722
2019-10-16,0.3225,0.2724,0.0501
2019-10-15,0.2867,0.2599,0.0268
2019-10-14,0.2454,0.2532,-0.0078
2019-10-11,0.1938,0.2552,-0.0613
2019-10-10,0.1118,0.2705,-0.1587
