date,MFI
1999-11-19,26.1741
1999-11-22,28.8924
1999-11-23,29.3124
1999-11-24,40.3904
1999-11-26,44.9574
1999-11-29,41.2903
1999-11-30,36.5399
1999-12-01,32.6594
1999-12-02,27.5605
1999-12-03,29.6754
1999-12-06,22.5301
1999-12-07,24.006
1999-12-08,23.2161
1999-12-09,29.4326
1999-12-10,30.0403
1999-12-13,30.6282
1999-12-14,32.9107
1999-12-15,21.6631
1999-12-16,15.9932
1999-12-17,17.7489
1999-12-20,17.1292
1999-12-21,22.0592
1999-12-22,22.2452
1999-12-23,12.2359
1999-12-27,12.5319
1999-12-28,18.0784
1999-12-29,24.8737
1999-12-30,16.7063
1999-12-31,22.0787
2000-01-03,21.4482
2000-01-04,20.5156
2000-01-05,22.186
2000-01-06,24.0723
2000-01-07,23.0194
2000-01-10,25.4267
2000-01-11,17.4887
2000-01-12,17.2352
2000-01-13,25.2973
2000-01-14,36.8693
2000-01-18,41.5933
2000-01-19,36.932
2000-01-20,35.3105
2000-01-21,28.9885
2000-01-24,27.6867
2000-01-25,38.187
2000-01-26,41.9506
2000-01-27,54.1708
2000-01-28,53.8073
2000-01-31,55.765
2000-02-01,60.9157
2000-02-02,59.6454
2000-02-03,55.7413
2000-02-04,49.033
2000-02-07,41.1525
2000-02-08,41.2934
2000-02-09,41.3692
2000-02-10,44.3074
2000-02-11,46.358
2000-02-14,39.4164
2000-02-15,36.8475
2000-02-16,13.0014
2000-02-17,21.4795
2000-02-18,20.8422
2000-02-22,13.4352
2000-02-23,14.6177
2000-02-24,14.9609
2000-02-25,15.2693
2000-02-28,24.7336
2000-02-29,35.7323
2000-03-01,45.351
2000-03-02,53.3422
2000-03-03,44.9029
2000-03-06,32.3914
2000-03-07,30.8008
2000-03-08,23.6584
2000-03-09,21.9836
2000-03-10,26.4993
2000-03-13,29.5338
2000-03-14,26.0953
2000-03-15,30.5454
2000-03-16,37.5516
2000-03-17,38.8288
2000-03-20,32.8755
2000-03-21,28.8104
2000-03-22,31.8303
2000-03-23,38.7328
2000-03-24,51.1947
2000-03-27,46.4573
2000-03-28,52.5999
2000-03-29,52.5625
2000-03-30,53.5228
2000-03-31,56.8575
2000-04-03,69.0727
2000-04-04,70.7796
2000-04-05,65.1809
2000-04-06,59.3226
2000-04-07,57.765
2000-04-10,58.5634
2000-04-11,60.4233
2000-04-12,62.2335
2000-04-13,63.0963
2000-04-14,67.2504
2000-04-17,64.6246
2000-04-18,65.3059
2000-04-19,65.442
2000-04-20,63.2462
2000-04-24,55.3374
2000-04-25,52.0836
2000-04-26,51.4233
2000-04-27,56.5055
2000-04-28,65.6694
2000-05-01,70.2257
2000-05-02,65.7397
2000-05-03,60.2975
2000-05-04,52.9988
2000-05-05,57.7254
2000-05-08,69.3708
2000-05-09,67.8547
2000-05-10,66.0365
2000-05-11,59.6326
2000-05-12,61.8178
2000-05-15,64.2724
2000-05-16,80.087
2000-05-17,82.1785
2000-05-18,82.8046
2000-05-19,90.4978
2000-05-22,88.7309
2000-05-23,89.8713
2000-05-24,92.2149
2000-05-25,67.573
2000-05-26,70.7027
2000-05-30,72.2059
2000-05-31,74.423
2000-06-01,77.3691
2000-06-02,79.9972
2000-06-05,72.4955
2000-06-06,67.6416
2000-06-07,67.4816
2000-06-08,67.7543
2000-06-09,64.6763
2000-06-12,66.0802
2000-06-13,70.4638
2000-06-14,64.7887
2000-06-15,76.7938
2000-06-16,73.6126
2000-06-19,73.0176
2000-06-20,68.6596
2000-06-21,64.1887
2000-06-22,59.2259
2000-06-23,60.1231
2000-06-26,67.5659
2000-06-27,68.0038
2000-06-28,67.586
2000-06-29,57.2581
2000-06-30,56.5807
2000-07-03,35.5222
2000-07-05,45.1191
2000-07-06,47.9979
2000-07-07,52.8906
2000-07-10,46.5179
2000-07-11,54.2318
2000-07-12,56.7848
2000-07-13,57.112
2000-07-14,67.9014
2000-07-17,66.9518
2000-07-18,64.5466
2000-07-19,61.0002
2000-07-20,75.3531
2000-07-21,72.7116
2000-07-24,73.5027
2000-07-25,69.5503
2000-07-26,70.4911
2000-07-27,72.8331
2000-07-28,65.4743
2000-07-31,48.0
2000-08-01,45.1617
2000-08-02,58.3481
2000-08-03,57.2641
2000-08-04,61.7805
2000-08-07,57.93
2000-08-08,58.4798
2000-08-09,62.2947
2000-08-10,55.7495
2000-08-11,56.5795
2000-08-14,57.5281
2000-08-15,60.09
2000-08-16,60.3363
2000-08-17,67.5612
2000-08-18,72.5161
2000-08-21,71.6333
2000-08-22,56.1151
2000-08-23,48.7089
2000-08-24,40.183
2000-08-25,44.8795
2000-08-28,47.7379
2000-08-29,44.1881
2000-08-30,46.6095
2000-08-31,40.9958
2000-09-01,35.6712
2000-09-05,34.345
2000-09-06,29.4127
2000-09-07,27.3836
2000-09-08,30.8671
2000-09-11,40.6106
2000-09-12,56.3727
2000-09-13,72.4787
2000-09-14,80.4796
2000-09-15,81.2199
2000-09-18,70.9927
2000-09-19,78.0644
2000-09-20,82.0945
2000-09-21,83.9244
2000-09-22,83.0508
2000-09-25,82.7428
2000-09-26,83.0305
2000-09-27,79.6596
2000-09-28,80.2795
2000-09-29,80.627
2000-10-02,78.6712
2000-10-03,78.1673
2000-10-04,77.6088
2000-10-05,79.8165
2000-10-06,88.4982
2000-10-09,85.4016
2000-10-10,75.8403
2000-10-11,68.4555
