date,MFI
1999-11-19,81.9971
1999-11-22,81.9971
1999-11-23,81.9265
1999-11-24,85.2325
1999-11-26,84.9887
1999-11-29,86.4116
1999-11-30,87.4807
1999-12-01,87.4807
1999-12-02,87.2078
1999-12-03,86.1773
1999-12-06,91.8151
1999-12-07,83.2865
1999-12-08,90.1344
1999-12-09,90.1344
1999-12-10,90.5754
1999-12-13,90.5754
1999-12-14,90.5754
1999-12-15,90.5754
1999-12-16,89.2652
1999-12-17,89.2652
1999-12-20,89.2652
1999-12-21,85.9919
1999-12-22,93.6761
1999-12-23,80.2432
1999-12-27,38.0163
1999-12-28,38.0163
1999-12-29,38.0163
1999-12-30,44.3302
1999-12-31,38.1282
2000-01-03,38.1282
2000-01-04,38.1282
2000-01-05,38.1282
2000-01-06,34.6537
2000-01-07,34.6537
2000-01-10,34.6537
2000-01-11,33.9307
2000-01-12,14.4641
2000-01-13,32.8576
2000-01-14,30.6182
2000-01-18,28.7745
2000-01-19,28.7745
2000-01-20,8.2565
2000-01-21,8.2565
2000-01-24,7.9581
2000-01-25,1.0084
2000-01-26,11.9009
2000-01-27,12.896
2000-01-28,12.896
2000-01-31,54.1975
2000-02-01,55.4983
2000-02-02,56.4511
2000-02-03,56.4511
2000-02-04,56.4511
2000-02-07,56.7148
2000-02-08,57.6951
2000-02-09,57.4885
2000-02-10,46.9108
2000-02-11,45.7469
2000-02-14,68.9503
2000-02-15,66.5481
2000-02-16,66.4486
2000-02-17,66.4486
2000-02-18,14.4945
2000-02-22,14.4945
2000-02-23,6.0045
2000-02-24,6.0045
2000-02-25,5.1358
2000-02-28,5.593
2000-02-29,0.5079
2000-03-01,19.857
2000-03-02,34.8305
2000-03-03,39.2097
2000-03-06,39.2097
2000-03-07,39.2097
2000-03-08,39.2097
2000-03-09,35.4716
2000-03-10,35.4716
2000-03-13,35.4716
2000-03-14,53.0706
2000-03-15,55.8179
2000-03-16,80.6073
2000-03-17,80.3146
2000-03-20,80.8937
2000-03-21,37.1024
2000-03-22,37.1024
2000-03-23,37.1024
2000-03-24,37.1024
2000-03-27,37.1024
2000-03-28,37.1024
2000-03-29,100.0
2000-03-30,100.0
2000-03-31,100.0
2000-04-03,100.0
2000-04-04,100.0
2000-04-05,100.0
2000-04-06,100.0
2000-04-07,100.0
2000-04-10,100.0
2000-04-11,100.0
2000-04-12,100.0
2000-04-13,100.0
2000-04-14,100.0
2000-04-17,100.0
2000-04-18,40.0334
2000-04-19,38.7329
2000-04-20,35.8614
2000-04-24,35.8614
2000-04-25,39.1427
2000-04-26,21.4782
2000-04-27,7.7546
2000-04-28,7.7546
2000-05-01,7.7546
2000-05-02,7.7546
2000-05-03,7.477
2000-05-04,7.477
2000-05-05,7.477
2000-05-08,7.477
2000-05-09,67.6234
2000-05-10,86.1289
2000-05-11,86.1289
2000-05-12,86.1289
2000-05-15,80.4709
2000-05-16,80.4709
2000-05-17,99.1183
2000-05-18,51.4128
2000-05-19,67.2973
2000-05-22,67.2973
2000-05-23,67.5051
2000-05-24,66.6339
2000-05-25,66.6339
2000-05-26,66.6339
2000-05-30,66.6339
2000-05-31,66.4404
2000-06-01,66.4404
2000-06-02,66.4404
2000-06-05,67.3495
2000-06-06,66.9002
2000-06-07,51.2634
2000-06-08,89.3164
2000-06-09,44.5879
2000-06-12,70.8993
2000-06-13,61.22
2000-06-14,66.2331
2000-06-15,70.0385
2000-06-16,51.0784
2000-06-19,51.0784
2000-06-20,44.8068
2000-06-21,44.8068
2000-06-22,44.8068
2000-06-23,38.2992
2000-06-26,39.4525
2000-06-27,39.4525
2000-06-28,43.8965
2000-06-29,43.8965
2000-06-30,18.8745
2000-07-03,22.5854
2000-07-05,22.5854
2000-07-06,0.0974
2000-07-07,0.0983
2000-07-10,0.0983
2000-07-11,0.0987
2000-07-12,0.0985
2000-07-13,0.0985
2000-07-14,0.0984
2000-07-17,0.0984
2000-07-18,0.2874
2000-07-19,0.2874
2000-07-20,1.318
2000-07-21,1.222
2000-07-24,1.222
2000-07-25,1.222
2000-07-26,86.2501
2000-07-27,86.2501
2000-07-28,86.2501
2000-07-31,64.3685
2000-08-01,69.1188
2000-08-02,56.0678
2000-08-03,57.7732
2000-08-04,57.7732
2000-08-07,55.0185
2000-08-08,55.0185
2000-08-09,29.6943
2000-08-10,29.6943
2000-08-11,29.6943
2000-08-14,35.0586
2000-08-15,10.5137
2000-08-16,10.5137
2000-08-17,10.5137
2000-08-18,20.3182
2000-08-21,60.6879
2000-08-22,64.9191
2000-08-23,69.2677
2000-08-24,69.2677
2000-08-25,69.2677
2000-08-28,69.2677
2000-08-29,69.2677
2000-08-30,69.2677
2000-08-31,69.2677
2000-09-01,66.0815
2000-09-05,66.0815
2000-09-06,66.0815
2000-09-07,63.8641
2000-09-08,63.8641
2000-09-11,26.7885
2000-09-12,79.7592
2000-09-13,86.1702
2000-09-14,97.7074
2000-09-15,97.9144
2000-09-18,98.4943
2000-09-19,98.5869
2000-09-20,98.5869
2000-09-21,98.6091
2000-09-22,98.6091
2000-09-25,98.6091
2000-09-26,98.6091
2000-09-27,100.0
2000-09-28,91.6472
2000-09-29,91.7644
2000-10-02,91.7644
2000-10-03,91.054
2000-10-04,81.9709
2000-10-05,79.4945
2000-10-06,50.4736
2000-10-09,25.6769
2000-10-10,25.6769
2000-10-11,14.5647
2000-10-12,14.5647
2000-10-13,10.3738
2000-10-16,10.3738
2000-10-17,10.3738
2000-10-18,26.4989
2000-10-19,-0.0
2000-10-20,-0.0
2000-10-23,-0.0
2000-10-24,-0.0
2000-10-25,-0.0
2000-10-26,59.2187
2000-10-27,59.2187
2000-10-30,59.2187
2000-10-31,59.2187
2000-11-01,63.8067
2000-11-02,78.5801
2000-11-03,81.8492
2000-11-06,81.8492
2000-11-07,81.8492
2000-11-08,100.0
2000-11-09,100.0
2000-11-10,47.4539
2000-11-13,47.4539
2000-11-14,47.4539
2000-11-15,26.9223
2000-11-16,23.9418
2000-11-17,23.9418
2000-11-20,17.3636
2000-11-21,12.3094
2000-11-22,9.5697
2000-11-24,4.3101
2000-11-27,4.3101
2000-11-28,6.677
2000-11-29,5.0453
2000-11-30,5.0453
2000-12-01,7.1928
2000-12-04,7.1928
2000-12-05,7.1928
2000-12-06,0.1787
2000-12-07,0.1791
2000-12-08,0.1791
2000-12-11,0.1806
2000-12-12,0.3292
2000-12-13,0.3292
2000-12-14,0.331
2000-12-15,0.331
2000-12-18,0.2403
2000-12-19,0.1491
2000-12-20,0.149
2000-12-21,0.1488
2000-12-22,0.1488
2000-12-26,0.1488
2000-12-27,43.8017
2000-12-28,43.8017
2000-12-29,43.8017
2001-01-02,43.8017
2001-01-03,-0.0
2001-01-04,67.4121
2001-01-05,70.0364
2001-01-08,53.1563
2001-01-09,53.1563
2001-01-10,11.4022
2001-01-11,11.6877
2001-01-12,40.495
