date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,20.01,20.13,19.8,19.84,674290.0
2020-04-30,20.67,20.71,20.39,20.42,857687.0
2020-04-29,20.66,21.055,20.6224,20.98,1099975.0
2020-04-28,20.48,20.5999,20.18,20.28,586191.0
2020-04-27,19.8,20.09,19.7,20.04,1282734.0
2020-04-24,19.42,19.53,19.22,19.5,530745.0
2020-04-23,19.34,19.53,19.16,19.22,538725.0
2020-04-22,18.92,19.26,18.91,19.21,756450.0
2020-04-21,18.86,18.94,18.49,18.51,896312.0
2020-04-20,19.05,19.36,19.0,19.0,591225.0
2020-04-17,19.28,19.3433,19.0,19.29,570596.0
2020-04-16,18.85,18.97,18.64,18.94,802313.0
2020-04-15,18.93,18.97,18.7101,18.81,703053.0
2020-04-14,19.1,19.44,19.04,19.39,798665.0
2020-04-13,18.72,18.75,18.5,18.65,430664.0
2020-04-09,18.77,19.01,18.61,18.8,548405.0
2020-04-08,18.25,18.525,17.99,18.49,696221.0
2020-04-07,18.98,19.045,18.1,18.1,398997.0
2020-04-06,17.6,18.3,17.5,18.22,720049.0
2020-04-03,17.21,17.37,16.78,16.92,543108.0
2020-04-02,17.08,17.5,17.025,17.45,615357.0
2020-04-01,17.51,17.58,17.07,17.07,987983.0
2020-03-31,18.06,18.555,18.021,18.14,614192.0
2020-03-30,18.2,18.48,18.002,18.47,675652.0
2020-03-27,18.0,18.64,18.0,18.17,796059.0
2020-03-26,17.97,18.75,17.92,18.72,1043860.0
2020-03-25,17.53,18.09,17.03,17.76,918012.0
2020-03-24,16.65,17.44,16.65,17.44,1395145.0
2020-03-23,15.56,15.78,15.2,15.465,1309222.0
2020-03-20,15.97,16.37,15.41,15.55,2291633.0
2020-03-19,15.28,16.0001,15.1,15.73,935911.0
2020-03-18,15.28,15.75,14.77,15.62,1300600.0
2020-03-17,15.67,16.31,15.270999999999999,16.19,1559141.0
2020-03-16,15.47,16.26,15.02,15.11,1509982.0
2020-03-13,16.93,17.25,16.0,17.25,1250319.0
2020-03-12,16.5,16.5056,15.81,15.83,2018371.0
2020-03-11,18.49,18.53,17.78,17.92,1336580.0
2020-03-10,18.8567,18.95,18.055,18.88,1699551.0
2020-03-09,18.58,18.7,17.953,18.04,1680014.0
2020-03-06,19.74,19.99,19.5,19.77,922853.0
2020-03-05,20.31,20.56,20.09,20.2,1068758.0
2020-03-04,20.49,20.97,20.34,20.97,880242.0
2020-03-03,20.6,20.88,19.9,20.13,1120143.0
2020-03-02,20.3,20.56,19.85,20.56,1263011.0
2020-02-28,19.42,20.28,19.339000000000002,20.27,1720872.0
2020-02-27,20.32,20.71,19.95,19.96,2294561.0
2020-02-26,20.93,21.265,20.81,20.88,1553993.0
2020-02-25,21.42,21.5,20.645,20.72,2050269.0
2020-02-24,21.2,21.41,21.07,21.13,1552351.0
2020-02-21,22.52,22.57,22.185,22.24,729578.0
2020-02-20,22.74,22.85,22.36,22.68,778742.0
2020-02-19,22.59,22.849,22.59,22.77,749152.0
2020-02-18,22.61,22.7,22.5,22.59,439139.0
2020-02-14,22.88,22.939,22.803,22.86,564670.0
2020-02-13,22.84,22.9466,22.8,22.82,365930.0
2020-02-12,23.0,23.0699,22.9501,23.06,482785.0
2020-02-11,22.62,22.95,22.62,22.93,1473860.0
2020-02-10,22.27,22.58,22.27,22.58,414628.0
2020-02-07,22.36,22.44,22.24,22.24,426555.0
2020-02-06,22.5,22.55,22.36,22.54,284309.0
2020-02-05,22.47,22.495,22.31,22.45,470451.0
2020-02-04,21.98,22.18,21.97,22.18,962308.0
2020-02-03,21.6,21.75,21.54,21.71,544145.0
2020-01-31,21.77,21.77,21.37,21.41,1050996.0
2020-01-30,21.86,22.0,21.7,22.0,380196.0
2020-01-29,22.23,22.23,21.96,22.01,367700.0
2020-01-28,21.8,22.01,21.73,21.98,443999.0
2020-01-27,21.7,21.83,21.6,21.7,782357.0
2020-01-24,22.63,22.68,22.31,22.36,537224.0
2020-01-23,22.42,22.58,22.31,22.58,439067.0
2020-01-22,22.45,22.5,22.3834,22.4,379983.0
2020-01-21,22.44,22.46,22.27,22.27,600666.0
2020-01-17,22.58,22.62,22.49,22.54,237684.0
2020-01-16,22.49,22.56,22.41,22.52,380805.0
2020-01-15,22.62,22.62,22.42,22.43,298149.0
2020-01-14,22.6,22.69,22.48,22.63,281113.0
2020-01-13,22.44,22.6,22.4,22.6,418995.0
2020-01-10,22.49,22.61,22.37,22.37,452788.0
2020-01-09,22.34,22.43,22.29,22.41,417178.0
2020-01-08,22.05,22.28,22.04,22.27,473514.0
2020-01-07,22.2,22.21,22.05,22.09,233937.0
2020-01-06,21.98,22.2,21.95,22.2,650784.0
2020-01-03,22.0,22.0654,21.86,21.93,441839.0
2020-01-02,22.11,22.25,22.0694,22.25,359472.0
2019-12-31,21.81,21.92,21.73,21.87,308363.0
2019-12-30,22.09,22.12,21.86,21.86,380584.0
2019-12-27,22.27,22.28,22.12,22.12,333995.0
2019-12-26,22.15,22.278000000000002,22.14,22.27,364423.0
2019-12-24,22.12,22.15,22.0931,22.12,139699.0
2019-12-23,22.05,22.13,22.0234,22.1,297601.0
2019-12-20,22.16,22.2,22.05,22.05,363252.0
2019-12-19,22.06,22.16,22.03,22.15,382243.0
2019-12-18,22.11,22.14,22.04,22.05,368230.0
2019-12-17,22.22,22.33,22.2,22.29,361197.0
2019-12-16,22.32,22.4196,22.2901,22.33,490377.0
2019-12-13,22.12,22.4,22.118000000000002,22.28,581437.0
2019-12-12,21.73,22.09,21.7,22.09,899183.0
2019-12-11,21.62,21.76,21.6,21.76,310353.0
2019-12-10,21.56,21.73,21.56,21.66,255765.0
2019-12-09,21.75,21.79,21.65,21.65,275422.0
2019-12-06,21.69,21.81,21.64,21.8,566158.0
2019-12-05,21.53,21.55,21.43,21.47,266352.0
2019-12-04,21.43,21.55,21.43,21.48,322118.0
2019-12-03,21.02,21.27,20.9544,21.27,552078.0
2019-12-02,21.52,21.55,21.16,21.18,637520.0
2019-11-29,21.53,21.53,21.43,21.45,228631.0
2019-11-27,21.68,21.7,21.62,21.69,324478.0
2019-11-26,21.6,21.67,21.55,21.59,324843.0
2019-11-25,21.33,21.59,21.33,21.59,584755.0
