date,MACD_Signal,MACD_Hist,MACD
2021-01-15,4.0418,0.5231,4.565
2021-01-14,3.9111,1.0802,4.9913
2021-01-13,3.641,1.4155,5.0565
2021-01-12,3.2871,1.493,4.7801
2021-01-11,2.9139,1.3014,4.2153
2021-01-08,2.5885,1.2161,3.8047
2021-01-07,2.2845,1.1179,3.4024
2021-01-06,2.0051,0.9087,2.9138
2021-01-05,1.7779,0.8649,2.6428
2021-01-04,1.5617,0.5156,2.0773
2020-12-31,1.4328,0.2773,1.7101
2020-12-30,1.3634,0.1922,1.5556
2020-12-29,1.3154,0.16,1.4753
2020-12-28,1.2754,0.1972,1.4726
2020-12-24,1.2261,0.1563,1.3824
2020-12-23,1.187,0.2588,1.4458
2020-12-22,1.1223,0.1839,1.3062
2020-12-21,1.0763,0.1334,1.2097
2020-12-18,1.043,-0.2235,0.8195
2020-12-17,1.0989,-0.3392,0.7596
2020-12-16,1.1837,-0.423,0.7607
2020-12-15,1.2894,-0.5027,0.7867
2020-12-14,1.4151,-0.677,0.7381
2020-12-11,1.5844,-0.8044,0.78
2020-12-10,1.7855,-0.7664,1.019
2020-12-09,1.9771,-0.8143,1.1627
2020-12-08,2.1806,-0.7791,1.4015
2020-12-07,2.3754,-0.9109,1.4645
2020-12-04,2.6031,-0.9662,1.637
2020-12-03,2.8447,-0.9492,1.8955
2020-12-02,3.082,-0.7619,2.3201
2020-12-01,3.2725,-0.5695,2.703
2020-11-30,3.4148,-0.4477,2.9672
2020-11-27,3.5268,-0.1953,3.3314
2020-11-25,3.5756,-0.0435,3.5321
2020-11-24,3.5865,-0.0014,3.585
2020-11-23,3.5868,-0.1798,3.407
2020-11-20,3.6318,-0.5514,3.0804
2020-11-19,3.7696,-0.6215,3.1481
2020-11-18,3.925,-0.5213,3.4037
2020-11-17,4.0553,-0.4575,3.5978
2020-11-16,4.1697,-0.1971,3.9726
2020-11-13,4.219,-0.0703,4.1487
2020-11-12,4.2365,0.0399,4.2765
2020-11-11,4.2266,0.1447,4.3713
2020-11-10,4.1904,0.6649,4.8553
2020-11-09,4.0242,1.137,5.1611
2020-11-06,3.7399,1.1958,4.9358
2020-11-05,3.441,1.0977,4.5386
2020-11-04,3.1665,0.729,3.8955
2020-11-03,2.9843,0.6342,3.6185
2020-11-02,2.8258,0.5293,3.3551
2020-10-30,2.6934,0.2583,2.9517
2020-10-29,2.6289,0.1672,2.7961
2020-10-28,2.5871,-0.1127,2.4743
2020-10-27,2.6152,-0.1218,2.4935
2020-10-26,2.6457,-0.1462,2.4995
2020-10-23,2.6822,0.0054,2.6876
2020-10-22,2.6809,0.0917,2.7726
2020-10-21,2.6579,-0.0422,2.6158
2020-10-20,2.6685,-0.0899,2.5786
2020-10-19,2.691,-0.1774,2.5135
2020-10-16,2.7353,-0.0217,2.7136
2020-10-15,2.7407,0.0972,2.8379
2020-10-14,2.7164,0.0861,2.8025
2020-10-13,2.6949,0.0787,2.7736
2020-10-12,2.6753,0.1127,2.788
2020-10-09,2.6471,0.1513,2.7984
2020-10-08,2.6093,0.239,2.8483
2020-10-07,2.5495,0.2437,2.7932
2020-10-06,2.4886,0.3464,2.835
2020-10-05,2.402,0.4879,2.8899
2020-10-02,2.28,0.5361,2.8161
2020-10-01,2.146,0.5553,2.7013
2020-09-30,2.0072,0.3983,2.4055
2020-09-29,1.9076,0.1862,2.0938
2020-09-28,1.8611,0.1934,2.0544
2020-09-25,1.8127,0.2716,2.0843
2020-09-24,1.7448,0.4175,2.1623
2020-09-23,1.6404,0.5421,2.1825
2020-09-22,1.5049,0.6208,2.1257
2020-09-21,1.3497,0.6299,1.9796
2020-09-18,1.1922,0.7542,1.9465
2020-09-17,1.0037,0.6777,1.6814
2020-09-16,0.8343,0.4844,1.3187
2020-09-15,0.7131,0.3087,1.0218
2020-09-14,0.636,0.1244,0.7604
2020-09-11,0.6049,0.0959,0.7008
2020-09-10,0.5809,0.0387,0.6196
2020-09-09,0.5712,0.0834,0.6546
2020-09-08,0.5504,0.1414,0.6918
2020-09-04,0.515,0.205,0.72
2020-09-03,0.4637,0.2706,0.7344
2020-09-02,0.3961,0.3307,0.7268
2020-09-01,0.3134,0.2693,0.5827
2020-08-31,0.2461,0.1388,0.3848
2020-08-28,0.2114,0.0863,0.2977
2020-08-27,0.1898,0.0178,0.2076
2020-08-26,0.1853,-0.0611,0.1243
2020-08-25,0.2006,-0.1815,0.0191
2020-08-24,0.246,-0.2596,-0.0136
2020-08-21,0.3109,-0.2917,0.0192
2020-08-20,0.3838,-0.2955,0.0883
2020-08-19,0.4577,-0.2917,0.166
2020-08-18,0.5306,-0.2913,0.2393
2020-08-17,0.6034,-0.271,0.3324
2020-08-14,0.6712,-0.2623,0.4089
2020-08-13,0.7367,-0.247,0.4898
2020-08-12,0.7985,-0.209,0.5895
2020-08-11,0.8507,-0.1751,0.6756
2020-08-10,0.8945,-0.1321,0.7624
2020-08-07,0.9275,-0.104,0.8235
2020-08-06,0.9535,-0.1038,0.8497
2020-08-05,0.9795,-0.1534,0.8261
2020-08-04,1.0178,-0.2055,0.8123
2020-08-03,1.0692,-0.278,0.7912
2020-07-31,1.1387,-0.3066,0.8321
2020-07-30,1.2153,-0.3014,0.9139
2020-07-29,1.2907,-0.2693,1.0214
2020-07-28,1.358,-0.2918,1.0663
2020-07-27,1.431,-0.2618,1.1692
2020-07-24,1.4964,-0.1926,1.3038
2020-07-23,1.5446,-0.099,1.4456
2020-07-22,1.5693,-0.1003,1.4691
2020-07-21,1.5944,-0.0251,1.5693
2020-07-20,1.6006,-0.0118,1.5888
2020-07-17,1.6036,-0.0404,1.5632
2020-07-16,1.6137,0.1333,1.747
2020-07-15,1.5804,0.3758,1.9562
2020-07-14,1.4864,0.4863,1.9728
2020-07-13,1.3649,0.5434,1.9082
2020-07-10,1.229,0.3787,1.6077
2020-07-09,1.1344,0.3443,1.4787
2020-07-08,1.0483,0.3308,1.3791
2020-07-07,0.9656,0.2591,1.2247
2020-07-06,0.9008,0.1855,1.0863
2020-07-02,0.8544,-0.0014,0.853
2020-07-01,0.8548,0.0231,0.8779
2020-06-30,0.849,0.0418,0.8908
2020-06-29,0.8385,0.073,0.9116
2020-06-26,0.8203,0.1137,0.934
2020-06-25,0.7919,0.1633,0.9552
2020-06-24,0.751,0.1969,0.9479
2020-06-23,0.7018,0.2143,0.9161
2020-06-22,0.6482,0.2098,0.858
2020-06-19,0.5958,0.197,0.7928
2020-06-18,0.5465,0.1698,0.7164
2020-06-17,0.5041,0.1358,0.6399
2020-06-16,0.4701,0.1349,0.6051
2020-06-15,0.4364,0.1451,0.5815
2020-06-12,0.4001,0.1367,0.5368
2020-06-11,0.3659,0.1793,0.5452
2020-06-10,0.3211,0.2055,0.5266
2020-06-09,0.2698,0.2052,0.4749
2020-06-08,0.2185,0.1999,0.4183
2020-06-05,0.1685,0.1562,0.3247
2020-06-04,0.1294,0.1067,0.2361
2020-06-03,0.1028,0.0829,0.1857
2020-06-02,0.082,0.0438,0.1258
2020-06-01,0.0711,-0.0215,0.0496
2020-05-29,0.0765,-0.0731,0.0034
2020-05-28,0.0948,-0.0822,0.0126
2020-05-27,0.1153,-0.0932,0.0221
2020-05-26,0.1386,-0.0976,0.041
2020-05-22,0.163,-0.1228,0.0402
2020-05-21,0.1937,-0.0941,0.0996
2020-05-20,0.2172,-0.086,0.1312
2020-05-19,0.2387,-0.1138,0.1249
2020-05-18,0.2672,-0.1328,0.1344
2020-05-15,0.3004,-0.1335,0.1669
2020-05-14,0.3338,-0.1126,0.2212
2020-05-13,0.3619,-0.0645,0.2974
2020-05-12,0.378,-0.0293,0.3488
2020-05-11,0.3853,0.0076,0.3929
2020-05-08,0.3834,0.0581,0.4415
2020-05-07,0.3689,0.0855,0.4544
2020-05-06,0.3475,0.1229,0.4704
2020-05-05,0.3168,0.1356,0.4524
2020-05-04,0.2829,0.147,0.4299
2020-05-01,0.2462,0.1662,0.4123
2020-04-30,0.2046,0.2006,0.4052
2020-04-29,0.1545,0.194,0.3485
2020-04-28,0.106,0.1372,0.2431
2020-04-27,0.0717,0.1183,0.19
2020-04-24,0.0421,0.1156,0.1577
2020-04-23,0.0132,0.1197,0.1329
2020-04-22,-0.0167,0.1288,0.1121
2020-04-21,-0.0489,0.1485,0.0996
2020-04-20,-0.0861,0.2028,0.1167
2020-04-17,-0.1368,0.2148,0.078
2020-04-16,-0.1905,0.2046,0.0141
2020-04-15,-0.2416,0.1761,-0.0655
2020-04-14,-0.2856,0.1598,-0.1259
2020-04-13,-0.3256,0.1279,-0.1977
2020-04-09,-0.3576,0.1402,-0.2173
2020-04-08,-0.3926,0.1422,-0.2504
2020-04-07,-0.4282,0.1341,-0.2941
2020-04-06,-0.4617,0.108,-0.3536
2020-04-03,-0.4887,0.0845,-0.4042
2020-04-02,-0.5098,0.0775,-0.4324
2020-04-01,-0.5292,0.0479,-0.4813
2020-03-31,-0.5412,0.0705,-0.4707
2020-03-30,-0.5588,-0.0003,-0.5591
2020-03-27,-0.5587,-0.0563,-0.615
2020-03-26,-0.5446,-0.083,-0.6276
2020-03-25,-0.5239,-0.1747,-0.6986
2020-03-24,-0.4802,-0.2673,-0.7475
2020-03-23,-0.4134,-0.3338,-0.7472
2020-03-20,-0.3299,-0.3411,-0.671
2020-03-19,-0.2447,-0.3558,-0.6004
2020-03-18,-0.1557,-0.3581,-0.5138
2020-03-17,-0.0662,-0.3276,-0.3938
2020-03-16,0.0157,-0.336,-0.3203
2020-03-13,0.0997,-0.2905,-0.1908
2020-03-12,0.1723,-0.3106,-0.1383
2020-03-11,0.25,-0.2331,0.0168
2020-03-10,0.3082,-0.198,0.1102
2020-03-09,0.3577,-0.1787,0.179
2020-03-06,0.4024,-0.0965,0.3059
2020-03-05,0.4265,-0.0526,0.374
2020-03-04,0.4397,-0.0322,0.4075
2020-03-03,0.4477,-0.0196,0.4282
