date,MFI
2008-11-14,25.0478
2008-11-17,18.0067
2008-11-18,21.5134
2008-11-19,18.4764
2008-11-20,16.0967
2008-11-21,21.4785
2008-11-24,18.1567
2008-11-25,27.9549
2008-11-26,32.7226
2008-11-28,42.6516
2008-12-01,38.6586
2008-12-02,62.1928
2008-12-03,64.3722
2008-12-04,90.7281
2008-12-05,86.3115
2008-12-08,93.3271
2008-12-09,94.5019
2008-12-10,92.6292
2008-12-11,93.2999
2008-12-12,82.7652
2008-12-15,84.7766
2008-12-16,66.9233
2008-12-17,54.3942
2008-12-18,56.0234
2008-12-19,56.5686
2008-12-22,54.2344
2008-12-23,54.0568
2008-12-24,40.1389
2008-12-26,40.8347
2008-12-29,25.2708
2008-12-30,25.2708
2008-12-31,26.3199
2009-01-02,24.3717
2009-01-05,41.1911
2009-01-06,36.5961
2009-01-07,47.5222
2009-01-08,65.6189
2009-01-09,64.7875
2009-01-12,46.5154
2009-01-13,59.5514
2009-01-14,60.7787
2009-01-15,70.411
2009-01-16,73.8023
2009-01-20,65.8786
2009-01-21,69.0084
2009-01-22,69.5263
2009-01-23,72.4676
2009-01-26,68.2056
2009-01-27,69.0524
2009-01-28,61.8266
2009-01-29,64.0463
2009-01-30,62.9443
2009-02-02,75.6397
2009-02-03,71.4793
2009-02-04,67.9942
2009-02-05,62.5272
2009-02-06,62.1346
2009-02-09,70.8122
2009-02-10,60.0104
2009-02-11,57.8359
2009-02-12,59.8027
2009-02-13,61.4134
2009-02-17,53.1197
2009-02-18,73.1357
2009-02-19,59.2392
2009-02-20,50.6151
2009-02-23,44.1232
2009-02-24,38.7259
2009-02-25,47.8204
2009-02-26,47.1105
2009-02-27,39.7868
2009-03-02,37.6285
2009-03-03,40.1938
2009-03-04,45.3495
2009-03-05,41.1456
2009-03-06,41.904
2009-03-09,43.193
2009-03-10,44.1223
2009-03-11,52.3233
2009-03-12,56.8436
2009-03-13,65.4485
2009-03-16,57.2087
2009-03-17,33.073
2009-03-18,38.3382
2009-03-19,41.7026
2009-03-20,41.9289
2009-03-23,46.899
2009-03-24,43.66
2009-03-25,42.1463
2009-03-26,34.1396
2009-03-27,30.1708
2009-03-30,25.7365
2009-03-31,24.2897
2009-04-01,24.78
2009-04-02,27.871
2009-04-03,35.0584
2009-04-06,45.0382
2009-04-07,36.2471
2009-04-08,35.6852
2009-04-09,42.5805
2009-04-13,60.7086
2009-04-14,77.1996
2009-04-15,42.1239
2009-04-16,54.2005
2009-04-17,71.3808
2009-04-20,64.0995
2009-04-21,67.6993
2009-04-22,74.5771
2009-04-23,76.8213
2009-04-24,70.6333
2009-04-27,62.8077
2009-04-28,64.5119
2009-04-29,68.1491
2009-04-30,71.3011
2009-05-01,74.625
2009-05-04,77.3219
2009-05-05,86.0674
2009-05-06,85.5672
2009-05-07,87.1843
2009-05-08,83.6958
2009-05-11,78.4557
2009-05-12,77.0073
2009-05-13,76.6959
2009-05-14,80.5186
2009-05-15,83.8654
2009-05-18,83.7314
2009-05-19,78.8368
2009-05-20,78.2955
2009-05-21,72.8324
2009-05-22,69.8614
2009-05-26,69.7828
2009-05-27,61.254
2009-05-28,55.1805
2009-05-29,81.2572
2009-06-01,87.3139
2009-06-02,77.4695
2009-06-03,73.0364
2009-06-04,70.6532
2009-06-05,71.7201
2009-06-08,68.1006
2009-06-09,67.169
2009-06-10,66.4394
2009-06-11,66.4465
2009-06-12,65.6882
2009-06-15,61.3326
2009-06-16,64.3624
2009-06-17,58.343
2009-06-18,28.3444
2009-06-19,9.8109
2009-06-22,14.7489
2009-06-23,16.9299
2009-06-24,21.2528
2009-06-25,19.9566
2009-06-26,29.8734
2009-06-29,34.645
2009-06-30,29.0017
2009-07-01,33.788
2009-07-02,37.2863
2009-07-06,47.5185
2009-07-07,47.0213
2009-07-08,67.9709
2009-07-09,66.7146
2009-07-10,53.2098
2009-07-13,58.3211
2009-07-14,66.016
2009-07-15,71.1181
2009-07-16,72.9629
2009-07-17,78.4282
2009-07-20,82.3068
2009-07-21,81.6077
2009-07-22,71.6617
2009-07-23,73.4838
2009-07-24,69.2175
2009-07-27,73.2111
2009-07-28,71.0322
2009-07-29,67.3237
2009-07-30,72.4003
2009-07-31,72.8998
2009-08-03,74.6317
2009-08-04,65.6947
2009-08-05,57.7559
2009-08-06,43.776
2009-08-07,40.8051
2009-08-10,42.623
2009-08-11,53.244
2009-08-12,46.2381
2009-08-13,47.6233
2009-08-14,40.6558
2009-08-17,38.4227
2009-08-18,42.6018
2009-08-19,38.4367
2009-08-20,37.2767
2009-08-21,35.1542
2009-08-24,43.5308
2009-08-25,50.9773
2009-08-26,58.9172
2009-08-27,54.4716
2009-08-28,53.4257
2009-08-31,52.4355
2009-09-01,62.7031
2009-09-02,59.9701
2009-09-03,70.0696
2009-09-04,80.031
2009-09-08,83.2151
2009-09-09,71.6108
