date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,94.4,98.72,89.9,91.53,6532150.0
2020-04-30,98.19,107.0,96.13,98.99,6718848.0
2020-04-29,100.56,103.0,97.92,100.1,4531257.0
2020-04-28,101.97,104.48,97.25,99.52,7076457.0
2020-04-27,111.92,116.64,97.5,99.63,20131494.0
2020-04-24,105.0,113.48,103.0,108.78,21206159.0
2020-04-23,89.87,101.5599,89.295,99.78,11319859.0
2020-04-22,87.0,90.39,85.14,88.46,6128850.0
2020-04-21,87.51,92.0,82.103,84.96,13184856.0
2020-04-20,76.24,83.62,76.0,79.12,4593507.0
2020-04-17,77.78,78.0,75.33,76.91,2131077.0
2020-04-16,75.42,76.07,72.9,74.82,2040483.0
2020-04-15,76.71,77.0,72.62,74.7,2968548.0
2020-04-14,79.99,82.63,77.2,78.05,4982573.0
2020-04-13,73.01,77.16,71.23,76.67,3299214.0
2020-04-09,71.68,74.72,70.6,72.3,3338273.0
2020-04-08,68.35,71.4,67.39,69.47,2386970.0
2020-04-07,70.01,71.8,65.2939,67.43,4450326.0
2020-04-06,62.75,66.66,62.05,65.92,3839079.0
2020-04-03,59.01,60.85,57.12,59.91,3221564.0
2020-04-02,63.86,63.9695,57.0,57.95,4847367.0
2020-04-01,64.2,65.68,63.19,64.18,2368512.0
2020-03-31,67.2,69.0,65.34,66.6,2564594.0
2020-03-30,67.0,68.5,63.82,66.09,3106673.0
2020-03-27,68.17,68.215,64.22,66.12,4075686.0
2020-03-26,69.5,72.96,66.42,71.1,7964573.0
2020-03-25,73.13,78.6,70.5638,73.0,6706071.0
2020-03-24,62.35,69.75,62.0,67.43,5678798.0
2020-03-23,57.51,60.8699,55.11,57.55,3675470.0
2020-03-20,59.61,63.4777,54.1495,57.99,5121461.0
2020-03-19,52.05,58.8,48.18,57.33,5759843.0
2020-03-18,56.15,58.308,51.0,54.02,4734721.0
2020-03-17,61.56,65.89,57.76,60.32,5631525.0
2020-03-16,63.82,66.19,60.14,61.55,5988728.0
2020-03-13,76.01,79.4466,68.61,73.06,5493986.0
2020-03-12,72.5,76.11,68.85,74.0,7098971.0
2020-03-11,87.87,89.52,81.3255,82.64,4215048.0
2020-03-10,92.05,92.8899,85.61,90.98,4388306.0
2020-03-09,85.5,91.65,82.22,87.96,5221223.0
2020-03-06,92.9,96.44,91.6,96.09,4210292.0
2020-03-05,99.24,100.25,95.07,95.87,4337393.0
2020-03-04,99.02,101.93,97.7,101.89,6576845.0
2020-03-03,101.6,101.6688,94.63,95.43,9611924.0
2020-03-02,95.0,96.8,90.3,96.1,7240451.0
2020-02-28,88.0,91.77,85.0,89.65,13231154.0
2020-02-27,110.34,111.5,103.5,106.14,7833633.0
2020-02-26,115.33,118.2,111.55,112.51,7260913.0
2020-02-25,115.12,116.8,108.14,109.92,5461206.0
2020-02-24,110.0,114.8,109.05,113.96,5926473.0
2020-02-21,120.62,122.0,116.03,117.45,5578304.0
2020-02-20,126.08,126.1,115.14,120.58,8376536.0
2020-02-19,124.07,129.0,122.1,126.1,8705669.0
2020-02-18,118.0,123.7,117.5765,122.03,8660971.0
2020-02-14,113.0,117.47,112.31,116.22,6969187.0
2020-02-13,114.79,117.0,111.0,112.01,7911186.0
2020-02-12,117.28,119.5,113.77,114.73,6242452.0
2020-02-11,120.46,123.1,116.1,117.14,7971117.0
2020-02-10,118.49,122.5,116.1,119.73,10574178.0
2020-02-07,111.98,120.52,111.3,116.44,12762168.0
2020-02-06,111.9965,113.005,109.5501,111.89,4170432.0
2020-02-05,113.5,113.99,108.96,110.17,5428389.0
2020-02-04,106.77,114.15,106.5,110.43,8532855.0
2020-02-03,111.81,112.7,102.43,106.0,11109948.0
2020-01-31,117.43,118.15,108.03,110.42,8055241.0
2020-01-30,115.4,118.47,114.49,117.29,6708374.0
2020-01-29,123.74,123.8,113.63,114.88,13028726.0
2020-01-28,124.43,127.885,117.26,120.12,12237584.0
2020-01-27,119.8,129.83,119.6,124.75,18454187.0
2020-01-24,123.81,126.74,116.42,119.49,13241545.0
2020-01-23,119.75,120.99,112.88,118.64,12073827.0
2020-01-22,126.93,134.7,119.01,122.4,25189110.0
2020-01-21,113.0,129.55,111.1201,129.18,29196567.0
2020-01-17,110.84,113.11,107.43,109.12,10445474.0
2020-01-16,111.27,114.4,107.25,110.4,15080519.0
2020-01-15,110.79,115.2499,106.11,107.08,23034968.0
2020-01-14,124.73,135.23,114.28,117.05,50768044.0
2020-01-13,99.71,115.5,98.8,114.34,29293266.0
2020-01-10,91.8235,97.9,90.25,96.07,22571699.0
2020-01-09,82.98,90.3994,81.35,90.25,17130348.0
2020-01-08,86.0,88.27,81.16,81.48,18235633.0
2020-01-07,75.0,84.88,75.0,83.89,12172435.0
2020-01-06,74.97,75.75,73.83,74.59,2328628.0
2020-01-03,75.12,76.2,74.3136,75.41,1629314.0
2020-01-02,76.23,77.2,75.26,75.64,2223755.0
2019-12-31,73.55,75.73,73.22,75.6,2004081.0
2019-12-30,75.76,75.95,73.6,74.15,2549658.0
2019-12-27,76.73,77.42,75.14,75.64,2737628.0
2019-12-26,78.25,78.579,76.0501,76.4,2959202.0
2019-12-24,78.02,79.28,76.9392,77.73,2016388.0
2019-12-23,76.88,78.46,76.63,77.74,2864187.0
2019-12-20,76.88,77.0,75.07,76.84,5969552.0
2019-12-19,77.79,80.02,76.82,77.36,4777236.0
2019-12-18,76.55,77.8802,75.44,77.3,3742731.0
2019-12-17,73.17,77.2102,73.17,76.33,4611600.0
2019-12-16,75.0,75.01,71.6463,73.6,4873254.0
2019-12-13,75.36,76.39,74.85,75.02,1772696.0
2019-12-12,75.91,76.88,74.27,75.23,2607996.0
2019-12-11,74.79,76.95,74.46,75.9,3322133.0
2019-12-10,73.45,75.08,73.4,74.65,2453789.0
2019-12-09,76.16,76.274,73.63,74.05,3031159.0
2019-12-06,74.0,76.3,73.25,76.22,3565716.0
2019-12-05,73.59,76.03,71.3008,73.66,5684212.0
2019-12-04,76.75,77.05,73.51,73.89,5168416.0
2019-12-03,77.51,77.6804,75.4,76.16,5269332.0
2019-12-02,83.3,83.6436,77.03,79.27,5984964.0
2019-11-29,82.08,84.9,81.83,82.96,3694658.0
2019-11-27,79.96,83.6512,79.75,81.66,5105027.0
2019-11-26,77.52,79.73,76.7,79.43,3318089.0
2019-11-25,78.04,78.8,76.05,77.28,3946560.0
