date,MACD,MACD_Hist,MACD_Signal
2021-01-29,11.8937,6.3197,5.574
2021-01-28,10.9793,6.9852,3.9941
2021-01-27,9.4784,7.2306,2.2477
2021-01-26,6.1735,5.7334,0.4401
2021-01-25,2.4,3.3932,-0.9933
2021-01-22,0.4098,2.2513,-1.8416
2021-01-21,-0.3006,2.1038,-2.4044
2021-01-20,-0.5829,2.3474,-2.9303
2021-01-19,-0.9958,2.5214,-3.5172
2021-01-15,-2.1631,1.9845,-4.1475
2021-01-14,-3.4646,1.1791,-4.6437
2021-01-13,-5.3167,-0.3783,-4.9384
2021-01-12,-5.8603,-1.0164,-4.8439
2021-01-11,-5.976,-1.3863,-4.5898
2021-01-08,-5.6428,-1.3996,-4.2432
2021-01-07,-5.284,-1.3908,-3.8933
2021-01-06,-5.014,-1.4684,-3.5456
2021-01-05,-4.2838,-1.1054,-3.1785
2021-01-04,-4.1489,-1.2468,-2.9021
2020-12-31,-3.8654,-1.275,-2.5905
2020-12-30,-3.3894,-1.1176,-2.2717
2020-12-29,-2.8841,-0.8918,-1.9923
2020-12-28,-2.1372,-0.3679,-1.7693
2020-12-24,-1.2078,0.4696,-1.6774
2020-12-23,-1.0374,0.7574,-1.7948
2020-12-22,-1.1439,0.8402,-1.9841
2020-12-21,-1.1369,1.0573,-2.1942
2020-12-18,-1.1003,1.3582,-2.4585
2020-12-17,-1.6647,1.1333,-2.798
2020-12-16,-2.2082,0.8732,-3.0814
2020-12-15,-2.4767,0.823,-3.2997
2020-12-14,-2.6042,0.9012,-3.5054
2020-12-11,-2.7413,0.9894,-3.7307
2020-12-10,-2.9752,1.0029,-3.9781
2020-12-09,-3.1042,1.1246,-4.2288
2020-12-08,-3.1697,1.3402,-4.5099
2020-12-07,-3.5931,1.2518,-4.845
2020-12-04,-3.6964,1.4615,-5.1579
2020-12-03,-4.0474,1.4759,-5.5233
2020-12-02,-4.4089,1.4834,-5.8923
2020-12-01,-4.7228,1.5403,-6.2631
2020-11-30,-4.9244,1.7238,-6.6482
2020-11-27,-5.3799,1.6993,-7.0792
2020-11-25,-6.1172,1.3868,-7.504
2020-11-24,-6.7026,1.1481,-7.8507
2020-11-23,-7.5813,0.5564,-8.1377
2020-11-20,-8.504,-0.2271,-8.2768
2020-11-19,-9.11,-0.8899,-8.22
2020-11-18,-9.8385,-1.8409,-7.9976
2020-11-17,-10.278,-2.7407,-7.5373
2020-11-16,-10.2711,-3.4189,-6.8521
2020-11-13,-9.8328,-3.8354,-5.9974
2020-11-12,-8.8851,-3.8465,-5.0386
2020-11-11,-7.9697,-3.8927,-4.0769
