date,MACD_Hist,MACD_Signal,MACD
2021-01-29,-0.5475,0.7074,0.1599
2021-01-28,-0.4843,0.8443,0.3599
2021-01-27,-0.4562,0.9654,0.5092
2021-01-26,-0.3219,1.0794,0.7575
2021-01-25,-0.2798,1.1599,0.8801
2021-01-22,-0.1735,1.2299,1.0563
2021-01-21,-0.0317,1.2732,1.2415
2021-01-20,0.0605,1.2812,1.3417
2021-01-19,0.1198,1.2661,1.3859
2021-01-15,0.1748,1.2361,1.4109
2021-01-14,0.2157,1.1924,1.4081
2021-01-13,0.1692,1.1385,1.3077
2021-01-12,0.1244,1.0962,1.2206
2021-01-11,0.0652,1.0651,1.1303
2021-01-08,0.0253,1.0488,1.074
2021-01-07,-0.0732,1.0424,0.9692
2021-01-06,-0.2007,1.0607,0.8601
2021-01-05,-0.3609,1.1109,0.75
2021-01-04,-0.4366,1.2011,0.7645
2020-12-31,-0.3795,1.3103,0.9308
2020-12-30,-0.3724,1.4052,1.0328
2020-12-29,-0.3422,1.4983,1.156
2020-12-28,-0.3005,1.5838,1.2833
2020-12-24,-0.2399,1.6589,1.419
2020-12-23,-0.3215,1.7189,1.3974
2020-12-22,-0.3326,1.7993,1.4667
2020-12-21,-0.2492,1.8825,1.6333
2020-12-18,-0.1889,1.9448,1.7558
2020-12-17,-0.1666,1.992,1.8254
2020-12-16,-0.147,2.0337,1.8867
2020-12-15,-0.1149,2.0704,1.9555
2020-12-14,-0.0812,2.0991,2.0179
2020-12-11,0.0031,2.1194,2.1225
2020-12-10,0.0573,2.1187,2.1759
2020-12-09,0.0658,2.1043,2.1702
2020-12-08,0.0967,2.0879,2.1846
2020-12-07,0.1195,2.0637,2.1832
2020-12-04,0.0908,2.0338,2.1246
2020-12-03,0.0682,2.0111,2.0793
2020-12-02,0.0985,1.9941,2.0926
2020-12-01,0.1721,1.9694,2.1415
2020-11-30,0.2394,1.9264,2.1658
2020-11-27,0.3961,1.8666,2.2627
2020-11-25,0.4624,1.7675,2.2299
2020-11-24,0.4705,1.652,2.1224
2020-11-23,0.4542,1.5343,1.9885
2020-11-20,0.5428,1.4208,1.9636
2020-11-19,0.587,1.2851,1.8721
2020-11-18,0.6088,1.1383,1.7471
2020-11-17,0.5942,0.9861,1.5803
2020-11-16,0.5561,0.8376,1.3937
2020-11-13,0.5161,0.6986,1.2146
2020-11-12,0.5375,0.5695,1.1071
2020-11-11,0.5457,0.4352,0.9808
2020-11-10,0.4243,0.2987,0.723
2020-11-09,0.2521,0.1927,0.4448
2020-11-06,0.1947,0.1297,0.3244
