date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,10.4,11.18,10.36,10.54,2086143.0
2021-01-14,10.1293,10.48,10.08,10.16,1070692.0
2021-01-13,10.13,10.23,9.71,10.07,1402347.0
2021-01-12,10.4183,10.4183,9.9,10.31,1481651.0
2021-01-11,11.0,11.0,10.11,10.46,1593424.0
2021-01-08,10.86,11.19,10.71,11.02,1677704.0
2021-01-07,10.73,11.17,10.6,10.78,1357513.0
2021-01-06,10.48,10.95,10.1,10.54,1722986.0
2021-01-05,9.79,10.6399,9.79,10.39,1075954.0
2021-01-04,9.3,10.01,9.1,9.97,993280.0
2020-12-31,9.74,9.78,9.03,9.3,1494053.0
2020-12-30,9.86,9.93,9.6,9.73,909571.0
2020-12-29,10.03,10.1,9.01,9.79,2588781.0
2020-12-28,10.84,10.8502,10.0,10.04,1759181.0
2020-12-24,10.8638,11.18,10.72,10.84,509087.0
2020-12-23,11.3094,11.3094,10.85,10.92,921322.0
2020-12-22,11.53,12.03,11.0202,11.26,1458588.0
2020-12-21,11.3,11.6,11.21,11.45,1428465.0
2020-12-18,10.95,11.37,10.85,11.1,1416687.0
2020-12-17,10.68,11.26,10.68,10.86,1167644.0
2020-12-16,10.97,11.05,10.63,10.67,883399.0
2020-12-15,10.44,11.2799,10.3829,11.02,1367934.0
2020-12-14,10.1,11.1,10.05,10.66,2303070.0
2020-12-11,10.4,10.55,9.92,10.19,907980.0
2020-12-10,10.18,10.54,10.03,10.46,1016750.0
2020-12-09,10.32,10.409,10.0,10.15,1708486.0
2020-12-08,10.76,10.7925,10.31,10.36,1140858.0
2020-12-07,11.07,11.22,10.65,10.66,1210459.0
2020-12-04,10.8737,11.2124,10.7875,11.04,1119588.0
2020-12-03,10.9,11.04,10.65,10.84,1233642.0
2020-12-02,10.8,11.3,10.62,10.97,1112958.0
2020-12-01,11.66,11.7,10.84,11.06,2007223.0
2020-11-30,11.81,11.9,11.13,11.72,1475386.0
2020-11-27,12.15,12.17,11.6,11.89,1506236.0
2020-11-25,10.5,13.8,10.24,12.14,10890138.0
2020-11-24,10.42,10.76,9.8,10.56,3313285.0
2020-11-23,11.0,11.069,10.25,10.49,2742958.0
2020-11-20,11.0,11.49,10.93,11.09,2008636.0
2020-11-19,11.5,11.62,10.8,10.87,3031969.0
2020-11-18,11.58,11.98,11.32,11.44,2269087.0
2020-11-17,11.87,12.12,11.1101,11.89,5430477.0
2020-11-16,13.8,14.73,13.22,13.59,4901027.0
2020-11-13,15.75,16.96,14.8,14.98,4626813.0
2020-11-12,14.0,15.55,13.1754,15.19,3456561.0
2020-11-11,12.02,13.61,12.02,13.3,2111683.0
2020-11-10,11.2985,12.39,11.1,11.76,1635140.0
2020-11-09,12.85,13.2,10.66,11.49,4152213.0
2020-11-06,14.34,14.5,14.06,14.44,636280.0
2020-11-05,14.6085,14.73,13.96,14.5,909471.0
2020-11-04,14.0,14.56,13.91,14.22,694360.0
2020-11-03,13.53,14.15,13.35,14.02,913969.0
2020-11-02,13.5,13.75,12.92,13.27,1041268.0
2020-10-30,13.82,13.95,12.88,13.41,1237618.0
2020-10-29,13.6,14.2,13.16,13.81,936595.0
2020-10-28,13.89,14.0499,13.3,13.595,1081432.0
2020-10-27,13.61,14.38,13.1,14.23,1816909.0
2020-10-26,12.56,15.06,12.55,14.04,9242271.0
2020-10-23,12.2,12.51,11.86,12.46,1041232.0
2020-10-22,12.63,12.66,11.9,12.12,1124035.0
2020-10-21,13.18,13.39,12.53,12.61,803399.0
2020-10-20,13.64,13.73,13.01,13.3,815815.0
2020-10-19,13.98,14.2,13.58,13.62,678514.0
2020-10-16,14.18,14.18,13.81,14.0,576874.0
2020-10-15,13.84,14.24,13.65,14.07,560797.0
2020-10-14,14.65,14.7,14.18,14.26,768778.0
2020-10-13,14.23,14.85,13.95,14.65,1033450.0
2020-10-12,14.45,14.4571,13.78,14.22,761303.0
2020-10-09,14.32,14.58,14.1604,14.42,709152.0
2020-10-08,14.75,14.9,14.07,14.41,1369397.0
2020-10-07,14.55,14.8599,14.41,14.8,876658.0
2020-10-06,14.83,15.39,14.2706,14.35,2197566.0
2020-10-05,13.75,14.89,13.45,14.83,2172514.0
2020-10-02,13.96,14.98,13.11,13.96,6451434.0
2020-10-01,13.5,13.7279,12.86,12.97,1210526.0
2020-09-30,13.76,14.03,13.42,13.59,1083298.0
2020-09-29,13.9857,14.43,13.81,13.92,941909.0
2020-09-28,14.18,14.47,13.2,14.2,2053238.0
2020-09-25,13.92,14.48,13.54,14.34,1483604.0
2020-09-24,14.26,14.89,13.66,13.78,2738043.0
2020-09-23,14.91,14.97,13.4,13.45,2148286.0
2020-09-22,15.3,15.54,14.61,14.93,2085542.0
2020-09-21,14.57,15.44,14.3002,15.17,2122855.0
2020-09-18,14.15,14.99,14.07,14.82,2389119.0
2020-09-17,13.44,14.93,13.22,14.31,3359719.0
2020-09-16,12.26,14.04,12.26,13.86,5231768.0
2020-09-15,12.78,13.0,12.33,12.49,1776384.0
2020-09-14,13.64,13.7,11.82,12.68,6393330.0
2020-09-11,11.75,14.17,11.75,13.71,21443681.0
2020-09-10,10.02,12.72,10.02,11.62,8673055.0
2020-09-09,10.8135,11.1,9.56,10.22,5159823.0
2020-09-08,8.9,11.89,8.2,11.7,20355434.0
2020-09-04,9.12,9.29,8.07,8.24,2784205.0
2020-09-03,9.41,9.78,8.9701,9.3,2400934.0
2020-09-02,10.36,10.3634,9.3201,9.78,2721936.0
2020-09-01,10.99,11.15,10.01,10.55,2488946.0
2020-08-31,11.41,11.52,10.58,10.9,2192758.0
2020-08-28,11.18,11.63,10.52,11.42,2258381.0
2020-08-27,11.49,11.99,10.86,11.42,4953685.0
2020-08-26,13.04,13.585,12.76,13.155,1855701.0
2020-08-25,12.76,13.54,12.36,13.04,2458051.0
2020-08-24,14.52,14.579,12.02,12.57,5368953.0
2020-08-21,14.3,15.04,14.08,14.86,2672633.0
2020-08-20,14.83,15.34,14.02,14.39,3722252.0
2020-08-19,15.49,15.7,14.4,14.53,2829189.0
2020-08-18,15.55,16.1299,14.92,15.425,3980706.0
2020-08-17,16.51,17.6,15.24,15.725,5765514.0
2020-08-14,17.53,17.7,15.73,16.29,9872240.0
2020-08-13,21.0,22.15,20.61,21.0,5336969.0
2020-08-12,23.33,23.58,19.14,19.57,4850943.0
