date,MACD_Hist,MACD,MACD_Signal
2021-02-02,0.1131,0.7539,0.6408
2021-02-01,0.1456,0.7299,0.5843
2021-01-29,0.2571,0.5038,0.2467
2021-01-28,0.2757,0.4581,0.1824
2021-01-27,0.2999,0.4134,0.1135
2021-01-26,0.2609,0.2995,0.0385
2021-01-25,0.2436,0.2169,-0.0267
2021-01-22,0.2366,0.149,-0.0876
2021-01-21,0.2396,0.0929,-0.1468
2021-01-20,0.2163,0.0096,-0.2067
2021-01-19,0.1609,-0.0998,-0.2607
2021-01-15,0.0705,-0.2304,-0.3009
2021-01-14,0.0547,-0.2639,-0.3186
2021-01-13,0.0681,-0.2641,-0.3323
2021-01-12,0.0978,-0.2514,-0.3493
2021-01-11,0.1177,-0.256,-0.3737
2021-01-08,0.1298,-0.2734,-0.4032
2021-01-07,0.087,-0.3486,-0.4356
2021-01-06,0.0423,-0.4151,-0.4574
2021-01-05,-0.0016,-0.4695,-0.4679
2021-01-04,-0.0493,-0.5169,-0.4675
2020-12-31,-0.0718,-0.527,-0.4552
2020-12-30,-0.0268,-0.4641,-0.4373
2020-12-29,0.0098,-0.4208,-0.4305
2020-12-28,0.0675,-0.3655,-0.433
2020-12-24,0.1348,-0.3151,-0.4499
2020-12-23,0.156,-0.3276,-0.4836
2020-12-22,0.1756,-0.34700000000000003,-0.5226
2020-12-21,0.1652,-0.4013,-0.5665
2020-12-18,0.1237,-0.4841,-0.6078
2020-12-17,0.0916,-0.5471,-0.6387
2020-12-16,0.0665,-0.5951,-0.6616
2020-12-15,0.0498,-0.6284,-0.6782
2020-12-14,-0.0067,-0.6974,-0.6907
2020-12-11,-0.0496,-0.7387,-0.6890000000000001
2020-12-10,-0.0561,-0.7327,-0.6766
2020-12-09,-0.0794,-0.742,-0.6626
2020-12-08,-0.0688,-0.7115,-0.6427
2020-12-07,-0.058,-0.6836,-0.6255
2020-12-04,-0.0575,-0.6685,-0.611
2020-12-03,-0.0816,-0.6783,-0.5966
2020-12-02,-0.0843,-0.6605,-0.5762
2020-12-01,-0.0863,-0.6415,-0.5552
2020-11-30,-0.0834,-0.617,-0.5336
2020-11-27,-0.1313,-0.644,-0.5127
2020-11-25,-0.2065,-0.6864,-0.4799
2020-11-24,-0.3277,-0.7559999999999999,-0.4283
2020-11-23,-0.3266,-0.6729,-0.3463
2020-11-20,-0.2853,-0.55,-0.2647
2020-11-19,-0.2528,-0.4462,-0.1934
2020-11-18,-0.1546,-0.2848,-0.1302
2020-11-17,-0.0412,-0.1327,-0.0915
2020-11-16,0.0988,0.0175,-0.0812
2020-11-13,0.1419,0.0359,-0.1059
2020-11-12,0.0588,-0.0826,-0.1414
2020-11-11,-0.098,-0.2541,-0.1561
2020-11-10,-0.1453,-0.2768,-0.1316
2020-11-09,-0.0498,-0.1451,-0.0953
2020-11-06,0.1356,0.0528,-0.0828
2020-11-05,0.1208,0.0041,-0.1167
2020-11-04,0.0827,-0.0642,-0.1469
2020-11-03,0.0457,-0.1219,-0.1676
2020-11-02,0.0057,-0.1734,-0.179
2020-10-30,0.0202,-0.1602,-0.1805
2020-10-29,0.0302,-0.1554,-0.1855
2020-10-28,0.0054,-0.1876,-0.1931
2020-10-27,-0.0098,-0.2042,-0.1944
2020-10-26,-0.095,-0.287,-0.192
2020-10-23,-0.201,-0.3692,-0.1682
2020-10-22,-0.1899,-0.3079,-0.118
2020-10-21,-0.12,-0.1905,-0.0705
2020-10-20,-0.0473,-0.0878,-0.0405
2020-10-19,0.0029,-0.0257,-0.0286
2020-10-16,0.0507,0.0214,-0.0294
2020-10-15,0.0845,0.0424,-0.0421
2020-10-14,0.1248,0.0616,-0.0632
2020-10-13,0.1601,0.0658,-0.0944
2020-10-12,0.1649,0.0304,-0.1344
2020-10-09,0.2043,0.0287,-0.1756
2020-10-08,0.2324,0.0057,-0.2267
2020-10-07,0.2621,-0.0227,-0.2848
2020-10-06,0.2519,-0.0984,-0.3503
2020-10-05,0.2656,-0.1477,-0.4133
2020-10-02,0.2223,-0.2574,-0.4797
2020-10-01,0.2303,-0.305,-0.5353
2020-09-30,0.3322,-0.2606,-0.5929
2020-09-29,0.4126,-0.2633,-0.6759
2020-09-28,0.4826,-0.2964,-0.7791
2020-09-25,0.5368,-0.363,-0.8997
2020-09-24,0.5771,-0.4568,-1.0339
2020-09-23,0.6652,-0.513,-1.1782
2020-09-22,0.8009,-0.5436,-1.3445
2020-09-21,0.8192,-0.7255,-1.5447
2020-09-18,0.778,-0.9715,-1.7495
2020-09-17,0.7083,-1.2357,-1.944
2020-09-16,0.618,-1.5031,-2.1211
2020-09-15,0.499,-1.7766,-2.2756
2020-09-14,0.4399,-1.9605,-2.4004
2020-09-11,0.3244,-2.1859,-2.5104
2020-09-10,0.0447,-2.5468,-2.5915
2020-09-09,-0.1549,-2.7575,-2.6026
2020-09-08,-0.2799,-2.8438,-2.5639
2020-09-04,-0.5694,-3.0633,-2.4939
2020-09-03,-0.5951,-2.9466,-2.3516
2020-09-02,-0.6599,-2.8628,-2.2028
2020-09-01,-0.7251,-2.7629,-2.0378
2020-08-31,-0.8172,-2.6737,-1.8566
2020-08-28,-0.9044,-2.5566,-1.6523
2020-08-27,-0.9967,-2.4229,-1.4262
2020-08-26,-1.04,-2.217,-1.177
2020-08-25,-1.1816,-2.0986,-0.917
2020-08-24,-1.2837,-1.9052,-0.6216
2020-08-21,-1.2822,-1.5829,-0.3007
2020-08-20,-1.4015,-1.3816,0.0199
2020-08-19,-1.4269,-1.0567,0.3703
2020-08-18,-1.3678,-0.6409,0.727
2020-08-17,-1.2609,-0.1919,1.069
2020-08-14,-1.0309,0.3533,1.3842
2020-08-13,-0.6554,0.9865,1.6419
2020-08-12,-0.5049,1.3009,1.8057
2020-08-11,-0.1032,1.8287,1.932
2020-08-10,0.1435,2.1012,1.9578
2020-08-07,0.3988,2.3207,1.9219
2020-08-06,0.5901,2.4123,1.8222
2020-08-05,0.7767,2.4514,1.6747
2020-08-04,0.8354,2.3159,1.4805
2020-08-03,0.7603,2.0319,1.2716
2020-07-31,0.312,1.3935,1.0816
2020-07-30,0.2472,1.2508,1.0036
2020-07-29,0.2654,1.2072,0.9418
2020-07-28,0.2973,1.1727,0.8754
2020-07-27,0.3625,1.1636,0.8011
2020-07-24,0.3685,1.079,0.7105
2020-07-23,0.3675,0.9858,0.6184
2020-07-22,0.2782,0.8048,0.5265
2020-07-21,0.2109,0.6678,0.457
2020-07-20,-0.0166,0.3876,0.4042
2020-07-17,-0.0561,0.3522,0.4084
2020-07-16,-0.0675,0.3549,0.4224
2020-07-15,-0.1321,0.3072,0.4393
2020-07-14,-0.1041,0.3682,0.4723
2020-07-13,-0.1034,0.3949,0.4983
2020-07-10,-0.0358,0.4884,0.5242
2020-07-09,-0.0059,0.5273,0.5331
2020-07-08,0.053,0.5876,0.5346
2020-07-07,0.0369,0.5583,0.5213
2020-07-06,0.1055,0.6176,0.5121
2020-07-02,0.1853,0.6711,0.4858
2020-07-01,0.2067,0.6461,0.4394
2020-06-30,0.159,0.5468,0.3878
2020-06-29,0.0753,0.4233,0.348
2020-06-26,0.1248,0.454,0.3292
2020-06-25,0.1233,0.4213,0.298
2020-06-24,0.0911,0.3583,0.2672
2020-06-23,0.0293,0.2737,0.2444
2020-06-22,-0.1243,0.1128,0.2371
2020-06-19,-0.1373,0.1308,0.2681
2020-06-18,-0.2269,0.0756,0.3025
2020-06-17,-0.2219,0.1373,0.3592
2020-06-16,-0.2596,0.1551,0.4147
2020-06-15,-0.3224,0.1572,0.4796
2020-06-12,-0.4769,0.0832,0.5602
2020-06-11,-0.5034,0.17600000000000002,0.6794
2020-06-10,-0.4879,0.3173,0.8053
2020-06-09,-0.5013,0.4259,0.9272
2020-06-08,-0.5116,0.541,1.0526
2020-06-05,-0.4852,0.6952,1.1805
2020-06-04,-0.4177,0.884,1.3018
2020-06-03,-0.3908,1.0154,1.4062
2020-06-02,-0.3355,1.1684,1.5039
2020-06-01,-0.3053,1.2825,1.5878
2020-05-29,-0.2994,1.3647,1.6641
2020-05-28,-0.2892,1.4497,1.7389
2020-05-27,-0.2201,1.5911,1.8112
2020-05-26,-0.127,1.7393,1.8663
2020-05-22,-0.0428,1.8552,1.898
2020-05-21,0.0146,1.9233,1.9087
2020-05-20,0.1312,2.0362,1.905
2020-05-19,0.2214,2.0937,1.8722
2020-05-18,0.2922,2.1091,1.8169
2020-05-15,0.4968,2.2406,1.7438
2020-05-14,0.7949,2.4146,1.6196
2020-05-13,0.6654,2.0863,1.4209
2020-05-12,0.251,1.5056,1.2546
2020-05-11,0.2054,1.3972,1.1918
2020-05-08,0.092,1.2324,1.1405
2020-05-07,0.0445,1.162,1.1175
2020-05-06,0.0263,1.1326,1.1063
2020-05-05,0.0196,1.1193,1.0998
2020-05-04,0.0411,1.136,1.0949
2020-05-01,-0.0609,1.0237,1.0846
2020-04-30,-0.0786,1.0212,1.0998
2020-04-29,0.1006,1.22,1.1195
2020-04-28,0.2569,1.3512,1.0943
