date,MACD_Hist,MACD_Signal,MACD
2021-02-11,-0.0165,-1.0805,-1.0969
2021-02-10,0.5933,-1.0722,-0.4789
2021-02-09,1.0166,-1.3689,-0.3523
2021-02-08,0.9526,-1.8772,-0.9246
2021-02-05,0.4928,-2.3535,-1.8607
2021-02-04,0.4216,-2.5999,-2.1783
2021-02-03,0.1002,-2.8107,-2.7105
2021-02-02,-0.2267,-2.8664,-3.0931
2021-02-01,-0.8363,-2.7531,-3.5894
2021-01-29,-0.9251,-2.597,-3.5221
2021-01-28,-0.6273,-2.3657,-2.9930000000000003
2021-01-27,-0.5366,-2.2088,-2.7455
2021-01-26,-0.2468,-2.0747,-2.3215
2021-01-25,-0.6081,-2.013,-2.6211
2021-01-22,-0.7888,-1.861,-2.6498
2021-01-21,-1.0269,-1.6638,-2.6906
2021-01-20,-1.3475,-1.4071,-2.7545
2021-01-19,-1.5731,-1.0702,-2.6433
2021-01-15,-1.0906,-0.6769,-1.7675
2021-01-14,-1.0026,-0.4043,-1.4069
2021-01-13,-0.7918,-0.1536,-0.9455
2021-01-12,-0.8555,0.0443,-0.8112
2021-01-11,-0.6062,0.2582,-0.348
2021-01-08,-0.1421,0.4098,0.2677
2021-01-07,0.0005,0.4453,0.4457
2021-01-06,0.4271,0.4452,0.8722
2021-01-05,0.8517,0.3384,1.1901
2021-01-04,0.8706,0.1255,0.9961
2020-12-31,0.3771,-0.0922,0.2849
2020-12-30,-0.0973,-0.1865,-0.2838
2020-12-29,-0.6061,-0.1621,-0.7682
2020-12-28,-1.1887,-0.0106,-1.1993
2020-12-24,-1.8496,0.2865,-1.5631
2020-12-23,-2.0937,0.7489,-1.3448
2020-12-22,-2.0452,1.2724,-0.7728
2020-12-21,-1.8293,1.7837,-0.0457
2020-12-18,-1.6573,2.241,0.5837
2020-12-17,-1.4835,2.6553,1.1718
2020-12-16,-1.4558,3.0262,1.5704
2020-12-15,-1.2472,3.3902,2.1429
2020-12-14,-1.108,3.702,2.594
2020-12-11,-1.1015,3.979,2.8775
2020-12-10,-1.1302,4.2543,3.1242
2020-12-09,-0.9081,4.5369,3.6288
2020-12-08,-0.6966,4.7639,4.0673
2020-12-07,-0.7072,4.9381,4.2309
2020-12-04,-0.302,5.1149,4.8128
2020-12-03,0.2851,5.1904,5.4755
2020-12-02,1.0594,5.1191,6.1785
2020-12-01,1.1695,4.8542,6.0237
2020-11-30,0.7633,4.5619,5.3251
2020-11-27,0.5597,4.371,4.9308
2020-11-25,0.4601,4.2311,4.6912
2020-11-24,0.2646,4.1161,4.3807
2020-11-23,0.2211,4.0499,4.271
2020-11-20,0.3234,3.9946,4.3181
2020-11-19,0.4601,3.9138,4.3739
2020-11-18,0.3425,3.7988,4.1413
2020-11-17,0.201,3.7131,3.9142
2020-11-16,-0.0648,3.6629,3.5981
2020-11-13,-0.3252,3.6791,3.3539
2020-11-12,-0.6728,3.7604,3.0876
2020-11-11,-0.9151,3.9286,3.0135
2020-11-10,-1.0054,4.1574,3.152
2020-11-09,-0.5004,4.4087,3.9083
2020-11-06,0.4437,4.5338,4.9775
2020-11-05,-0.2037,4.4229,4.2192
2020-11-04,-1.2413,4.4738,3.2326
2020-11-03,-1.9586,4.7842,2.8255
2020-11-02,-2.591,5.2738,2.6828
2020-10-30,-2.7086,5.9216,3.213
2020-10-29,-2.0838,6.5987,4.515
2020-10-28,-1.7272,7.1196,5.3924
2020-10-27,-1.0581,7.5515,6.4934
2020-10-26,-0.7805,7.816,7.0354
2020-10-23,-0.1871,8.0111,7.824
2020-10-22,0.2736,8.0579,8.3314
2020-10-21,0.7545,7.9895,8.7439
2020-10-20,1.1373,7.8009,8.9382
2020-10-19,1.491,7.5165,9.0076
2020-10-16,2.0938,7.1438,9.2375
2020-10-15,2.1839,6.6203,8.8043
2020-10-14,2.5403,6.0743,8.6146
2020-10-13,2.6335,5.4393,8.0728
2020-10-12,2.2512,4.7809,7.0321
2020-10-09,1.7994,4.2181,6.0175
2020-10-08,1.5623,3.7682,5.3305
2020-10-07,1.4314,3.3777,4.809
2020-10-06,1.2587,3.0198,4.2785
2020-10-05,1.2967,2.7051,4.0018
2020-10-02,1.1867,2.381,3.5677
2020-10-01,1.231,2.0843,3.3153
2020-09-30,0.8266,1.7766,2.6031
2020-09-29,0.4292,1.5699,1.9991
2020-09-28,0.0198,1.4626,1.4824
2020-09-25,-0.4067,1.4577,1.051
2020-09-24,-0.3769,1.5593,1.1825
2020-09-23,-0.7583,1.6535,0.8952
2020-09-22,-1.0927,1.8431,0.7504
2020-09-21,-1.5439,2.1163,0.5724
2020-09-18,-1.6819,2.5023,0.8204
2020-09-17,-1.4402,2.9228,1.4825
2020-09-16,-1.2659,3.2828,2.0169
2020-09-15,-1.4102,3.5993,2.1891
2020-09-14,-1.5926,3.9519,2.3592
2020-09-11,-1.7099,4.35,2.6401
2020-09-10,-1.4417,4.7775,3.3357
2020-09-09,-1.0025,5.1379,4.1354
2020-09-08,-0.9761,5.3885,4.4124
2020-09-04,-0.1809,5.6326,5.4517
2020-09-03,0.2573,5.6778,5.9351
2020-09-02,0.6809999999999999,5.6134,6.2944
2020-09-01,0.1721,5.4432,5.6153
2020-08-31,0.0077,5.4002,5.4079
2020-08-28,0.0347,5.3983,5.4329
2020-08-27,-0.07400000000000001,5.3896,5.3156
2020-08-26,-0.1204,5.4081,5.2877
2020-08-25,-0.0561,5.4382,5.3821
2020-08-24,-0.0714,5.4522,5.3808
2020-08-21,-0.1118,5.47,5.3583
2020-08-20,-0.2939,5.4979999999999976,5.2041
2020-08-19,-0.2694,5.5715,5.3021
2020-08-18,-0.2917,5.6388,5.3471
2020-08-17,-0.3701,5.7117,5.3416
2020-08-14,-0.4691,5.8042,5.3351
2020-08-13,-0.3076,5.9215,5.6139
2020-08-12,-0.053,5.9984,5.9455
2020-08-11,0.1655,6.0117,6.1772
2020-08-10,0.8418,5.9703,6.8121
2020-08-07,1.0135,5.7598,6.7734
2020-08-06,1.0289,5.5065,6.5353
2020-08-05,0.6494,5.2492,5.8987
2020-08-04,0.2443,5.0869,5.3311
2020-08-03,-0.4788,5.0258,4.5471
2020-07-31,-0.6281,5.1455,4.5174
2020-07-30,-0.5133,5.3025,4.7892
2020-07-29,-0.294,5.4309,5.1369
2020-07-28,-0.0597,5.5044,5.4447
2020-07-27,0.0976,5.5193,5.6169
2020-07-24,0.2572,5.4949,5.7521
2020-07-23,0.5904,5.4306,6.0209
2020-07-22,0.9608,5.283,6.2438
2020-07-21,1.1782,5.0428,6.221
2020-07-20,1.4085,4.7482,6.1567
2020-07-17,1.7106,4.3961,6.1067
2020-07-16,2.1557,3.9684,6.1241
2020-07-15,2.4815,3.4295,5.9110000000000005
2020-07-14,2.7013,2.8091,5.5104
2020-07-13,2.6567,2.1338,4.7905
2020-07-10,2.8345,1.4696,4.3041
2020-07-09,2.5325,0.7609999999999999,3.2935
2020-07-08,1.896,0.1279,2.0239
2020-07-07,1.6315,-0.3461,1.2854
2020-07-06,1.087,-0.754,0.333
2020-07-02,0.6069,-1.0257,-0.4188
2020-07-01,0.3735,-1.1774,-0.804
2020-06-30,0.0848,-1.2708,-1.186
2020-06-29,-0.2121,-1.2919999999999998,-1.5041
2020-06-26,-0.4891,-1.239,-1.7281
2020-06-25,-0.375,-1.1167,-1.4917
2020-06-24,-0.5377,-1.0229,-1.5606
2020-06-23,-0.4892,-0.8885,-1.3778
2020-06-22,-0.6814,-0.7662,-1.4476
2020-06-19,-0.8368,-0.5959,-1.4327
2020-06-18,-0.9518,-0.3867,-1.3384
2020-06-17,-1.0173,-0.1487,-1.166
2020-06-16,-1.0385,0.1056,-0.9329
2020-06-15,-1.1601,0.3652,-0.7949
2020-06-12,-0.8491,0.6553,-0.1939
2020-06-11,-0.4418,0.8675,0.4257
2020-06-10,0.0219,0.978,0.9999
2020-06-09,0.103,0.9725,1.0756
2020-06-08,0.3857,0.9468,1.3325
2020-06-05,0.6286,0.8503,1.4789
2020-06-04,0.4717,0.6932,1.1649
