date,MFI
1999-11-19,60.5669
1999-11-22,55.4388
1999-11-23,55.8908
1999-11-24,52.9125
1999-11-26,49.583
1999-11-29,51.6595
1999-11-30,59.9454
1999-12-01,69.6119
1999-12-02,53.9967
1999-12-03,54.9257
1999-12-06,54.6643
1999-12-07,54.5404
1999-12-08,54.7826
1999-12-09,49.4935
1999-12-10,48.3651
1999-12-13,54.7812
1999-12-14,48.7847
1999-12-15,43.6826
1999-12-16,41.3134
1999-12-17,42.2409
1999-12-20,37.4808
1999-12-21,28.9034
1999-12-22,31.5716
1999-12-23,26.7487
1999-12-27,32.6626
1999-12-28,38.7879
1999-12-29,41.8959
1999-12-30,49.7779
1999-12-31,52.1829
2000-01-03,41.0428
2000-01-04,39.8653
2000-01-05,38.7365
2000-01-06,47.0261
2000-01-07,45.6245
2000-01-10,51.9756
2000-01-11,55.2657
2000-01-12,54.4251
2000-01-13,55.7205
2000-01-14,54.5602
2000-01-18,56.1004
2000-01-19,58.1726
2000-01-20,51.9267
2000-01-21,50.032
2000-01-24,50.475
2000-01-25,57.1059
2000-01-26,65.8519
2000-01-27,58.7045
2000-01-28,52.4597
2000-01-31,51.5315
2000-02-01,57.9105
2000-02-02,66.0246
2000-02-03,65.8009
2000-02-04,60.5759
2000-02-07,53.4418
2000-02-08,51.9778
2000-02-09,56.2981
2000-02-10,56.9685
2000-02-11,60.2711
2000-02-14,54.5164
2000-02-15,47.2172
2000-02-16,46.1535
2000-02-17,42.6947
2000-02-18,34.6487
2000-02-22,26.1913
2000-02-23,23.9496
2000-02-24,13.8299
2000-02-25,27.2189
2000-02-28,37.3599
2000-02-29,38.5597
2000-03-01,36.6467
2000-03-02,46.2507
2000-03-03,49.9137
2000-03-06,48.7307
2000-03-07,45.6187
2000-03-08,44.4518
2000-03-09,45.6704
2000-03-10,52.8082
2000-03-13,52.8528
2000-03-14,51.4505
2000-03-15,57.9387
2000-03-16,61.6537
2000-03-17,62.5943
2000-03-20,57.4772
2000-03-21,63.3175
2000-03-22,62.1379
2000-03-23,58.3098
2000-03-24,63.9732
2000-03-27,67.8459
2000-03-28,67.4057
2000-03-29,66.5073
2000-03-30,68.4924
2000-03-31,74.8741
2000-04-03,75.5904
2000-04-04,76.8687
2000-04-05,73.7978
2000-04-06,66.8138
