date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,317.57,333.36,317.5,332.33,1000594.0
2021-02-01,312.14,319.2299,305.33,317.8,750817.0
2021-01-29,312.81,315.24,300.83,309.87,1595763.0
2021-01-28,298.12,319.25,295.98,317.16,2100005.0
2021-01-27,300.0,313.52,284.95,296.38,1524673.0
2021-01-26,320.0,320.8,303.315,305.5,1970530.0
2021-01-25,343.99,347.0,314.14,318.39,2105404.0
2021-01-22,340.1212,344.35,338.2174,341.9,759273.0
2021-01-21,339.05,345.08,337.04,342.05,705023.0
2021-01-20,337.61,340.34,333.31,336.38,792204.0
2021-01-19,332.58,334.62,325.13,333.92,1136195.0
2021-01-15,342.0,345.77,327.475,328.76,1251084.0
2021-01-14,353.7,360.82,339.625,340.0,1058155.0
2021-01-13,350.05,359.1,343.36,354.75,869546.0
2021-01-12,345.1,349.5742,339.87,348.03,836742.0
2021-01-11,339.14,347.1724,333.0,342.58,1038782.0
2021-01-08,338.75,345.82,335.95,345.0,1121675.0
2021-01-07,323.31,335.06,321.58,334.57,1340324.0
2021-01-06,327.01,328.295,317.5,318.09,1600321.0
2021-01-05,335.04,340.0,330.415,333.28,897037.0
2021-01-04,342.0,342.63,326.01,335.92,1313164.0
2020-12-31,341.21,344.42,337.4,338.91,668631.0
2020-12-30,341.34,344.91,337.3611,341.31,413513.0
2020-12-29,345.01,345.55,333.76,340.49,1116257.0
2020-12-28,360.0,362.4034,342.87,343.11,987737.0
2020-12-24,356.09,362.4326,354.3,356.74,376075.0
2020-12-23,363.08,364.0999,351.79,352.16,926077.0
2020-12-22,356.0,365.9,355.85,361.15,1667541.0
2020-12-21,363.0,369.12,349.04,354.62,2149045.0
2020-12-18,363.49,366.96,356.0,366.9,2191248.0
2020-12-17,338.85,367.0,338.85,356.0,3954605.0
2020-12-16,322.7,335.98,319.805,335.96,1215744.0
2020-12-15,311.61,328.31,311.61,321.01,1326094.0
2020-12-14,318.0,322.73,312.68,314.79,666282.0
2020-12-11,314.99,321.0,311.21,318.43,815846.0
2020-12-10,304.99,321.3,301.5301,314.66,1160501.0
2020-12-09,311.98,314.0,298.25,307.3,1813602.0
2020-12-08,337.5752,337.95,300.61,314.49,4286115.0
2020-12-07,320.01,325.8999,317.27,323.94,2144030.0
2020-12-04,319.47,324.99,316.31,318.15,1256497.0
2020-12-03,321.02,331.8899,318.38,319.18,1120076.0
2020-12-02,321.15,324.3719,314.0,321.7,750643.0
2020-12-01,328.6,330.545,314.28,328.56,1097604.0
2020-11-30,325.2,336.25,322.49,328.91,1433749.0
2020-11-27,329.96,332.47,323.63,326.94,665595.0
2020-11-25,319.62,330.67,317.55,327.53,1025113.0
2020-11-24,314.4,318.1,311.75,317.56,537824.0
2020-11-23,314.7028,319.86,308.0,315.36,644865.0
2020-11-20,314.9,324.98,313.5872,314.21,924537.0
2020-11-19,298.08,317.87,295.71,314.05,913972.0
2020-11-18,301.7,305.91,294.0397,301.01,710649.0
2020-11-17,291.71,305.13,285.81,302.93,1249703.0
2020-11-16,280.31,290.18,280.3,288.48,377092.0
2020-11-13,290.42,299.08,281.3,287.07,743745.0
2020-11-12,292.64,297.0,287.06,289.39,466537.0
2020-11-11,281.72,294.12,277.58,288.0,1078420.0
2020-11-10,283.22,284.17,260.655,275.19,1431430.0
2020-11-09,291.27,303.7,284.08,285.56,1449399.0
2020-11-06,307.85,310.04,299.0707,304.57,966363.0
2020-11-05,308.75,316.07,293.91,311.48,2666529.0
2020-11-04,269.42,283.15,264.04,276.13,1544381.0
2020-11-03,248.49,258.43,244.73,255.55,2039218.0
2020-11-02,267.61,267.61,242.31,247.29,2715999.0
2020-10-30,278.2,279.9,263.8,267.7,1120530.0
2020-10-29,288.14,290.4982,282.17,282.62,472711.0
